가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
045c,카페,4.45,,,ajyung,https://m.place.naver.com/my/5cb592db231c23277ca975ca/review?v=2,254,,,팥빙수 푸짐하고 맛있어요.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 29일 토요일,2번째 방문,영수증
045c,카페,4.45,,,티파니엔코,https://m.place.naver.com/my/601be0b7ea3269607c08d6e4/review?v=2,581,25,,"이곳은 자매 두분이 함께 운영하는곳으로 건강한 맛을 느끼고 먹고싶을때 생각 나는곳이에요.대추차,100프로 생과일쥬스, 단팥죽,군고구마등 ","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 1일 수요일,5번째 방문,영수증
045c,카페,4.45,,,요거트마루,https://m.place.naver.com/my/5e6772ab8f87a842bce9d14c/review?v=2,1245,,,친절하신 사장님의 시그니처 누룽지토스트 참맛나요 커피도 엄청고소해서 너무좋아요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 17일 토요일,2번째 방문,영수증
045c,카페,4.45,,,보니따38,https://m.place.naver.com/my/5d47da4ca981307726f67487/review?v=2,1320,,,좋아요^^,,2024년 5월 27일 월요일,2번째 방문,영수증
045c,카페,4.45,,,한울73,https://m.place.naver.com/my/5fa4aaf5cd8dab43f9a5543e/review?v=2,35,,,"시그니쳐메뉴가 한가득~
올때마다 맛있고
올때마다 고민되고
뭘~선택해도 후회없는 시그니처 메뉴가 한가득!^^
045c는 사랑입니다~♡♡♡",,2023년 11월 29일 수요일,1번째 방문,결제내역
045c,카페,4.45,,,티파니엔코,https://m.place.naver.com/my/601be0b7ea3269607c08d6e4/review?v=2,581,25,,대추차를 직접 고아서 아주 진하게 제대로 만들었어요.또 누룽지까지 올려줘서 건강업돼요.매장은 작은데 여러가지 건강한 메뉴가 많아요.,"일시적인 오류가 발생했습니다
음료가 맛있어요",2023년 11월 8일 수요일,4번째 방문,영수증
045c,카페,4.45,,,ajyung,https://m.place.naver.com/my/5cb592db231c23277ca975ca/review?v=2,254,,,대추차 맛있어요~,,2024년 1월 28일 일요일,1번째 방문,영수증
045c,카페,4.45,,,m7****,https://m.place.naver.com/my/61a9906c7192e34ed5f1e9e4/review?v=2,717,,,친절하시며 다양한메뉴에 맛도 좋아요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 29일 목요일,2번째 방문,결제내역
045c,카페,4.45,,,우리집포동이,https://m.place.naver.com/my/5bb2e61f2b14edc35700cfd6/review?v=2,888,25,,친절하시고 커피향이 참 좋아요!,"일시적인 오류가 발생했습니다
친절해요",2023년 10월 17일 화요일,1번째 방문,결제내역
045c,카페,4.45,,,hor****,https://m.place.naver.com/my/5b9f6239e830a4e68302696b/review?v=2,593,,,좋아요!,"일시적인 오류가 발생했습니다
친절해요",2024년 4월 18일 목요일,2번째 방문,영수증
045c,카페,4.45,,,티파니엔코,https://m.place.naver.com/my/601be0b7ea3269607c08d6e4/review?v=2,581,25,,,"일시적인 오류가 발생했습니다
음료가 맛있어요",2023년 10월 4일 수요일,3번째 방문,영수증
045c,카페,4.45,,,hor****,https://m.place.naver.com/my/5b9f6239e830a4e68302696b/review?v=2,593,,,좋아요,"일시적인 오류가 발생했습니다
친절해요",2024년 4월 3일 수요일,1번째 방문,영수증
