가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
G3coffee,"카페,디저트",,,,영펜,https://m.place.naver.com/my/5d8ca8c68f87a842bcd62dec/review?v=2,285,,,좋아요,,2024년 5월 31일 금요일,1번째 방문,영수증
G3coffee,"카페,디저트",,,,로즈마리7777,https://m.place.naver.com/my/5e2051d68f87a842bc658dda/review?v=2,872,,,좋아요 ,,2023년 11월 13일 월요일,1번째 방문,영수증
G3coffee,"카페,디저트",,,,꾸러기맘4944,https://m.place.naver.com/my/5ddd7eff9ec8258e4a60fd5f/review?v=2,111,,,양말종류가 많아요,,2023년 5월 23일 화요일,1번째 방문,영수증
G3coffee,"카페,디저트",,,,안성19,https://m.place.naver.com/my/5ed87e2c8f87a842bc89154c/review?v=2,117,,,편해서 가끔이용합니다,,2023년 4월 6일 목요일,1번째 방문,영수증
G3coffee,"카페,디저트",,,,죠습니ㄷr,https://m.place.naver.com/my/5edb815e8f87a842bced007e/review?v=2,1125,,,좋아요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 5월 23일 화요일,1번째 방문,영수증
G3coffee,"카페,디저트",,,,은채8617,https://m.place.naver.com/my/5e118a078f87a842bc40fe55/review?v=2,458,,,맛있는듯 ㅎㅎ,,2023년 3월 3일 금요일,1번째 방문,영수증
G3coffee,"카페,디저트",,,,muii,https://m.place.naver.com/my/5ca6b212b592936cb74a11e5/review?v=2,1039,4,,ㅎㅎ,,2022년 11월 17일 목요일,1번째 방문,영수증
G3coffee,"카페,디저트",,,,쏭쏭69,https://m.place.naver.com/my/5effe6ee05187f79123b17da/review?v=2,74,,,친절해요,"일시적인 오류가 발생했습니다
매장이 청결해요",2022년 12월 2일 금요일,1번째 방문,영수증
G3coffee,"카페,디저트",,,,ch2****,https://m.place.naver.com/my/5e251d418f87a842bcdda081/review?v=2,1301,,,굿,,2022년 11월 16일 수요일,1번째 방문,영수증
G3coffee,"카페,디저트",,,,수덕,https://m.place.naver.com/my/5b9a79ba5eb2bc40ecd5a096/review?v=2,205,6,,레모네이드 조금 비싸지만 맛있어요,,2022년 5월 16일 월요일,1번째 방문,영수증
G3coffee,"카페,디저트",,,,kloo131,https://m.place.naver.com/my/5f1836269ec8258e4a38b92c/review?v=2,1564,9,,굿,,2022년 11월 7일 월요일,1번째 방문,영수증
G3coffee,"카페,디저트",,,,로미0502,https://m.place.naver.com/my/5c710d5a186a66f00891bf84/review?v=2,486,,,친절하고 커피 맛있어요,"일시적인 오류가 발생했습니다
음료가 맛있어요",2022년 4월 15일 금요일,1번째 방문,영수증
G3coffee,"카페,디저트",,,,yhm****,https://m.place.naver.com/my/5e6de9848f87a842bcc6f000/review?v=2,1460,7,,오,,2022년 5월 29일 일요일,1번째 방문,영수증
G3coffee,"카페,디저트",,,,하이요75,https://m.place.naver.com/my/5c9db35756dcea1188297e5c/review?v=2,364,,,사장님친절하시고 토스트맛잇어요~~!!,"일시적인 오류가 발생했습니다
가성비가 좋아요",2022년 2월 11일 금요일,1번째 방문,영수증
G3coffee,"카페,디저트",,,,그리니솔,https://m.place.naver.com/my/5f0e58009ec8258e4a9495d0/review?v=2,542,,,굳,,2022년 1월 8일 토요일,1번째 방문,영수증
