가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
lleno,"카페,디저트",4.19,,,레키뚠,https://m.place.naver.com/my/5efdd686508969f8323037c7/review?v=2,244,12.0,,"조용한 카페, 지하에서 수다떨기 좋습니다.","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 5일 금요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,Hindi,https://m.place.naver.com/my/5b73cfd88a7cf372d941e61e/review?v=2,529,,,굿,,2024년 3월 7일 목요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,kaztow42,https://m.place.naver.com/my/5df9f31f8f87a842bc6732a8/review?v=2,52,2.0,,아 맛있으요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2022년 12월 16일 금요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,미서니1212,https://m.place.naver.com/my/5f06d1e11021639de85c0924/review?v=2,277,,,자몽차가  최고!!!,,2022년 8월 26일 금요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,꽃방구 폴폴,https://m.place.naver.com/my/5d9454b58f87a842bc709e4a/review?v=2,1355,,,굿,,2022년 7월 27일 수요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,bes****,https://m.place.naver.com/my/5efe44aeafcca6e20afd2204/review?v=2,832,,,"원두가 좋은건지 커피머신이 좋은건지
사장님이 좋은건지..
암튼 커피맛 좋네요.","일시적인 오류가 발생했습니다
커피가 맛있어요",2021년 10월 12일 화요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,푸르른94,https://m.place.naver.com/my/5bf7e555d5eb415bfa11c3ce/review?v=2,802,,,공간이 1층ㆍ지하로 되어있고 음악이 조용해서 이야기하기좋고 책읽기좋네요 특히 좋은건 커피맛~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2021년 11월 16일 화요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,폴리550,https://m.place.naver.com/my/5e5cd1138f87a842bcce10f2/review?v=2,444,,,아메리카노만 테이크아웃시 500원 할인해줘요!,,2021년 7월 9일 금요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,ska****,https://m.place.naver.com/my/5c3b48f4f49cd2f784428fdd/review?v=2,34,,,사장님친절하고 커피맛있어요,,2021년 4월 16일 금요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,newyj5241,https://m.place.naver.com/my/5e9587418f87a842bc32884b/review?v=2,626,,,커피 맛있어요~,,2021년 1월 22일 금요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,ska****,https://m.place.naver.com/my/5c3b48f4f49cd2f784428fdd/review?v=2,34,,,사장님친절하고 커피맛있어요,,2021년 4월 16일 금요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,newyj5241,https://m.place.naver.com/my/5e9587418f87a842bc32884b/review?v=2,626,,,커피 맛있어요~,,2021년 1월 22일 금요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,산체9,https://m.place.naver.com/my/5b84d0f419655e6ac5d5ba4e/review?v=2,53,3.0,,좋은데 너무 추워요,,2020년 10월 22일 목요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,masikko,https://m.place.naver.com/my/5eff3cea7a3924f9464cadc4/review?v=2,278,4.0,,커피도 맛있고 젤라또도 엄청 맛있어요 이천쌀 맛 젤라또짱이에요 ㅎㅎ,,2020년 8월 18일 화요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,totolsa,https://m.place.naver.com/my/5eae8fb28f87a842bc6fa710/review?v=2,4,,,위층 카레집에서 먹고 할인 받아서 좋네요,,2020년 8월 13일 목요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,해천,https://m.place.naver.com/my/5ec1d62a8f87a842bc12dbad/review?v=2,1130,3.0,,저렴하고 이용해보세요,,2020년 9월 2일 수요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,hello,https://m.place.naver.com/my/5bb3dd94f3f37ecf381d8815/review?v=2,34,,,"맛있어요ㅎㅎ

늘 커피와 홍차라떼♡

#과기대#커피숍#예노",,2020년 2월 28일 금요일,2번째 방문,영수증
lleno,"카페,디저트",4.19,,,볼빨간오춘기78,https://m.place.naver.com/my/5d9459ff8f87a842bc8157ea/review?v=2,17,,,커피 맛나요^^ 맛있었어요 ㅎㅎ,,2020년 3월 30일 월요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,hello,https://m.place.naver.com/my/5bb3dd94f3f37ecf381d8815/review?v=2,34,,,"여기 홍차라떼 먹어보면
다른데는 밍밍해서 못먹음♡",,2020년 2월 24일 월요일,1번째 방문,영수증
lleno,"카페,디저트",4.19,,,sku2000,https://m.place.naver.com/my/5c6e6ace4bb61f68d9a4cedb/review?v=2,639,,,"커피맛은 괜찮아요.
근데 남자직원은 상당히 불친절..",,2019년 2월 22일 금요일,1번째 방문,영수증
