가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
갤러리카페 봉프레,갤러리카페,,,,미밍륭,https://m.place.naver.com/my/5d909d378f87a842bca59215/review?v=2,140,11,,음료도 커피도 커피콩빵도 3조합이 너무다맛났어요 인테리어도 너무멋지고 좋은시간보내다왔네요 넘맛납니당,"일시적인 오류가 발생했습니다
음료가 맛있어요",2022년 10월 26일 수요일,1번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,스뎅맨,https://m.place.naver.com/my/5dc62e368f87a842bc04ef9f/review?v=2,561,8,,좋아요~,,2022년 5월 7일 토요일,1번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,jsy****,https://m.place.naver.com/my/5f7407856c3d7f73345012d2/review?v=2,173,,,매장이산뜻합니다,,2022년 2월 16일 수요일,1번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,깨깽이po,https://m.place.naver.com/my/5d8ee1fe8f87a842bcb92977/review?v=2,303,,,"커피콩빵 맛있어요^^ 따뜻하게 구워져나와 자꾸 손이가네요
커피 한잔에 커피콩 행복해집니다",,2022년 1월 14일 금요일,1번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,fks****,https://m.place.naver.com/my/5f9e5b18037e14a526c993f9/review?v=2,1621,1,,좋아요,,2022년 4월 17일 일요일,1번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,상아리1,https://m.place.naver.com/my/614d1fef6088de7b05671141/review?v=2,261,17,,"커피 빵과 젤라또가 맛있는 조용한 동네 카페라
혼자 와서 책읽고 가기 좋을꺼 같아요.",,2021년 11월 17일 수요일,1번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,맛따라뱅기타고,https://m.place.naver.com/my/5ddfbfbc9ec8258e4ac8683c/review?v=2,512,16,,사장님이 넘 친절하시구 커피 콩빵도 바로바로 구워 나와서 넘 맛있어요! 커피 리필까지 해주시고! 컴퓨터 작업 하시거나 스터디 하실분께 강츄 드려요!,,2022년 3월 2일 수요일,1번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,주현1557,https://m.place.naver.com/my/5dfec0dc8f87a842bc9eade1/review?v=2,809,,,맛나요,,2022년 2월 10일 목요일,1번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,행복한 영아,https://m.place.naver.com/my/5c27461c023bb42f68b469b9/review?v=2,3,,,"매일매일 커피로 시작하는 일상~
지난해 알게된 갤러리카페~
편안한분위기 아기자기한카페였어요~
커피콩빵도 좋구 조만간 다시갈거란는~
카페 헌켠에 마련된 봉프레 천연후장품도 5개월째 사용중인데 그중 언꽃소미스트는 너무 좋아서 건조한 사무실에 필수 아이템이요~^^",,2021년 5월 30일 일요일,1번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,주니어문,https://m.place.naver.com/my/5cd1c34260d9284a5863a913/review?v=2,3,,,"카페에 갤러리도 있고, 아기자기한 소품들. 커피빵도 있더라구요.  무엇보다 카페사장님이 멋쨍이모자를 쓰고계시고.. 편안하게 차 한잔하고 왔네요",,2021년 6월 17일 목요일,1번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,하이하이6245,https://m.place.naver.com/my/5dea7e7a9ec8258e4a60bec7/review?v=2,4,,,오늘도 맛있는 커피 잘 마셨습니다. 번창하세요~~,,2021년 8월 9일 월요일,2번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,사계절387,https://m.place.naver.com/my/60d01106df2968b67948843f/review?v=2,1,,,천연화장품이 있는 이색카페이네요. 봉프레 아이스아메리카노 맛있어요. 커피콩빵도 있네요. 다음에 먹어 보고 싶어서~,,2021년 6월 9일 수요일,1번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,봉프레,https://m.place.naver.com/my/5eca90fb8f87a842bcaf560d/review?v=2,1,,,직접 로스팅한 커피를 마시며 하루 즐겁게 보내고 조용하고 아이스아메리카노와 아이스라떼 너무 맛있어요.,,2021년 5월 23일 일요일,1번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,하이하이6245,https://m.place.naver.com/my/5dea7e7a9ec8258e4a60bec7/review?v=2,4,,,"공릉동 커피맛집!!
자주 가는 카페인데 사장님도 친절하시고 커피도 맛나고  커피콩빵도 부드럽고 너무 맛나요~
앞으로도 쭈욱 자주 갈 예정 :)",,2021년 6월 14일 월요일,1번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,지원맘57,https://m.place.naver.com/my/5bec1f72a6bb079d095345c2/review?v=2,260,,,굿,,2019년 4월 21일 일요일,3번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,지원맘57,https://m.place.naver.com/my/5bec1f72a6bb079d095345c2/review?v=2,260,,,굿,,2019년 4월 21일 일요일,2번째 방문,영수증
갤러리카페 봉프레,갤러리카페,,,,지원맘57,https://m.place.naver.com/my/5bec1f72a6bb079d095345c2/review?v=2,260,,,굿,,2018년 7월 22일 일요일,1번째 방문,영수증
