가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
공릉제빵소,베이커리,4.43,,,우루싸68,https://m.place.naver.com/my/5e53329a8f87a842bc7b4c08/review?v=2,223,,,공릉역 개찰구 바로 옆 빵집. 직접 매장에서 구워파는 곳이라 빵맛이 좋음. 가성비도 좋아서 굿굿,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 5월 15일 수요일,1번째 방문,영수증
공릉제빵소,베이커리,4.43,,,해피  하트,https://m.place.naver.com/my/5f06d2c2848333b0d5c01c77/review?v=2,472,1,,공릉역 지하상가 빵집이에요.저렴하고 맛있어요.,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 7월 19일 금요일,1번째 방문,영수증
공릉제빵소,베이커리,4.43,,,44972,https://m.place.naver.com/my/5fbaf7285ab9986ea4da8135/review?v=2,141,,,친절해요 ^^ 빵도 맛있네요 자주가요,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 6월 16일 일요일,7번째 방문,영수증
공릉제빵소,베이커리,4.43,,,44972,https://m.place.naver.com/my/5fbaf7285ab9986ea4da8135/review?v=2,141,,,크림치즈번 너무 맛있어요..,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 5월 25일 토요일,6번째 방문,영수증
공릉제빵소,베이커리,4.43,,,별그대7,https://m.place.naver.com/my/5f053a33eb8035e99757ee6b/review?v=2,1453,,,빵사먹었어요,,2024년 5월 13일 월요일,2번째 방문,영수증
공릉제빵소,베이커리,4.43,,,별그대7,https://m.place.naver.com/my/5f053a33eb8035e99757ee6b/review?v=2,1453,,,"쌀빵이라 가격이 쫌 있네요
있네요그래도 건강하겠죠",,2024년 4월 8일 월요일,1번째 방문,영수증
공릉제빵소,베이커리,4.43,,,마이예솜,https://m.place.naver.com/my/5c4854b9d4022585554dcbb0/review?v=2,2365,11,,굿,,2024년 6월 17일 월요일,1번째 방문,영수증
공릉제빵소,베이커리,4.43,,,GA66,https://m.place.naver.com/my/60a27ca2ef1af2c48c3c01e6/review?v=2,1099,37,,"빵이 정말 맛있어요🥧🥮🥖🥐
가성비도 좋고 품질이 생각보다 좋더라고요😍","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 2월 21일 수요일,1번째 방문,영수증
공릉제빵소,베이커리,4.43,,,ter****,https://m.place.naver.com/my/5f7977416c3d7f733428c93e/review?v=2,1603,,,굿,,2024년 5월 17일 금요일,3번째 방문,영수증
공릉제빵소,베이커리,4.43,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,, 좋아요 ,,2024년 4월 7일 일요일,2번째 방문,영수증
공릉제빵소,베이커리,4.43,,,44972,https://m.place.naver.com/my/5fbaf7285ab9986ea4da8135/review?v=2,141,,,자주 갑니다~~~ 친절하고 좋아요,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 2월 4일 일요일,3번째 방문,영수증
공릉제빵소,베이커리,4.43,,,44972,https://m.place.naver.com/my/5fbaf7285ab9986ea4da8135/review?v=2,141,,,맛있어요~~ 친절해요~~,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 2월 24일 토요일,4번째 방문,영수증
공릉제빵소,베이커리,4.43,,,ter****,https://m.place.naver.com/my/5f7977416c3d7f733428c93e/review?v=2,1603,,,굿,,2024년 5월 2일 목요일,2번째 방문,영수증
공릉제빵소,베이커리,4.43,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,,좋아요 ,,2024년 3월 27일 수요일,1번째 방문,영수증
공릉제빵소,베이커리,4.43,,,gogog0,https://m.place.naver.com/my/5e71658e8f87a842bcf64aa2/review?v=2,920,,,.,,2024년 2월 24일 토요일,1번째 방문,영수증
공릉제빵소,베이커리,4.43,,,ter****,https://m.place.naver.com/my/5f7977416c3d7f733428c93e/review?v=2,1603,,,굿,,2024년 4월 5일 금요일,1번째 방문,영수증
