가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
공차 월계점,차,4.39,,,4가지 리뷰어,https://m.place.naver.com/my/5e351be98f87a842bcf891a4/review?v=2,4가지 어,,,"앉아서 먹는곳도 있고 이마트 장보고 지칠때 한잔 하면 맛 좋네요
만원 이상 사면 곰도리 물병 준다네요 ㅎㅎ","일시적인 오류가 발생했습니다
차가 맛있어요",2024년 5월 22일 수요일,1번째 방문,영수증
공차 월계점,차,4.39,,,먹뽀야미,https://m.place.naver.com/my/5d09b632cab868e6fcc049ee/review?v=2,148,4,,"미니펄 망고밀크 드디어 먹어봤네요 ㅎㅎ
코코넛우유 맛이 많이 나서 제 취향이였어요😋
자잘자잘하게 씹히는 미니펄도 맛있어용",,2024년 4월 13일 토요일,1번째 방문,영수증
공차 월계점,차,4.39,,,텐트밖자유롭,https://m.place.naver.com/my/5c075fd5cff367cd60f2690d/review?v=2,694,9,,아이들이 좋아하는 음료가 많아요,,2024년 5월 19일 일요일,1번째 방문,영수증
공차 월계점,차,4.39,,,gkeofl8077,https://m.place.naver.com/my/61e6d7da99f7ae1e81b290e2/review?v=2,636,7,,"오랜만에 공차에서 타로 밀크티 먹었네요
맛있었습니다",,2024년 7월 8일 월요일,1번째 방문,영수증
공차 월계점,차,4.39,,,이현정2548,https://m.place.naver.com/my/5e5a632b8f87a842bcd498af/review?v=2,144,,,다양한 상품이 있습니다요~~~~~~~~~~,,2024년 7월 7일 일요일,1번째 방문,영수증
공차 월계점,차,4.39,,,Apricot92,https://m.place.naver.com/my/5c2387f826832f22285a2052/review?v=2,1049,,,옥수수 🌽 강추,"일시적인 오류가 발생했습니다
메뉴 구성이 알차요",2024년 7월 20일 토요일,2번째 방문,영수증
공차 월계점,차,4.39,,,아름비행80,https://m.place.naver.com/my/5f0558dc4d1cf87540aa89a6/review?v=2,843,,,"망고 요구르트 맛있네요.
지금 선착순으로 행사하던데 받고 싶엉ᆢㄷ.","일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 6월 2일 일요일,1번째 방문,영수증
공차 월계점,차,4.39,,,킴야kimya,https://m.place.naver.com/my/5e4a49008f87a842bc94b72d/review?v=2,257,1,,"밀크폼이 먹고 싶었는데
딱히 어울리는 메뉴가 없네...",,2024년 5월 3일 금요일,2번째 방문,영수증
공차 월계점,차,4.39,,,zzinzzang,https://m.place.naver.com/my/5ed5422d8f87a842bc7b1ef1/review?v=2,888,,,"공차 스무디 존맛이에요
초코바른..다시 재출시 원해유ㅠ","일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 4월 17일 수요일,1번째 방문,영수증
공차 월계점,차,4.39,,,네넵33,https://m.place.naver.com/my/5ef6a45f8f87a842bc699563/review?v=2,1560,,,ㅂㅇㅌㅂㅌㅁㅇㅁㅌㅁㅌㅁㅌㄴㅌㅈㅊㅈㄹㄹㅁㄹㅁㄹ,,2024년 7월 8일 월요일,14번째 방문,영수증
