가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
그대로양과자점,케이크전문,4.6,,,만마닝,https://m.place.naver.com/my/5e62d6a68f87a842bc26c61d/review?v=2,69,14,,"미리 예약 DM 다 써놓고 최종확인하다가 보내기를 안 눌러서 멍청비용 3,000원 지출… 하~~~~~
이틀 전에 예약하면 레터링은 서비스로 해주시니 꼭 미리 예약하세요!
역시 케이크도 예쁘고, 무엇보다 사장님 레터링솜씨가 보통이 아니십니다 요번에도 대만족했어요! 글자수가 좀 많은 것 같아 걱정했는데 엄청 깔끔하게 적어주셨어요^^77
귀여운 초랑 모자도 판매 중인데, 요즘 극심한 긴축정책이라 꾹 참았슴다(ㅠㅠ)",,2024년 2월 28일 수요일,2번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,만마닝,https://m.place.naver.com/my/5e62d6a68f87a842bc26c61d/review?v=2,69,14,,급하게 당일레터링 요청 드렸는데 너무 친절하게 응대해 주셔서 기분이 좋았어요! 레터링도 정성들여 예쁘게 해주셔서 대만족…💚🌿 쑥미니케이크 주문했는데 너무 달지도 않고 쑥맛고 진해서 맛있었습니당..😋 미리 예약하면 레터링이 무료여서 다음엔 다른 케이크로 미리 예약하려구요!,,2024년 1월 20일 토요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,에이미다람,https://m.place.naver.com/my/5c1df7f23c851b68898a7a41/review?v=2,763,27,,디저트가 비싸긴하지만 맛있네요,,2024년 5월 12일 일요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,싱싱한싱싱이,https://m.place.naver.com/my/5d972a7a8f87a842bcc9c02c/review?v=2,388,10,,케이크가 가격도 괜찮고 맛있어서 다음에 또 이용하려구요!😃,,2024년 5월 8일 수요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,elvesgirl,https://m.place.naver.com/my/5d229458207afbbfded1a980/review?v=2,80,6,,"기념일마다 케잌 주문제작하는 곳이에요!! 벌써 7번이상 이용한것 같네요~ 항상 다른 디자인과 문구로 케잌 주문했는데 예쁘게 준비해주셔서 감사하게 이용하고있어요.
케잌도 쑥/흑임자/홍미 다 먹어봤는데 건강하고 너무 달지않으면서 맛있어요!!! 앞으로도 계속 애용할게요!♡",,2024년 2월 4일 일요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,최지잉,https://m.place.naver.com/my/5be2eaf218c79b64985d9c4d/review?v=2,831,48,,"우아아아아, 예전에 미니 케이크 예약없이 픽업하고 넘 맛나게 먹었던 기억이 있는데! 이번에는 큰 케이크로 예약해봤어요! 친절하게 응대해주시고 너무 예쁘게 잘 꾸며주셔서 감사드립니다 ♨️ 1호 사이즈라 멘트가 따각따닥 붙어있지만 제가 다 써달라고 부탁드려서 ㅎㅎㅎㅎ 투머치토커 ㅎㅎ 행사 너무 스윗하게 잘 마무리했어요! 다음에도 여기서 살거에요 🩵",,2023년 12월 1일 금요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,윤슬님,https://m.place.naver.com/my/5b9ba92a895f0be2915e9b16/review?v=2,815,1,,,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 4월 10일 수요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,꺌꺌마녀,https://m.place.naver.com/my/5dab27f98f87a842bccf595a/review?v=2,393,,,달지 않고 맛있어요 ㅎㅎ 사람얼굴그림은 비슷해요 ㅋㅋ,,2023년 12월 17일 일요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,EGGIN,https://m.place.naver.com/my/5b9b0c463a055049e92921ee/review?v=2,120,16,,생일케익으로 구입했어요. 작은 크기 케익이 있어서 너무 좋아요~ 한번에 먹고 치울 수 있어서 딱 좋아요! 케익도 맛있고 다음엔 흑임자케익 구입해보고 싶어요. 사장님도 너무 친절하세요:-),,2023년 9월 22일 금요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,사랑비88,https://m.place.naver.com/my/5c8121721cc18ee59755a329/review?v=2,2152,,,너무너무맛있어요,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 12월 28일 목요일,3번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,굿굿ㄸ,https://m.place.naver.com/my/5dd392d08f87a842bcb57f24/review?v=2,245,,,"사장님 친절하시고 케이크 맛있고 디저트 맛있어요~
","일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 12월 17일 일요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,츄러스9137,https://m.place.naver.com/my/5da97d828f87a842bca3e2cf/review?v=2,766,27,,친절하시고 케이크도 완전 맛있어요!!!ㅎㅎㅎ,,2023년 11월 1일 수요일,3번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,꿀돼에지,https://m.place.naver.com/my/5f6d53b6da759039175aba01/review?v=2,163,,,"크리스마스때 케익 처음 사먹어보고 
너무 너무 맛있어서
어머님 생신때도, 저희 딸 첫 생일때도 
그대로양과자점에서 케익 했어요! (각각 다른 맛)
크리스마스때 홍미벨벳 케익 시트랑 크림이
너무 부드럽고 맛있었는데 
어머님 생신때 주문한건 선물 드려서 
저희가 못먹어 봤지만 아마 엄청 맛있었을거에요!ㅋㅋ
딸 생일때 주문한 쑥 크림 케익도
진짜 너무 맛있게 잘먹었습니다💖",,2023년 5월 28일 일요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,사랑비88,https://m.place.naver.com/my/5c8121721cc18ee59755a329/review?v=2,2152,,,.,,2023년 11월 23일 목요일,2번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,joo****,https://m.place.naver.com/my/5f71b5926c3d7f733449a571/review?v=2,104,7,,케이크는 항상 이곳에서!💙,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 8월 9일 수요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,epg****,https://m.place.naver.com/my/5d11cf585868d438fb1f4365/review?v=2,1765,,,감사합니다,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 5월 19일 일요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,tjs31,https://m.place.naver.com/my/5efe465815c4bcd43058fcc0/review?v=2,328,39,,"요즘 이만한 퀄리티에 이만한 가격인 곳이 없다고 생각했는데 아니었습니다 일단 케익 종류가 평범하지 않은데 취향에 잘 맞았습니다 스페셜 미니 사이즈 주문해 3명이서 먹기 딱 좋았고 가격대도 완전 괜찮습니다 맛은 말해 뭐해고요 시트가 굉장히 부드럽고 쑥과 인절미크림이 너무 맛있습니다 맛과 멋, 비주얼에 가격까지 전부 다 만족스럽습니다",,2023년 3월 17일 금요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,susie s,https://m.place.naver.com/my/5c29dc260f3f6167e968501c/review?v=2,2488,185,,쑥 케이크도 먹고싶고 흑임자 케이크도 먹고싶고..고민하다가 미니 사이즈로 2개 다 구입ㅎㅎ 크림이 많이 달지 않고 시트도 촉촉해서 너무 맛있어요. 가게가 좁은 골목안에 위치해있고 주차하기도 불편하지만 찾아가서 먹을만 하네요!!,,2023년 1월 8일 일요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,츄러스9137,https://m.place.naver.com/my/5da97d828f87a842bca3e2cf/review?v=2,766,27,,조아요오오옹,,2023년 7월 7일 금요일,2번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,난다요21,https://m.place.naver.com/my/5c1906862244ccf4ec20febe/review?v=2,1401,6,,좋아요~,,2023년 8월 22일 화요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,메르미,https://m.place.naver.com/my/5d363726a7df8a5ce64f150b/review?v=2,169,,,맛있어용~,,2023년 8월 5일 토요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,어몽어미,https://m.place.naver.com/my/5c0be9a4c10cb6f19ebe9556/review?v=2,170,,,"우리집 양반은 단걸 안좋아하는데
아주 적당히 기분좋게 단맛이라며
맛있게 잡수셨어요
다음에는 당케와 레드벨벳도 먹어봐야겠어요
몸에 좋고 맛도 좋은 케익 오래오래
만들어주세요^^
맛있게 잘 먹었습니다",,2022년 12월 24일 토요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,Qkfmfmfmds,https://m.place.naver.com/my/5bf2d6045316cb65de5ae7c6/review?v=2,105,,,너무 달지 않고 예쁘고 맛있다고 다들 좋아했어요 다음 기념일에 또 재구매 예정입니다 ☺️,"일시적인 오류가 발생했습니다
친절해요",2023년 2월 4일 토요일,1번째 방문,영수증
그대로양과자점,케이크전문,4.6,,,우리집포동이,https://m.place.naver.com/my/5bb2e61f2b14edc35700cfd6/review?v=2,888,25,,달지않고 건강한 케잌맛이예요~! 자주 방문할께요,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2023년 2월 16일 목요일,1번째 방문,결제내역
그대로양과자점,케이크전문,4.6,,,뀨찌42,https://m.place.naver.com/my/5c04cb62282dbb2dec5941e4/review?v=2,1048,18,,ㆍ,"일시적인 오류가 발생했습니다
친절해요",2023년 5월 14일 일요일,1번째 방문,영수증
