가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
금성다방,"카페,디저트",,,,해바라기9399,https://m.place.naver.com/my/5ce62e74d015395d779a8194/review?v=2,685,42.0,,수박쥬스 먹구 싶었는데 세상에 둘도 없는 시원하고 달콤달콤한 꿀수박이구요 팥빙수도 2인분인데 양도 엄청난데 비주얼도 퀄러티도 좋구요 고급스러워요. 이런 습하고 더운 장마철에 최고의 힐링이네요.,,2024년 7월 6일 토요일,6번째 방문,영수증
금성다방,"카페,디저트",,,,해바라기9399,https://m.place.naver.com/my/5ce62e74d015395d779a8194/review?v=2,685,42.0,,아인슈페너 오늘은 이걸로 넘 맛있게 먹었어요. 철길 걷다보면 꼭  들어오게 되는 곳 이에요. 우리 동네 보물!!! 커피맛은 물론 최고이구요 커피와 참외가 담긴 쟁반도 이쁘고 사장님 마음은 더 이쁜 곳인데 금성다방에서 틀어주시는 음악도 힐링 되고 다 만족스러운 곳이에요.,,2024년 6월 3일 월요일,5번째 방문,결제내역
금성다방,"카페,디저트",,,,척54,https://m.place.naver.com/my/5f043b06f6f8b30a53303a11/review?v=2,420,,,"차를 좋아하는 친구들이랑 갈만한 곳 없나 찾던 중 찾아버렸지요..후후✨️ 사장님도 너무 친절하시고 인테리어, 찻잔들도 너무 예뻐서 갈때마다 행복해요😊😊 당연히 음식들 맛은 쵝오👍👍👍 항상 번창하세요🤩🤩",,2024년 7월 10일 수요일,1번째 방문,영수증
금성다방,"카페,디저트",,,,해바라기9399,https://m.place.naver.com/my/5ce62e74d015395d779a8194/review?v=2,685,42.0,,오늘은 엄마하고 와서 수박쥬스 생강차 딸기라떼 주문했는데 다 맛있구요 매일 오고 싶은 휴식처예요. 저희 엄마도 아주 만족해하셨어요.,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 7월 7일 일요일,7번째 방문,영수증
금성다방,"카페,디저트",,,,해바라기9399,https://m.place.naver.com/my/5ce62e74d015395d779a8194/review?v=2,685,42.0,,오늘도 힐링하고 가요. 늘 고마워요.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 27일 토요일,8번째 방문,영수증
금성다방,"카페,디저트",,,,해바라기9399,https://m.place.naver.com/my/5ce62e74d015395d779a8194/review?v=2,685,42.0,,아보카도케잌과 아아 넘나 맛있구요 제철과일음료 수박쥬스랑 케모마일도 최고예요. 힐링노래들과 사장님의 배려와 정감이 느껴지는 금성다방은 제 안식처 같은 소중한 곳이에요.,,2024년 6월 2일 일요일,4번째 방문,영수증
금성다방,"카페,디저트",,,,별다방1036,https://m.place.naver.com/my/5e313de88f87a842bcf383cc/review?v=2,19,2.0,,"단골로 이용하는 카페입니다.
커피도 맛있고 디저트도 맛있는 곳이에요
참고로 케잌이 넘 맛있어요. 여름되면 빙수까지 판매해서 애용하는 곳이에요^^ 
매장이 넓어서 여러명 가도 좋아요
강추해요
강추해요 ",,2024년 4월 17일 수요일,1번째 방문,영수증
금성다방,"카페,디저트",,,,해바라기9399,https://m.place.naver.com/my/5ce62e74d015395d779a8194/review?v=2,685,42.0,,생강라떼와 유자차가 진하구 부드럽네요. 커피도 좋지만 음료도 진정성있는 금성다방에서 힐링하곤 해요. 시원하고 달달한 참외까지 주시구 쎈쓰 만점 사장님이 계신 곳이기도 해요.,,2024년 5월 28일 화요일,3번째 방문,영수증
금성다방,"카페,디저트",,,,lys****,https://m.place.naver.com/my/5c6501fef58679ad83646b15/review?v=2,1151,1.0,,금성다방 레토로감성 카페네요~~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 3일 월요일,1번째 방문,영수증
금성다방,"카페,디저트",,,,Alvarin,https://m.place.naver.com/my/5cb2c0ee8def107199d70bfc/review?v=2,64,,,"1. 사장님이 굉장히 친절하세요
2. 옛 골동품들로 만들어진 인테리어가 특색있어요",,2024년 6월 29일 토요일,1번째 방문,결제내역
금성다방,"카페,디저트",,,,,https://m.place.naver.com/my/theme/63578086032d5e7d73b1db3b?v=2,,,,,,,,
금성다방,"카페,디저트",,,,,https://m.place.naver.com/my/theme/64e1dee8bbfc2d9e98e427c9?v=2,,,,,,,,
금성다방,"카페,디저트",,,,jiw****,https://m.place.naver.com/my/640d88fa2745105d47a111f3/review?v=2,220,,,맛있고 분위기 좋고 특별한 메뉴들이 많아서 즐기다가요~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 11일 토요일,1번째 방문,영수증
금성다방,"카페,디저트",,,,ibmFlexMono,https://m.place.naver.com/my/5eff25d8a7f1cdd89fefabde/review?v=2,287,,,친절하신 사장님과 생각보다 쾌적한 매장 자리까지 집 근처에 이런 곳이 있다는 게 참 좋습니다,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 27일 토요일,1번째 방문,영수증
금성다방,"카페,디저트",,,,gra****,https://m.place.naver.com/my/5ef9a8828f87a842bcabc96e/review?v=2,349,,,"인테리어도  갬성있고. 편안하네요
커피도 맛나고 좋아요","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 3일 월요일,1번째 방문,영수증
금성다방,"카페,디저트",,,,해피바이러스0903,https://m.place.naver.com/my/5eacf1528f87a842bcfc1975/review?v=2,2643,49.0,,"금성다방 친절하고 복고풍으로 인테리어~
정적이고 좋아요
커피.음료.케이크 모두 강추입니다
자주갑니다",,2024년 3월 24일 일요일,1번째 방문,영수증
금성다방,"카페,디저트",,,,msh****,https://m.place.naver.com/my/5f1b08699ec8258e4aa5cd31/review?v=2,435,1.0,,"쌍화차 맛좋아요~
언제나 친절하신 사장님 감사합니다~^^","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 28일 목요일,4번째 방문,영수증
금성다방,"카페,디저트",,,,얌순이76,https://m.place.naver.com/my/5e8ecb578f87a842bc0caf0e/review?v=2,962,22.0,,커피맛은 좀 흐렷지만 분위기가 편안하니 좋았음^^,,2024년 5월 20일 월요일,1번째 방문,영수증
금성다방,"카페,디저트",,,,해바라기9399,https://m.place.naver.com/my/5ce62e74d015395d779a8194/review?v=2,685,42.0,,금성라떼와 딸기라떼 귀여운곰돌이케잌까지  넘나 맛있어요.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 8일 수요일,2번째 방문,영수증
금성다방,"카페,디저트",,,,가짜리뷰는 없는남자,https://m.place.naver.com/my/5be7a30bf6d0373e150e9155/review?v=2,가짜는 없는남자,,,"레트로감성카페인데
아직  새것느낌이   ㅎㅎ   
잘마시고갑니다",,2024년 4월 10일 수요일,1번째 방문,영수증
금성다방,"카페,디저트",,,,해바라기9399,https://m.place.naver.com/my/5ce62e74d015395d779a8194/review?v=2,685,42.0,,요기 단골각이에요. 다 맘에 들어요.,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 5월 2일 목요일,1번째 방문,영수증
금성다방,"카페,디저트",,,,점시견참적지전,https://m.place.naver.com/my/5d3138dc7b6cd729038f54e5/review?v=2,524,,,^^,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 28일 일요일,1번째 방문,영수증
금성다방,"카페,디저트",,,,,https://m.place.naver.com/my/theme/63578086032d5e7d73b1db3b?v=2,,,,,,,,
금성다방,"카페,디저트",,,,,https://m.place.naver.com/my/theme/64e1dee8bbfc2d9e98e427c9?v=2,,,,,,,,
금성다방,"카페,디저트",,,,YooBiE,https://m.place.naver.com/my/5ddb4f5a9ec8258e4a44978b/review?v=2,179,,,"인테리어가 너무 예뻐요 :)
사장님도 친절하세요😀
","일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 3월 1일 금요일,1번째 방문,영수증
금성다방,"카페,디저트",,,,후앙홍,https://m.place.naver.com/my/5bae022da7ee1a5cf3bc0042/review?v=2,48,,,분위기가 아늑하고 좋아요 ㅎㅎ 유자차에 레몬이랑 오렌지 띄워주시는 것도 센스있고 과일까지 주시네요! 아주 만족합니다,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 3월 17일 일요일,1번째 방문,영수증
금성다방,"카페,디저트",,,,msh****,https://m.place.naver.com/my/5f1b08699ec8258e4aa5cd31/review?v=2,435,1.0,,"오랜만에 친구들과 방문해 쌍화차주문
늘 사과를 서비스로 함께 주세요~
사장님 무척 친절하시답니다~^^","일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 1월 26일 금요일,3번째 방문,영수증
금성다방,"카페,디저트",,,,초코와플59,https://m.place.naver.com/my/5efe1d03b4dd01caff0a07e9/review?v=2,18,,,저만 알고싶은 동네 맛집 카페입니다 맛없는게 없어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 24일 일요일,2번째 방문,결제내역
금성다방,"카페,디저트",,,,nene30,https://m.place.naver.com/my/5f057866532b4ce788cd9123/review?v=2,571,,,너무 친절하세욤,,2024년 5월 27일 월요일,1번째 방문,영수증
금성다방,"카페,디저트",,,,soo2win,https://m.place.naver.com/my/61bc573127c8616048e4bc0d/review?v=2,772,,,,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 22일 수요일,9번째 방문,영수증
금성다방,"카페,디저트",,,,마성녀,https://m.place.naver.com/my/5b8657df77f5120aea55c5d1/review?v=2,1080,,,"사장님 엄청 친절하시고
쌍화탕
맛있어요","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 9일 화요일,1번째 방문,영수증
