가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
꽃피앙,"카페,디저트",,,,SukieDukie,https://m.place.naver.com/my/5f0580488f87a842bca47a29/review?v=2,28,,,"인테리어, 디저트, 음료 뭐 하나 빠지지 않는 이색 카페에요!!! 😍 개인적으로 개성주악이나 약과 같은 한과 종류를 매우 좋아하는데 화과자 맛집이 없어서 돌아다니던 와중에 럭키하게 발견한 새 카페에요 ㅎㅎ 화과자 하나하나 정성 가득이도 음료도 과일청 아끼지 않고 듬뿍 넣어주셔서 처음부터 끝까지 똑같은 맛으로 마실 수 있었어용☺️ 
데이트 장소로도 친목 장소로도 최적이라구 생각해요 얘기 편하게 나누면서 맛난 화과자 잘 먹구 갑니당💓💓",,2024년 7월 20일 토요일,1번째 방문,영수증
꽃피앙,"카페,디저트",,,,hhhh6053,https://m.place.naver.com/my/5e69c7db8f87a842bc085f26/review?v=2,14,,,"화과자 종류가 다양하고 다 예뻐서 고르기 힘들 정도였어요😭 말차소, 유자소, 백엉금소 등 다양하구요! 할미입맛 저격!!! 생각보다 덜 달고 식감도 너무 재밌어서 신기함 경험이었습니다! 재방문의사 200% 있구요!! 10구 포장도 되니까 나중에 교수님 드릴 선물 사러 또 와야겠어용‼️ 사장님도 너무 친절핫세요☺️
+내부 인테리어도 최고에요!! 데이트, 부모님 모시고 오기 좋은 곳이에요",,2024년 7월 14일 일요일,1번째 방문,영수증
꽃피앙,"카페,디저트",,,,616****,https://m.place.naver.com/my/600faf389168ed91b7746c0c/review?v=2,22,,,"선물용으로 구입하러갔는데
실물이 너무 예뻐서 놀랐습니다
가게 분위기도 너무 예뻐서 다음에는 매장에서 먹고가보려고요",,2024년 7월 19일 금요일,1번째 방문,영수증
꽃피앙,"카페,디저트",,,,여미846,https://m.place.naver.com/my/5e11d8668f87a842bc1f82a5/review?v=2,16,,,"화과자 이쁜 곳 있다고 해서 한 번 와봤는데, 넘 귀엽고 오밀조밀 이뻐요ㅠㅠㅠㅠㅠ💓카페 분위기도 아늑하고 친구랑 오기 딱 좋은거 같아요 ! 창쪽에 있는 테이블에 앉았는데 바깥 보면서 수다떨기 딱이에용 ~ 말차, 유자, 백앙금 시켜봤는데 가 맛있어요! 제 픽은 유자 1등✨️👍 사장님 또 올게요 ~~~",,2024년 6월 1일 토요일,1번째 방문,영수증
꽃피앙,"카페,디저트",,,,ozc****,https://m.place.naver.com/my/62d28dfe045d741ec17cc0f7/review?v=2,13,,,"토끼화과자 너무 귀여워요 음료도 너무 예쁨♡
가게도 너무 예뻐서 또 오고싶어요","일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 7월 14일 일요일,1번째 방문,영수증
꽃피앙,"카페,디저트",,,,nan35,https://m.place.naver.com/my/5d71a03e8f87a842bc14ebee/review?v=2,281,,,매장이 알차게 구성되어 있어요~! 화과자 파는 것도 독특하고 보기에도 엄청 예뻐요! 자주 오고 싶은 곳이에요,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2024년 7월 5일 금요일,1번째 방문,영수증
꽃피앙,"카페,디저트",,,,비둘기5호,https://m.place.naver.com/my/5b63f5dbe6415377690484f8/review?v=2,9,,,"화과자 종류가 정말 다양하구 예뻐요🥺🥺 맛있는 건 말할 필요도 없구 사장님들도 너무 친절하셔서 엄마랑 기분 좋게 데이트했네요❤️❤️ 공릉에 이런 곳이 있는 줄 몰랐는데, 좀 더 많이 알려졌으면 좋겠습니다!!! 자주 놀러올게요 번창하세요🥰😍🥰",,2024년 6월 9일 일요일,1번째 방문,영수증
꽃피앙,"카페,디저트",,,,whdmswjdjo,https://m.place.naver.com/my/5c9270ff3d52d9d709a42751/review?v=2,223,,,"음료도 다저트도 다 맛나서 오면 항상 뭘 먹을까 고민하게 되네요^^
아들이 좋아하는 토끼화과자는 올 때마다 매일 사가요 👍 잘 먹을게요~^^",,2024년 5월 30일 목요일,2번째 방문,영수증
꽃피앙,"카페,디저트",,,,해피쏭7228,https://m.place.naver.com/my/5eb565348f87a842bcfc74ac/review?v=2,1086,61,,"올만에 화과자
너무 정겨워서 들어왔어요
너무너무 이뻐요
어터케 먹지?하면서 이것저것
이뿌다면서 아앙~~~ㅋㅋㅋ
속에 앙금 색두 너무 예뻐요
예쁜데 맛있는건 어쩌죠?
다 먹어보고싶지만
욕심이죠?
너무 기분이 좋아졌어요
맛있는거 먹었으니 훨훨 날아가볼까요?",,2024년 5월 31일 금요일,1번째 방문,영수증
꽃피앙,"카페,디저트",,,,대기업회장엄마,https://m.place.naver.com/my/5b645dbe06dca791a1f36ddd/review?v=2,1708,275,,"대기업회장엄마😄
우리동네에서 멀지 않은 꽃피앙🌸
드디어 방문했어요.
처음 알았을때 솔드아웃
그리고 인스타 팔로우하고 보다가 드디어 방문했어요.
날 좋은 토요일이라 그런지 역시 가게 안은 꽉 찼어요.
매장에서 보니 너무너무 예쁜 디저트에 눈이 돌아가지 않을수가 없더라고요.
안에 앙꼬도 여러가지 맛이고 달지않고 예쁘고 맛있는 디저트였어요.
",,2024년 4월 10일 수요일,1번째 방문,결제내역
