가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
나무늘보 카툰&북카페,북카페,4.42,,,Alvarin,https://m.place.naver.com/my/5cb2c0ee8def107199d70bfc/review?v=2,64,,,"어딘가 굉장히 특이합니다.

다양한 만화가 있지만 최신 만화가 다 있는지는 잘 모르겠습니다...

불편한 점으로는 실내가 굉장히 더운 것과, 굳이 지정해 주시는 방으로 들어가서 시간을 보내야 하는 점이 있었습니다. 

원하는 자리가 있는데도 더운 구석을 사용하라고 하셔서 조금 불편하게 사용하였고 재방문이 꺼려지는 것이 사실입니다.",,2024년 7월 12일 금요일,1번째 방문,결제내역
나무늘보 카툰&북카페,북카페,4.42,,,양양485,https://m.place.naver.com/my/5e479a908f87a842bcaac268/review?v=2,1770,1,,아이랑 처음으로 간곳인데 깔끔하고 책 종류도 많네요^^ 다만 먹는 음식을 나와서 식탁에서 먹어야  하는 것은 좀 아쉬워요~,,2024년 3월 14일 목요일,1번째 방문,영수증
나무늘보 카툰&북카페,북카페,4.42,,,부천후후,https://m.place.naver.com/my/5d08b4bcaeba04d9e4b761cc/review?v=2,932,,,여사님들이 하시는데 음식들이 맛있고 친절하세요,"일시적인 오류가 발생했습니다
매장이 넓어요",2024년 3월 9일 토요일,1번째 방문,결제내역
나무늘보 카툰&북카페,북카페,4.42,,,또뜌띠,https://m.place.naver.com/my/5b752f896393fdd1baf997a6/review?v=2,577,,,"아주머니 두분이서 운영하셔서 깨끗하긴한데
자율도가 현저히 떨어집니다
손님을 본인들이 컨트롤 하고 싶어하세요.
책 읽을 곳 부터 하나하나 다 정해주셔서 
주인분들의 통제가 너무 심하다 보니 만화방 쉬러 간 건지 강제 책읽기 모임 간 건지 분위기가 헷갈립니다. 
수시로 슬리퍼 정리 해주시는데 오히려 너무 자주 돌아다니셔서 불편하고요
손님들 좀 그냥 편하게 내버려두셔도 좋을 것 같아요",,2023년 11월 7일 화요일,1번째 방문,영수증
나무늘보 카툰&북카페,북카페,4.42,,,흰둥이흰둥이이,https://m.place.naver.com/my/5deb661e9ec8258e4aeb10f7/review?v=2,184,16,,여자친구랑 갔는데 만화책& 책 읽기 좋았네요!,,2023년 11월 4일 토요일,1번째 방문,결제내역
나무늘보 카툰&북카페,북카페,4.42,,,사랑비88,https://m.place.naver.com/my/5c8121721cc18ee59755a329/review?v=2,2152,,,.,"일시적인 오류가 발생했습니다
친절해요",2023년 11월 25일 토요일,1번째 방문,영수증
나무늘보 카툰&북카페,북카페,4.42,,,yum3521,https://m.place.naver.com/my/5cfae91545289b4caa9162c5/review?v=2,4,1,,"아이들이 이용하기는 좋습니다
일 하시는 분들이 연령대가 높습니다
아이들에게는 어머니들처럼 친절하시고 잘 챙겨주시는 듯 합니다
화장실이 예전에는 안에 있어서 편했는데 지금은 매장 밖으로 나가서 비번을 누르도록 바뀌었습니다
책들이 늘 그대로여서 자주가면 읽었던 것 또 읽어야 합니다
칸막이안에 룸으로 들어가면 여름에는 덥다고 느낄 수 있습니다. 룸밖은 시원합니다.
탄산음료 추가로 시키면서 얼음컵 말씀드리니
새로오신 직원분이라 잘 모르셨는지..
텀블러 컵에 얼음을 넣어서 주셨는데
고객들 앞에서 면박 주셔서 조금 불쌍했네요.
원래 시스템은 얼음컵은 주지 않는거 같아요.
일회용 커피 자판기에서 나오는 종이컵에
얼음을 담아주십니다.
300g 탄산음료를 따라서 먹기는 불편했습니다.
실내 슬리퍼 방향을 수시로 바꿔주십니다",,2023년 8월 15일 화요일,1번째 방문,영수증
나무늘보 카툰&북카페,북카페,4.42,,,구재54,https://m.place.naver.com/my/5de11cc89ec8258e4a32e703/review?v=2,18,,,"룸이 커튼도 다 안 닫혀 프라이버시도 없습니다
룸이 너무 작아서 170인 제가 다리를 펼 수도 없었는데 
자리를 옮기는 것도 안됩니다
쿠션이 작은거 두 개 밖에 없어서 목과 허리가 아팠습니다
담요를 쓰고 싶었는데 대여비를 내야 해서 그냥 있었네요
한 시간에 청소년 요금 6500원 나왔습니다
처음 와봤는데 가격도 비싸고 자리도 별로네요.
시간 떼우는거라고 해도 다시 올 생각 없습니다",,2023년 8월 5일 토요일,1번째 방문,영수증
나무늘보 카툰&북카페,북카페,4.42,,,아르뎅님,https://m.place.naver.com/my/5e5a001b8f87a842bc9c3554/review?v=2,22,2,,ㅋㅋㅋㅋㅋㅋ  음료와 세트 같은건 회원이 되야만 가능한데 회원 되려면 10 번 방문해야함 ㅋㅋㅋ 결국 1 시간에 3600 원씩만 가능하다는 얘기고. 담요 쓰는데 500 원은 첨 봤네. 이러다 보니 아무도 없고 우리만 있었는데 나갔다 들어올때마다 슬리퍼 정리하러 뛰어오시니 눈치보이고 부담스러움. 흡연실 없음. 근데 나가면 어린이집 있는데 알아서 하라하심 ;; 짜파구리 8000원 ㅎㅎ 요새 다 이러는지 잘 모르겠는데 재방문은 안할듯. ,,2023년 7월 19일 수요일,1번째 방문,결제내역
나무늘보 카툰&북카페,북카페,4.42,,,넥슬라이스바스키,https://m.place.naver.com/my/5c5d7d2fee9bb7fa393a660a/review?v=2,15,,,처음 와봤는데 음료 구매가 강제가 아니라는 점에서 놀랐고 내부가 매우 청결하네요 중간에 잠깐 시간 때우기 좋네요 가격도 저렴한 것 같아 추천합니다,,2023년 5월 9일 화요일,1번째 방문,결제내역
