가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
내방,테이크아웃커피,4.62,,,달빛향기33,https://m.place.naver.com/my/5d46c4e58f87a842bc3ff731/review?v=2,622,9.0,,라떼 맛나요,,2024년 2월 27일 화요일,1번째 방문,영수증
내방,테이크아웃커피,4.62,,,은영양,https://m.place.naver.com/my/5b692dff93d45cdd4d973447/review?v=2,1068,18.0,,"네이버 페이 결제로 처음이라 헤맸는데
친절하게 설명해주셨어요
소아과앞 커피숍이라
손님이 많네요
",,2023년 10월 29일 일요일,2번째 방문,매장주문
내방,테이크아웃커피,4.62,,,yuk****,https://m.place.naver.com/my/5cd04fdc9f1ae10fb7e4ad84/review?v=2,316,,,"파베 생초코릿 판매해서 너무 좋아요❤
사장님 친절하심^^",,2023년 11월 10일 금요일,1번째 방문,영수증
내방,테이크아웃커피,4.62,,,aps****,https://m.place.naver.com/my/5e3675aa8f87a842bc502735/review?v=2,120,7.0,,냉침한 밀크티는 아니지만 밀크티가 맛있어요,"일시적인 오류가 발생했습니다
음료가 맛있어요",2023년 7월 12일 수요일,2번째 방문,포장주문
내방,테이크아웃커피,4.62,,,aps****,https://m.place.naver.com/my/5e3675aa8f87a842bc502735/review?v=2,120,7.0,,디카페인밀크티가 있어서 너무 좋아요,"일시적인 오류가 발생했습니다
음료가 맛있어요",2023년 7월 4일 화요일,1번째 방문,포장주문
내방,테이크아웃커피,4.62,,,태 두리,https://m.place.naver.com/my/5efe521d70860aac07159537/review?v=2,206,7.0,,"산부인과 건물 1층인지 작은 카페인데도 디카페인을 판매해서 좋고, 가격도 저렴해요 :)",,2023년 2월 18일 토요일,1번째 방문,영수증
내방,테이크아웃커피,4.62,,,o오션o,https://m.place.naver.com/my/5b9b2786eb7f80aba409594f/review?v=2,54,6.0,,"공릉동 레몬에이드를 찾아헤매다 정착!
싱싱한 레몬을 즉시 착즙해서 탄산에 섞어주는데... 크으.. 
설탕에 절인 레몬청이 아니라 생과일 착즙이라 비타민C 제대로 흡입 하고플 때 강추요. 
사장님도 친절하시고~ 
가게 앞에 큰 텐트에서 먹으면 
놀러 온 기분도 들고 :)
(여기 크러플도 있는데 주문 즉시 만드니까 미리 예약하면 좋은데... 넘나 맛있.. ㅜ^ㅜ)",,2022년 9월 30일 금요일,1번째 방문,영수증
내방,테이크아웃커피,4.62,,,mimimiim,https://m.place.naver.com/my/5fd19a9b8bfd216f946986ea/review?v=2,1669,,,커피 맛있습니다👍🏻,,2023년 2월 8일 수요일,1번째 방문,포장주문
내방,테이크아웃커피,4.62,,,o오션o,https://m.place.naver.com/my/5b9b2786eb7f80aba409594f/review?v=2,54,6.0,,"카페인도 아닌 것이 마시면 프레쉬한 각성효과 있어요. ㅋ
싱싱한 착즙으로 생레몬에이드라 건강도 좋아지는 느낌? 텐션이 자동 올라가네요^^

내방 = 레몬에이드 맛집!",,2022년 10월 4일 화요일,2번째 방문,영수증
내방,테이크아웃커피,4.62,,,짱짱짱955,https://m.place.naver.com/my/617e578026e54129ddedd353/review?v=2,1597,,,친절하고 달콤한 초콜릿 부터 다크 초콜릿까지 기호에 맞춰 구매할 수 있어 좋아요,,2022년 10월 21일 금요일,2번째 방문,영수증
내방,테이크아웃커피,4.62,,,조이life,https://m.place.naver.com/my/5ed3d1a68f87a842bcdbab7b/review?v=2,292,45.0,,"라떼맛집!! 맛있다는데서 많이 마셔봤지만
가성비도 왕굿! 넘나맛있는 라떼♡
","일시적인 오류가 발생했습니다
친절해요",2022년 4월 20일 수요일,11번째 방문,포장주문
내방,테이크아웃커피,4.62,,,보라공주456,https://m.place.naver.com/my/5d451dd90e0311ba9c421b49/review?v=2,8,,,"맛도 좋은데 가성비도 좋아요
친절한 사장님","일시적인 오류가 발생했습니다
커피가 맛있어요",2022년 9월 7일 수요일,1번째 방문,포장주문
내방,테이크아웃커피,4.62,,,조이life,https://m.place.naver.com/my/5ed3d1a68f87a842bcdbab7b/review?v=2,292,45.0,,"라떼마시러 종종가는 단골카페에요♡차로 10분안팤인데
맛있어서 자꾸만가게되는 라떼맛집 아이파베스생초코릿도 맛있어요!!",,2022년 5월 16일 월요일,13번째 방문,포장주문
내방,테이크아웃커피,4.62,,,세딸맘쟌,https://m.place.naver.com/my/5d317b7baa99234c89224b0d/review?v=2,1323,,,굿,,2022년 11월 27일 일요일,1번째 방문,영수증
내방,테이크아웃커피,4.62,,,풍성한은혜,https://m.place.naver.com/my/617232cb55393f4d86c02818/review?v=2,420,,,굿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2022년 7월 25일 월요일,3번째 방문,영수증
내방,테이크아웃커피,4.62,,,hir****,https://m.place.naver.com/my/5ebf8e388f87a842bc8399f7/review?v=2,272,,,생쵸콜렛넘맛있어용🧡,"일시적인 오류가 발생했습니다
커피가 맛있어요",2022년 6월 24일 금요일,1번째 방문,영수증
내방,테이크아웃커피,4.62,,,짱짱짱955,https://m.place.naver.com/my/617e578026e54129ddedd353/review?v=2,1597,,,초콜렛 선물하기 좋아요,,2022년 5월 12일 목요일,1번째 방문,영수증
내방,테이크아웃커피,4.62,,,oy2745,https://m.place.naver.com/my/6170f49e8488a0b921453072/review?v=2,454,,,좋아요 ,,2022년 7월 25일 월요일,3번째 방문,영수증
내방,테이크아웃커피,4.62,,,풍성한은혜,https://m.place.naver.com/my/617232cb55393f4d86c02818/review?v=2,420,,,굿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2022년 5월 30일 월요일,1번째 방문,영수증
내방,테이크아웃커피,4.62,,,해피바이러스0903,https://m.place.naver.com/my/5eacf1528f87a842bcfc1975/review?v=2,2643,49.0,,"첫방문
맛있어요","일시적인 오류가 발생했습니다
디저트가 맛있어요",2022년 4월 28일 목요일,2번째 방문,영수증
내방,테이크아웃커피,4.62,,,풍성한은혜,https://m.place.naver.com/my/617232cb55393f4d86c02818/review?v=2,420,,,굿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2022년 6월 2일 목요일,2번째 방문,영수증
내방,테이크아웃커피,4.62,,,oy2745,https://m.place.naver.com/my/6170f49e8488a0b921453072/review?v=2,454,,,좋아요 ,,2022년 6월 2일 목요일,2번째 방문,영수증
