가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
달리는커피 공릉숲길점,카페,,,,봉봉쓰28,https://m.place.naver.com/my/5e6c73f88f87a842bce05cad/review?v=2,2809,,,"새로생긴 후 들려야지했다가 오늘 들렸습니다 ㅎ
음료가 다 맛있네요^^
위치도 좋아서 철길 지날때 자주 올것같아요",,2024년 5월 18일 토요일,1번째 방문,결제내역
달리는커피 공릉숲길점,카페,,,,yopp57,https://m.place.naver.com/my/5efec117493ad9a9a0ec2983/review?v=2,607,,,좋아요 좋아요 친절하세요,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 7월 19일 금요일,1번째 방문,결제내역
달리는커피 공릉숲길점,카페,,,,쿠D쿠,https://m.place.naver.com/my/5e4364cf8f87a842bc5c8a79/review?v=2,13,,,"사진은 깜박함 ㅎ;;

점심겸 간식으로 주문했는데 너무 맛있고 같이 먹은 사람들 평도 너무 좋아서 다시 시킬꺼같아요~

",,2024년 6월 19일 수요일,1번째 방문,영수증
달리는커피 공릉숲길점,카페,,,,모토14,https://m.place.naver.com/my/5f8db408c9d61226d0724730/review?v=2,14,,,"새로 생긴 집이라 다녀왔어요

양 많고 야채가 싱싱해서 맛있게 먹었네요

다만 샌드위치랑 샐러드 주문시 미리 전화를 해야겠어요

그리고 3월31일까지 아메리카노 1000원 이래요",,2024년 3월 18일 월요일,1번째 방문,결제내역
달리는커피 공릉숲길점,카페,,,,동화26,https://m.place.naver.com/my/5efea79368401871104eed2e/review?v=2,720,,,커피 맛있어요,,2024년 3월 27일 수요일,1번째 방문,영수증
달리는커피 공릉숲길점,카페,,,,Friday1,https://m.place.naver.com/my/5e4922ab8f87a842bcfaa817/review?v=2,20,,,연어샌드위치 주문했는데 너무 비려서 못먹겠어요,,2024년 3월 16일 토요일,1번째 방문,결제내역
달리는커피 공릉숲길점,카페,,,,김쑤48,https://m.place.naver.com/my/5b9a22a1c3bd15df7690d147/review?v=2,65,,,샌드위치 샐러드 너무 맛있어요😍,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 15일 금요일,1번째 방문,영수증
달리는커피 공릉숲길점,카페,,,,epg****,https://m.place.naver.com/my/5d11cf585868d438fb1f4365/review?v=2,1765,,,시럽돈추가되네요;,,2024년 3월 31일 일요일,3번째 방문,영수증
달리는커피 공릉숲길점,카페,,,,pjw4051,https://m.place.naver.com/my/5d417b688a9fdc34f966f14f/review?v=2,1432,,,좋아요,,2024년 4월 14일 일요일,1번째 방문,영수증
달리는커피 공릉숲길점,카페,,,,epg****,https://m.place.naver.com/my/5d11cf585868d438fb1f4365/review?v=2,1765,,,커피행사조어요,,2024년 3월 24일 일요일,1번째 방문,영수증
달리는커피 공릉숲길점,카페,,,,epg****,https://m.place.naver.com/my/5d11cf585868d438fb1f4365/review?v=2,1765,,,조아여,,2024년 3월 27일 수요일,2번째 방문,영수증
