가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
더벤티 공릉중앙점,카페,,,,단비모드,https://m.place.naver.com/my/5e9f3ee08f87a842bc613ab4/review?v=2,667,,,늘  미소로 반기는 사장님들^^ 🍓 딸기쥬스 굿굿~~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 3일 금요일,11번째 방문,결제내역
더벤티 공릉중앙점,카페,,,,히브리어,https://m.place.naver.com/my/5da7ce3b8f87a842bc46776e/review?v=2,2101,58,,너무 맛있고 ㅠㅠ 싸고 양 많고 친절하세요! 공릉점 최고!,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 12일 금요일,7번째 방문,영수증
더벤티 공릉중앙점,카페,,,,짜장윤윤,https://m.place.naver.com/my/5de5d33c9ec8258e4a92e793/review?v=2,247,20,,"더벤티 아인슈페너 맛있다고해서 먹어봤어요.
음료가 구수한맛이나고 크림도 맛있네요.
말차멜팅초코는 넘 달았는데 남치니는 맛있대용","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 9일 화요일,1번째 방문,영수증
더벤티 공릉중앙점,카페,,,,nnymi,https://m.place.naver.com/my/5db77da78f87a842bc91b7a8/review?v=2,226,,,"가성비가 좋아요
맛있고 혼자 공부하기 좋을 거 같아요
친절하세요 감사합니다:)
",,2024년 4월 22일 월요일,1번째 방문,영수증
더벤티 공릉중앙점,카페,,,,늘어져라옹,https://m.place.naver.com/my/5c04c94a0a8688980bfe2ab4/review?v=2,64,,,디카페인 아아가 주변 프차카페중에 젤 맛나요 👍,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 22일 토요일,1번째 방문,결제내역
더벤티 공릉중앙점,카페,,,,봄에다시만나요,https://m.place.naver.com/my/5eb660408f87a842bc051b20/review?v=2,195,1,,아이는 오사당 덜 달게 해서 줬는데 좋아하네요..  커피랑 맛있고 내부에 좌석도 깔끔해 보여요.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 11일 일요일,9번째 방문,영수증
더벤티 공릉중앙점,카페,,,,yuk****,https://m.place.naver.com/my/5cd04fdc9f1ae10fb7e4ad84/review?v=2,316,,,"흑설탕버블티 맛있었어요❤
사진을 못 찍었네요~~^^",,2024년 4월 6일 토요일,1번째 방문,영수증
더벤티 공릉중앙점,카페,,,,rub****,https://m.place.naver.com/my/62ba6ece64bd4a6a2b551a2b/review?v=2,882,13,,좋아여,,2024년 6월 8일 토요일,1번째 방문,영수증
더벤티 공릉중앙점,카페,,,,히브리어,https://m.place.naver.com/my/5da7ce3b8f87a842bc46776e/review?v=2,2101,58,,엄청 친절하시고 매장 청결 유지가 기깔납니다. 울동네 더벤티점이 최고입니다. 본사는 인센티브 지급하시오. ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 1월 5일 금요일,6번째 방문,영수증
더벤티 공릉중앙점,카페,,,,나가자 바다로,https://m.place.naver.com/my/5c3b3b05cfb4d287b69ed2a5/review?v=2,839,25,,가성비 좋은 커피라 좋아합니다.,"일시적인 오류가 발생했습니다
가성비가 좋아요",2024년 1월 14일 일요일,1번째 방문,영수증
더벤티 공릉중앙점,카페,,,,1토깽이,https://m.place.naver.com/my/5e029c6b8f87a842bc789195/review?v=2,391,,,좋아여,,2024년 6월 1일 토요일,2번째 방문,영수증
더벤티 공릉중앙점,카페,,,,lpg****,https://m.place.naver.com/my/6191dd697bac19d9e85e1c4b/review?v=2,1293,,,좋아요 ,,2024년 5월 18일 토요일,4번째 방문,영수증
더벤티 공릉중앙점,카페,,,,뭉게게뭉,https://m.place.naver.com/my/5efe125567c6d4320f5720f5/review?v=2,95,,,편히 사먹기 좋아요,"일시적인 오류가 발생했습니다
친절해요",2024년 3월 5일 화요일,1번째 방문,결제내역
더벤티 공릉중앙점,카페,,,,히브리어,https://m.place.naver.com/my/5da7ce3b8f87a842bc46776e/review?v=2,2101,58,,너무 맛있어요! 퀄리티도 좋은데 가격도 착하고. 더벤티 흥하세요! 사장님도 너무 친절하세요  ,"일시적인 오류가 발생했습니다
음료가 맛있어요",2023년 12월 7일 목요일,5번째 방문,영수증
더벤티 공릉중앙점,카페,,,,까칠한엄마,https://m.place.naver.com/my/5c432faac47f4e6b2c4431fd/review?v=2,250,7,,버스정류장앞 더벤티 집에서5분이면나와서살수있고 사장님진짜친절해요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 10월 7일 토요일,2번째 방문,영수증
더벤티 공릉중앙점,카페,,,,khr****,https://m.place.naver.com/my/5d81b50d8f87a842bc46f34b/review?v=2,17,,,친절하시고 커피 맛잇어요!!!,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 1월 16일 화요일,2번째 방문,결제내역
더벤티 공릉중앙점,카페,,,,ing8575,https://m.place.naver.com/my/60f1168f184e5e0eafe645e6/review?v=2,444,,,^^,,2024년 2월 28일 수요일,1번째 방문,영수증
더벤티 공릉중앙점,카페,,,,Dragonteacher,https://m.place.naver.com/my/5f062acba33384f6f57eb39a/review?v=2,437,,,"첫 방문인데 다녀본 더벤티 중에서 큰 매장에 속하네요~ 
음료랑 아.아 맛있습니다
사장님도 친절하세요~~^^",,2023년 8월 21일 월요일,1번째 방문,영수증
더벤티 공릉중앙점,카페,,,,인생은40부터9988,https://m.place.naver.com/my/5dedde408f87a842bc87d70c/review?v=2,935,8,,아이스연유라떼 맛있어요🙂,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 8월 22일 화요일,2번째 방문,영수증
더벤티 공릉중앙점,카페,,,,봄에다시만나요,https://m.place.naver.com/my/5eb660408f87a842bc051b20/review?v=2,195,1,,사장님 친절하셔서 커피 받으면 기분이 좋아지는 거 같아요. 타 브랜드보다 맛있어요. 다른 저가 브랜드는  맹탕이거나 진한맛을 빙자한 탄 맛인데.. 자주 가게 되네요. ,,2023년 9월 2일 토요일,8번째 방문,영수증
