가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
도로시명품찹쌀꽈배기,베이커리,4.63,,,나대로1,https://m.place.naver.com/my/5b6626b4413ade0edfd52f29/review?v=2,2742,230,,편의점 핫도그가 아닌 직접 만든 핫도그를 먹고 싶다고해서 화랑대역에서부터 걸음. 언제부터 그 많던 명량핫도그가 안보이기 시작!! 언제나 맛난 도로시!! 옛날핫도그먹고 행복,,2024년 5월 24일 금요일,5번째 방문,결제내역
도로시명품찹쌀꽈배기,베이커리,4.63,,,나대로1,https://m.place.naver.com/my/5b6626b4413ade0edfd52f29/review?v=2,2742,230,,"넘 오랫만에 방문이라서 나 스스로 놀라고 , 가격인상에 놀라고, 그러나 여전히 맛나고 친절하심에 그저 감사. 집까지 가는 시간을 못참고 팥도너츠룰 먼저 먹는데 아~~ 잊고 살았던….맛있고 따뜻해서 더 맛있는 … 사장님~~부자 되세요~~!",,2024년 3월 7일 목요일,3번째 방문,결제내역
도로시명품찹쌀꽈배기,베이커리,4.63,,,쩡가62,https://m.place.naver.com/my/5c5576297f9c5b622dd46419/review?v=2,45,,,"임신초기여서 입맛이 정말 없는데, 운전하고 가다가 갑자기 꽈배기가 먹고 싶어서 주변 리뷰 좋은 곳으로 골라서 방문했는데 진짜 방문하길 너~~~무 잘 했어요!!!!! 생각했던것보다 훨씬 맛있고, 갓튀긴 느낌으로 쫀득쫀득 식감은 물론 맛이 너무 맛있어요..!! 청량핫도그도 너무 맛있고 기본 꽈배기부터 고로케 다 맛있네요~~ 집에서 좀 거리가 있어서 자주 못갈거 같지만 꽈배기 생각날때마다 방문하려구요!! 매장도 정말 깔끔하고, 사장님 너무 친절하세요~~ 주변 거주하시는분들 너무 좋으실거 같아요..^^ 번창하세요~~!!",,2024년 4월 24일 수요일,1번째 방문,영수증
도로시명품찹쌀꽈배기,베이커리,4.63,,,나대로1,https://m.place.naver.com/my/5b6626b4413ade0edfd52f29/review?v=2,2742,230,,친절하고 인사도 밝게 해주셔서 기분이 좋아지는 곳인데 맛도 좋아요! 옥수수 감자 김치고로케구입하고 팥도너츠는 걸어가면서 먹기! 따뜻하니 더 맛있음! ,"일시적인 오류가 발생했습니다
친절해요",2024년 4월 30일 화요일,4번째 방문,결제내역
도로시명품찹쌀꽈배기,베이커리,4.63,,,세니곤듀,https://m.place.naver.com/my/5c49c755075f0a7edbbd280e/review?v=2,14,,,"진짜 .. 뭘 먹어도 맛있네요 ;; 
고로케 진짜 존맛 .. 뭘 먹어도 실패가 없슴다 🩵","일시적인 오류가 발생했습니다
친절해요",2024년 6월 13일 목요일,11번째 방문,영수증
도로시명품찹쌀꽈배기,베이커리,4.63,,,HS6817,https://m.place.naver.com/my/5dee404b8f87a842bc00448f/review?v=2,6,,,"늘
한결같아요~
맛나요~
가성비 좋아요~~
고로케 여기만있는게  많아요♡♡♡",,2024년 6월 29일 토요일,4번째 방문,영수증
도로시명품찹쌀꽈배기,베이커리,4.63,,,천양운집6,https://m.place.naver.com/my/5def31488f87a842bc3b46b3/review?v=2,5,,,"셋트 메뉴가 있어요~~~
괜찮네요~가섬비짱!!!!","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 6월 29일 토요일,5번째 방문,영수증
도로시명품찹쌀꽈배기,베이커리,4.63,,,zmffnlxldp,https://m.place.naver.com/my/5f061f37a33384f6f57df5fa/review?v=2,705,16,,여기 핫도그랑 고로케 바삭하고 맛있어요~,,2024년 5월 22일 수요일,1번째 방문,영수증
도로시명품찹쌀꽈배기,베이커리,4.63,,,세니곤듀,https://m.place.naver.com/my/5c49c755075f0a7edbbd280e/review?v=2,14,,,"진짜 언제 먹어도 맛있네요 .. 🥹
고로케 진짜 존맛탱구리 🩷🩷🩷","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 6월 9일 일요일,10번째 방문,영수증
도로시명품찹쌀꽈배기,베이커리,4.63,,,sakuranbo42,https://m.place.naver.com/my/5fcefcaac87339315797815c/review?v=2,1055,33,,기본적으로 설탕을 뿌려주시지만 설탕없이 먹는걸 좋아해요 ^^* 특히나 요즘 이 정도 가격이면 가성비도 좋다고 생각해요,"일시적인 오류가 발생했습니다
가성비가 좋아요",2024년 5월 28일 화요일,2번째 방문,영수증
