가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
디저트39 공릉점,카페,,,,달빛향기33,https://m.place.naver.com/my/5d46c4e58f87a842bc3ff731/review?v=2,622,9.0,,커피 행사중이라 완전 저렴한 가격♡ 바닐라크림도넛은 겉따속차~ 느끼함 없이 시원하고 부드러운 맛!!,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 27일 토요일,2번째 방문,영수증
디저트39 공릉점,카페,,,,둥굴게는 맛있어,https://m.place.naver.com/my/5e3621308f87a842bc9614a3/review?v=2,111,,,"저번에 엄니랑 갔을 때 커피도 맛있고 크로칸 슈도 맛있게 먹어서
다시 방문했어요. 전엔 커스타드로 먹어봐서 
이번엔 크림치즈로 먹어봤는데 이것도 넘나 맛있네요",,2024년 7월 2일 화요일,1번째 방문,결제내역
디저트39 공릉점,카페,,,,토끼풀의 영수증,https://m.place.naver.com/my/5dc4c1608f87a842bc57b896/review?v=2,38,,,"오랜만에 먹었는데 지인짜 달다 ,,

황치즈 돌체라떼 먹고 레알 단짠 단짠 ..😮

딸기라떼는 그냥 달아 .. 달다 ..... ",,2024년 5월 18일 토요일,1번째 방문,영수증
디저트39 공릉점,카페,,,,짜장윤윤,https://m.place.naver.com/my/5de5d33c9ec8258e4a92e793/review?v=2,257,20.0,,"디저트39 궁금해서 먹어봤어요.
음료 잔이 특이 !!
가격대는 좀 높은듯 ㅎㅎㅎ","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 27일 월요일,1번째 방문,영수증
디저트39 공릉점,카페,,,,항상감사77,https://m.place.naver.com/my/5cfc5af4876a8be35755a39e/review?v=2,924,44.0,,"허니자몽블랙티 hot 대용량과 레드망고슬림티ice초대용량, 옥수수중독빵 하나 주문했는데 일단 양에 놀랐구요. 맛은 하나같이 맛있네요. 케이크는 조각케이크외에도 홀케이크도있고 베이커리류도있어서 디저트류 이것저것 맛보고 싶었어요.밥먹고온 직후라 빵하나에 만족. 초대용량은 다시 쓸수있는텀블러에 주시네요. 다시가져오면 텀블러할인도 있어서 좋아요. 사용하는 텀블러도 가져오면 할인되나봅니다! ",,2023년 10월 1일 일요일,1번째 방문,영수증
디저트39 공릉점,카페,,,,지니욤,https://m.place.naver.com/my/5c1eae6b68df6c1e3c0e7a7b/review?v=2,465,,,,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 21일 일요일,2번째 방문,영수증
디저트39 공릉점,카페,,,,지니욤,https://m.place.naver.com/my/5c1eae6b68df6c1e3c0e7a7b/review?v=2,465,,,,,2024년 4월 20일 토요일,1번째 방문,영수증
디저트39 공릉점,카페,,,,릴리푸우,https://m.place.naver.com/my/5ea818128f87a842bc80c024/review?v=2,1951,,,자주가요 ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 22일 토요일,1번째 방문,영수증
디저트39 공릉점,카페,,,,태미니염,https://m.place.naver.com/my/5be2ec42954fe8d88303d960/review?v=2,1241,,,ㄱ,,2024년 1월 28일 일요일,2번째 방문,영수증
디저트39 공릉점,카페,,,,sta****,https://m.place.naver.com/my/5f5ddf5b6c3d7f733493de36/review?v=2,177,4.0,,대용량 커피... 사실 텀블러가 본체,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 9월 16일 토요일,2번째 방문,영수증
