가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
디저트조이,케이크전문,,,,룰루랄라룰루,https://m.place.naver.com/my/5cbbea937d40461507c9d023/review?v=2,68,,,"아이 돌 기념 케이크를 찾다가 디저트 조이를 알게 됐습니다. 디자인 선정 때부터 사장님께서 친절하게 설명해 주시고 디자인 고민도 같이 들어 주셔서 감사했어요. 💜 안에 호박, 팥이 고루 들어 있어서 어르신들도 아이들도 먹기 좋았던 거 같아요. 다음에 또 오겠습니다!! 💘💘",,2024년 7월 20일 토요일,1번째 방문,영수증
디저트조이,케이크전문,,,,오늘은 어디로로로,https://m.place.naver.com/my/5efe87b335e32560edab0182/review?v=2,539,52,,"어머님 생일이라 떡 케이크 주문했는데, 이쁘게 디자인 해주셔서 먹기 아까울 정도였네요.
팥과 단호박이 푸짐하게 들어있어서 존맛탱 떡케이크였어요.
위에 올려진 꽃 앙금도 적당한 달달함으로 백설기와 잘 어울렸어요. 재방문의사 있습니다.",,2024년 7월 7일 일요일,1번째 방문,영수증
디저트조이,케이크전문,,,,똘똘이맘486,https://m.place.naver.com/my/60cc46e8fb322faa01ce6a09/review?v=2,1,,,"색상이 화려하고 예뻐서 생크림케잌인줄 알고 예약을했다.
사진빨이면 어쩌나 고민했는데 사진과 거의 비슷한 색감으로 예쁜 케익이다.
친절하시고
답을 바로 주시고
실제 케잌 보면 꽃잎하나 수술하나 정교하고 예쁘지 않은곳이 없다.
생각보다 저렴해서 한번 더 놀람.
케익 너~~~~무 맘에 들고 예뻐요^^",,2024년 7월 3일 수요일,1번째 방문,예약
디저트조이,케이크전문,,,,rmd****,https://m.place.naver.com/my/63e4656bb46be2000631bcf6/review?v=2,97,,,"주문제작으로 만들어주신 앙금플라워 떡케이크 정말 고급지고 부모님도 좋아하셨어요👍👍 안에 떡도 호박, 팥이 골고루 들어가있어 영양 만점입니다!ㅎㅎ
사장님께서도 정말 친절하세요🙏🙏",,2024년 7월 7일 일요일,1번째 방문,영수증
디저트조이,케이크전문,,,,귀욤62,https://m.place.naver.com/my/5f4f25ca6c3d7f73340522ac/review?v=2,15,,,"매해년 어른들이나 케이크가 싫을때 주문제작하고있어요!!!!맛도 저는 굉장히 중요하게생각하는데 맛있어요 ~ 사장님이 꼼꼼하게 주문체크해주시고 서비스도 잘주셔서 항상 만족합니다!
무엇보다도, 사진찍을때 이쁘게나와요!
마음을 표현해야하는 날엔 무조건 추천입니다
저흰 할머니생신때도 주문제작했는데 할머니가 소화가 잘되신다고 굉장히좋아하셨어요 굿!",,2024년 4월 18일 목요일,1번째 방문,예약
디저트조이,케이크전문,,,,아이리스470,https://m.place.naver.com/my/61090f2a0b29215732ac1bec/review?v=2,1,,,"너무이뻐서 친구가 감동했데요 
케익안에 통팥과  호박등 예쁘기도하지만 맛도 좋아서  친구들이  싸이트 알려달라고하더라구요 
사장님 예쁘게 만들어줘서  감사해요 
담에 또 예약 할께요 ..;^^♡♡",,2024년 6월 21일 금요일,1번째 방문,예약
디저트조이,케이크전문,,,,동동맘체리샴푸,https://m.place.naver.com/my/5e8681d28f87a842bca45261/review?v=2,56,,,"시어머니 생신이라 특별한 케이크 선물해드리고 싶어 주문했어요~
사장님 친절하시고 요구사항 잘 들어주셔서 너무 만족스러운 케이크 받아볼 수 있었네요!
어머님도 너무 예쁘다고 좋아하셔서 뿌듯해요
특별한 날 주문하기 좋은 것 같아요~",,2024년 6월 19일 수요일,1번째 방문,영수증
디저트조이,케이크전문,,,,lsl****,https://m.place.naver.com/my/5c357634c695eaea08b0daa8/review?v=2,38,,,"리얼리티가 엄청난 케이크였어요! 
엄마가 특별한 이벤트라 정말 좋아하셨고~ 떡이랑 크림도 맛있어서 싹싹 긁어먹었어요! 🫶🫶 다음에는 다른 케익 주문할게요",,2024년 4월 17일 수요일,2번째 방문,예약
디저트조이,케이크전문,,,,샐러비,https://m.place.naver.com/my/5f47bd29a602e98f564b7836/review?v=2,4,,,"꼼꼼하게 안내도 잘 해주시고 케이크가 실물이 훨씬 예뻐요!
떡도 너무 맛있어서 어르신들에게 칭찬을 엄청 받았습니다! 아빠 생신때 또 올게용!!",,2024년 6월 14일 금요일,3번째 방문,영수증
디저트조이,케이크전문,,,,lilililalalal,https://m.place.naver.com/my/5d5f7b4b8f87a842bc5f62c6/review?v=2,844,1,,"앙금 플라워 색감이 너무 이뻐요! 
급하게 주문했는데도 친절하게 답해주시고 사장님 넘 친절해요! 
가족 생일때문에 구입한건데 사진 짱 잘나오고 ! 너무 달지 않고 맛있어요!! 굿굿 ",,2024년 6월 20일 목요일,1번째 방문,예약
디저트조이,케이크전문,,,,냠냠369,https://m.place.naver.com/my/5cc5092723a4588417145ef9/review?v=2,12,,,"가족행사엔 디저트 조이!
예쁜 디자인에 맛까지 보장bbb
부모님들도 만족하셨어요♥",,2024년 6월 15일 토요일,1번째 방문,영수증
디저트조이,케이크전문,,,,뇨뇨냐냐냐뇨냐뇨냐,https://m.place.naver.com/my/5b7acf3624baa70542695f22/review?v=2,635,,,"너무 이뻐요!  
레터링도 이쁘게 잘 써주셨어요!
짱이에요~!","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 3일 수요일,1번째 방문,예약
디저트조이,케이크전문,,,,leverage01,https://m.place.naver.com/my/5e6f56e98f87a842bc0c0bbc/review?v=2,537,,,친절하시고 맛있어요~,,2024년 5월 4일 토요일,1번째 방문,결제내역
디저트조이,케이크전문,,,,pos****,https://m.place.naver.com/my/62ee18da4936ee000660f437/review?v=2,502,,,디저트가  맛있고 제 취향이에요,"일시적인 오류가 발생했습니다
선물하기 좋아요",2022년 11월 16일 수요일,1번째 방문,영수증
디저트조이,케이크전문,,,,샐러비,https://m.place.naver.com/my/5f47bd29a602e98f564b7836/review?v=2,4,,,#노원떡케이크 너무 맛나게 잘 먹었어요!!! 친절하시고 신경 많이 써주셔서 감사합니다,,2020년 8월 27일 목요일,1번째 방문,영수증
디저트조이,케이크전문,,,,예썰1028,https://m.place.naver.com/my/5e4fbc7f8f87a842bc84dcdd/review?v=2,40,,,맛있고 꽃이 진짜풍성해요,,2020년 8월 28일 금요일,1번째 방문,영수증
디저트조이,케이크전문,,,,pllip0926,https://m.place.naver.com/my/5b9bab70cbd4684d3286ca38/review?v=2,10,,,맛잇게 잘먹었어요-! 케익이 찐 이뻐요!,,2020년 9월 25일 금요일,1번째 방문,영수증
디저트조이,케이크전문,,,,눈꽃엄마,https://m.place.naver.com/my/5f064f33ee1ece9f4a67cec6/review?v=2,1,,,급하게주문했는데 당일주문도 예쁘게해주셨어요,,2020년 8월 28일 금요일,1번째 방문,영수증
