가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
딜리스,"카페,디저트",4.64,,,쭌이뚱이,https://m.place.naver.com/my/5d95dfe38f87a842bcd9d159/review?v=2,1025,,,경춘선길 걷다 날이 더워 커피 맛집이라해서 방문을~^^ 테이블이 많이 없지만.. 한자리 남아서 후다닥... 커피 맛은 있고요.. 라떼도 괜찮다고하더군요. 첫 방문인지라.. 파운드케잌 가격대비 가성비 갑이라고 생각했는데..ㅎㅎㅎ저렇데 나와서 살짝 당황했네요.. 저처럼 모르는 사람들은 하나에 저가격인줄 알겠어요.. 대략 2분에1 조각이라고 체크라도 해주심 받아보고 당황하지 않을거 같아요..ㅋ 저렇게 주는걸 알았음.. 다른 케잌 하나 더 주문했을거 같아요..ㅍㅎㅎㅎㅎ,,2024년 5월 12일 일요일,1번째 방문,영수증
딜리스,"카페,디저트",4.64,,,먹으려고일해요,https://m.place.naver.com/my/5d5be1098f87a842bc5addbd/review?v=2,26,1.0,,딜리스의 신메뉴 오디 타르트!!! 실하고 맛이 알찬 고창 오디가 통밀 타르트 위에 듬뿍!!! 사장님 맘 바뀌시기 전에 꼭 맛봐야 할 메뉴,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 29일 수요일,5번째 방문,영수증
딜리스,"카페,디저트",4.64,,,먹으려고일해요,https://m.place.naver.com/my/5d5be1098f87a842bc5addbd/review?v=2,26,1.0,,"아아 맛집
오늘 신상, 라즈베리크럼블 굿 👍","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 7일 일요일,4번째 방문,영수증
딜리스,"카페,디저트",4.64,,,관세음리뷰빔,https://m.place.naver.com/my/62823dd69e120b916b028934/review?v=2,관세음빔,45.0,,"케익 너무 일찍 솔드아웃되서 아쉬웠듬. 노트북작업하기 콘센트나 좌석이 불편했지만 이용잘했어요ㅎㅎ
파운드가 진짜 촉촉하니 향긋해서 또 갈라구요ㅎㅎ ","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 26일 월요일,1번째 방문,영수증
딜리스,"카페,디저트",4.64,,,X0Xxx,https://m.place.naver.com/my/60286366142b6a5cc392608d/review?v=2,94,1.0,,"브라우니 너무 달지않고 맛있네요
저번에 왔을 때 아이스크림도 맛있었는데 ... 다른 것도 도장깨기 하러 오고싶어요 완전 디저트 맛집이에요",,2024년 4월 3일 수요일,1번째 방문,영수증
딜리스,"카페,디저트",4.64,,,민초떡,https://m.place.naver.com/my/5ba3476ce8408d6493611c5a/review?v=2,41,,,"메뉴 다 맛있어요
아이스크림 진짜 진하고 상큼하고
음료가 특이하면서 고급 진 맛이라 좋았습니다","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 3월 2일 토요일,1번째 방문,결제내역
딜리스,"카페,디저트",4.64,,,yonycci,https://m.place.naver.com/my/5c5d4d5d0f536e4cd7ecd2ae/review?v=2,173,1.0,,아이스크림라떼랑 오디타르트 맛있어요💜,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 31일 금요일,1번째 방문,영수증
딜리스,"카페,디저트",4.64,,,Haffhnm,https://m.place.naver.com/my/5b9f9e83a3e7a64d50f3fc7d/review?v=2,1248,12.0,,진짜 맛있어요!! 이건 또 사먹으러가고싶은 곳이여요,,2024년 6월 26일 수요일,1번째 방문,영수증
딜리스,"카페,디저트",4.64,,,마이예솜,https://m.place.naver.com/my/5c4854b9d4022585554dcbb0/review?v=2,2377,11.0,,굿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 4일 목요일,1번째 방문,영수증
딜리스,"카페,디저트",4.64,,,그냥9125,https://m.place.naver.com/my/5e1962ba8f87a842bc0b3f12/review?v=2,289,,,"아늑한 분위기와 차분하고 친절하신 사장님덕분에 따뜻함이 느껴지는 카페. 재방문 의사 매우매우있음.

파운드케익 세종류 먹었는데, 레몬파운드>바나나호두>얼그레이 순으로 괜찮았음. 개인적으로 얼그레이파운드는 건조하고 마른느낌이라 아쉬웠음. 레몬은 굉장히 맛있었음.

총평: 추천, 재방문의사 만땅
",,2023년 11월 25일 토요일,1번째 방문,영수증
