가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
레인템포,브런치,4.67,,,thelonelydiver,https://m.place.naver.com/my/627258f56aee0f2b6f18f277/review?v=2,206,55,,"[Easy to order for foreigners]
The food was good!☺️ I went there for brunch and unfortunately, one of their machines broke so we had to wait a long time to get our food. The staff apologised and gave everyone cookies!",,2024년 5월 26일 일요일,1번째 방문,영수증
레인템포,브런치,4.67,,,young865,https://m.place.naver.com/my/5ece2c8b8f87a842bcf1ac87/review?v=2,1484,10,,"신선한 과일도 많이  올려주시고, 프랜치  토스트도  맛있어요~ 음료는  트리플  베리에이드 주문했는데, 오디와  블루베리가  씹히는  맛이  좋네요~~   가게는  아담하지만  인테리어도  이쁘고,   와인  드실수  있는분들은  더  좋을것  같아요",,2024년 4월 30일 화요일,1번째 방문,결제내역
레인템포,브런치,4.67,,,jjjjjuyeon,https://m.place.naver.com/my/5f057ea44d1cf87540ab0d03/review?v=2,120,,,"노원쪽 9시 여는 브런치집이 여기가 유일해서 갔어요 브런치메뉴에 파스타가 샐러드파스타 밖에 없어서 약간 아쉬웠지만 버섯과 야채가 들어가 건강한 맛이었어요!
프랜치토스트는 매장에서 직접 구운 빵으로 만들었다고 하시던데 맛있더라고요
파스타메뉴가 한두가지 더 있음 좋을 것 같아요",,2024년 3월 3일 일요일,1번째 방문,영수증
레인템포,브런치,4.67,,,푸푸링,https://m.place.naver.com/my/5c3cac6e4b4142f172d4e473/review?v=2,356,,,분위기도 좋고 음식도 너무 맛있어서 기분좋게 브런치 즐겼습니다🫶🏻,"일시적인 오류가 발생했습니다
음식이 맛있어요",2024년 6월 15일 토요일,1번째 방문,영수증
레인템포,브런치,4.67,,,해피밀이,https://m.place.naver.com/my/5d062abfdbe0aa33c4a7ef34/review?v=2,522,41,,"공릉동 브런치로 먹기 너무 좋고 맛있어요! 
예약도 가능해서 모임이나 약속 있을때 바로 입장가능해서 큰 장점인것 같아여!
애완동반이라 강쥐랑 같이 오시는 분들도 많았어영👼🏻♥️",,2024년 4월 14일 일요일,1번째 방문,예약
레인템포,브런치,4.67,,,빵갱잉,https://m.place.naver.com/my/5e2aeeb58f87a842bc36bfc8/review?v=2,33,,,"공릉동 최고의 브런치 맛집!!
메뉴도 다양하고, 구성이 알차서 건강하지만 배불리 먹었습니다 🍀","일시적인 오류가 발생했습니다
차분한 분위기에요",2024년 6월 21일 금요일,1번째 방문,예약
레인템포,브런치,4.67,,,토꺄,https://m.place.naver.com/my/5ea37f638f87a842bc4f72f7/review?v=2,218,18,,"재료가 신선해서 좋았습니다.
잘 익은 아보카도
루꼴라외 토마토

다만 프로슈토는 냄새기 좀 나서 힘들었어요..😂
커피는 솔직히 맛이 없었습니다.
밍밍해서 커피 아닌 느낌..
전체적으로 분위기 좋아서 머물다 가기 좋았어요",,2024년 5월 7일 화요일,1번째 방문,결제내역
레인템포,브런치,4.67,,,원먼스,https://m.place.naver.com/my/5f3b9ea1a602e98f566c5a77/review?v=2,176,31,,"아침 일찍 열어서 참 좋네요 오전 모임 브런치로 정말 맛있게 잘 먹었어요!!!!
프렌치 토스트 진짜 부드럽고 아보카도 밑에 깔린 닭가슴살? 고기 진짜 너무 맛있었네요 브런치 메뉴들 다 훌륭한 곳입니다 여자들 모임 장소로 딱 좋아요!",,2024년 1월 23일 화요일,2번째 방문,영수증
레인템포,브런치,4.67,,,Yy0ungg,https://m.place.naver.com/my/5cc54ed5c5adfa2cd6854407/review?v=2,28,,,"일단 예약을 하고 갔는데, 예약하셨죠? 아무곳에 앉으시면 됩니다-> 예약 의미 없습니다.
주문할때 사진보고 이거 이거 해달라고했는데 막상 나온 거는 달랐어요. 잘못 나온 거 같다고 확인 해달라고 했는데 주문서에 제대로 들어갔고 주문할때 그거 그거 맞으시죠? 확인도 했다고 하네요. 손으로 그림 짚으면서 얘기했는데 말입니다.
그리고 주문하면서 안내할때 15분 -20분 기다려야한다고했는데 막상 결제하고 음식 받기까지 35분 넘게 걸렸으며, 그 사이 배달 주문은 다 받고 배달은 다 나가고  매장에서 먹는 거 보다 배달 주문이 빨라보였습니다. 친구가 놀러와서 후기 보고 갔는데, 굳이 갈 필요없이 배달 시켜먹는게 좋을 거 같습니다. 음식은 맛있지만, 대응 서비스가 별로여서 이런 리뷰 안남기는데 굳이 남깁니다.",,2024년 7월 7일 일요일,1번째 방문,예약
레인템포,브런치,4.67,,,갑순5,https://m.place.naver.com/my/5bf5dc5cfee27ca532ee59f8/review?v=2,6,,,두번째 가족모임 6가지 메뉴가 다 맛있고 와인과 함께 먹으니 더욱 맛있다. 가성비 최고의 모임이다. 즐거운 수다와 행복한 시간이었다.우리 가족은 다음에도 제 방문 하기로했다. ,,2024년 5월 22일 수요일,3번째 방문,영수증
레인템포,브런치,4.67,,,양양485,https://m.place.naver.com/my/5e479a908f87a842bcaac268/review?v=2,1770,1,,"지인이 추천해서 갔는데 음식은 맛있지만
직원분은 불친절해요 가격또한 많이 비싸요",,2024년 6월 12일 수요일,1번째 방문,영수증
레인템포,브런치,4.67,,,Youryeong,https://m.place.naver.com/my/5d981b4a8f87a842bca324f7/review?v=2,996,76,,프토 맛집...🍞 가격이 그새 올랐네요😢,,2024년 7월 7일 일요일,2번째 방문,영수증
레인템포,브런치,4.67,,,Heezy,https://m.place.naver.com/my/5cf4ffac0fca8e289c68eafc/review?v=2,68,,,"브런치로 먹기 좋고, 음식이 너무 맛있어요. 
맛이 강하지 않고 재료가 신선합니다. ","일시적인 오류가 발생했습니다
음식이 맛있어요",2024년 3월 28일 목요일,1번째 방문,예약
레인템포,브런치,4.67,,,Cadillac,https://m.place.naver.com/my/5dd0d7d18f87a842bc3a292f/review?v=2,1135,135,,"주차 불가. 자리 협소. 직원분들 무척 친절 :)
아메리칸브랙퍼스트: 프렌치토스트,샐러드,계란스크램블,소세지! 예쁘게 나옵니다. 
아보카도치킨샌드위치: 잘 익은 아보카도에 양념되어있는 부드러운 닭가슴살이 들어있고 다만 빵이 생각보다 너무 맛이없고 식재료의 맛을 오히려 저하 시키는것 같았어요! ",,2024년 2월 25일 일요일,1번째 방문,결제내역
레인템포,브런치,4.67,,,OwO89,https://m.place.naver.com/my/5c2ba18e60e56eb5da5d4088/review?v=2,158,4,,"주말에는 메뉴가 나오기까지 시간이 많이 걸렸습니다.
맛은 평범했어요 화장실이 내부에 있고 깨끗해서 좋았는데 좌석은 좀 불편했어요 3명이상은 편하게 앉기 어려운 구조...데이트로 브런치를 꼭 먹어야겠다면 추천",,2024년 3월 31일 일요일,1번째 방문,예약
레인템포,브런치,4.67,,,별내루룰,https://m.place.naver.com/my/5efddd630765f4dd1babd776/review?v=2,166,9,,"재료가 신선하고 맛있어요. 쇼파에서 먹는건 좀 불편해서 예약하고 의자에서 앉아서 먹는게 좋을거같아요
","일시적인 오류가 발생했습니다
음식이 맛있어요",2024년 4월 17일 수요일,1번째 방문,예약
레인템포,브런치,4.67,,,통장이텅장으로,https://m.place.naver.com/my/5eff3fc3598cfed34e178bfb/review?v=2,57,3,,샐러드 양 많고 맛있어요,"일시적인 오류가 발생했습니다
음식이 맛있어요",2024년 5월 18일 토요일,2번째 방문,예약
레인템포,브런치,4.67,,,영통의예쁜이,https://m.place.naver.com/my/5c2c97a85d489a1806bdfe66/review?v=2,45,1,,"역시 레이템포! 
20년도?쭘 처음 생겼을 때 브런치 먹으러 갓다가 홀딱 반해서 와인 먹으러도 가야지 했는데 ㅠㅠ 졸업하고 나니 이제야 갓네요 헉헉 
좋은 화이트크리스마스 이브에  좋아하는 곳에서 남자친구란 좋은 시간 보냈습미저! 
여전히 친절하시고 여전히 예쁘고 맛있는 음식 해주셔서 감사합니다 :-) ",,2023년 12월 24일 일요일,1번째 방문,예약
레인템포,브런치,4.67,,,Ryuuu43,https://m.place.naver.com/my/5e69df638f87a842bcae354d/review?v=2,40,,,,"일시적인 오류가 발생했습니다
매장이 청결해요",2024년 7월 14일 일요일,1번째 방문,예약
레인템포,브런치,4.67,,,dolphinki,https://m.place.naver.com/my/5d530c0b8734cddcb1a5bb0b/review?v=2,621,39,,"여기 너무 좋네요😁👍 음식도 맛있고 (특히 아보카도 토스트 소스랑 너무 잘 어울려요!!, 스크램블드에그도 부드럽네요~~) 인테리어도 아기자기하고 아늑해서 힐링됩니당 ㅎㅎ 또 가고싶어요!!",,2024년 1월 6일 토요일,1번째 방문,영수증
레인템포,브런치,4.67,,,후앙홍,https://m.place.naver.com/my/5bae022da7ee1a5cf3bc0042/review?v=2,48,,,프렌치 토스트 유명하다더니 진짜 너어무 맛있네요! 처음 가봤는데 최애 맛집 될듯💛 그리고 샐러드 파스타도 야채 많고 신선하고 최고에요👍🏻 다시 가고싶은 맛집입니다,,2024년 3월 1일 금요일,1번째 방문,결제내역
레인템포,브런치,4.67,,,유누도,https://m.place.naver.com/my/5c13139980f48260775e180c/review?v=2,72,,,재료가 진짜 신선하고 맛있습니다! 인테리어도 예쁘네요. 건강하게 맛있게 배부르게 잘 먹었습니다!,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 1월 28일 일요일,1번째 방문,예약
레인템포,브런치,4.67,,,뀨찌42,https://m.place.naver.com/my/5c04cb62282dbb2dec5941e4/review?v=2,1047,18,,ㆍ,,2024년 7월 4일 목요일,1번째 방문,영수증
레인템포,브런치,4.67,,,일상다감자,https://m.place.naver.com/my/5e3d15dc8f87a842bc954b92/review?v=2,18,,,"공릉동에서 먹은 찐맛집 분위기에 끌려왔는데 맛까지 대만족하고 갑니다:) 뱅쇼 두번드세요. 와…진심 미춌어요. 
뱅쇼 맛집, 빵맛이 남달라서 물어보니 직접 만드심.
",,2023년 12월 25일 월요일,1번째 방문,영수증
레인템포,브런치,4.67,,,Youryeong,https://m.place.naver.com/my/5d981b4a8f87a842bca324f7/review?v=2,996,76,,"심플 브런치랑 아메리칸 프렌치 콤보... 맛있어요... 
프렌치토스트 어찌 이리 촉촉 달달 맛나게 만드시는지 궁금
과하게 시켰나 싶던 우려가 무색하게 접시 싹 비우고 나옴",,2024년 2월 17일 토요일,1번째 방문,영수증
레인템포,브런치,4.67,,,시니2839,https://m.place.naver.com/my/5d9056f08f87a842bcb0ea68/review?v=2,252,8,,진짜 너무 맛있었어요. 동네에 이런곳이 있다니 넘 좋아요ㅋㅋ 여성들이 참 좋아할 곳!,"일시적인 오류가 발생했습니다
음식이 맛있어요",2024년 2월 29일 목요일,1번째 방문,영수증
레인템포,브런치,4.67,,,림뚱,https://m.place.naver.com/my/5c57cc69d7ebc50a3d8255dc/review?v=2,8,,,"맛도 훌륭한데 플레이팅 색감 무슨 일이죠?🙊
색감이 너무 예뻐서 감탄했어여👍ㅎㅎ
브런치라 배 부를정돈 아닐꺼라 생각했는데
다 먹으니 배 불를정도로 양도 푸짐한거 같아여ㅋ
아쉬운 점은 음식이 너무 늦게 나와서 오래 기다렸어여ㅜ ",,2024년 2월 6일 화요일,1번째 방문,예약
레인템포,브런치,4.67,,,grey35,https://m.place.naver.com/my/5dea637f9ec8258e4acd31a4/review?v=2,947,,,아보카도 별로 않좋아하는데도 아보카도치킨샌드위치는 너무 맛있었고 브런치에 있던 빵도 너무 부드럽고 맛있었음,"일시적인 오류가 발생했습니다
음식이 맛있어요",2024년 2월 24일 토요일,1번째 방문,영수증
레인템포,브런치,4.67,,,만마닝,https://m.place.naver.com/my/5e62d6a68f87a842bc26c61d/review?v=2,69,14,,"원래 가려던 브런치카페가 문을 닫아서 급하게 찾은 브런치집인데 진짜 최고예요…b
사장님도 친절하시고, 음식도 커피도 맛있어요!
평일 휴가내고 방문해서인지 아늑하고 조용해서 더 좋았어요!
오픈토스트 위에 토마토랑 아보카도,, 계란도 한바가지 올려 주셔서 넘나리 맛있었습니당 ! 아메리칸프렌치콤보도 엄청 든든해요 베이컨 어떻게 구우신건지.. 바삭짭잘 그 자체..!
나중엔 저녁에도 방문하고 싶을 정도로 마음에 쏙 든
식당입니다 😚",,2023년 10월 17일 화요일,1번째 방문,영수증
레인템포,브런치,4.67,,,눈웃음꽃미소,https://m.place.naver.com/my/5c0ce5ab677eea9aef7422fc/review?v=2,162,,,우연히 검색해서 약속장소로 선택한 것이라 아무런 기대없이 방문했는데... 양손 엄지👍척 ! 두눈 휘둥그레한 맛이었어요.  아보카도와 페퍼론치노가 채소랑 찰떡 궁합이었어요. 집에서는 절대 안먹는 아보카도 🥑의 매력에 푹 빠졌다고나 할까? 암튼 신선한 맛에 또 가고 싶네요.,,2023년 10월 24일 화요일,1번째 방문,결제내역
레인템포,브런치,4.67,,,itsyourss,https://m.place.naver.com/my/5b9bbeb7d595b6b7cf8e3328/review?v=2,46,,,"연휴라 사람이 없을 줄 알았는데 너무 많았어요!
홀 봐주시는 인력이ㅠ모자라보였습니다..
앞 테이블 식기 치워주시는데 좀 오래 걸렸어요~
리뷰대로 비주얼과 맛은,,👍🏻",,2024년 2월 12일 월요일,1번째 방문,예약
