가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
로우베어,"카페,디저트",,,,Ham53,https://m.place.naver.com/my/5f04289f07df30f9d675f328/review?v=2,742,53,,"카페도 이쁘고 시원해요!!
반려동물 동반 가능하고 밀크티 요물맛집입니다
짘짜 맛있어요!!! 아이스크림도 맛있고 케이크도 제 스타일이에요!!
사장님도 암청 친절하세요!",,2024년 7월 10일 수요일,1번째 방문,영수증
로우베어,"카페,디저트",,,,myroomex,https://m.place.naver.com/my/5efdf42015c4bcd430588660/review?v=2,242,62,,"🥈
♡아메리카노 - 레드 (4,500)
♡말차라떼 (5,500)
♡크림브륄레 (4,500)

♥맛
-말차라떼: 말차가 진하고 시원해서 맛있게 마셨습니다.

-아메리카노: 커피의 신맛을 좋아하는데 신맛원두를 추천받아 레드로 시켰습니다. 처음 먹어보는 커피원두의 맛에 생소하고 신기해서 맛있게 다 마셨습니다!

-크림브륄레: 안에 커스타드 크림 어느부분은 따뜻하고 어느부분은 차가워서 잘 골고루 데워지지 않았어요. 또 위에 설탕 코팅이 너무 두꺼워 너무 달아 아쉬웠습니다. 크림과 설탕이 조화가 둘다 너무 달아서 아쉬웠어요. 안에 크림은 좀 덜 달으면 조화가 좋을거 같아요!

♥내부: 날이좋아 밖에 산책길을 볼수 있는 창문이 넓어서 좋았습니다

♥총평: 공릉에 대화하기 좋은 카페. 사장님이 친절하셔서 좋아요",,2024년 6월 1일 토요일,1번째 방문,영수증
로우베어,"카페,디저트",,,,눈웃음꽃미소,https://m.place.naver.com/my/5c0ce5ab677eea9aef7422fc/review?v=2,162,,,"이미 다른곳에서 모닝커피를 마셨으나, 핸드드립커피맛집이라 하여 방문했습니다. 산미보다는 구수한 맛 추구하는지라 브루잉커피 로우블랙 로우블루 입맛에 맞고 비오는날씨와 찰떡이었네요. 명성ㅈ을 모른체 먹어본 바스크치즈케이크 쑥크림케이크 너무너무 맛있어서 또 먹고 싶었으나 참았습니다ㅎㅎ 빵굽는냄새 커피향과 함께 해서 힐링되는 시간이었네요. 자주 갈것 같아요.",,2024년 5월 7일 화요일,1번째 방문,영수증
로우베어,"카페,디저트",,,,Ham53,https://m.place.naver.com/my/5f04289f07df30f9d675f328/review?v=2,742,53,,엄마랑 어머님 드릴 드립커피 사왔어요!! 사장님이 커피에 대한 자신감이 많으셔서 찐맛집인가싶어 선물용으로 샀는데 10개사니까 한개 더 넣어주셨어용!!! 드립커피 내려주시는 찐맛집이라는데 엄마가 너무좋아하실것같아요!!,,2024년 7월 17일 수요일,2번째 방문,영수증
로우베어,"카페,디저트",,,,곰아57,https://m.place.naver.com/my/5c20ef1333d2b4aa69ad577f/review?v=2,87,,,뷰도 너무 좋고 사장님이 친절하세요!! 커피맛은 당연좋아요!!!!,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 9일 화요일,1번째 방문,영수증
로우베어,"카페,디저트",,,,풍경127,https://m.place.naver.com/my/5f042cb8ee4be03dee260c72/review?v=2,8,,,"간만에 왔는데 새 메뉴가 있네요 
멋찐 사장님의 솜씨 
넘 맛나네요~^
번창하세요^^",,2024년 7월 2일 화요일,5번째 방문,결제내역
로우베어,"카페,디저트",,,,YumYum101,https://m.place.naver.com/my/5fc1cc496e68baac188d8eb0/review?v=2,22,,,"☕️ 점심먹고 철길 걷다가 시원하게 아아한잔 하려고 들어갔다!!!

간단히 아이스아메리카노를 부탁드렸는데
원두가 여러가지라고 골라보라고 보여주셨다☕️

난 전형적인 스벅,텐퍼센트,메가커피 같은 프렌차이즈 커피만 즐기던 사람이라..
산미 없는게 좋다고 하니 원두도 추천해주셨다👍🏻
하지만!! 어디서 듣고 본게 있는 나는 게이샤 원두를 선택!!

🍓🍒🍎굉장히 산뜻한 향!!!
☕️핸드드립 커피!!
원두 갈아서 향을 맡아볼 수 있게 해주셨는데 진짜 너무 향 좋다🥰🥰

커피맛도 왕왕 만족👍🏻👍🏻
철길 산책하러가면 꼭 한잔씩 할 것 같다!!",,2024년 3월 10일 일요일,1번째 방문,영수증
로우베어,"카페,디저트",,,,치즈버거25,https://m.place.naver.com/my/5effeff29e49b68aa6bda848/review?v=2,8,,,"블랙이랑 블루 아이스로 마셨어요
원두 특징 설명이 간결하게 되어있어 고르기 쉬웠습니다. 주말아침 맛있는 커피로 시작해서 좋네용:)","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 25일 토요일,1번째 방문,영수증
로우베어,"카페,디저트",,,,먹민보,https://m.place.naver.com/my/5ba4d2ad71fa48cb0cdd5ada/review?v=2,58,,,"핸드드립 커피 맛있다는 추천받아서 왔는데
커피 너무 맛있구요 바치케도 진짜 미쳤어요...
공릉동 카페 요즘 핫하던데 로우베어 꼭 방문해보세요!
야외자리 분위기 넘 좋아요🤍",,2024년 4월 27일 토요일,1번째 방문,영수증
로우베어,"카페,디저트",,,,qrqr,https://m.place.naver.com/my/5ec08e078f87a842bc71f8c6/review?v=2,262,,,드립커피 전문. 취향대로 선택할 수 있는 커피종류도 좋았고 신선한 커피향이 좋았습니다.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 19일 일요일,1번째 방문,영수증
