가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
로컬컨시어지,카페,,,,녹차푸푸,https://m.place.naver.com/my/5c5c1c82536422c912c884a1/review?v=2,496,34,,"우연히 어디선가 보고 꼭 가보고 싶어서 저장해놨던곳!
근처 갈일이 생겨서 방문했습니다
따아랑 초코살라미 먹었어요 ~~유리창도 크고
인테리어가 개성있으면서 전체적으로 힙해요♡",,2024년 5월 29일 수요일,1번째 방문,영수증
로컬컨시어지,카페,,,,책크니,https://m.place.naver.com/my/5b631d9c2542286277fb66c4/review?v=2,276,,,공릉 커피축제에서 알게 되어 매장 방문 했어요~ 모든 메뉴가 맛나네요~ 바닐라라떼며 보리밀크티며 얼그레이케이크에 커피초코살라미 과자까지🤩 비오는 날 분위기 있는 카페에서 즐거운 시간 보냈어요~ 7월 말까지 연장 하셨다고 하니 부지런히 가볼까 합니다 ㅎㅎ,,2024년 5월 15일 수요일,1번째 방문,결제내역
로컬컨시어지,카페,,,,하붓이,https://m.place.naver.com/my/64b7921fa3a1764986f0b346/review?v=2,84,,,자두 무슨 에이드 ~~너무 달지 않고 시원~맛있어요. 커피콩들어간 초코맛 빵도 먹었는데 맛있네요 ^^,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 2일 화요일,1번째 방문,영수증
로컬컨시어지,카페,,,,piy4028,https://m.place.naver.com/my/5f12cae39fba2eee52b5dfc1/review?v=2,424,29,,"보리밀크티가 여기 시그니처라서 예전에 맛보고 반해서 친구들 초청할 때 주문해서 집에서 나눠먹었어요. 

사장님이 좋은 재료로 만드시는게 느껴져서 너무 좋아요.  

말렌카 케이크(코코아, 호두)도 준비해서 같이 디저트로 나눠먹었는데 쫀득쫀득한 식감에 완벽한 후식이었여요 :-)

홀린드시는 메뉴 하나하나 사장님의 정성이 느껴지는 공릉동 카페같아요❤️",,2024년 3월 7일 목요일,1번째 방문,영수증
로컬컨시어지,카페,,,,나르68,https://m.place.naver.com/my/5b9a6dbf234bd0416ecfdb03/review?v=2,675,2,,보리 밀크티 완전 꼬숩 그 자채,"일시적인 오류가 발생했습니다
친절해요",2024년 6월 11일 화요일,1번째 방문,영수증
로컬컨시어지,카페,,,,꿀꿀랭,https://m.place.naver.com/my/5f07e4f68f87a842bcc73bfe/review?v=2,553,24,,"남편이랑 데이트 하러 왔는데 
사장님 너무 친절하시고 드립원두도 특별하고
특별한 디저트도 가격이 적당","일시적인 오류가 발생했습니다
사진이 잘 나와요",2024년 3월 1일 금요일,1번째 방문,영수증
로컬컨시어지,카페,,,,나르68,https://m.place.naver.com/my/5b9a6dbf234bd0416ecfdb03/review?v=2,675,2,,라떼 호록,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 21일 일요일,2번째 방문,영수증
로컬컨시어지,카페,,,,bea****,https://m.place.naver.com/my/5f062f68649bf957592e4422/review?v=2,58,,,"90일동안 운영하는 팝업스토어 카페예요!
카페 홀린드시~
모든 메뉴가 맛있어요
카페 분위기도 정말 좋고 사장님도 친절하세요",,2024년 3월 6일 수요일,1번째 방문,영수증
로컬컨시어지,카페,,,,최지잉,https://m.place.naver.com/my/5be2eaf218c79b64985d9c4d/review?v=2,831,48,,당근마켓으로 알게된 숲숲숲! 3달 동안 팝업이라고 하니 얼른 가서 즐겨주세요! 당근에 단골 쿠폰도 있더라구요! 아직 발급되는지 모르겠지만 쿠폰 받아서 가성비 있게 숲숲숲에서 크리스마스 분위기 느껴보셔요!,,2023년 11월 26일 일요일,1번째 방문,영수증
로컬컨시어지,카페,,,,러키승,https://m.place.naver.com/my/5d8e4d568f87a842bccb733c/review?v=2,886,10,,"좌석이 작고 매장이 아담한거 외에
치즈케이크 맛좋네용💗",,2024년 2월 18일 일요일,1번째 방문,영수증
