가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
롬브 노원,도넛,,,,페페로니,https://m.place.naver.com/my/5bd69a12b8b0616061f9b9b1/review?v=2,896,207.0,,"첫 두바이 초콜릿..
너무 궁금해서 가격도 안보고 들어갔다가 너무 놀랐던..
하지만 지금은 왜 비싼지도 이정도면 이정도 받는구나 알게된..
손바닥만한 크기에 얇은 초코코팅에 실하게 차있던 카다이프까지 맛은 있었지만 너무 달아서 동생이랑 반 나눠먹어도 충분했었네용 ㅎㅎ
그래도 첫 두바이였는데 성공해서 기분은 좋았습니당👍",,2024년 6월 21일 금요일,1번째 방문,영수증
롬브 노원,도넛,,,,토네이도샷후르츠,https://m.place.naver.com/my/5e76ca978f87a842bc3116b4/review?v=2,477,11.0,,넘 맛있게 잘먹었습니다!!,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 25일 목요일,2번째 방문,영수증
롬브 노원,도넛,,,,반짝이맘1028,https://m.place.naver.com/my/5eff31971c9b02e1ea3ca544/review?v=2,235,2.0,,"아이랑 산책하다 출출해서
들어왔어요^^
사장님도 친절하시고
매장도 깨끗하고 아늑해요

얼그레이, 딸기, 우유생크림
다 맛있어요
슈가파우더가 듬뿍 뿌려져 있어서
짱 맛있지만
산책할 때 드시면 꼭 냅킨 챙기시면 되요^^

물티슈도 챙겨주셔서 깔끔하게 먹었어요",,2024년 6월 2일 일요일,1번째 방문,영수증
롬브 노원,도넛,,,,심통No1,https://m.place.naver.com/my/5ef5a5fc8f87a842bc9d8573/review?v=2,190,4.0,,"도너츠가 너무 달지않아서 좋아요.
크림이 정말 많이 들어가 있어서 좋아요","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 25일 화요일,1번째 방문,영수증
롬브 노원,도넛,,,,감자랑고구마랑,https://m.place.naver.com/my/5df492328f87a842bc686f2e/review?v=2,15,,,"동네산책하다가 발견한 곳입니다. 사장님이 라떼와 도너츠에 매우 진심이신편이세요✨ 데마라라라떼와 보리고개(보리로스팅) 마셨는데, 맛있어요! 다른분들이 리뷰에 적어주신대로 크림브륄레 도넛도 먹었는데, 달달하면서 고소해서 맛있네요❤️

오렌지 포인트로 센스 있는 인테리어까지 완벽한 곳입니다🫰",,2024년 5월 10일 금요일,1번째 방문,영수증
롬브 노원,도넛,,,,오들여사,https://m.place.naver.com/my/5b6a53b24f9dd7cc35793526/review?v=2,31,,,"크림도넛 먹고 싶어 검색해서 집근처라 갔는데
인테리어도 이쁘고 도넛이 너무 달지도 않고 맛있네요.
크림브뷀레 추천해요. 시럽코팅?이 바삭바삭하고 맛나요.",,2024년 4월 14일 일요일,1번째 방문,영수증
롬브 노원,도넛,,,,Bigwave4242,https://m.place.naver.com/my/5c26278b8f585f2192abd853/review?v=2,1968,,,두바이 초콜릿,,2024년 7월 28일 일요일,1번째 방문,영수증
롬브 노원,도넛,,,,초록나무 파란하늘,https://m.place.naver.com/my/5de3876d9ec8258e4a0d828b/review?v=2,1101,,,디저트 맛있고 대화 하기도 좋아요,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 19일 금요일,2번째 방문,영수증
롬브 노원,도넛,,,,sakuranbo42,https://m.place.naver.com/my/5fcefcaac87339315797815c/review?v=2,1055,33.0,,"매장이 아니라 노원 커피 페스티벌에서 구매했어요.
맛있어보였는데 먹어보니 생각 이상으로 맛있었어요 !!!! 나중에 매장에 가서 더 구매할 생각이에요",,2024년 5월 12일 일요일,1번째 방문,결제내역
롬브 노원,도넛,,,,에이미다람,https://m.place.naver.com/my/5c1df7f23c851b68898a7a41/review?v=2,763,27.0,,도넛 가격이 만만치 않네요. 커피도 4500원,,2024년 4월 26일 금요일,1번째 방문,영수증
