가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
림공방카페,"카페,디저트",4.75,,,whdobs,https://m.place.naver.com/my/60210d7ce7b83e2bfde94250/review?v=2,522,,,굿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 6일 수요일,1번째 방문,영수증
림공방카페,"카페,디저트",4.75,,,다교 쏭,https://m.place.naver.com/my/5c0fbe1ac0f2a614ce4dc0ca/review?v=2,602,34,,"동네에서 간단하게 맥주한잔 하기좋아요~
사장님 추천으로 피치트리하이볼 마셨는데
너무 맛있었어요
자주방문 할꺼 같아요^^",,2023년 7월 19일 수요일,1번째 방문,영수증
림공방카페,"카페,디저트",4.75,,,다교 쏭,https://m.place.naver.com/my/5c0fbe1ac0f2a614ce4dc0ca/review?v=2,602,34,,좋아요 ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 1월 8일 월요일,2번째 방문,영수증
림공방카페,"카페,디저트",4.75,,,cuf****,https://m.place.naver.com/my/5b63a843202e275c7b292023/review?v=2,879,,,올만에 왔어요,,2024년 1월 25일 목요일,1번째 방문,영수증
림공방카페,"카페,디저트",4.75,,,nokiatjsdud,https://m.place.naver.com/my/601fb8e43d3e272d32e07cdc/review?v=2,792,6,,좋아요,,2024년 2월 25일 일요일,1번째 방문,영수증
림공방카페,"카페,디저트",4.75,,,alt****,https://m.place.naver.com/my/5b7794a4891b356ae1fd4772/review?v=2,443,,,하이볼 맛나요,"일시적인 오류가 발생했습니다
친절해요",2023년 9월 1일 금요일,1번째 방문,영수증
림공방카페,"카페,디저트",4.75,,,00000087,https://m.place.naver.com/my/5eff23671c9b02e1ea3c8043/review?v=2,826,7,,좋아요,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2023년 6월 12일 월요일,1번째 방문,영수증
림공방카페,"카페,디저트",4.75,,,mmi****,https://m.place.naver.com/my/5f33377b9ec8258e4a6c17e7/review?v=2,1134,1,,"사장님이 한결같아 좋아요~
늘 편안하고 다시 가고 싶은 곳~~~","일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 4월 12일 수요일,4번째 방문,영수증
림공방카페,"카페,디저트",4.75,,,하얀별이68,https://m.place.naver.com/my/5e395bb38f87a842bc1fea4a/review?v=2,369,,,그릇도 이쁘고 친절해요,"일시적인 오류가 발생했습니다
매장이 청결해요",2022년 11월 29일 화요일,1번째 방문,영수증
림공방카페,"카페,디저트",4.75,,,황마담83,https://m.place.naver.com/my/5cbc9828990a16486349cb26/review?v=2,351,,,"너무예뻐여~
커피 맛있어여~^^","일시적인 오류가 발생했습니다
커피가 맛있어요",2022년 9월 3일 토요일,1번째 방문,영수증
림공방카페,"카페,디저트",4.75,,,프로리뷰어99,https://m.place.naver.com/my/5b9a313b1e770b237690c293/review?v=2,프로어99,6,,도자기 공방이 있어 구경하기 좋고 조용해요.,,2022년 8월 31일 수요일,1번째 방문,영수증
림공방카페,"카페,디저트",4.75,,,kws01128,https://m.place.naver.com/my/5f7cfbf86c3d7f7334ebfa4c/review?v=2,991,,,공방이 깨끗하고  친절하십니다,,2022년 8월 23일 화요일,1번째 방문,영수증
림공방카페,"카페,디저트",4.75,,,dsr****,https://m.place.naver.com/my/632be467d8e032b908699427/review?v=2,721,,,좋이요,"일시적인 오류가 발생했습니다
음료가 맛있어요",2022년 10월 7일 금요일,1번째 방문,영수증
림공방카페,"카페,디저트",4.75,,,벚꽃피는길목,https://m.place.naver.com/my/60b2d0fa87d954acd67498c3/review?v=2,514,,,처음 가본곳인데 그저그래요,,2022년 11월 17일 목요일,1번째 방문,영수증
림공방카페,"카페,디저트",4.75,,,서현맘6876,https://m.place.naver.com/my/5dae38d18f87a842bce83b3b/review?v=2,908,,,좋아요!,"일시적인 오류가 발생했습니다
친절해요",2022년 7월 8일 금요일,1번째 방문,영수증
