가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,wwwheh7799,https://m.place.naver.com/my/5da0e6388f87a842bc1d4890/review?v=2,103,3.0,,"뭐하나 고를수가 없어서 여러가지 구매했는데 진짜 디저트 맛집이에요..!
항상 동네지나다니면서 맛집같아서 궁금했는데 기대이상이였습니다
너무 달지않아서 부모님께 선물해도 좋을 것 같은 맛❤️
비주얼도 너무 먹음직스럽고 하나하나 예뻐서 선물용으로 딱인듯 !
하나하나 맛이 묵직한게 느껴져서 너무 만족스러웠어요
진짜 재료안아끼고 만든 디저트맛입니다 ㅎㅎㅎ
포장해와서 집에서 아메리카노랑 먹으니 넘 좋았는데, 종종 방문해서 홈카페 열어야겠어요😊👍",,2024년 6월 7일 금요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,suryberry,https://m.place.naver.com/my/5dfa54178f87a842bc6e21dd/review?v=2,145,,,"날 좋은 주말에 공릉철길 산책하러 갔다가 방문 했어요~! 
마카롱은 녹기전에 구매해서 바로 먹었는데 피스타치오 강추합니다!! 
마카롱, 마들렌, 휘낭시에 전체적으로 많이 달지 않아서 물리지 않고 맛있어요
제가 고른 마들렌 세가지중에선 말차맛이 제 원픽입니다.
​말차빵에 진한 말차초콜릿이 코팅되어있는데
말차초콜릿 부분이 특히 맛있어서 이 초콜릿만 판매해도 구매할것 같아요 ㅎㅎ 달콤 쌈싸름해서 정말 맛있어요
휘낭시에는 겉바속촉으로 잘 구워져서 적당히 바삭하고 쫀득 고소해서 정말 맛있고 다양한 토핑이 있어서 취향껏 선택 가능해요!
",,2024년 4월 27일 토요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,와이제이원,https://m.place.naver.com/my/5d7c6c068f87a842bca4771f/review?v=2,408,34.0,,날이 좋아서 공릉철길 산책하다가 저희 시어머님 평소 최애 양과점집이라 카네이션 마카롱 선물해드리려고 방문했어요!! 꼬끄가 쫀득하니 달달한데도 그렇다고 너~~무 단건 또 아니라서 엄청 좋아하시네요 ㅎㅎㅎㅎㅎ👍🏻👍🏻 여기는 휘낭시에도 맛있다고하셔서 다음엔 휘낭시에도 사먹으러 갈게요 히히,,2024년 5월 1일 수요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,로라의 일상이야기,https://m.place.naver.com/my/618f45acedc82600063eba6e/review?v=2,89,4.0,,"공릉에 오면 꼭 들르는 곳이에요!
최애는 무화과 휘낭시에! 😍
가족들도 다 좋아해서 1인1개씩해요ㅎㅎ
레몬마들렌도 넘 맛있어요~
약간 차가운상태가 젤 맛난 것 같아용
여기저기 선물하기도 좋아서 지인들한테도 종종 선물해요😆
담에 또 들를게요~~~💖",,2024년 4월 27일 토요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,Sharonnn,https://m.place.naver.com/my/5cc2d49f754df42ae5db57e1/review?v=2,177,4.0,,"평소에 배달로만 시켜먹다가 처음으로 
매장에서 포장 해왔어요!!!
공릉동 최애 휘낭시에 집이예요
무화과 휘낭시에 제발 드셔보세요
순우유 마카롱도요!!! 
사장님 오래 오래 공릉동에 있어주세요!!!!",,2024년 5월 25일 토요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,nunnuna88,https://m.place.naver.com/my/5bf44d251a0e68309420fb31/review?v=2,118,,,"마들렌이 맛있어서 종종 들리는 곳인데 첫 리뷰를 이제야 쓰네요. 
오늘 매장에 있던 직원분을 통해 신기한 경험했어요. 
손님이 들어가며 인사하는데 직원은 인사도 안하고ㅎㅎㅎ케익주문을 하려하면 며칠 전에 주문해야하냐 물어보니 신청하는 칸을 보면 써있다던데...ㅎㅎ읭?ㅎ뭐죠???ㅎㅎ매장 내 게시판 안내가 써 있는것도 아니고..어디에 들어가서 주문하란 이야기도 안하고..매장에서 제품 주문에 대한 대답을 해주기가 그리 어려운 일인가요??
빵은 맛나 순삭 했으나 묘하게 기분 나쁜 경험을 한 곳",,2024년 7월 25일 목요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,창틈,https://m.place.naver.com/my/5f488f30a602e98f56aaaca0/review?v=2,145,,,"휘낭시에, 마들렌 등 구움과자 종류가 굉장히 다양한 곳!!

테이크아웃 전문점이고
선물용 포장도 가능합니다

딸기라떼와 밀크티도 맛있어용",,2024년 5월 9일 목요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,우이잉30,https://m.place.naver.com/my/5b9c16d25d21787ca4a5ca2f/review?v=2,583,4.0,,"마들렌&휘낭시에&마카롱 좋아하시는 분들이라면 꼭 한번 먹어봐야하는 미라쥬양과점💕💕

저희 엄마도 미라쥬 휘낭시에가 젤 맛있다고 여기서만 사오라고 하시는 곳이에용😍❣️

퐁신퐁신하면서도 촉촉하고 진짜 딱 마들렌&휘낭시에의 정석같은 식감에 플레이버도 진~~~짜 많아서 들어가자마자 눈앞에 펼쳐진 마들렌이랑 휘낭시에 보는 것만으로도 웃음이 나는 곳이에용💚
(심지어 크기도 큼!!!!!)
+친절하고 러블리하신 사장님 덕분에 더더 기분 좋아지는 미라쥬🩷💕🩷💕

마카롱 선물세트도 너무 귀여워서 다음엔 선물세트 사러 또 올게용🌷🌷",,2024년 5월 2일 목요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,티파니11,https://m.place.naver.com/my/5b9beab0d480ffd6c7936e4d/review?v=2,323,44.0,,"11시인가 가서 오픈런 했어요.
오후에 가면 인기있는 맛은 없을 때도 많아서 아침에 갔더니 고를 수 있었어요.
무화과랑 몇가지 추천해주신 종류로 선물했는데 포장도 예뻤고 진짜 맛있다고 하시네요.
서로 부담스럽지 않은 선물로 추천합니다.
",,2024년 3월 23일 토요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,od****,https://m.place.naver.com/my/5ba9cfeba3153f1f04b345d1/review?v=2,434,36.0,,"지난번에 선물받아 먹어본 후 너무 맛있건 기억에 공릉철길로
산책을 갔다가 아이들 간식으로 포장해왔어요 
우선 휘낭시에와 마들렌의 종류가 다양햐서 골라먹는 재미가 있고 부드럽고 맛있어요 
 ",,2024년 4월 1일 월요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,햄5282,https://m.place.naver.com/my/5cdb8c09b3b5aa02d2ff4fd6/review?v=2,31,,,"가득찬 구움과자들을 보니 기분이 좋았어요ㅎㅎ
공릉철길 산책하다 만난 디저트가게 미라쥬양과점!
다음에 또 방문하겠습니다ㅎ","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 7일 금요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,837,https://m.place.naver.com/my/5b63b2c19854e35410c87a24/review?v=2,489,,,구움과자 종류가 다양하고 맛있어요!!,,2024년 7월 9일 화요일,1번째 방문,결제내역
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,스마일9968,https://m.place.naver.com/my/5c5042458bea7379623fba86/review?v=2,65,,,"마카롱, 휘낭시에, 마들렌 종류가 엄청 많아요! 
고르는 재미가 있었네요 
개인적으로 휘낭시에가 특히 맛있는 거 같아요ㅎㅎ
선물용으로 너무 좋아요~~",,2024년 3월 31일 일요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,나난냐,https://m.place.naver.com/my/6167842782fc7500070b1bcd/review?v=2,635,28.0,,"애플시나몬크럼블 마들렌 먹었어요!! 
마들렌 겉면에는 글레이즈드 도넛처럼 설탕시럽을 묻혀 아삭아삭한 달달한 맛이 좋았어요.
그리고 속에는 달달한 애플시나몬 잼이 생각보다 많이 들어있어서 달달했고, 조금조금씩 씹히는 사과 과육이 너무 좋았어요!😍",,2024년 4월 29일 월요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,ssongda12,https://m.place.naver.com/my/5e66c8f18f87a842bcab75b3/review?v=2,1688,20.0,,"마들렌 종류가 근처에서 제일 많은거 
같아요 마카롱도 맛있고 방앗간해도 될듯^^","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 6일 목요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,리틀리버,https://m.place.naver.com/my/5c4b17e875088834c59ee44f/review?v=2,87,,,"마카롱 맛집♡
냉동실에 쟁여두고 싶어요~~",,2024년 5월 26일 일요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,짹짹92,https://m.place.naver.com/my/5f0558c04d1cf87540aa8952/review?v=2,53,,,"제가 4년전부터 아주 사랑하던 디저트집입니다
레드벨벳마카롱 제발 꼭 드세요 .. 정신나가는맛입니다 ㅠㅠ 공릉철길디저트가게 찾는다면 바로 요기!!
저 믿구 얼른 가보세유><",,2024년 6월 2일 일요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,나난냐,https://m.place.naver.com/my/6167842782fc7500070b1bcd/review?v=2,635,28.0,,"솔티드 카라멜 마들렌 먹었어요.
마들렌 겉에 글레이즈드되어서 아삭달달했고,
모카향에다가 솔티드 맛이 확실하게 나서 단짠이 너무 좋았어요!",,2024년 4월 30일 화요일,2번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,sagabel,https://m.place.naver.com/my/5c70c41537e9a432df29e4c7/review?v=2,69,,,휘낭시에 마들렌 이렇게 종류 많은곳 처음 봤어요! 종류도 많은데 맛도 있어요 별점이 높은 이유가 있습니당 선물용으로도 추천드려요,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 2월 18일 일요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,나비날다 지야,https://m.place.naver.com/my/5b9f1d28b6babb3a65b6dff2/review?v=2,815,2.0,,"병원진료올때마다 들러요. 이젠 아이도 좋아하게되서 냉동실에 넣어놨다가 한알씩 꺼내먹어요^^ 오늘은 선물용 구입겸 들렀네요
제 최애는. 얼그레이♡",,2024년 4월 19일 금요일,3번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,wjd****,https://m.place.naver.com/my/5dc4e3bf8f87a842bc041c4a/review?v=2,93,,,"디저트들이 다 너무 맛있어요!
강추강추!!
특히 레몬마들렘, 무화과 휘낭시에 ♥️","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 1일 수요일,1번째 방문,결제내역
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,Letit고,https://m.place.naver.com/my/5efe0148b4dd01caff09dda5/review?v=2,22,,,"공릉철길 마들렌 탑티어 구움과자 집이에요 💛

구움과자 먹고싶을때마다 방문하구요~!!

특히 종류가 다양해서 너무 조하요!

",,2024년 2월 24일 토요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,lynn1017,https://m.place.naver.com/my/5d727c538f87a842bc43bc19/review?v=2,316,,,사장님이 넘 친절하시고 디저트 종류들이 넘 다양해서 고르는 재미가 쏠쏠했어요! 알록달록한 디저트 보는 것만으로 행복한데 맛까지 있으니 최고였어요❤️,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 3월 2일 토요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,빵수니219,https://m.place.naver.com/my/5bf200afe60721e4abd1a7bc/review?v=2,2093,,,"공릉카페 경춘선숲길에 디저트맛집이에요.
특별한 맛 마들렌 휘낭시에 마카롱을 맛볼수있어서 좋아요. 언제나 맛있고 특별한 디저트가 있는곳이에요. 직원분 친절하세요. 음료도 다양해서 디저트와 함께 맛볼수있어서 좋아요.",,2024년 1월 25일 목요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,하하살,https://m.place.naver.com/my/61b1ad9882fc7500070dbddb/review?v=2,117,1.0,,보기만 해도 눈이 즐거운 색색깔 디저트가 많아요. 몇개만 고르기 너무 힘들었습니다. 집에포장해 와서 커피랑 먹으니 넘 맛나네요,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 2월 1일 목요일,1번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,sun****,https://m.place.naver.com/my/60659e68961651617a337d85/review?v=2,419,17.0,,3번째방문!! 오늘 미라쥬양과점 간다니까 친구가 자기것도 사다달라고 부탁해서 양손가득 마들렌사들고 집에왔네요🤣🤣 언제먹어도 너무 맛있어요👍👍 ,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 1월 23일 화요일,3번째 방문,영수증
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,구르28,https://m.place.naver.com/my/5eecdb968f87a842bc9ef22b/review?v=2,9,1.0,,주변인 선물 살 일 있으면 가장 먼저 떠오르는 곳 ㅎㅎ 세트 포장도 예쁘고 하나하나 다 맛있어서 자주 들러요,,2024년 6월 17일 월요일,1번째 방문,결제내역
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,승현9814,https://m.place.naver.com/my/5f2e09399ec8258e4a326006/review?v=2,465,7.0,,"언제나 방문하는 디저트 가게에요
공릉커피축제에서도 사갔어요","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 12일 일요일,4번째 방문,결제내역
미라쥬양과점 공릉철길점,"카페,디저트",4.61,,,ksy****,https://m.place.naver.com/my/61b9eb0304927fa0c00dcbc5/review?v=2,580,,,"마드렌이 맛있네요
마카롱은 원하는게 없어서
조금 아쉽네요
친절해요 ",,2024년 5월 23일 목요일,1번째 방문,영수증
