가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
미라쥬양과점 본점,"카페,디저트",4.47,,,grbnana,https://m.place.naver.com/my/5ecf8e848f87a842bc2d515a/review?v=2,62,1,,쿠키 넘나 맛도리….담엔 레벨 먹으러 갈게요:),"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 7일 일요일,1번째 방문,결제내역
미라쥬양과점 본점,"카페,디저트",4.47,,,아울리너,https://m.place.naver.com/my/5efde95415c4bcd4305871c8/review?v=2,35,,,친구네 집 근처라서 방문했어요 주차도 가능하고 따듯한 분위기의 인테리어가 사진찍기 좋아요 😏 넛츠카라멜휘낭시에랑 따듯한라떼 조합 최고에요!! 🤤,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 10일 일요일,1번째 방문,영수증
미라쥬양과점 본점,"카페,디저트",4.47,,,뭄뭄85,https://m.place.naver.com/my/5d181fc010e09808dbeb14f3/review?v=2,28,,,제가 선물받았는데 되려 너무 맛있어서 다른곳에 선물하려고 방문했습니다 ㅎㅎ 얼그레이랑 레몬 너무 맛나요~,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 5월 10일 금요일,1번째 방문,영수증
미라쥬양과점 본점,"카페,디저트",4.47,,,뚜뚜루뚜루뚜,https://m.place.naver.com/my/5ef3400a8f87a842bc25ced3/review?v=2,340,,,선물하려고 방문했어요~ 휘낭시에 마들렌 원탑입니다ㅠ,,2024년 2월 8일 목요일,2번째 방문,영수증
미라쥬양과점 본점,"카페,디저트",4.47,,,숨니938,https://m.place.naver.com/my/5e107d3d8f87a842bcdcfbd6/review?v=2,308,,,"공릉에 갈 일이 있어서 사봤는데 맛있네요 
후기에서 다들 추천하는 레몬 마들렌, 초코 마들렌 두 가지만 사봤는데 레몬이 찐으로 맛있습니다..🤍","일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 11월 5일 일요일,1번째 방문,영수증
미라쥬양과점 본점,"카페,디저트",4.47,,,dptmej950,https://m.place.naver.com/my/5db857648f87a842bc0833ff/review?v=2,878,,,굳,,2023년 11월 15일 수요일,1번째 방문,영수증
미라쥬양과점 본점,"카페,디저트",4.47,,,유진649,https://m.place.naver.com/my/5dda0bce9ec8258e4a6c3ba3/review?v=2,9,,,"제가 먹어본 마들렌 중에 제일 맛있었어요... 여태까지 먹은 마들렌은 가짜고 미라쥬가 찐이에요... 거리만 가까우면 맨날 먹고 싶습니다ㅠㅠ
",,2023년 8월 11일 금요일,1번째 방문,결제내역
미라쥬양과점 본점,"카페,디저트",4.47,,,멍망2,https://m.place.naver.com/my/63be91b81438fc3a9ce9acc9/review?v=2,126,2,,쿠키 종류가 너무 맛있어요ㅠㅠㅜㅜ 4~6등분해서 냉동실에 넣어놓고 야금야금 먹고 있습니다!!,"일시적인 오류가 발생했습니다
매장이 청결해요",2023년 3월 10일 금요일,1번째 방문,결제내역
미라쥬양과점 본점,"카페,디저트",4.47,,,군침이터져나오노,https://m.place.naver.com/my/5d5b651e9dc9e8cbbc3e5d28/review?v=2,499,290,,"공릉 미라쥬양과점에서 마들렌, 휘낭시에 사왔어요! 배달로 종종 먹었는데, 가게에 직접 가본건 처음이에요ㅋ

주택가 골목에 있긴한데 큰 길가 근처라 찾기 어렵진 않았어요. 단, 주차는 살짝 힘들어요ㅠ 도착해보니 깔끔하고 아담한 크기의 가게더라고요ㅎ 테이블도 몇개 있네요!

왼쪽한켠에 마들렌과 휘낭시에가 진열되어 있었어요. 기본 레몬마들렌, 초코마들렌, 앙버터휘낭시에, 플로랑탱 휘낭시에, 레드벨벳 마카롱 겟! 레몬마들렌은 촉촉해서 좋았고, 초코마들렌도 많이 달지 않은 다크한 맛이라 굳! 앙버터 휘낭시에도 달콤 부드러워서 맛있게 먹었어요! 그냥 다 맛있습니다ㅎㅎ 가격도 요즘 물가 감안하면 합리적이고요.

다음에는 홀에서 커피한잔하면서 먹어보려고요. 맛나게 잘 먹었습니다!",,2022년 7월 2일 토요일,1번째 방문,영수증
미라쥬양과점 본점,"카페,디저트",4.47,,,똥개찡코,https://m.place.naver.com/my/5eb796868f87a842bc804ef3/review?v=2,607,,,마들렌이 너무 먹고싶어서 동네맛집 검색해서 왔는데 맛있어요👍,"일시적인 오류가 발생했습니다
친절해요",2022년 11월 9일 수요일,1번째 방문,영수증
