가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
밀탑 이마트 월계점,빙수,,,,하코냥,https://m.place.naver.com/my/5bf10f27786ec9589bb38db3/review?v=2,521,5,,"매장이 깔끔하고 빙수는 엄지척이예요~~~ 
제가 수술 후 남편이랑 첫 나들이였는데 먹지도 못 한 상태로 쟁반에 빙수를 쏟아서 넘 당황한 상황에서 새 빙수로 다시 해주셨어요~ 덕분에 넘 잘 먹었습니다^^ 넘 감사합니다♡",,2024년 7월 6일 토요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,찡이천사,https://m.place.naver.com/my/60c01fc604f3ec25eb1b7ee2/review?v=2,131,,,"빙수와 같이 먹는 커피 맛이 굿입니다.
시원달콤 일상의 쉼표 굿~~^^","일시적인 오류가 발생했습니다
아늑해요",2024년 7월 7일 일요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,이윤둥,https://m.place.naver.com/my/5b62e76315df90d7708cf049/review?v=2,3566,96,,처음 먹어봤는데 맛있어용 설빙보다 맛난듯 깔끔하고 팥이 많이 안달아유,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2024년 7월 3일 수요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,love4em,https://m.place.naver.com/my/5d07b52d97af01d9ee6dd23b/review?v=2,64,,,"맛있어용!!!
깔끔해서 담에 또오려고요","일시적인 오류가 발생했습니다
가성비가 좋아요",2024년 6월 13일 목요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,팜팜단단,https://m.place.naver.com/my/5c41c4d9ec13c0e37a690c09/review?v=2,584,,,"세트메뉴를 시켰습니다. 세트B 
세트메뉴에 시그니처 빙수중에 선택하게끔 되어있는데
왜 과일빙수는 안되는거죠? 그럼 그 메뉴를 따로 빼놓으셔야죠. 소비자기만아닌가요. 실컷 고민해서 골랐더니 이건되고, 이건안됩니다하면 기분이 상합니다. 
이런부분은 좀 수정을 해둘 필요가 있을 것 같습니다.",,2024년 6월 29일 토요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,6154,https://m.place.naver.com/my/5c4ef0e0cc6dc6fdc823fa1d/review?v=2,196,,,팥빙수 있어서 먹었는데 맛있고 시원했어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 7일 일요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,yuki2rsk,https://m.place.naver.com/my/61138dc1eb570135f5d8c505/review?v=2,1104,22,,팥빙수가 맛있어요!,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2024년 7월 12일 금요일,5번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,리비유모온스터무난구기,https://m.place.naver.com/my/5c06924bbb256c4c5f8b2cb1/review?v=2,2302,101,,빙수 맛있어요!,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 27일 토요일,9번째 방문,결제내역
밀탑 이마트 월계점,빙수,,,,배고파9816,https://m.place.naver.com/my/5bc9da48d48f4d9b7b00868c/review?v=2,220,5,,현백에사 철수한 밀탑! 이마트에서 보니 반갑네요^^,,2024년 6월 26일 수요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,joh03331,https://m.place.naver.com/my/5e08ae5e8f87a842bcff8d2a/review?v=2,301,1,,밀탑 팥빙수로 유명한곳이 이마트에 생기니 굿,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 6월 22일 토요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,GangBuk,https://m.place.naver.com/my/5b966e4d2a92dcc917ca38a5/review?v=2,285,,,밀크빙수 맛있어요 맛있어요 떡은 예전 같지 안네요,,2024년 5월 20일 월요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,리비유모온스터무난구기,https://m.place.naver.com/my/5c06924bbb256c4c5f8b2cb1/review?v=2,2302,101,,항상 맛있게 아기랑 커피 마시고 갑니다.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 15일 월요일,8번째 방문,결제내역
밀탑 이마트 월계점,빙수,,,,따끈한깨찰빵,https://m.place.naver.com/my/5b8ca31fc92d4a14ebcc6fa0/review?v=2,186,2,,"메뉴도 맛있고 푸짐한데
사장님도 친절하세요!
아이가 좋아해서 자발적으로 가자그래서 자주 오고있습니다🥰",,2024년 4월 11일 목요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,리비유모온스터무난구기,https://m.place.naver.com/my/5c06924bbb256c4c5f8b2cb1/review?v=2,2302,101,,빙수 너무 맛있어요!,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 4일 토요일,10번째 방문,결제내역
밀탑 이마트 월계점,빙수,,,,따끈한깨찰빵,https://m.place.naver.com/my/5b8ca31fc92d4a14ebcc6fa0/review?v=2,186,2,,항상 맛있고 좋아요.,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 19일 수요일,2번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,메이비911,https://m.place.naver.com/my/5b66e99ad8f6dba1e4bff9b1/review?v=2,231,14,,망고빙수가 과일빙수 중엔 젤 별로네요. 그래도 먹을만 해요.,,2024년 4월 7일 일요일,5번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,funky120,https://m.place.naver.com/my/5c680212f0c44b2896be0dae/review?v=2,121,1,,빙수는 밀탑이죠 현대 있을때부터 자주왔었오요 밀크빙수 베스틉니다! 우유 연유 팥 떡 쫄깃!,,2024년 4월 7일 일요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,yuki2rsk,https://m.place.naver.com/my/61138dc1eb570135f5d8c505/review?v=2,1104,22,,팥빙수가 맛있어요!!,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2024년 5월 28일 화요일,4번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,Soulfree,https://m.place.naver.com/my/5b7e4d006962120a44a3e4f0/review?v=2,1098,21,,"랜더스 데이로 할인해서 먹음.
양은 적은편",,2024년 4월 7일 일요일,1번째 방문,결제내역
밀탑 이마트 월계점,빙수,,,,뎐87,https://m.place.naver.com/my/5d130dec5f681acdf714eb37/review?v=2,787,,,맛있어요!,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2024년 6월 16일 일요일,2번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,리비유모온스터무난구기,https://m.place.naver.com/my/5c06924bbb256c4c5f8b2cb1/review?v=2,2302,101,,커피 맛있어요.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 13일 토요일,7번째 방문,결제내역
밀탑 이마트 월계점,빙수,,,,일랑일랑66,https://m.place.naver.com/my/5c26c01bfa2cce79ad708b9d/review?v=2,1178,,,굿,"일시적인 오류가 발생했습니다
재료가 신선해요",2024년 6월 29일 토요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,아재입맛언니,https://m.place.naver.com/my/5d9831568f87a842bce5b06c/review?v=2,1577,99,,"✔️과일빙수 안에 작게 썰린 과일 들어있음
✔️겉에는 딸기시럽 맛
✔️팥과 떡도 사이드로 같이 나옴
✔️빙수카페라 빙수가 맛있음
✔️빙수가 깔끔하고 시원한 맛!
✔️매장안에 자리 넉넉히 있고 코드도 있어서 노트북으로 작업하기도 좋음
✔️매장깔끔
✔️직원분도 친절하심
✔️이마트 안에 있어서 화장실 가기도 편함(비록 반대편에 있지만)
✔️이마트에 스벅은 자리가 별로 없어서 여기가 더 좋음",,2023년 11월 19일 일요일,1번째 방문,결제내역
밀탑 이마트 월계점,빙수,,,,BLOOM56,https://m.place.naver.com/my/5d2d95ba3f07c0653210718a/review?v=2,512,,,굿,,2024년 6월 15일 토요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,qwert144,https://m.place.naver.com/my/5cda14b650a4f964f56eeefd/review?v=2,81,,,사람이.없어서 좋아요,"일시적인 오류가 발생했습니다
집중하기 좋아요",2024년 5월 23일 목요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,his302053,https://m.place.naver.com/my/5c4497324d9b2d6b7676541d/review?v=2,773,,,맛있게 잘 먹고 갑니다~~,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 5월 14일 화요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,리비유모온스터무난구기,https://m.place.naver.com/my/5c06924bbb256c4c5f8b2cb1/review?v=2,2302,101,,커피 맛있게 잘 마셨습니다.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 13일 화요일,5번째 방문,결제내역
밀탑 이마트 월계점,빙수,,,,달lee,https://m.place.naver.com/my/5b9b9e8fbf675f3afb8d8dbd/review?v=2,2070,15,,계절메뉴로 딸기빙수가 있는데 진짜 맛있어요 추천!!! ,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 2월 16일 금요일,1번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,메이비911,https://m.place.naver.com/my/5b66e99ad8f6dba1e4bff9b1/review?v=2,231,14,,항상 맛나게 잘먹고있어요.,,2023년 12월 19일 화요일,4번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,메이비911,https://m.place.naver.com/my/5b66e99ad8f6dba1e4bff9b1/review?v=2,231,14,,딸빙 맛나요 퀄리티 좋아요,,2023년 12월 9일 토요일,3번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,v쥬신v,https://m.place.naver.com/my/5e30a3488f87a842bcb6fcf0/review?v=2,15,,,"지난번 밀크빙수를 먹고 친정엄마와 
신랑이랑 재방문했어요 엄마는 밀크빙수 먹고 
저는 흑임자빙수 먹었어요
A세트를 저번에 먹었기 때문에 
이번엔 B 세트에 흑임자추가
역시나 100% 국산단팥~ 빙수팥이라 적절히 팥알이 살아있어요. 팥알을 입에먹으면 남는거 없이 부드럽게 
부서집니다 그리고 팥 잘못 쑤면 아린맛이나 떫고 쓴맛이나는데 그런거없이 적당 달달한 맛이에요.
팥 좋아하시는 분들은 진짜 만족하실거에요
여기는 찐 단팥이에요~
흑임자는 빙수안에 바닐라아이스크림 한스쿱들어있고 고명으로는 흑임자떡이있네요
빙수얼음이라고하나 진짜 가늘어서 살살녹아요~
꼭 눈을 먹는거 같아요!! 
그래서 순삭으로 먹었네요 ~ㅎㅎ 
인절미도 쫀득하고 맛있고 빙수집인데 커피도
맛있어요! 나중에 바닐라라떼도 추가로 따로 먹었어요ㅎ
",,2023년 8월 12일 토요일,2번째 방문,영수증
밀탑 이마트 월계점,빙수,,,,리비유모온스터무난구기,https://m.place.naver.com/my/5c06924bbb256c4c5f8b2cb1/review?v=2,2302,101,,커피랑 디저트 잘 먹었습니다. ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 1월 13일 토요일,3번째 방문,결제내역
밀탑 이마트 월계점,빙수,,,,메이비911,https://m.place.naver.com/my/5b66e99ad8f6dba1e4bff9b1/review?v=2,231,14,,이마트 갈때 종종 가요. 옛날에 먹은 사진은 못찾겠고 최근것만 첨부합니다ㅋㅋ 맛있어요 많이 달지 않아서 좋아요.,,2023년 10월 28일 토요일,2번째 방문,영수증
