가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
바빈스커피 공릉점,카페,4.27,,,sun****,https://m.place.naver.com/my/61e4338227c86181d1e66820/review?v=2,225,,,커피가 진하지 않고 맛있어요.,,2024년 7월 25일 목요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,봉봉쓰28,https://m.place.naver.com/my/5e6c73f88f87a842bce05cad/review?v=2,2809,,,사장님 두분다 친절하세요 ㅎ,,2024년 6월 29일 토요일,4번째 방문,결제내역
바빈스커피 공릉점,카페,4.27,,,hyeresa,https://m.place.naver.com/my/5d93d1218f87a842bc53400e/review?v=2,691,,,컵빙수 가성비도 좋고 맛있어요~! 옛날 팥빙수 좋아하는데 딱이에용,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 15일 월요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,fami17,https://m.place.naver.com/my/5d527492bef3bf69cf6f1968/review?v=2,1474,,,커피향이 좋고 맛있어요~~라떼에는 걍 우유로..두유는 안어울리는것 같아요..ㅜㅜ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 8일 수요일,6번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,마을의 천연비타민,https://m.place.naver.com/my/61b073304f4bb2ae0b85b50a/review?v=2,1129,12,,호밀바질페스토샌드위치와 호밀햄에그샌드위치랑 따뜻한커피한잔으로 하루가 즐겁다,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 1월 22일 월요일,2번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,마을의 천연비타민,https://m.place.naver.com/my/61b073304f4bb2ae0b85b50a/review?v=2,1129,12,,깔끔한 호밀햄에그샌드위치 속이 편하고 나만의 혼밥하기에 안성맞춤,,2024년 1월 18일 목요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,fami17,https://m.place.naver.com/my/5d527492bef3bf69cf6f1968/review?v=2,1474,,,맛있어요~~커피도 맛나네요~~^^,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 12일 화요일,4번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,까만햄찌,https://m.place.naver.com/my/622999990f2db6a7af709aa0/review?v=2,11,,,"근처에 볼일이 있어서 포장주문했어요!
사장님도 친절하시구 키오스크가 비치되어있어서 편하게 결제할 수 있었습니다 ㅎㅎ
매장도 넓고 좌석도 많아서 좋아보였어요",,2024년 1월 17일 수요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,knh67085,https://m.place.naver.com/my/62fc878d5dc46700065bb946/review?v=2,652,,,이집 붕어빵도 강추합니다~~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 16일 금요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,and0604,https://m.place.naver.com/my/5b90c8d200360a1c8a187510/review?v=2,1296,11,,좋아요,,2024년 3월 31일 일요일,2번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,fami17,https://m.place.naver.com/my/5d527492bef3bf69cf6f1968/review?v=2,1474,,,,,2024년 4월 30일 화요일,5번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,Doremi3,https://m.place.naver.com/my/5fba127190767b6efe2ac0fe/review?v=2,1040,,,"가격좋고 커피맛나고 사장님두분도 친절하세요~

그리고 아침일찍 오픈하셔서 친정오면 늘 모닝커피는 바빈스에서 마셔요~~",,2023년 11월 23일 목요일,4번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,해봄101,https://m.place.naver.com/my/5ba88d87fe9f485092eec9f3/review?v=2,17,,,커피가 꼬숩고 맛나서  자주 오는 집인데 오늘은 토스트 맛집이네요.공릉동 바빈스 커피 쵝오,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 10월 2일 월요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,냠냠감자돌이,https://m.place.naver.com/my/62bfd9c3d443d237d311cc51/review?v=2,118,,,샌드위치 넘나 맛있습니다 🥪 ,"일시적인 오류가 발생했습니다
건강한 맛이에요",2023년 10월 20일 금요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,ahn****,https://m.place.naver.com/my/5c20950a627307e667cdd702/review?v=2,399,,,"매장이 청결하고 예뻐요, 음료도 맛있어요 ","일시적인 오류가 발생했습니다
음료가 맛있어요",2023년 9월 21일 목요일,3번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,fami17,https://m.place.naver.com/my/5d527492bef3bf69cf6f1968/review?v=2,1474,,,커피가 맛있네요~~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 12월 14일 목요일,3번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,epg****,https://m.place.naver.com/my/5d11cf585868d438fb1f4365/review?v=2,1765,,,조어여,,2024년 6월 15일 토요일,11번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,MJAYJ,https://m.place.naver.com/my/5df6cf8a8f87a842bceda239/review?v=2,180,8,,사장님 친철하시고 버스정류장 내리자마자 바로 있어서 좋네요 잘먹었습니다~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 8월 29일 화요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,ahn****,https://m.place.naver.com/my/5c20950a627307e667cdd702/review?v=2,399,,,가격도 저렴하고 음료도 맛나요~,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 8월 23일 수요일,2번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,걷고또걷고,https://m.place.naver.com/my/5e0e99e78f87a842bce56ea4/review?v=2,78,1,,"편안하고 잔잔한음악이 있어
커피마시며 멍때리기 좋네요.","일시적인 오류가 발생했습니다
대화하기 좋아요",2023년 6월 6일 화요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,백숙현48,https://m.place.naver.com/my/5eb0c6348f87a842bcc949d0/review?v=2,215,3,,"노원바비스 까페
흑당버블티 진짜 맛있어요 ","일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 3월 31일 금요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,cut****,https://m.place.naver.com/my/5e8fefcd8f87a842bcb25598/review?v=2,172,,,주말에 윤동후 항상 애용하는 카페. 샌드위치 커피 너무 맛나고. 부부사장님이 너무 친절하고 특히 여사장님 너무 멋쪄영~~~,"일시적인 오류가 발생했습니다
친절해요",2023년 5월 27일 토요일,1번째 방문,결제내역
바빈스커피 공릉점,카페,4.27,,,나가자 바다로,https://m.place.naver.com/my/5c3b3b05cfb4d287b69ed2a5/review?v=2,839,25,,포장이긴 하지만 사장님이 엄청  진절하시고 커피 맛도 좋아요.,"일시적인 오류가 발생했습니다
대화하기 좋아요",2023년 5월 28일 일요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,Doremi3,https://m.place.naver.com/my/5fba127190767b6efe2ac0fe/review?v=2,1040,,,친절하시고 맛도 좋아요~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 6월 12일 월요일,2번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,향기로운 채움,https://m.place.naver.com/my/605d8e91b17852528f300769/review?v=2,2282,1,,좋아요,,2023년 10월 20일 금요일,2번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,핼이,https://m.place.naver.com/my/5b7b9bed2c56d884a3b37401/review?v=2,1216,28,,사장님 친절하시고 음료도 맛있어요 음료 양이 푸짐해서 저렴한 가격에 맛있게 먹었습니다 메뉴가 다양하고 좋아요,"일시적인 오류가 발생했습니다
음료가 맛있어요",2023년 5월 25일 목요일,1번째 방문,결제내역
바빈스커피 공릉점,카페,4.27,,,행복하기893,https://m.place.naver.com/my/5d43fb07e45e99785e26a098/review?v=2,2193,,,굿,,2023년 8월 5일 토요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,반트호프,https://m.place.naver.com/my/5b77dc4fa1330e5444e8d27f/review?v=2,886,13,,맛있는 커피를 먹으면서 담소하기 좋음,"일시적인 오류가 발생했습니다
대화하기 좋아요",2023년 3월 28일 화요일,1번째 방문,결제내역
바빈스커피 공릉점,카페,4.27,,,Doremi3,https://m.place.naver.com/my/5fba127190767b6efe2ac0fe/review?v=2,1040,,,맛있어요,"일시적인 오류가 발생했습니다
친절해요",2023년 6월 13일 화요일,3번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,향기로운 채움,https://m.place.naver.com/my/605d8e91b17852528f300769/review?v=2,2282,1,,맛있어요,,2023년 8월 25일 금요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,nso****,https://m.place.naver.com/my/5d9a83008f87a842bcf8847d/review?v=2,867,,,좋아요 ,,2023년 5월 27일 토요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,은영양,https://m.place.naver.com/my/5b692dff93d45cdd4d973447/review?v=2,1068,18,,매번 그냥 주문하다가 이번에는 도장쿠폰 받았어요.^^,,2023년 2월 9일 목요일,2번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,은영양,https://m.place.naver.com/my/5b692dff93d45cdd4d973447/review?v=2,1068,18,,냠~냠~^♡^,"일시적인 오류가 발생했습니다
좌석이 편해요",2023년 3월 18일 토요일,3번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,하루64,https://m.place.naver.com/my/5e4bc5278f87a842bca394e6/review?v=2,75,1,,사장님도 친절하시고 메뉴가 다양해서 커피를 못마셔도 선택의 폭이 넓어요.아이스크림 라떼 맛있어요.,"일시적인 오류가 발생했습니다
대화하기 좋아요",2022년 11월 27일 일요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,찌니이이이잉312,https://m.place.naver.com/my/5b9d2cbbd3519a07a17df88e/review?v=2,2290,11,,ㅇ,,2023년 7월 19일 수요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,리사51,https://m.place.naver.com/my/6142edab064a53998f674754/review?v=2,536,,,커피가 맛있어요,,2023년 1월 26일 목요일,1번째 방문,영수증
바빈스커피 공릉점,카페,4.27,,,aa4970,https://m.place.naver.com/my/5f0732e28f87a842bcc2d2e6/review?v=2,125,,,"아주아주 맛있어요...
파니니 맛집인데 음료도 맛있기까지!!!
딸기흑당버블티 강 추합니다...","일시적인 오류가 발생했습니다
디저트가 맛있어요",2022년 12월 9일 금요일,2번째 방문,영수증
