가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
바이레인베이크샵,베이커리,,,,오디로든가보자,https://m.place.naver.com/my/612cc55cc63a4cb88140a4bc/review?v=2,51,1.0,,"[바이레인]
🪄산딸기피스타치오치케 / 애플파이 / 펌킨페스츄리
⭐️ 빵 하나 하나 정성 가득하구 좋은 재료 왕창 넣은 느낌

플레이팅 부터 빵 맛 까지 완벽한 카페에요
특히, 산딸기와 피스타치오의 조화는 완벽하구
호박 별로 안좋아하는데 부드러운 호박크림과
페스츄리가 입에서 녹아요 진짜.. 꼭 드세요💗
금방 솔드아웃이 많아서 오픈런 추천합니당🫶🏻",,2024년 5월 15일 수요일,1번째 방문,영수증
바이레인베이크샵,베이커리,,,,뎁뎁,https://m.place.naver.com/my/5dd39a898f87a842bcd85a20/review?v=2,177,1.0,,"친구의 권유로 갈곳이 없어 잠시 방문했는데
내부도 너무 아늑하고(사람이 많아서 사진을 못찍었어요…) 디저트도 너무 맛있고

가게를 나서는 손님보다, 웨이팅을 기다리려 나오는 손님이 더 많았어요 ! 그만큼 존맛탱

1위인 콘페스츄리 존맛탱이에요! 잘 쉬다갑니동
다음에는 오는 손님들이 다 맛있다고 하는 케이크도 도전해보겠어요~(´∀｀*)👍🏻",,2024년 6월 15일 토요일,1번째 방문,영수증
바이레인베이크샵,베이커리,,,,Erin8458,https://m.place.naver.com/my/5c98f36af37ca1d92d5c5f3b/review?v=2,67,,,"간만에 이쁘고 맛있는 카페 발견했어요.
디카페인 아메리카노 파는게 일단 맘에 들도 맛도 카페인이랑 차이가 없을 만큼 맛나요~ 비정제설탕으로 만든 애플파이도 바삭하고 안달아서 맛있네요!",,2024년 7월 6일 토요일,1번째 방문,영수증
바이레인베이크샵,베이커리,,,,이쌤0 0,https://m.place.naver.com/my/5bffee9869d7652399a6ecc9/review?v=2,33,,,"집근처라 유명하다기에 후르츠크레이프 먹어보고싶어  티라미수파운드 같이 구매했어요. ㅜㅠ 사장님이 포장을 잘못해주시는 바람에 ㅋ다른빵을 가져온걸 나중에야알고 다시 바꾸러갔다죠? ㅋ후르츠크레이프 너무 맛있습니다. 티라미수도 서비스로 주신 명란바게트?도 다 맛있어요.
후르츠크레이프 선물로도 좋을거같아요.",,2024년 5월 30일 목요일,1번째 방문,영수증
바이레인베이크샵,베이커리,,,,strikeoil,https://m.place.naver.com/my/5dc3cc598f87a842bc9a5061/review?v=2,344,58.0,,"중랑장미축제보고  오랫만에 방문했어요 산딸기피스타치오치즈케잌 이거 진짜 꾸덕하고 산딸기는 상큼  시트는 바삭하거 카푸치노랑 먹으니 정말맛있어요
꼭 드셔보세요 비주얼도  너무 예쁩니다",,2024년 5월 16일 목요일,2번째 방문,결제내역
바이레인베이크샵,베이커리,,,,belle012,https://m.place.naver.com/my/5e6af33a8f87a842bc24c30d/review?v=2,40,,,"성수에서 자주가던 단골인데 없어져서 너무 슬펐다가
우연히 공릉에서 발견
아아 너무 좋아요","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 7월 5일 금요일,1번째 방문,영수증
바이레인베이크샵,베이커리,,,,수잘못,https://m.place.naver.com/my/5eb0d8f48f87a842bc065b3e/review?v=2,5,,,"커피랑 케익 빵 모두 미친맛이에요!!!
인테리어도 멋진데 직접하셨다고 하더라고요.
곳곳에 붙여진 캐릭터 디자인이 재미도 있고 예술적!","일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 7월 3일 수요일,1번째 방문,영수증
바이레인베이크샵,베이커리,,,,gwc****,https://m.place.naver.com/my/5cce94fa7dce20b1c11dae77/review?v=2,1178,4.0,,"분위기도 좋고 친절하셔서 기분좋게 놀다가요
인테리어가 너무 예쁜 곳!","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 7월 25일 목요일,1번째 방문,영수증
바이레인베이크샵,베이커리,,,,제니아알미,https://m.place.naver.com/my/5efde6ae84943dca755a9239/review?v=2,213,,,"전부터 너무 가고 싶어서 알아보고 있다가 처음 갔는데 근로자의날이라 사람이 많아서 빵과 케이크가 다팔려서ㅜ 아쉬운대로 평소 먹고 싶었던 명란바게뜨 소금빵과 명란감자베이글 소금빵, 옥수수 크럼블 먹었는데 너무너무 대만족이었습니다~ !!!😄 커피도 밀크티도 너무 맛있었구요~!! 단골 될거 같아요~~~😘",,2024년 5월 1일 수요일,1번째 방문,영수증
바이레인베이크샵,베이커리,,,,꽃마리NJ2040,https://m.place.naver.com/my/5c025bc7fbacc009ef20012e/review?v=2,11,,,"드디어 이전한 공릉동 바이레인 와봄. 
시간들여 구불구불 찾아온 보람이^^

리뷰쓰니 이리 앙증맞은 곰돌이 초까지 주시고,
감사감사~ 번창하세요~~",,2024년 7월 13일 토요일,1번째 방문,영수증
