가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,하하그릇,https://m.place.naver.com/my/5da01d308f87a842bce5fc3b/review?v=2,631,,,"일하시는 분이 많이 힘드신듯
블러스트 만드는 뚜껑이 싱크위에 얹어있다가 갑자기 툭하고 떨어졌는데..
주문한 사람이(저요)있는데도 그냥 줏어서 음료제조..
하하하하하하하하하하하하하하하하하하하하하",,2024년 7월 5일 금요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,느글탱이,https://m.place.naver.com/my/5d46f8aaa16a1024d5446e78/review?v=2,306,5,,"30분 포장했는데 빠르게 녹네요 
구입후 바로 먹어야 할것같습니다",,2024년 7월 9일 화요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,younga77,https://m.place.naver.com/my/5efdf950bd26bdc9a0686942/review?v=2,940,6,,정량인지 확인 불가능이구 너무녹아잇어요 다른곳에비해..,,2024년 6월 22일 토요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,CoffeeBoy,https://m.place.naver.com/my/5ccceebf7eaaddea1430d06e/review?v=2,1570,18,,맛있어요. 근데 직원분이 화가 많이 나신듯… 일이 힘드신가봐요,,2024년 7월 8일 월요일,4번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,gooopgg76,https://m.place.naver.com/my/5efde31515c4bcd4305863eb/review?v=2,1099,10,,항상 가요 굿굿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 24일 월요일,8번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,싱글벙글마냥신난 박강냥,https://m.place.naver.com/my/63a2daee1438fc3a9c609f90/review?v=2,373,54,,시원한 아이스크림 먹고 싶어 뉴욕치즈케이크 맛먹었어요. 치즈 케이크 먹는 느낌! 달달하니 맛있어요~,,2024년 4월 22일 월요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,no****,https://m.place.naver.com/my/5de84b049ec8258e4ac17885/review?v=2,21,,,"휴지 달라고 하니까 2장 주길래 그거 쓰고나서
휴지 좀 더 달라고 그랬더니
점장이 인당 2장씩만 주라고 정해놨다고 겁나 뭐라고 하면서
이마트 푸드코트에 있는 휴지를 쓰래요
원래는 안주던거 그나마 2장씩 준거라고...
전부 2장씩도 아니고 달라는 사람만...

내용도 어이없는데 친절히 안내하는게 아니고
알바 말하는 늬앙스가...
점장이 정해놓은거고 원래는 안주던거니까 더이상 말하지 말고 좀 알고 있어라... 라는 태도 있죠?
나는 지들한테 돈을 지불했는데  휴지는 이마트 공용휴지 쓰라니... 이 무슨...
그리고 인당 2장이면
2명이서 가서 메뉴 2개 먹으면서 달라 한거니까
4장이 맞는거 아닌가요?
근데 왜 그 난리인지...

그리고 성애제거를 아이스크림통 안 빼고 하네요...
아 진짜 비위생적...",,2024년 4월 23일 화요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,메이비911,https://m.place.naver.com/my/5b66e99ad8f6dba1e4bff9b1/review?v=2,231,14,,항상 잘 먹고 있어요. 도쿄바나나 맛있어요.,,2024년 4월 1일 월요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,싱글벙글마냥신난 박강냥,https://m.place.naver.com/my/63a2daee1438fc3a9c609f90/review?v=2,373,54,,부드럽고 상큼한 망고향 가득 아이스크림🍦👍🏻,,2024년 4월 26일 금요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,percussion love16,https://m.place.naver.com/my/60e0049602fb7389aa40d783/review?v=2,164,,,,,2024년 7월 3일 수요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,따끈한깨찰빵,https://m.place.naver.com/my/5b8ca31fc92d4a14ebcc6fa0/review?v=2,186,2,,친절하고 맛도 다양해서 좋아요.,"일시적인 오류가 발생했습니다
메뉴 구성이 알차요",2024년 5월 18일 토요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,ly1602,https://m.place.naver.com/my/5e47f4878f87a842bc57a294/review?v=2,656,,,디저트로 달콤하게 먹었어요,"일시적인 오류가 발생했습니다
친절해요",2024년 7월 3일 수요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,감사합니다9859,https://m.place.naver.com/my/5d8c68828f87a842bcce057d/review?v=2,55,,,아이스크림가게,,2024년 5월 15일 수요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,고라니2894,https://m.place.naver.com/my/5efdcf78041be3dc257ae336/review?v=2,501,,,잘 먹었습니다,,2024년 6월 2일 일요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,세꽁맘,https://m.place.naver.com/my/5d8aca638f87a842bcabcef8/review?v=2,401,,,"생일 케익바꾸러 가끔 애용합니다
집 가까이 있어서 좋아요~",,2024년 6월 1일 토요일,3번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,say****,https://m.place.naver.com/my/5cff551e648edcf7ea69a329/review?v=2,1040,,,귯굿굿,,2024년 7월 11일 목요일,1번째 방문,결제내역
배스킨라빈스 월계이마트점,아이스크림,4.32,,,kwLee,https://m.place.naver.com/my/5bd0384c9d93ae66ec432c7e/review?v=2,588,2,,,,2024년 6월 15일 토요일,1번째 방문,결제내역
배스킨라빈스 월계이마트점,아이스크림,4.32,,,김미진4765,https://m.place.naver.com/my/5c6e6ad34bb61f68d9a4d219/review?v=2,164,,,좋아요. 만족해요.,,2024년 7월 6일 토요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,에이치앤제이콤포96,https://m.place.naver.com/my/5e925e778f87a842bc5c2f6b/review?v=2,1672,,,아크,,2024년 7월 5일 금요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,엥나아,https://m.place.naver.com/my/60873c72fb6464cf6f6c8fae/review?v=2,943,32,,"베스킨이 불러오는 가족타임 즐겁다
쥔장 직원이 바뀌었나
오늘은 시크한 친절함까지 가져 가게 되었다
이달의 추천 메뉴도 좋았네여
우잉 ..^^ 키오스크는 힘들어 쭈빗쭈빗 ㅋㅋ",,2024년 1월 9일 화요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,메이비911,https://m.place.naver.com/my/5b66e99ad8f6dba1e4bff9b1/review?v=2,231,14,,주말에 오니까 주문실수도 엄청 많고 불친절,,2024년 4월 6일 토요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,dlg****,https://m.place.naver.com/my/609a772791a96e93def6960b/review?v=2,1357,,,👍 ,,2024년 6월 6일 목요일,3번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,jss2594,https://m.place.naver.com/my/5c6feb0f31be72437bc4240e/review?v=2,1148,3,,이마트 월계 베라31 친절하시네요. 신세계상픔권사용 가능하네요.   good..,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2024년 3월 16일 토요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,최은희72,https://m.place.naver.com/my/614813c282fc75000708b774/review?v=2,19,,,좋아요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 21일 일요일,16번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,따끈한깨찰빵,https://m.place.naver.com/my/5b8ca31fc92d4a14ebcc6fa0/review?v=2,186,2,,맛있어요,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 4일 목요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,iok0508,https://m.place.naver.com/my/5c99c6b6c92fba4bab4622db/review?v=2,1104,,,친절 ,,2024년 6월 21일 금요일,5번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,누르는순간수전증,https://m.place.naver.com/my/5cf7179c5a938498ee12f120/review?v=2,965,31,,좋아요,,2024년 7월 6일 토요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,CoffeeBoy,https://m.place.naver.com/my/5ccceebf7eaaddea1430d06e/review?v=2,1570,18,,굿굿,,2024년 6월 16일 일요일,3번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,lim****,https://m.place.naver.com/my/5eb37e7e8f87a842bcd00dee/review?v=2,184,,,사빠딸 보면 사빠죄아 생각남,,2024년 5월 7일 화요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,녱녱녱,https://m.place.naver.com/my/5ed086518f87a842bc8b43e9/review?v=2,344,9,,"이달의 맛 쫀꾸렛 겁!!!!!!나 달아요!!!!!
한번의 경험으로 만족!!! 연휴시작이라 
사람 엄청 많고 바뿌네용 넘 친절하셔요🍀","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 2월 8일 목요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,ang****,https://m.place.naver.com/my/5e772aec8f87a842bc140ac6/review?v=2,339,1,,굿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 5일 수요일,3번째 방문,결제내역
배스킨라빈스 월계이마트점,아이스크림,4.32,,,살아있는크림,https://m.place.naver.com/my/5ecb5aff8f87a842bcbfb7c8/review?v=2,136,6,,별로에요 아이스크림 제대로 퍼서주는지도 의심스러웠어요,,2024년 3월 25일 월요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,석훈맘72,https://m.place.naver.com/my/5e6ac1cf8f87a842bc0b9187/review?v=2,1422,10,,맛나요,,2024년 6월 12일 수요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,구선배,https://m.place.naver.com/my/5de765c49ec8258e4a46b6cf/review?v=2,686,,,베스킨 골라먹는 재미로 맛있게 먹었네요,"일시적인 오류가 발생했습니다
친절해요",2024년 4월 21일 일요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,행복한깜짱,https://m.place.naver.com/my/5b632becb8230648b3415433/review?v=2,228,10,,"이마트안에 있어서 쇼핑하고, 밥먹고, 디저트로
아이스크림까지 굿이랍니다.",,2024년 3월 3일 일요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,tedybearr,https://m.place.naver.com/my/5eaf0d078f87a842bcf4ca1a/review?v=2,742,,,좋아요,,2024년 6월 8일 토요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,ago****,https://m.place.naver.com/my/5ca8beb665ece747a5421f2b/review?v=2,614,,,,"일시적인 오류가 발생했습니다
친절해요",2024년 7월 3일 수요일,5번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,Luisa31,https://m.place.naver.com/my/5c1eee335a1f67045ad1f64b/review?v=2,1060,11,,💕,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 5월 5일 일요일,4번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,여니47,https://m.place.naver.com/my/5ca88435f2900d8110d8607b/review?v=2,318,,,버라이어티팩 먹기 편하고 좋아요,,2024년 3월 7일 목요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,거친숨소리54,https://m.place.naver.com/my/613c4f5d9243290b5c84b304/review?v=2,284,,,조아,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 6일 토요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,산에살리라,https://m.place.naver.com/my/5bed75b062b3bd4adf0ccde2/review?v=2,354,1,,아이들이 좋아해요,,2024년 5월 11일 토요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,봄이오면 28,https://m.place.naver.com/my/5eff2bde2b86491bc1c835b5/review?v=2,1627,42,,"31일 사이즈업 이벤트 이용하였어요~
연말이라 사람들이 넘 많았네요~~
울 아들이 제일 좋아했어요 ㅎㅎ","일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 12월 31일 일요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,밥죠6,https://m.place.naver.com/my/5cdec424b627945cd774e57d/review?v=2,995,2,,"아이스크림이 맛있어요
",,2024년 2월 18일 일요일,4번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,jws****,https://m.place.naver.com/my/5eeaf0bd8f87a842bcabea2c/review?v=2,1537,7,,굿,,2024년 5월 2일 목요일,12번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,네넵33,https://m.place.naver.com/my/5ef6a45f8f87a842bc699563/review?v=2,1560,,,ㅋㅋㅇㅇㄴㄴㅌㅇㅁㅊㅇㄹㄹㅇㅊㄹㅋㅊㄹㄹㄹㅇㄴㅊㅊㄹㅇㅌㅊㅊㅊㅊㅇㅌㅌ,,2024년 4월 27일 토요일,3번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,꼬나64,https://m.place.naver.com/my/5e7a25248f87a842bc27800f/review?v=2,141,,,"편리한위치에 늘 좋아요
맛도좋구요",,2024년 3월 31일 일요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,이현정2548,https://m.place.naver.com/my/5e5a632b8f87a842bcd498af/review?v=2,144,,,맛있게 잘 먹었습니다~~~~~,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 4월 27일 토요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,psh****,https://m.place.naver.com/my/5ef6b5e28f87a842bc9a0011/review?v=2,1292,,,좋아요,,2024년 6월 4일 화요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,후리지아361,https://m.place.naver.com/my/5bf40228378d29d8044ea4f8/review?v=2,979,,,좋아요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 26일 금요일,5번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,iok0508,https://m.place.naver.com/my/5c99c6b6c92fba4bab4622db/review?v=2,1104,,,ㄱ,,2024년 4월 15일 월요일,4번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,kan****,https://m.place.naver.com/my/5fa4c040eee54eaaac3e294d/review?v=2,564,,,마트안에 있어 장보기랑 한 번에 해결,,2024년 3월 7일 목요일,5번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,jws****,https://m.place.naver.com/my/5eeaf0bd8f87a842bcabea2c/review?v=2,1537,7,,굿,,2024년 4월 18일 목요일,11번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,엔시젤르,https://m.place.naver.com/my/5e3e63728f87a842bc786ca6/review?v=2,1006,1,,역시 민초,,2024년 4월 20일 토요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,ago****,https://m.place.naver.com/my/5ca8beb665ece747a5421f2b/review?v=2,614,,,,"일시적인 오류가 발생했습니다
친절해요",2024년 6월 12일 수요일,4번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,세꽁맘,https://m.place.naver.com/my/5d8aca638f87a842bcabcef8/review?v=2,401,,,식후 디저트 아이스크림 맛나요,,2024년 3월 4일 월요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,jws****,https://m.place.naver.com/my/5eeaf0bd8f87a842bcabea2c/review?v=2,1537,7,,굿,,2024년 4월 5일 금요일,10번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,lujina99,https://m.place.naver.com/my/5c2addf19b9e8733ff60078b/review?v=2,1253,,,여자직원분 친절과거리있음,,2024년 2월 3일 토요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,jws****,https://m.place.naver.com/my/5eeaf0bd8f87a842bcabea2c/review?v=2,1537,7,,굿,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 4월 4일 목요일,9번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,koko30,https://m.place.naver.com/my/608dc4b163769b49ed59965c/review?v=2,1374,,,굿,,2024년 4월 15일 월요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,쓰리맘1208,https://m.place.naver.com/my/5e1d74608f87a842bc8edca5/review?v=2,176,14,,"빙글 스윙트리 케이크 아직맛보기전이예요
",,2023년 12월 26일 화요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,Love0909,https://m.place.naver.com/my/5eeb40fa8f87a842bc5e4611/review?v=2,578,,,굿,,2024년 7월 6일 토요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,gooopgg76,https://m.place.naver.com/my/5efde31515c4bcd4305863eb/review?v=2,1099,10,,맛나요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 21일 목요일,7번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,코랄핑크,https://m.place.naver.com/my/5c0881c47bddca8513add0f0/review?v=2,577,,,😄,,2024년 6월 29일 토요일,7번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,싱싱태양,https://m.place.naver.com/my/5c9c3825bbcea52746ce6902/review?v=2,1149,,,맛있어요,,2024년 5월 6일 월요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,minepado,https://m.place.naver.com/my/5efefc30a7f1cdd89fef4d2c/review?v=2,1035,1,,조아요,,2024년 3월 17일 일요일,4번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,라이빗,https://m.place.naver.com/my/5d04a826e35c48e2ce4339a6/review?v=2,279,2,,"키오스크? 가 2개나있는데      한번 주문 입력하면   나무 늘보 보다  더 늦게,  차라리 카운터에서ㄲ",,2024년 1월 6일 토요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,코랄핑크,https://m.place.naver.com/my/5c0881c47bddca8513add0f0/review?v=2,577,,,😭,,2024년 6월 19일 수요일,6번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,iok0508,https://m.place.naver.com/my/5c99c6b6c92fba4bab4622db/review?v=2,1104,,,ㄱ,,2024년 2월 28일 수요일,3번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,mzifjsk,https://m.place.naver.com/my/5efe14e2854ca92931131cea/review?v=2,1067,,,긋,,2024년 3월 9일 토요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,L O V E 7,https://m.place.naver.com/my/5ddb90679ec8258e4a78050a/review?v=2,375,18,,"이마트 2층에 있는데 친절하고 괜찮아요.
단, 사람밀리면 좀 기다려야해요.","일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 1월 2일 화요일,1번째 방문,결제내역
배스킨라빈스 월계이마트점,아이스크림,4.32,,,jws****,https://m.place.naver.com/my/5eeaf0bd8f87a842bcabea2c/review?v=2,1537,7,,굿,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 3월 2일 토요일,8번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,영심이3929,https://m.place.naver.com/my/5e43c25d8f87a842bc3d0f6f/review?v=2,135,,,친절해요.,,2024년 5월 15일 수요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,향기로운 채움,https://m.place.naver.com/my/605d8e91b17852528f300769/review?v=2,2282,1,,좋아요,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 5월 30일 목요일,3번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,don****,https://m.place.naver.com/my/627f4bb5e04943081c2e2f6c/review?v=2,708,,,굿,,2024년 4월 15일 월요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,shi****,https://m.place.naver.com/my/5e0223628f87a842bc4867e6/review?v=2,1585,,,ㆍ,,2024년 3월 12일 화요일,7번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,CoffeeBoy,https://m.place.naver.com/my/5ccceebf7eaaddea1430d06e/review?v=2,1570,18,,굿굿,,2024년 3월 8일 금요일,2번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,mzifjsk,https://m.place.naver.com/my/5efe14e2854ca92931131cea/review?v=2,1067,,,긋,,2024년 3월 1일 금요일,1번째 방문,영수증
배스킨라빈스 월계이마트점,아이스크림,4.32,,,minepado,https://m.place.naver.com/my/5efefc30a7f1cdd89fef4d2c/review?v=2,1035,1,,조아요,,2024년 2월 27일 화요일,3번째 방문,영수증
