가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
버터키튼,"카페,디저트",,,,스프링1973,https://m.place.naver.com/my/5bfa64b4b72ac48ec4d406ce/review?v=2,44,,,"휘낭시에 바닥면과 윗면 식감이 너무 좋고, 다쿠아즈도 정말 맛있게 먹었습니다!!

포장도 귀여운 고양이발 스티커로 해주셔서 엄청 귀여웠어요! 인테리어도 전부 고양이 소품으로 되어있어서 구경하는 재미도 있었던 것 같습니다

위생도 소독 열심히 하시고, 장갑을 주기적으로 교체해가면서 하셔서 믿음이 갔습니다!! 다음에도 디저트 사갈 일이 있으면 포장해갈 것 같아요🥳",,2024년 7월 25일 목요일,1번째 방문,결제내역
버터키튼,"카페,디저트",,,,반짝이맘1028,https://m.place.naver.com/my/5eff31971c9b02e1ea3ca544/review?v=2,235,2,,"오늘은 귀여운 조카같은 아이에게
선물해 주고 싶어서 버터키튼에 다녀왔어요
맛도 있는데 디자인이 너무 깜찍해서
아이가 좋아할 것 같더라고요
버터키튼은 단맛의 밸런스가 좋고
너무 맛있어요
저의 최애 간식이예요",,2024년 5월 6일 월요일,5번째 방문,결제내역
버터키튼,"카페,디저트",,,,rara29a,https://m.place.naver.com/my/5cf50afded3a0750fe1baf72/review?v=2,15,,,"오랜만에 간 공릉 나들이🤎 공릉시장이랑 공릉철길 사이에 있어서 들리기 좋았어요. 디저트 메뉴가 다양해서 고민 중에 고른 바닐라 다쿠아즈! ! ! 바닐라빈이 콕콕 박혀있고, 퐁신퐁신 맛있어요 ㅠㅠ 다쿠아즈 냉장고에 두었다가 시원하게 먹으니까 더 맛있네요 공릉 간식 추천👍🏻",,2024년 6월 14일 금요일,3번째 방문,영수증
버터키튼,"카페,디저트",,,,이민트48,https://m.place.naver.com/my/5de5d9cf9ec8258e4ab61b80/review?v=2,84,,,"포장도 너무 귀엽고 깔끔하고 휘낭시에 퀸아망 다쿠아즈 등메뉴 구성 엄청 알차고 맛있어요!! 
재료들이 좋아서인지 깊고 감칠맛이 납니당ㅠㅠㅠ ",,2024년 6월 11일 화요일,1번째 방문,영수증
버터키튼,"카페,디저트",,,,SNS가싫어서된영수증리뷰어,https://m.place.naver.com/my/5efe0d400765f4dd1bac2fe3/review?v=2,SNS가싫어서된영수증어,14,,"과자랑 커피 맛있어요!
우연히 들어왔는데 조용히 맛있게 먹을수 있어서 좋았습니다!
고양이 소품들도 너무 긔여워여",,2024년 6월 6일 목요일,1번째 방문,영수증
버터키튼,"카페,디저트",,,,구릉구름 맑은구름,https://m.place.naver.com/my/5eff3bb9598cfed34e178039/review?v=2,7,,,"선물로 사갈만한 디저트샵을 찾아 걸어가던 중에 우연히 발견한 가게. 가게는 작은데, 분위기가 밝고 귀여워서 무심코 눈이 갔다.
그런데 들어가보니 재료가 굉장했다. 고메 버터나 벨기에 초콜릿은 자주 봤지만 말돈 소금이랑 비정제 설탕이라니.. 그거까지 생각하면 가격을 저렴하게 책정하신것 같다. 차도 마리아쥬 프레르 쓰시고, 말차도 차선으로 풀어서 타주시는듯.
선물로 사간다 하니 어떤분 선물인지 물어봐주시고 포장도 너무 예쁘게 해주시고.. 노랑 베레모를 쓴 사장님이 가게 분위기의 코어같은 느낌으로 귀여우셨다.

기본 휘낭시에 맛 후기!
식감 : 떡지지 않고 고른 에어리함, 촉촉한 부드러움, 겉은 쫀득 바삭한 느낌이 살짝 남.
맛 : 당도가 적당하고 향긋한 버터의 감칠맛이 일품임. 꿀떡꿀떡 넘어가는 맛이다.",,2024년 5월 14일 화요일,1번째 방문,결제내역
버터키튼,"카페,디저트",,,,반짝이맘1028,https://m.place.naver.com/my/5eff31971c9b02e1ea3ca544/review?v=2,235,2,,"사장님도 친절하시고 밝고
디저트도 너무 맛있어요
특히 바닐라냥쿠아즈는 제 픽이예요^0^
어쩜 이렇게 맛있게 하실까요?
다쿠아즈 쿠키는 겉바속촉하고
필링이 쿠키랑 너무 잘 어울려요

제가 좋아하는 바닐라 있어서 행복했어요",,2024년 4월 12일 금요일,4번째 방문,결제내역
버터키튼,"카페,디저트",,,,반짝이맘1028,https://m.place.naver.com/my/5eff31971c9b02e1ea3ca544/review?v=2,235,2,,"산책 나왔다가 
바닐라빈 다쿠아즈 먹고 싶어서 갔는데

흑흑 ㅠㅠ
역시 다들 맛있는거 아시나봐요
품절이였어요 ㅠㅠㅋㅋㅋㅋ

디저트를 좋아하시는 분은 알거예요
수제 다쿠아즈는 공릉동에서 한 곳밖에 없는걸

사장님 계속 번창하시길 바래요
맛있으니까 가능해요

그래도 사장님께서 만드시는거 맛있으니까
브르통 사왔어요
느므 맛나요

",,2024년 4월 9일 화요일,3번째 방문,결제내역
버터키튼,"카페,디저트",,,,냠냠꿀끄억,https://m.place.naver.com/my/5f063ecaee1ece9f4a66fd77/review?v=2,20,,,"공릉철길 산책하고 들리기 좋네요
사장님이 정말 친절하셔서 기분좋게 집에 왔어요
더블초콜릿 냥쿠아즈는 진한 초코라 맛있고
흑임자가 들어간 다쿠아즈는 첨인데 고소하고 특별해요.
흑임자 냥쿠아즈 강추입니다! !",,2024년 3월 8일 금요일,1번째 방문,영수증
버터키튼,"카페,디저트",,,,유스티나0,https://m.place.naver.com/my/5f04595cee4be03dee2699a0/review?v=2,7,,,"문을 열자마자 너무 사랑스러우신분께서 반갑게 맞아주셨어요! 디저트 하나하나 정성스럽고 정말 치유되는
공간입니다. 근처 사는 친구에게도 선물하고 저도 포장해왔는데 다 너무 맛있어요. 시식으로 주신 제품도 너무 맛있었어요. 지수님 유튜브보고 계속 가고 싶었는데 친구네 놀러가게되면 또 방문하려구요. 맛있는 디저트 먹으러 또 갈게요. 오늘 너무 감사했습니다 :)
",,2024년 3월 30일 토요일,1번째 방문,결제내역
