가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
봉명동내커피 노원공릉점,카페,,,,짜장윤윤,https://m.place.naver.com/my/5de5d33c9ec8258e4a92e793/review?v=2,257,20.0,,"봉명동내커피 처음 먹어봤어요.
음료는 쏘쏘~~
디저트 와플 맛있다고 하는데 담에 먹어봐야겠어용","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 23일 목요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,태엽감는곰77,https://m.place.naver.com/my/5f24f4f49ec8258e4a61678f/review?v=2,271,,,개쩌는 크림양의 와플 독보적,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 5월 26일 일요일,1번째 방문,결제내역
봉명동내커피 노원공릉점,카페,,,,꼬꼬맹e,https://m.place.naver.com/my/5b82b97f3cc8256949cd3fd6/review?v=2,935,20.0,,요즘 스트레스받아서인지 야식이 땡기더라고요.. 생전 야식 잘안먹는 타입입니다. 김치베이컨볶음밥은 김치는 별로 없어요ㅠ 물가가 올라서 그런거같아요. 그래도 나머진 맛있게 먹었어요~,,2024년 2월 26일 월요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,iri****,https://m.place.naver.com/my/626a7b0102e44cea16c03cbf/review?v=2,914,,,좋아요,,2024년 7월 28일 일요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,GREATGREAT,https://m.place.naver.com/my/5c42c6b9dd2002439759c496/review?v=2,40,,,커피가 맛있어요! 잘마셨습니다.,,2023년 12월 22일 금요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,cyber8159,https://m.place.naver.com/my/5ee61c768f87a842bc0cd567/review?v=2,230,,,굿,,2024년 7월 15일 월요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,JRYOON,https://m.place.naver.com/my/5b9ca40d7920c8e6bfc93334/review?v=2,402,12.0,,봉명동 매니아 인증😮🙂,,2023년 12월 2일 토요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,달lee,https://m.place.naver.com/my/5b9b9e8fbf675f3afb8d8dbd/review?v=2,2071,15.0,,여기 아메랑 카야토스트가 맛있어요!!! 크룽지는 진짜 별로.... ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 10월 12일 목요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,lek****,https://m.place.naver.com/my/5ca6fd3b4f0af4a6505eb7e9/review?v=2,1473,,,샤인머스캣에이드하고 시나몬 와플 주문했는데 넘나 맛있어요 오픈한지 얼마 안되서 매장도 깨끗하고 테이크아웃 매장이라 테이블은 하나밖에 없네요 사장님도 친절하세요 ㅎ ,,2023년 8월 25일 금요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,mln****,https://m.place.naver.com/my/5db9c3e08f87a842bc3a5a54/review?v=2,1094,,,"가격도 저렴하고 맛있어요~
사장님도 친절하세요~
대박나세요~^^",,2023년 8월 25일 금요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,lek****,https://m.place.naver.com/my/5ca6fd3b4f0af4a6505eb7e9/review?v=2,1473,,,샤인머스캣에이드하고 시나몬 와플 주문했는데 넘나 맛있어요 오픈한지 얼마 안되서 매장도 깨끗하고 테이크아웃 매장이라 테이블은 하나밖에 없네요 사장님도 친절하세요 ㅎ ,,2023년 8월 25일 금요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,mln****,https://m.place.naver.com/my/5db9c3e08f87a842bc3a5a54/review?v=2,1094,,,"가격도 저렴하고 맛있어요~
사장님도 친절하세요~
대박나세요~^^",,2023년 8월 25일 금요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,그레이트티쳐62,https://m.place.naver.com/my/5d89e53e8f87a842bc7f9818/review?v=2,3131,1.0,,처음 가봤는데 맛있네요~ㅎㅎ,,2023년 11월 23일 목요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,dodado,https://m.place.naver.com/my/5f34ff439ec8258e4ac6e74f/review?v=2,8,,,양도 많고 맛있어요! 매장 디자인도 이뻐서 만족해요♡,"일시적인 오류가 발생했습니다
매장이 청결해요",2023년 7월 22일 토요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,joy****,https://m.place.naver.com/my/5fa7f03dcd566b9c78a7fa48/review?v=2,2,,,"미숫가루랑 토스트 먹었는데 너무 맛있어요ㅠㅠㅠ
번창하십쇼!!!","일시적인 오류가 발생했습니다
아늑해요",2023년 7월 17일 월요일,1번째 방문,결제내역
봉명동내커피 노원공릉점,카페,,,,서촌돼지,https://m.place.naver.com/my/5ce5e2518f87a842bc423a86/review?v=2,186,7.0,,디저트맛집 소문 듣고 찾아왔습니다 두근두근 엄청 깨끗하구 친절해요!!,"일시적인 오류가 발생했습니다
친절해요",2023년 7월 23일 일요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,AY4913,https://m.place.naver.com/my/5dd3d2618f87a842bc09d3fe/review?v=2,29,,,커피가 너무 맛있어용🤍 종종 들릴게욤 번창하세요🔥🔥,"일시적인 오류가 발생했습니다
친절해요",2023년 7월 15일 토요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,Doremi3,https://m.place.naver.com/my/5fba127190767b6efe2ac0fe/review?v=2,1040,,,가격도 좋고 맛있어요. ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 8월 27일 일요일,2번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,Doremi3,https://m.place.naver.com/my/5fba127190767b6efe2ac0fe/review?v=2,1040,,,맛있어요,,2023년 8월 26일 토요일,1번째 방문,영수증
봉명동내커피 노원공릉점,카페,,,,초이21,https://m.place.naver.com/my/5e8e6bda8f87a842bcca2076/review?v=2,972,,,굿,,2023년 7월 22일 토요일,1번째 방문,영수증
