가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
봉위켄 공릉점,"카페,디저트",,,,비밀의색30,https://m.place.naver.com/my/5d33a80d1948ac912b25978f/review?v=2,76,,,"망고케이크 당겨서 방문했는데 동물성 생크림, 생망고, 시트 밸런스도 딱 좋고 넘 맛있어요. 커피도 저렴한 편이고 맛있네요~디카페인 콜드브루 있어서 좋아요. 맛있는 디저트 생각날 때 재방문하고 싶어요. 단골분들 포장도 많더라고요ㅎㅎ",,2024년 6월 29일 토요일,1번째 방문,영수증
봉위켄 공릉점,"카페,디저트",,,,유댕입니당,https://m.place.naver.com/my/5c567d1484146862731f0a33/review?v=2,75,1,,친구 집에 놀러갈 때 몇 개 포장했는데 커피랑 너무 잘 어울렸어요☺️! 특히 시트롱마들렌 입에서 녹았어요… 😖💞 사장님께서 헷갈릴까봐 종이테이프로 하나씩 메뉴도 적어주셨는데 정말 감사했습니다,,2024년 7월 4일 목요일,1번째 방문,영수증
봉위켄 공릉점,"카페,디저트",,,,반짝이맘1028,https://m.place.naver.com/my/5eff31971c9b02e1ea3ca544/review?v=2,235,2,,"당충전하고 싶으면
1분 거리의 봉위켄이 생각나요

까눌레는 겉바속촉이고
초당옥수수 휘낭시에는 고소하고 맛있어요

친절하신 사장님 많이많이 파세요!!!!!!!!",,2024년 7월 17일 수요일,12번째 방문,영수증
봉위켄 공릉점,"카페,디저트",,,,반짝이맘1028,https://m.place.naver.com/my/5eff31971c9b02e1ea3ca544/review?v=2,235,2,,"점심 먹고 달달한게 생각나서
1분 거리의 봉위켄을 다녀왔어여

신제품인 얼그레이 밀크티 쿠키도 생각 났어요
오늘의 픽은 얼그레이 밀크티쿠키, 까눌레
누룽지 휘낭시애인데
얼그레이 밀크티는 잼이 꾸덕하면서 쿠키와
너무 잘 어울리고 맛나요
까눌레는 언제나 겉바속촉인데 
꼭 먹어야할 디저트 중에 하나예요
누릉지 휘낭시애는 이름도 귀여운데
구수하고 고소하고 맛나게 먹었어요

오늘도 당충전 잘했어요",,2024년 6월 8일 토요일,11번째 방문,영수증
봉위켄 공릉점,"카페,디저트",,,,둥굴게는 맛있어,https://m.place.naver.com/my/5e3621308f87a842bc9614a3/review?v=2,111,,,"플레인 휘낭시에 - 작아서 별기대 없었는데 촉촉하게 입에서 녹음 기본이 근본
마들렌 - 계란빵 우주선처럼 생김 플레인 휘낭시에랑 맛 비슷할 거 같은데 달랐어요 마들렌부터 먹을걸 그랬네요 플레인 휘낭시에 보다 덜 단데 다르게 맛있음 
다크초코 피칸 쿠키 - 눅눅하지 않고 식감도 좋았어요 쿠키좋아",,2024년 7월 11일 목요일,1번째 방문,포장주문
봉위켄 공릉점,"카페,디저트",,,,지매디매,https://m.place.naver.com/my/64e1585da2ade750156eee7b/review?v=2,257,11,,"다양한 구운 디저트들과 케익이 있어서 매력적이 공릉 카페 봉위켄입니다. 차량으로 방문해서 디저트 포장해 가기도 좋고, 잠시 커피 한잔과 쿠키나 마들렌 화낭시에 먹으면서 여유 즐기기도 좋아요. 매장에서 직접 구운 디저트들이 매력적인 봉위켄이라 공릉동에 방문했을 때 여유롭게 디저트를 즐기고 싶으시면 방문하시기 추천!",,2024년 5월 24일 금요일,1번째 방문,영수증
봉위켄 공릉점,"카페,디저트",,,,반짝이맘1028,https://m.place.naver.com/my/5eff31971c9b02e1ea3ca544/review?v=2,235,2,,"기본 스콘 먹고 싶어서 봉위켄 갔는데
들어갔더니 갓한 빵향기가
너무 좋았어요

갓한 튀김이 맛있 듯
갓한 스콘은 따뜻하니 정말 맛있네여

막 오븐에서 나왔다며 따뜻한거 주셨어요
감사해요 ㅠㅠ

커피도 스콘과 너무 잘 어울리고 맛있어요
오늘은 까눌레 마들렌 스콘 픽입니다^0^
다 맛있어요",,2024년 5월 23일 목요일,10번째 방문,결제내역
봉위켄 공릉점,"카페,디저트",,,,꿀디횬,https://m.place.naver.com/my/5b9e6fddd436560783743441/review?v=2,796,11,,"지나가다 잠시 시간때우려고 들어왔는데 노릇노릇 😀
디저트도 커피도 생각보다 맛있어서 놀랐어요!
사장님도 친절하시구 좋아오",,2024년 6월 22일 토요일,1번째 방문,영수증
봉위켄 공릉점,"카페,디저트",,,,반짝이맘1028,https://m.place.naver.com/my/5eff31971c9b02e1ea3ca544/review?v=2,235,2,,"오늘은 정말 크렘브륄레만 보고 
구매하러 갔어요
정말 어쩜 이렇게 크림이 미쳤나요
너무 맛있어여 
토치로 살짝 설탕을 녹여주시는데
그 깨먹는 맛이 중요하다고 하셨는데
진짜 그래요 ㅎㅎㅎㅎㅎ
너무 맛있어요
간김에 휘낭시애랑 까눌레까지 
픽하게 되더라고요 ㅎㅎ",,2024년 5월 10일 금요일,8번째 방문,결제내역
봉위켄 공릉점,"카페,디저트",,,,반짝이맘1028,https://m.place.naver.com/my/5eff31971c9b02e1ea3ca544/review?v=2,235,2,,"인스 보는데 와~이건 먹어야지 하는 느낌이였어요
사장님께 미리 디엠 보내서
픽했어요^0^
아이랑 먹을려고 구매했는데 
썸머모스카토 케이크는 와인이 소량 들어가 있다고
친절하게 설명해 주셨어요
귀욤뽀짝한 케이크 아이랑 먹을 생각하니까
느므 좋아요

사장님 케이크랑 디저트 종류들 드셔보세요
너무 맛있어요",,2024년 5월 4일 토요일,7번째 방문,결제내역
