가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
브레드웨이,베이커리,4.49,,,여우별3932,https://m.place.naver.com/my/5b7ad93edd4d882fc42ad9ca/review?v=2,41,,,"지하철 타러 갈때마다 빵냄새에 도라버려요
기본빵들도 맛있는데 소금빵이 새로나왔길래 소금빵도 먹어봤어요 겉이 바삭하니 맛있었어요",,2024년 5월 30일 목요일,1번째 방문,결제내역
브레드웨이,베이커리,4.49,,,뽀글이엄마84,https://m.place.naver.com/my/63837d521438fc3a9cda306e/review?v=2,212,2,,"늘 바쁘게 지나가기만 하다가 드디어 구입.
건강하고 맛있는빵이라 좋아요.",,2024년 4월 17일 수요일,1번째 방문,영수증
브레드웨이,베이커리,4.49,,,yo****,https://m.place.naver.com/my/5eff1e33a7f1cdd89fef98f0/review?v=2,1882,31,,좋아요 좋아요 😀 😄 😁 😊 😍 😆 ,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 4월 22일 월요일,4번째 방문,결제내역
브레드웨이,베이커리,4.49,,,yo****,https://m.place.naver.com/my/5eff1e33a7f1cdd89fef98f0/review?v=2,1882,31,,좋아요 👍 😀 👍 😀 👍 ,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 5월 1일 수요일,5번째 방문,결제내역
브레드웨이,베이커리,4.49,,,coo****,https://m.place.naver.com/my/6296bef27b4dd70006b25cf1/review?v=2,996,,,빵이 맛있습니다.,,2024년 5월 17일 금요일,1번째 방문,영수증
브레드웨이,베이커리,4.49,,,pms****,https://m.place.naver.com/my/5dff35bd8f87a842bc0c6ea9/review?v=2,911,,,,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 4월 1일 월요일,1번째 방문,영수증
브레드웨이,베이커리,4.49,,,베수킥라빈슥29,https://m.place.naver.com/my/5f057580d55dbc0b1808bef4/review?v=2,134,4,,공릉역에서 직장다닐때  지하철에서 출퇴근할때 거즘 마니 들렸던거 같애요.  쿠키 사서 먹고 초코파이 사서 먹고~  쿠키를 마니 사가서 먹었었죠~~~ 가끔 소보로빵도 먹고  지금도 생각날때 들려서 쿠키 사가는데 버터쿠키가 젤 맛난거같애요 ㅎ ㅎ ㅎㅎ ,,2024년 1월 13일 토요일,1번째 방문,결제내역
브레드웨이,베이커리,4.49,,,blu****,https://m.place.naver.com/my/5f05fff4a33384f6f57c57d6/review?v=2,23,,,지하철역사안에 있어 편하게 빵구매,,2024년 2월 25일 일요일,1번째 방문,결제내역
브레드웨이,베이커리,4.49,,,708****,https://m.place.naver.com/my/62676d9f00a06ea7581337db/review?v=2,988,,,동네 맛집 추천 합니다 ,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 3월 23일 토요일,1번째 방문,영수증
브레드웨이,베이커리,4.49,,,MoonMoon62,https://m.place.naver.com/my/5e5f7e8a8f87a842bc6ed861/review?v=2,1393,,,굿,,2024년 4월 12일 금요일,2번째 방문,영수증
