가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
블루마일스커피로스터즈,카페,,,,만보이선생,https://m.place.naver.com/my/5ce67d20dbc8c72d63f9bc22/review?v=2,248,29.0,,"종종 들리고 있는 이곳,
오늘은 운좋게 오픈 3팀 한정 스콘세트 이벤트에
당첨됐습니다.
디카페인 커피에 곁들일 수 있는 고메 스콘세트를 
선물받았습니다.
바삭 촉촉 부드러운 스콘을 쨈과 이즈니버터와
함께 즐겼습니다.
칼로리 폭발로 운동을 더 해야하지만,
커피와 스콘이 조화로워서 참 좋네요. ^ ^

덥고 힘들었던 이번 주도
'블루마일스'와 즐겁게 마무리되네요.

좋은 이벤트 감사합니다!",,2024년 7월 26일 금요일,2번째 방문,예약
블루마일스커피로스터즈,카페,,,,호두파이19,https://m.place.naver.com/my/5d7749d38f87a842bca43ead/review?v=2,21,,,"세 번째 방문이에요!
경춘선 숲길이 내다보이는 통창뷰가 카페 안을 환하게 밝혀줘서 기분이 좋아요
커피도 맛있고 디저트도 쿠키 케이크 타르트 같은 스콘까지 여러 종류 준비되어 있어서 집중해서 작업하러 자주 찾게 될 것 같아요",,2024년 6월 25일 화요일,1번째 방문,영수증
블루마일스커피로스터즈,카페,,,,만보이선생,https://m.place.naver.com/my/5ce67d20dbc8c72d63f9bc22/review?v=2,248,29.0,,"아마도 공릉동에서 제일 많이 들린 카페일 것 같습니다.
리뷰를 올린 적이 없는게 되려 이상하고,
쿠폰을 만들지 않은 것도 의아합니다.

일단, 기본 커피 맛이 좋습니다.
음악도, 분위기도 좋구요.
원두 설명과 함께 음악 추천이라니...

화장실의 이중 잠금장치와 꾸밈을 보면,
세심한 주인장의 손길이 느껴집니다.

단점은 가끔 너~무 사람이 많은 정도 같네요.
주 고객층은 20대이고, 40대까지는 많이 찾아오십니다.

2층 창가에서 올해 개나리도 벚꽃도 실컷 봤네요.
주말에 가족과도 일부러 찾아왔으니,
이만하면 단골 인정?",,2024년 6월 18일 화요일,1번째 방문,영수증
블루마일스커피로스터즈,카페,,,,LOVEONGE,https://m.place.naver.com/my/5dc475c48f87a842bcb2a442/review?v=2,118,1.0,,"처음 방문했는데 우선 커피가 맛있네요. 원두 종류에 따른 안내도 잘 해주시 설묭 같이 주시는데 그것두 좋구요. 진동벨에 안내사항 같이 적혀 있어 좋았어요. 세심한 배려랄까요.
우연히 밤늦게 방문했는데 학기중에 새벽3시까지 운영하신다고 되어 있는데 그래서인지 늦은 시간에도 과제나 공부하시는 분들이 많더라구요. 
분위기도 좋구 커피 맛도 좋아서 또 방문하게 되지 않을까 싶어요. 요즘 밤늦게 하는 카페 찾는게 쉽지 않고 있더라도 커피맛이 별로거나 분위기가 별로인 곳이 많은데 여기는 두가지 다 모두 좋아서 재방문의사 있어 쿠폰도 만들었네요 ㅎㅎ",,2024년 5월 21일 화요일,1번째 방문,영수증
블루마일스커피로스터즈,카페,,,,hyezzang28,https://m.place.naver.com/my/5c239542711592e0b6019b71/review?v=2,19,,,"매일 커피랑 아이스크림라떼만
먹다가 바치케는
처음 주문해봤는데 촉촉꾸덕치케라 입에서 사르르 녹고 적당히 달고 치즈맛이 잘 느껴져요 🫶 
다음에 또 주문할게요!",,2024년 7월 14일 일요일,3번째 방문,영수증
블루마일스커피로스터즈,카페,,,,allthesame,https://m.place.naver.com/my/5b66bcc1da85f3239373ebb6/review?v=2,863,13.0,,"에어로프레스로 내려주신 필터커피~~^^
컵노트에 쓰여진데로 상큼한 레몬맛이~~
끝맛은 쌉싸름한 커피~ 달콤한 향기와 함께~
추천해주시신 음악과 마시니 완전 힙해~~^^",,2024년 7월 5일 금요일,1번째 방문,영수증
블루마일스커피로스터즈,카페,,,,yoola00,https://m.place.naver.com/my/5cfbeb9f2cae4730ce2885d8/review?v=2,8,,,"커피를 못 마시게 돼서 진짜 오랜만에 재방문했는데 역시 너무 좋네요 이걸 왜 잊고 살았을까 싶을 정도로 좋은 시간이었어요 늘 추울때만 와서 몰랐는데 여름이 다가오니 문도 활짝 열어두셔서 녹음을 즐기기에 너무 좋았습니다
못 보던 쿠키가 있길래 주문해봤는데 역시 여기 메뉴는 실패가 없네요 （ ¯꒳¯̥̥ ）",,2024년 5월 30일 목요일,3번째 방문,영수증
블루마일스커피로스터즈,카페,,,,낭만 거북이,https://m.place.naver.com/my/61987e8b30e3a2123a6516d6/review?v=2,127,2.0,,"달콤한 버터스카치가 있는 곳!
커피향이 풍부한 곳!
쿠키가 맛있고, 특유의 음악분위가 있는 곳!
창가쪽 테이블에서 즐겁게 먹으며 대화할 수 있어 좋았어요, (공부하는 학생분들도 꽤 있었는데 
분위기가 무겁진않아서 괜찮았습니당!!)
다음에 또 올게용!!",,2024년 5월 4일 토요일,1번째 방문,영수증
블루마일스커피로스터즈,카페,,,,유유자적girl,https://m.place.naver.com/my/5e51c3198f87a842bcb3038e/review?v=2,30,1.0,,"친구 추천으로 갔는데 가게 이름보자마자 마일스 데이비스 카인드 오브 블루가 떠올랐는데 블랜드이름을 보니 마일스 데이비스,챗 베이커,,ㅎㅎ 사장님이 재즈를 좋아하시나봐요😊 에그타르트 스콘 맛있고 뷰가 좋아요",,2024년 6월 1일 토요일,1번째 방문,결제내역
블루마일스커피로스터즈,카페,,,,장난하세요,https://m.place.naver.com/my/5bb35ead256b62a121967c1c/review?v=2,120,1.0,,"정말 몇번째 방문일지 모를 ”블루마일스“
이 곳에믄 노트북 작업하거나 
공부할 때 많이 방문합니다 !!
자리마다 콘센트도 있고 
통창으로 날이 좋을 때는 기분도 전환되게 
작업할 수 있는 곳🥹✨✨
여기는 디저트, 커피, 다른 음료들도 너무 맛나서
가끔 배달로도 시켜먹습니당 !!
이런 곳은 나만 알고 다니고 싶지만
이미 동네주민들, 인근 대학교에 다니는 학생들에게 
입소문 타서 북적북적 거리는 곳입니다🥹✨🫶🏻🫶🏻",,2024년 6월 17일 월요일,3번째 방문,영수증
