가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
비스킷플로어,"카페,디저트",,,,맛집대왕 송구리,https://m.place.naver.com/my/63c8f110abbacd0006add834/review?v=2,41,7.0,,"빈티지한 우드톤 인테리어와 음악이 잘 어우러진 카페 비스킷플로어☕️
협소한 공간이 오히려 아늑함을 더해주고 집중하기에도 좋을 것 같아요✨

차분한 분위기에서 커피 한 잔과 책을 읽거나 생각을 정리하면서 마음의 여유를 찾아보시는 것도 추천드려요 ! 
☺️📚💗",,2024년 5월 31일 금요일,1번째 방문,영수증
비스킷플로어,"카페,디저트",,,,맛항,https://m.place.naver.com/my/5db776f48f87a842bc853964/review?v=2,364,49.0,,RM이 방문한 집이라 저장해두었는데 커피와 음료도 맛있고 쿠키 퀄리티도 좋네요! 단찔이라 카페는 자주 안 가는데 아주 만족스러운 곳이었어요👍🏻,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 5월 11일 토요일,1번째 방문,영수증
비스킷플로어,"카페,디저트",,,,JOTTO,https://m.place.naver.com/my/5b656c8dd797e04404d02b96/review?v=2,44,,,"비스킷플로어는 이곳으로 옮겨지기전 철길쪽에 있을때부터 방문한 찐애정하는 커피숍이다. 
자주가는 단골이라 할수는 없지만 공릉동에서 커피마실땐 여기 비스킷플로어와 그리고 호이폴로이 커피로스터스를 강추한다. 나 또한 하는일이 이쪽이다보니 커피에 진심인 곳만 가는데 그렇다고 다른카페들을 무시해서가 아니라 이 두곳이 내입맛을 사로잡았기 때문이다. 굉장히 오랜만에 방문한지라 비스킷라떼(흑설탕+구운소금)는 처음 마셔봤는데 흑설탕 특유의 단맛과 살짝 짭조름한 그맛이 온전히 잘 드러나는 커피였다.두모금에 끝났지만 이커피는 모자를듯한 여기까지가 좋은 여운을 주는것같다
빈티지한 우드톤 인테리어와 빈티지한 음악이 너무 잘어울려서 조만간 또 가야겠다",,2024년 3월 23일 토요일,1번째 방문,영수증
비스킷플로어,"카페,디저트",,,,반짝이맘1028,https://m.place.naver.com/my/5eff31971c9b02e1ea3ca544/review?v=2,235,2.0,,"두번째 방문이예요

남편이랑 커피 마시는데 반했어요^0^

아메랑 라떼 둘 다 맛있어여

고소하면서 산미가 살짝 있으니

참고하시면 되여

오늘은 드립커피도 2개 구매했는데

사장님께 산미없는거 추천 부탁드렸는데

이해하기 쉽고 자세한 설명해주셔서

너무 감사했어요^^",,2024년 3월 29일 금요일,1번째 방문,결제내역
비스킷플로어,"카페,디저트",,,,ho7s3,https://m.place.naver.com/my/5d0e0d117af21b9c712a3b4b/review?v=2,28,,,"좋아하는 카페 중 하나에요 오늘은 그냥 포장하려고 했는데 방문하긴 했는데 주말이라 그런지 자리가 없더라고요 주말에 오실 분들은 일찍 가시는게 좋을 것 같습니다

사진 커피는 디카페인 커피인데 산미 있는 원두를 쓰세요 ",,2024년 4월 6일 토요일,1번째 방문,결제내역
비스킷플로어,"카페,디저트",,,,음냠냠님,https://m.place.naver.com/my/5ce727ea2c3de81f67f57541/review?v=2,68,,,"원두 고를 수 있어서 좋았어요~
가게 절반이 로스팅실이던데 직접 로스팅하시는 것 같더라구요!
간만에 커피유목민 친구가 맘에들어합니다!",,2024년 5월 13일 월요일,1번째 방문,영수증
비스킷플로어,"카페,디저트",,,,김시온8,https://m.place.naver.com/my/5f05759a34a524e70c5bfd06/review?v=2,269,,,어른들의 초콜릿을 꼭 드셔보세요….!,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 6일 월요일,1번째 방문,영수증
비스킷플로어,"카페,디저트",,,,오후94,https://m.place.naver.com/my/609dc334606b02297f71f337/review?v=2,15,,,과기대에 볼일 보러 왔다가 우연히 들렀는데요. 아기자기하고 커피도 참 맛있었습니다. 일러스트레이션이 예뻐서 여쭤보니 사장님이 직접 디자인하셨다고 하네요. 시그니처인 비스킷 커피도 기분 좋은 맛이고 드립백은 선물하기에 참 좋은 거 같아요! 다음에 여기 올 일 있으면 또 들르고 싶네요. 🫧,,2024년 3월 5일 화요일,1번째 방문,영수증
비스킷플로어,"카페,디저트",,,,마이썬썬썬,https://m.place.naver.com/my/5d8dd4f78f87a842bc7b2222/review?v=2,1393,76.0,,오래 앉아 대화할 수 있는 좌석은 아니지만 간단히 머리 식히고 가기 좋아요. 특히 동네 주민인 저보다도 같이간 동생이 좋아하는 카페 중 한 곳이고요. 원두를 다양하게 고를 수 있고 특히 디카페인이 있어서 더 맘에 듭니다. 😆,,2024년 2월 23일 금요일,1번째 방문,영수증
비스킷플로어,"카페,디저트",,,,반짝이맘1028,https://m.place.naver.com/my/5eff31971c9b02e1ea3ca544/review?v=2,235,2.0,,"커피 너무 맛있어요~
동생한테도 소개시켜주고 싶어서 같이 왔어요
커피 쿠폰은 비스켓플로우가 유일한데
카드 지갑에 쿠폰 챙겼었는데 ㅜㅜ
어디로 갔을까요? 
이번엔 더 잘 챙겨야겠어요 ㅎㅎ",,2024년 4월 11일 목요일,2번째 방문,결제내역
비스킷플로어,"카페,디저트",,,,윤재ol,https://m.place.naver.com/my/5dddfc389ec8258e4acfd1a9/review?v=2,107,,,라떼 한입 마시고 깜짝 놀랐어요!!! ❤️,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 5일 일요일,1번째 방문,결제내역
비스킷플로어,"카페,디저트",,,,홍길동손녀딸,https://m.place.naver.com/my/5c67de2baa95d84d58c0cbd5/review?v=2,92,,,"공릉역 2번출구에서 1분 거리에 위치 버스킷플로어
분위기도 좋고 커피맛도 좋고
자주 방문할 예정입니다","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 22일 금요일,1번째 방문,영수증
비스킷플로어,"카페,디저트",,,,도짭짭,https://m.place.naver.com/my/5e86e73e8f87a842bc0ce426/review?v=2,1146,44.0,,"공릉 1타 로스터리 ..
큰 매장도 하나 해주세요 사장님..",,2024년 6월 16일 일요일,1번째 방문,영수증
