가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
빔블커피,"카페,디저트",4.36,,,미래로인테리어,https://m.place.naver.com/my/5e2d8b408f87a842bc2e28bc/review?v=2,155,10.0,,"커피도 취향따라 골라마시고

도넛도 종류가 많아요 골라먹는 재미~~

비오는 날 운치있어요^^",,2024년 7월 20일 토요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,dldldlpfp,https://m.place.naver.com/my/5e7573528f87a842bc2c3a4c/review?v=2,22,,,시험 기간마다 카공하러 가는 카페입니다 과기대 시험기간에는 새벽 2시까지 연장운영 해주세용 콘센트도 많고 자리도 많고 음료 맛도 전부 평타 이상입니다 추천추천 - ! 카공 말고도 연인끼리 데이트 하러 오기에도 좋은 카페에요,,2024년 6월 6일 목요일,1번째 방문,결제내역
빔블커피,"카페,디저트",4.36,,,나라올라888,https://m.place.naver.com/my/5cc17457ea9cf31c749daef8/review?v=2,750,23.0,,"시험기간에는 새벽 두시까지 합니다.
밖의 의자가 쫌 편해요.","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 3일 월요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,티파니엔코,https://m.place.naver.com/my/601be0b7ea3269607c08d6e4/review?v=2,585,25.0,,3층건물인데 식사후 가족끼리 차마시고 이야기하려 찾은곳으로  대화하기에 집중되어 좋았네요.,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 3월 14일 목요일,2번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,맥주한잔에 취하는 술고래,https://m.place.naver.com/my/5cd37069c0b1b15c95a5daad/review?v=2,557,26.0,,도넛 맛있네여,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 1일 토요일,3번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,grbnana,https://m.place.naver.com/my/5ecf8e848f87a842bc2d515a/review?v=2,63,1.0,,"카공하기도 좋고 야외 테이블에서도 칭구랑 이야기하기 좋았어여:) 추천함둥 커피도 맛좋구여
","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 20일 월요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,곽커비,https://m.place.naver.com/my/5da365b58f87a842bc2e27eb/review?v=2,1375,34.0,,"안녕하세요.빔블커피를 자주 이용하던 고객입니다.
6/9(일)오후 1층 야외 테이블에서 앉아 있는데 갑자기 사장님이 벽에서 빼꼼 나와 저를 보며 다짜고짜 2층이나 3층으로 자리를 이동하라 하더군요.그래서 혼자라 그런건가요? 물어보니 단체손님이 올 예정이라고 대답하고 바로 들어가 버리셨습니다.처음부터 이유를 설명하고 양해를 구했다면 기분이 안 나빴겠지만.. 설명도 없이 바로 이동하라 하니 기분이 상했습니다.
PS)1층 야외 테이블 자리가 없어서 저도 1층에 앉아 있다 자리가 생겨서 앉았고 제가 앉아 있는 동안 예약 잡고 저에게 자리를 이동하라 한건진 잘 모르겠지만.. 쫓아내는 느낌을 받고 자리를 떴네요.주말에 혼자서 4인 자리 앉아 있는거라 이동해달라 하면 충분히 이해 가능한데 너무 불친절한 태도에 화가 납니다",,2024년 6월 9일 일요일,5번째 방문,결제내역
빔블커피,"카페,디저트",4.36,,,kil****,https://m.place.naver.com/my/5be24b405c829c41102c5279/review?v=2,354,7.0,,"커피도 맛있고 강아지 마실물도 챙겨주셨어요~^^
직원분 넘나 친절하세요🥰","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 1일 월요일,2번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,고고의리뷰,https://m.place.naver.com/my/62f9c8a5d8f2e200065953fe/review?v=2,고고의,8.0,,,"일시적인 오류가 발생했습니다
집중하기 좋아요",2024년 6월 28일 금요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,sul****,https://m.place.naver.com/my/5e2cd8068f87a842bc57492f/review?v=2,37,,,,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 10일 수요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,,https://m.place.naver.com/my/theme/64e1dee8bbfc2d9e98e427c9?v=2,,,,,,,,
빔블커피,"카페,디저트",4.36,,,hsida,https://m.place.naver.com/my/5b692ed0a4e49f6ab0a4e54e/review?v=2,328,,,굳,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 14일 금요일,2번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,요하이,https://m.place.naver.com/my/5c4ef21e80a3d263ee6d5125/review?v=2,431,,,3층까지 있고 각공간들 편안하고 1층엔 야외공간에 캠핑 감성으로 꾸며놨어요.,"일시적인 오류가 발생했습니다
대화하기 좋아요",2024년 5월 3일 금요일,1번째 방문,결제내역
빔블커피,"카페,디저트",4.36,,,쩡임20,https://m.place.naver.com/my/5e43191f8f87a842bc2bb26e/review?v=2,235,12.0,,지나가는길에 후식커피 마셔요,,2024년 4월 10일 수요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,에이미다람,https://m.place.naver.com/my/5c1df7f23c851b68898a7a41/review?v=2,763,27.0,,도넛이 맛있어요,,2024년 5월 1일 수요일,2번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,미정왕,https://m.place.naver.com/my/5b9ce708baa12d28ae9f4886/review?v=2,1043,46.0,,"커피 : 산미 많음
아이스크림 크로플 : 크로플보다 버터만 나는 와플 느낌","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 3일 수요일,2번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,후리지아361,https://m.place.naver.com/my/5bf40228378d29d8044ea4f8/review?v=2,980,,,좋아요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 7일 일요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,향산41,https://m.place.naver.com/my/608b7f685fa6ff9f3c76edd0/review?v=2,652,26.0,,,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 5월 23일 목요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,kil****,https://m.place.naver.com/my/5be24b405c829c41102c5279/review?v=2,354,7.0,,애기마실 물도 챙겨주시고 감사합니당💕,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 23일 토요일,1번째 방문,결제내역
빔블커피,"카페,디저트",4.36,,,에이미다람,https://m.place.naver.com/my/5c1df7f23c851b68898a7a41/review?v=2,763,27.0,,도넛이 맛있네요,,2024년 3월 11일 월요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,to****,https://m.place.naver.com/my/5be522c64f335231c14a68f8/review?v=2,1227,,,"크로플이조금비싸네요
맛은좋아요
자몽티는솔직히쓰고ㅠ 맛있는지는모르겠어요",,2024년 5월 6일 월요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,,https://m.place.naver.com/my/theme/64e1dee8bbfc2d9e98e427c9?v=2,,,,,,,,
빔블커피,"카페,디저트",4.36,,,sun****,https://m.place.naver.com/my/5f605a696c3d7f733410585d/review?v=2,385,,,도넛 맛있어요 좋아요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 15일 토요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,sun****,https://m.place.naver.com/my/60659e68961651617a337d85/review?v=2,419,17.0,,"캠핑컨셉의 인테리어가 돋보이는 카페.
커피는 산미와 고소 선택가능하고,
창밖바라보며 커피한잔하기 좋아요👍","일시적인 오류가 발생했습니다
인테리어가 멋져요",2023년 12월 19일 화요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,sks****,https://m.place.naver.com/my/5e21940b8f87a842bc4c2775/review?v=2,918,,,음료가 달아요 자몽,,2024년 4월 20일 토요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,zieunyoon40,https://m.place.naver.com/my/5cdc1c7b31d96225773d5385/review?v=2,14,,,"경춘선숲길공원 안, 철길 옆 3 층짜리 베이커리 카페.
분위기 좋고 이야기하기 편안~
정작 빵들은 soso~ 차는 맛있었어요.","일시적인 오류가 발생했습니다
음료가 맛있어요",2023년 12월 28일 목요일,1번째 방문,결제내역
빔블커피,"카페,디저트",4.36,,,skypooh5,https://m.place.naver.com/my/5bace2cb22d05627eccc9024/review?v=2,12,,,커피맛잇고 치즈쿠키 맛잇습니당! 제가.원래 디저트를 안조아해서 거의 안시키는데 황치즈는 넘 궁금해서 먹어봣는데 꾸덕하니 멋잇어요 근데 위에 프레첼은 데코용인지 먹기엔 눅눅해져서 쏘쏘..ㅎㅎㅎㅎ커피 양이 좀 적지만 그래도 자리 넓고 콘센트 자리도 많고 넘 좋슺니당!!,,2023년 11월 19일 일요일,1번째 방문,결제내역
빔블커피,"카페,디저트",4.36,,,밥그릇콜렉터,https://m.place.naver.com/my/5effea746900d38fc165c91a/review?v=2,613,28.0,,좌석많고 크로플 맛있어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 12일 월요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,세열정,https://m.place.naver.com/my/5bcfea2bc38a92eb2e68bd96/review?v=2,569,,,"야외좌석이 있는데 캠핑컨셉으로
테이블은 낮음.  커피원두 선택가능.","일시적인 오류가 발생했습니다
가성비가 좋아요",2024년 3월 16일 토요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,Taroe,https://m.place.naver.com/my/5effaa30de5d1e6a342b9d61/review?v=2,955,7.0,,굳,,2024년 5월 25일 토요일,3번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,Dreams Come True,https://m.place.naver.com/my/5b9c5b6b7c2d4eb2c0c709db/review?v=2,652,24.0,,디저트가 맛있는 장소에요. 창가에서 뷰도 구경할 수 있는 곳입니다.,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 2월 3일 토요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,fami17,https://m.place.naver.com/my/5d527492bef3bf69cf6f1968/review?v=2,1501,,,커피가 맛있고 야외테이블있어 좋네요~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 26일 금요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,,https://m.place.naver.com/my/theme/64e1dee8bbfc2d9e98e427c9?v=2,,,,,,,,
빔블커피,"카페,디저트",4.36,,,GA66,https://m.place.naver.com/my/60a27ca2ef1af2c48c3c01e6/review?v=2,1100,37.0,," 도넛이 맛있습니다
차도 멋있어요
화장실 깔끔합니다","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 21일 수요일,1번째 방문,영수증
빔블커피,"카페,디저트",4.36,,,곽커비,https://m.place.naver.com/my/5da365b58f87a842bc2e27eb/review?v=2,1375,34.0,,아아 산미가 너무 맛있어요 🥹,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 10일 금요일,4번째 방문,결제내역
빔블커피,"카페,디저트",4.36,,,도짭짭,https://m.place.naver.com/my/5e86e73e8f87a842bc0ce426/review?v=2,1146,44.0,,"약간 불친절하신,,",,2024년 2월 4일 일요일,2번째 방문,영수증
