가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
빵장수요셉,베이커리,4.11,,,cho****,https://m.place.naver.com/my/60ae0214f898e14e378124a0/review?v=2,3,,,크림빵이 어디있을까 물어봤더니 냅다 쟁반에 담아버리고 생크림 들어간걸 찾는다니까 꺼내주시더니 가격을 카드 꼽을 때 바로 얘기하고 먹어보니 생크림도 아니였고 가격도 제 생각엔 합리적이지 않다는 생각이 드네요 다신 안갈겁니다,,2024년 6월 8일 토요일,1번째 방문,결제내역
빵장수요셉,베이커리,4.11,,,yo****,https://m.place.naver.com/my/5eff1e33a7f1cdd89fef98f0/review?v=2,1882,31,,좋아요 좋아요 😀 😄 😁 😊 😍 😆 ,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 4월 30일 화요일,5번째 방문,결제내역
빵장수요셉,베이커리,4.11,,,라드모찌,https://m.place.naver.com/my/5efde2bab4dd01caff09a51c/review?v=2,221,29,,"맨날 지나만 다니다가 사먹어봤는데, 빵이 싸고 맛있어요!!
종종 사먹을게요ㅋㅋ",,2024년 6월 28일 금요일,1번째 방문,영수증
빵장수요셉,베이커리,4.11,,,히어로즈파이팅,https://m.place.naver.com/my/5ba2119f1a4065e49a80aa9e/review?v=2,107,,,"빵 종류가 다양해요
사장님께서 친절하십니다","일시적인 오류가 발생했습니다
가성비가 좋아요",2024년 3월 28일 목요일,1번째 방문,결제내역
빵장수요셉,베이커리,4.11,,,yo****,https://m.place.naver.com/my/5eff1e33a7f1cdd89fef98f0/review?v=2,1882,31,,감사합니당 😆😆😆😆😆😆,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 2월 29일 목요일,4번째 방문,영수증
빵장수요셉,베이커리,4.11,,,bbc****,https://m.place.naver.com/my/63007f5f0cb2a45ede032e1f/review?v=2,11,,,"빵 🍞 💕💕💕번창하세요💕💕💕
늘 맛있게 먹었습니다!☺️ 빵 종류 별로 다 건강하고 맛나 보여요~~🤤ㅎㅎㅎ","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 3월 21일 목요일,1번째 방문,결제내역
빵장수요셉,베이커리,4.11,,,lemon1786,https://m.place.naver.com/my/5e57d7fb8f87a842bc979f31/review?v=2,13,1,,출출해서 슈크림빵이랑 햄버거 사먹었는데 둘다 맛있었어요~! 슈크림빵은 크림이 엄청 많이 들어있고 옛추억이 있는 맛이어서 좋았습니다. 사장님도 너무 친절하셔서 종종 가게될 것 같아요. 번창하세요~!^^,,2023년 12월 26일 화요일,1번째 방문,영수증
빵장수요셉,베이커리,4.11,,,오마이갓김취김취,https://m.place.naver.com/my/5cab6e98019bfea6eedde72e/review?v=2,1799,,,옛날 빵집느낌!,,2024년 2월 5일 월요일,1번째 방문,영수증
빵장수요셉,베이커리,4.11,,,도짭짭,https://m.place.naver.com/my/5e86e73e8f87a842bc0ce426/review?v=2,1145,44,,굿,,2024년 3월 11일 월요일,1번째 방문,영수증
빵장수요셉,베이커리,4.11,,,나르68,https://m.place.naver.com/my/5b9a6dbf234bd0416ecfdb03/review?v=2,675,2,,햄버거 맛있어요,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 1월 8일 월요일,1번째 방문,영수증
빵장수요셉,베이커리,4.11,,,향기로운 채움,https://m.place.naver.com/my/605d8e91b17852528f300769/review?v=2,2282,1,,좋아요,,2024년 4월 23일 화요일,1번째 방문,영수증
빵장수요셉,베이커리,4.11,,,브룩클린68,https://m.place.naver.com/my/5d9626388f87a842bc828524/review?v=2,532,1,,ㄱ,,2024년 1월 8일 월요일,2번째 방문,영수증
빵장수요셉,베이커리,4.11,,,yo****,https://m.place.naver.com/my/5eff1e33a7f1cdd89fef98f0/review?v=2,1882,31,,좋아요 좋아요 😆 😀 😄 😁 😍 ,"일시적인 오류가 발생했습니다
빵이 맛있어요",2023년 9월 10일 일요일,2번째 방문,영수증
