가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
빽다방 공릉중앙점,카페,,,,마이썬썬썬,https://m.place.naver.com/my/5d8dd4f78f87a842bc7b2222/review?v=2,1392,75,,디카페인 더치 연유라떼 아주 좋아용! 😄,,2024년 6월 23일 일요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,친절하면리뷰길게쓰는사람,https://m.place.naver.com/my/5ce7aec08f87a842bc0b348a/review?v=2,친절하면길게쓰는사람,,,"알바분 너무 친절하심
조리퐁 음료 맛있음
다른 메뉴보다 조리퐁 맛있음","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 2일 일요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,sakuranbo42,https://m.place.naver.com/my/5fcefcaac87339315797815c/review?v=2,1055,33,,원래 아이스티는 달아서 쏘쏘였는데 운동하고 난 후엔 더 맛있게 느껴지네요 ㅎㅎ ,,2024년 5월 28일 화요일,7번째 방문,영수증
빽다방 공릉중앙점,카페,,,,서니6580,https://m.place.naver.com/my/5d4d5f3e7e2f3e02d88f2662/review?v=2,922,,,원지력병원 입구 부근 식당 이용하고나면 지나가면서 테이아웃 하는 커피점,,2024년 4월 26일 금요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,yopp57,https://m.place.naver.com/my/5efec117493ad9a9a0ec2983/review?v=2,608,,,"한번 와봤는데 좋아요 
친절해요
맛있어요 ","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 29일 월요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,sakuranbo42,https://m.place.naver.com/my/5fcefcaac87339315797815c/review?v=2,1055,33,,보통 테이크아웃을 하는데 조금 쉬고 싶어서 매장에서.. 직원분 혼자 일하시는데 일처리도 빠르고 친절해서 기분좋았어요 ,,2024년 5월 1일 수요일,6번째 방문,영수증
빽다방 공릉중앙점,카페,,,,알스없음,https://m.place.naver.com/my/5eca656e8f87a842bc8819d6/review?v=2,101,1,,시리얼볼 세트 품절...,,2024년 7월 3일 수요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,척54,https://m.place.naver.com/my/5f043b06f6f8b30a53303a11/review?v=2,415,,,내부가 너무 따뜻하고 아늑해서 좋아요😊,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 10일 일요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,양양485,https://m.place.naver.com/my/5e479a908f87a842bcaac268/review?v=2,1771,1,,"완전망고쥬스 안에 알갱이 씹히기도 하지만 너무 달달하니 맛있어요~아이가 너무 좋아합니다
더불어 직원분도 너무 친절해요",,2024년 2월 25일 일요일,2번째 방문,영수증
빽다방 공릉중앙점,카페,,,,ohu****,https://m.place.naver.com/my/5d33c0b88cfa125c545adc2a/review?v=2,2295,,,굿,,2024년 6월 26일 수요일,10번째 방문,영수증
빽다방 공릉중앙점,카페,,,,lpg****,https://m.place.naver.com/my/6191dd697bac19d9e85e1c4b/review?v=2,1293,,,좋아요 ,,2024년 6월 21일 금요일,4번째 방문,영수증
빽다방 공릉중앙점,카페,,,,ton****,https://m.place.naver.com/my/5dde2b079ec8258e4aa3e356/review?v=2,835,,,맛있어용,,2024년 5월 28일 화요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,ohu****,https://m.place.naver.com/my/5d33c0b88cfa125c545adc2a/review?v=2,2295,,,굿,,2024년 5월 27일 월요일,9번째 방문,영수증
빽다방 공릉중앙점,카페,,,,닉넴6583,https://m.place.naver.com/my/5d1a8733c63478975a8dc62d/review?v=2,386,,,굳,,2024년 6월 14일 금요일,1번째 방문,결제내역
빽다방 공릉중앙점,카페,,,,아톰5869,https://m.place.naver.com/my/5c2c4ed5d909a167caf0c731/review?v=2,2351,38,,션하게  짠♡,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 3월 23일 토요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,봉봉쓰28,https://m.place.naver.com/my/5e6c73f88f87a842bce05cad/review?v=2,2809,,,아샷추체고,,2024년 3월 31일 일요일,3번째 방문,영수증
빽다방 공릉중앙점,카페,,,,dos****,https://m.place.naver.com/my/5be946409263270b99656598/review?v=2,1695,,,굿,,2024년 4월 18일 목요일,2번째 방문,영수증
빽다방 공릉중앙점,카페,,,,fami17,https://m.place.naver.com/my/5d527492bef3bf69cf6f1968/review?v=2,1474,,,긋,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 3일 월요일,6번째 방문,영수증
빽다방 공릉중앙점,카페,,,,허왕후,https://m.place.naver.com/my/614082a2b07e25e99e4f48bd/review?v=2,18,,,친절하고 빨리 준비해주셨어요..카페라떼 정말 맛있네요^^,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 12월 24일 일요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,신2812,https://m.place.naver.com/my/5e37d6fc8f87a842bcd34e04/review?v=2,22,,,처음 들러봐요~넓고 쾌적하고 좋습니다~^^,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 12월 29일 금요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,hyakin,https://m.place.naver.com/my/5c5a5e98f6b3b1c140922974/review?v=2,901,40,,와플 먹었는데  크러쉬되는 설탕? 저한텐  좀 딱딱했어요  엄청 뿌려져  있더라구요 ,,2024년 1월 2일 화요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,ohu****,https://m.place.naver.com/my/5d33c0b88cfa125c545adc2a/review?v=2,2295,,,굿,,2024년 4월 8일 월요일,8번째 방문,영수증
빽다방 공릉중앙점,카페,,,,ohu****,https://m.place.naver.com/my/5d33c0b88cfa125c545adc2a/review?v=2,2295,,,굿,,2024년 4월 5일 금요일,7번째 방문,영수증
빽다방 공릉중앙점,카페,,,,지니별28,https://m.place.naver.com/my/5c43cd15e7bbb3581d486743/review?v=2,367,,,가성비 좋아요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 29일 수요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,67카페라테,https://m.place.naver.com/my/5eda32478f87a842bc4214cb/review?v=2,1875,33,,"카페라테 부드럽고 맛있어요
직원도 친절하고 매장도 넓어서 좋네요^^","일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 12월 24일 일요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,sakuranbo42,https://m.place.naver.com/my/5fcefcaac87339315797815c/review?v=2,1055,33,,피곤할 때 딱 좋아요 !,,2024년 2월 23일 금요일,5번째 방문,영수증
빽다방 공릉중앙점,카페,,,,무상무념16,https://m.place.naver.com/my/5dd8c8e59ec8258e4a3f3a83/review?v=2,1037,15,,추운날씨에 따뜻한 유자차가 참 맛있고 좋았습니다.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 12월 17일 일요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,sakuranbo42,https://m.place.naver.com/my/5fcefcaac87339315797815c/review?v=2,1055,33,,가성비 좋은 커피들이 많아져서 가성비는 조금 떨어지지만 그래도 맛있게 마셨어요,,2023년 12월 27일 수요일,4번째 방문,영수증
빽다방 공릉중앙점,카페,,,,매운 먼지볶음,https://m.place.naver.com/my/5bcc1301fef758cd960cfb29/review?v=2,119,,,깔끔하고 빨리 만들어주심,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 1월 12일 금요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,1ggoong1,https://m.place.naver.com/my/5e85a1158f87a842bc002e61/review?v=2,107,,,마감시간이었는데도 친절하게 딸기음료 만들어주셔서 감사합니다,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 11월 11일 토요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,imhope5623,https://m.place.naver.com/my/5eafbaec8f87a842bc31101e/review?v=2,698,11,,빽다방 바닐라라떼 맛있어용,,2023년 11월 18일 토요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,양양485,https://m.place.naver.com/my/5e479a908f87a842bcaac268/review?v=2,1771,1,,고구마라떼 달고 고소하고 맛있어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 10월 15일 일요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,흥행술사,https://m.place.naver.com/my/5d9d90538f87a842bc4f1cbc/review?v=2,1110,44,,커피한잔 편안하게 즐겨요,,2023년 10월 5일 목요일,2번째 방문,영수증
빽다방 공릉중앙점,카페,,,,choss3869,https://m.place.naver.com/my/5fa3ed15b79fa8a558a04cab/review?v=2,1366,,,ᆢ,,2024년 1월 10일 수요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,ohu****,https://m.place.naver.com/my/5d33c0b88cfa125c545adc2a/review?v=2,2295,,,굿,,2024년 2월 5일 월요일,6번째 방문,영수증
빽다방 공릉중앙점,카페,,,,메딕3,https://m.place.naver.com/my/5dad00f78f87a842bcae1b06/review?v=2,269,,,굿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 14일 금요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,일산댁72,https://m.place.naver.com/my/60ebc92d575cf5561d532b92/review?v=2,558,,,좋아요 ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 9일 금요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,sakuranbo42,https://m.place.naver.com/my/5fcefcaac87339315797815c/review?v=2,1055,33,,아이스티 맛있네요 !!!!,,2023년 12월 26일 화요일,3번째 방문,영수증
빽다방 공릉중앙점,카페,,,,지워니거누맘,https://m.place.naver.com/my/5d79c2098f87a842bca43738/review?v=2,761,,,,,2023년 11월 22일 수요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,얍얍266,https://m.place.naver.com/my/5d12f2c1121111390f2b75e6/review?v=2,1077,,,굿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 4일 일요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,sug****,https://m.place.naver.com/my/5ce283a40302d30d99409614/review?v=2,977,,,굿,,2024년 2월 2일 금요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,ohu****,https://m.place.naver.com/my/5d33c0b88cfa125c545adc2a/review?v=2,2295,,,굿,,2024년 1월 9일 화요일,4번째 방문,영수증
빽다방 공릉중앙점,카페,,,,tjdrpajfl,https://m.place.naver.com/my/5effae18598cfed34e18df36/review?v=2,646,,,.,,2023년 11월 29일 수요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,ybk****,https://m.place.naver.com/my/5e4cac6d8f87a842bc9df90d/review?v=2,159,,,맛이 좋아요.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 13일 토요일,1번째 방문,영수증
빽다방 공릉중앙점,카페,,,,lpg****,https://m.place.naver.com/my/6191dd697bac19d9e85e1c4b/review?v=2,1293,,,좋아요 ,,2024년 1월 6일 토요일,3번째 방문,영수증
빽다방 공릉중앙점,카페,,,,fami17,https://m.place.naver.com/my/5d527492bef3bf69cf6f1968/review?v=2,1474,,,라떼 맛있네요~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 11월 22일 수요일,5번째 방문,영수증
빽다방 공릉중앙점,카페,,,,ohu****,https://m.place.naver.com/my/5d33c0b88cfa125c545adc2a/review?v=2,2295,,,굿,,2023년 12월 26일 화요일,3번째 방문,영수증
빽다방 공릉중앙점,카페,,,,망치마미,https://m.place.naver.com/my/603464cb8c1025c56acef960/review?v=2,467,,,커피 갈아서 나오고 누를때 커피가 흘리는게 너무 많아서 커피가 너무 싱거워요. 이지점은 다시 안먹을듯.,,2023년 9월 19일 화요일,1번째 방문,영수증
