가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
설빙 서울과기대점,빙수,4.34,,,유스티나70,https://m.place.naver.com/my/5c1b5097ea35bc1495466ff7/review?v=2,515,44,,"하필이면 방문한 오늘 영업이 2시오픈
보통은 11시 오픈인데,네이버에 영업시간 수정도 안하셨고...
빙수집인데 첫타임 방문해서 팥추가를 한다고했더니 키오스크에서 하라고!
키오스에서 하려니 품절??
물어보니 팥이 모자라서 추가가 안된다며...ㅡㅡ;;
사람 놀리시는지...
매우 당황스러움!!!!

기본 서비스가 실망스러워서 매우 기분 안좋았던 날!!
당분간 안갈겁니다!",,2024년 7월 15일 월요일,4번째 방문,영수증
설빙 서울과기대점,빙수,4.34,,,은서공주맘,https://m.place.naver.com/my/5eb0eefa8f87a842bc9771f5/review?v=2,888,11,,저녁에 먹는 설빙 망고빙수 시원하고 먹기좋아요,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2024년 7월 19일 금요일,8번째 방문,영수증
설빙 서울과기대점,빙수,4.34,,,나라올라888,https://m.place.naver.com/my/5cc17457ea9cf31c749daef8/review?v=2,749,22,,팥인절미설빙. 시원해요.,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 13일 토요일,3번째 방문,영수증
설빙 서울과기대점,빙수,4.34,,,dalme,https://m.place.naver.com/my/60c29f053c6b256f9a6f4aba/review?v=2,111,,,"매장 넓고 설빙 맛있어요~
배라보다 가성비는 설빙이 좋은 거 같아요🤍",,2024년 5월 18일 토요일,1번째 방문,영수증
설빙 서울과기대점,빙수,4.34,,,우찌122,https://m.place.naver.com/my/5da46f9f8f87a842bc5dedb1/review?v=2,62,,,너무 맛있어요 설빙 ㅠㅠ 항상 사람 많지만 빨리 맛있게 잘 해주십니다.,,2024년 6월 30일 일요일,2번째 방문,영수증
설빙 서울과기대점,빙수,4.34,,,MMMMMMOOMMMMMM,https://m.place.naver.com/my/5e8d613a8f87a842bc49ab41/review?v=2,59,,,순수요거 블루베리 설빙 맛있었습니다!!,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 6일 토요일,1번째 방문,영수증
설빙 서울과기대점,빙수,4.34,,,미미7446,https://m.place.naver.com/my/5ed1e07a8f87a842bcd93fb3/review?v=2,310,14,,"매장이 넓고 좌석이 많아서 매장 이용하기 좋아요

설빙 진리는 인절미팥빙수~~~~",,2024년 7월 6일 토요일,3번째 방문,영수증
설빙 서울과기대점,빙수,4.34,,,sakuranbo42,https://m.place.naver.com/my/5fcefcaac87339315797815c/review?v=2,1055,33,,"혼자 먹기에는 많은 양..이라고 생각하지만 언제나 다 먹게 되는..🤣
딸기는 계절메뉴라서 지금은 없지만 대신 블루베리로 ! 요거트+블루베리+얼음+씨리얼 조합이 너무 좋다 !!!!",,2024년 6월 19일 수요일,3번째 방문,영수증
설빙 서울과기대점,빙수,4.34,,,은서공주맘,https://m.place.naver.com/my/5eb0eefa8f87a842bc9771f5/review?v=2,888,11,,여름에 시원하게 먹는 빙수 시원했어요 굿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 22일 토요일,6번째 방문,영수증
설빙 서울과기대점,빙수,4.34,,,yo****,https://m.place.naver.com/my/5eff1e33a7f1cdd89fef98f0/review?v=2,1882,31,,설빙 설빙 설빙 설빙 굿 👍 💓 😎 ✨️ ☀️ 😀 👍 💓 😎 ✨️ ☀️ 😀 👍 💓 😎 ✨️ ☀️ 😀 👍 ,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 6월 8일 토요일,6번째 방문,영수증
