가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,Hahahahahaha,https://m.place.naver.com/my/5ba892bdcf4a1631700ff536/review?v=2,70,6,,카스테라 꽈배기를 너무 좋아하는데ㅠㅠ 송사부에서도 제가 가본 곳은 여기만 팔아서 가끔 사러와요 ㅎ,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 7월 7일 일요일,1번째 방문,결제내역
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,roundfrog71,https://m.place.naver.com/my/5c07daae2edc14e967da9818/review?v=2,516,,,참새방앗간처럼 꼭 이마트 장본후에 사가는 도넛이에요.맛있고 저렴해요.,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 6월 28일 금요일,11번째 방문,영수증
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,마을의 천연비타민,https://m.place.naver.com/my/61b073304f4bb2ae0b85b50a/review?v=2,1129,12,,"이마트안에 있는 고로케집
이름도 잼나다 계란이 한개 통으로 들어간 감동란 고로케 점심한끼 해결각입니다 그리고 인기가요고로케도 감자맛이 좋구요 부추고로케도 강추",,2024년 5월 5일 일요일,1번째 방문,영수증
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,roundfrog71,https://m.place.naver.com/my/5c07daae2edc14e967da9818/review?v=2,516,,,"저렴하고 맛있어서, 장본후에 꼭 찹쌀도넛 사갑니다.","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 6월 1일 토요일,9번째 방문,영수증
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,roundfrog71,https://m.place.naver.com/my/5c07daae2edc14e967da9818/review?v=2,516,,,"7시 되기전 마감세일을 많이 하더라고요. 찹쌀도넛은 인기가 많은지 없더라고요. 팥도넛 팥소가 꽉 차있어 맛있고, 값도 저렴해요.","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 4월 23일 화요일,7번째 방문,영수증
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,roundfrog71,https://m.place.naver.com/my/5c07daae2edc14e967da9818/review?v=2,516,,,"맛도 좋고, 가격도 좋아요.","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 6월 8일 토요일,10번째 방문,영수증
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,KiryuKazuma,https://m.place.naver.com/my/5efef5941c9b02e1ea3c1bdd/review?v=2,241,1,,이마트 갔다가 배고파지면 사먹는 송사부👍🏻,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 6월 5일 수요일,2번째 방문,결제내역
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,쩨잉이,https://m.place.naver.com/my/5d0dcfac3079da4c292fc738/review?v=2,27,,,"오늘 어린이날이라 사람이 많더라구요ㅎ 꽈베기도 2종류라 둘다 맛있고 생도넛, 단팥도넛 앙금이 부드럽고 맛있어요ㅎㅎ  다 오븐에 데워서 너무 맛있게 먹었어요ㅎ",,2024년 5월 5일 일요일,1번째 방문,결제내역
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,sha****,https://m.place.naver.com/my/5ba01cd9d60b3428fa685710/review?v=2,214,2,,마트갈때마다 종종가는데 아주 맛나게 잘먹었어용,,2024년 6월 13일 목요일,1번째 방문,결제내역
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,roundfrog71,https://m.place.naver.com/my/5c07daae2edc14e967da9818/review?v=2,516,,,"가격, 맛, 장소 모두 좋아요.","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 5월 16일 목요일,8번째 방문,영수증
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,ya****,https://m.place.naver.com/my/60cd48fdc68d753f1eba6f7c/review?v=2,943,,,좋아요,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 7월 22일 월요일,2번째 방문,영수증
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,roundfrog71,https://m.place.naver.com/my/5c07daae2edc14e967da9818/review?v=2,516,,,찹쌀도넛 말해뭐해요. 일단 한번 먹어보시라니깐요. 장본후 꼭 들러 사가는 도넛이에요. 맛있고 저렴짱!,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 4월 3일 수요일,4번째 방문,영수증
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,싱글벙글마냥신난 박강냥,https://m.place.naver.com/my/63a2daee1438fc3a9c609f90/review?v=2,373,54,,"냉모밀 먹고 뭔가 부족해서 고로케 하나 먹었
어요! 고로케가 달콤하고 소시지 들어 있어 맛있어요 👍🏻","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 4월 18일 목요일,1번째 방문,결제내역
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,rosalsh,https://m.place.naver.com/my/5efe8979493ad9a9a0ebdc39/review?v=2,440,6,, 맛있어요^^ 생도넛이 정말 맛있어요..,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 5월 3일 금요일,4번째 방문,영수증
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,roundfrog71,https://m.place.naver.com/my/5c07daae2edc14e967da9818/review?v=2,516,,,"가격도, 맛도 좋아요.","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 4월 15일 월요일,6번째 방문,영수증
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,몽글몽그르,https://m.place.naver.com/my/5c14ffc36c089dfc0492d0ec/review?v=2,1960,12,,ㆍㅅ,,2024년 7월 6일 토요일,1번째 방문,영수증
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,roundfrog71,https://m.place.naver.com/my/5c07daae2edc14e967da9818/review?v=2,516,,,"가성비도 좋고, 맛도 좋고~~","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 4월 5일 금요일,5번째 방문,영수증
송사부수제쌀고로케 이마트 월계점,베이커리,4.29,,,제로쑤,https://m.place.naver.com/my/5dababaf8f87a842bcb5e8c2/review?v=2,925,,,,,2024년 6월 13일 목요일,1번째 방문,영수증
