가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
스타벅스 공릉역점,카페,4.44,,,나대로1,https://m.place.naver.com/my/5b6626b4413ade0edfd52f29/review?v=2,2756,232.0,,"지난 주 목요일부터 우양산을 보관해주신 아늑한주방 사장님내외에게 드릴 커피픽업

스벅 25주년 기념으로 7,300원으로 카라멜마키아또와 디카페인아메리카노를 겟했어요. 

선물해서 좋고
저렴(?) 해서 좋고
우산 찾아서 좋고!

모두가 좋은 비오는 목요일!!",,2024년 7월 18일 목요일,23번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,나대로1,https://m.place.naver.com/my/5b6626b4413ade0edfd52f29/review?v=2,2756,232.0,,"오늘은 디카페인1+1행사 마지막날!! 
고민하다 역시나 아메리카노 숏사이즈!! 
4300원으로 겟!! 행복하다!! 평소 오후 2시 넘어서도 디카페인도 안마시는데 오늘은 마실만한 이유가 있다.
머리가 지끈 아팠는데 편해지는 느낌 아닌 느낌!! ",,2024년 5월 8일 수요일,22번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,새달매콤 좋아좋아,https://m.place.naver.com/my/5ea231ec8f87a842bccbf751/review?v=2,397,14.0,,"자몽허니블랙티 
날씨가 더워 아이스로 마셨는데 달달했어요 ㅜㅜ

스타벅스 카드로 
1천원 결제시 별1개 적립
1만원 결제시 별2개 적립
3분 간격두고 구매시 별1개 적립
스타벅스 카드로 결제없을시 적립은 무관...",,2024년 6월 28일 금요일,1번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,에이미다람,https://m.place.naver.com/my/5c1df7f23c851b68898a7a41/review?v=2,763,27.0,,친구가 보내준 샌드위치랑 커피  맛있게 먹었어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 26일 수요일,11번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,CRESCENT,https://m.place.naver.com/my/616188f2004deb8c43ce6581/review?v=2,253,10.0,,바닐라크림콜드브루 당류도 낮고 맛있어요!,,2024년 7월 5일 금요일,3번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,꼬꼬맹e,https://m.place.naver.com/my/5b82b97f3cc8256949cd3fd6/review?v=2,935,20.0,,친절하십니다~,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 14일 금요일,5번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,육삼육삼,https://m.place.naver.com/my/5e773c858f87a842bcd98283/review?v=2,164,1.0,,아이스티는 무조건 맛있쥐:),"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 20일 토요일,1번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,Mistery J,https://m.place.naver.com/my/5d2134f65b4e7e39f6b715ab/review?v=2,306,4.0,,"새로 출시된 블루베리 수플레를 먹어보았습니다. 달콤한 블루베리가 푹신한 수플레에 동동 떠있어 같이 먹으면 정말 맛있어요^^
이와는 별개로 같이 주문한 가나슈초코케익도 맛있었어요.특히 화이트 데이에 잘 어울리는 것 같습니다. 감사합니다.^^
",,2024년 3월 14일 목요일,3번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,에이미다람,https://m.place.naver.com/my/5c1df7f23c851b68898a7a41/review?v=2,763,27.0,,"허니자몽블랙티 달달 상큼
맛있어요",,2024년 6월 20일 목요일,10번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,CRESCENT,https://m.place.naver.com/my/616188f2004deb8c43ce6581/review?v=2,253,10.0,,평일에는 카공하기 좋은 것 같아요!,,2024년 7월 15일 월요일,5번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,카르페디엠6097,https://m.place.naver.com/my/5c4d6acb5f20b72aef00d588/review?v=2,137,,,"비오는 날이라 따뜻한 음료 마실까 하다 새로나온 씨솔트 콜드블루가 눈에 띄어 주문해 봤는데, 매력있는 맛이에요. ㅎㅎ","일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 6월 22일 토요일,1번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,어떻게다있어,https://m.place.naver.com/my/611d75430b017972be496f65/review?v=2,662,37.0,,"우와 점심 먹고 가족끼리 걷다가 차 한잔하러 온 공릉역 스타벅스
매장 내에 자리찾기가 너무 빡셌어요 2층엔 한 자리도 없었다가
1층으로 다시 내려오니 나가는 분들이 있어서 겨우 앉았을 정도네요 인기짱👍🏻
신메뉴인 피스타치오 크림 라떼(6,300원)와 딸기 아사이 리프레셔(5,900원), 자몽허니블랙티(5,700원) 거기에 레이어 가나슈(5,700원)까지!!
✅피스타치오 크림 라떼 꼬소하고 진하면서 부드럽기까지 해요! 두유같아요😆 위에는 갈린 피스타치오 조각들이 있어서 씹는 맛까지 있습니다😘 와우 고르길 잘했어
✅동생의 딸기 아사이 리프레셔는 상큼달달 했고 엄마의 자허블은 달콤했어요ㅋㅋ 따뜻하게 마시는 게 더 맛있대요
가나슈 케이크도 꾸덕해서 가족들과 맛있는 후식타임을 즐겼습니다~",,2024년 3월 3일 일요일,1번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,핑크윤미,https://m.place.naver.com/my/5d2f71a37e8b908fce253397/review?v=2,529,2.0,,솔직히 이건 넘맛없어요 비싸기만하구,,2024년 7월 6일 토요일,37번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,에이미다람,https://m.place.naver.com/my/5c1df7f23c851b68898a7a41/review?v=2,763,27.0,,오늘은 새로운 샌드위치를 먹어봤어요. 따뜻하게 데워주시니 치즈가 잘 녹아 더 맛있네요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 25일 목요일,9번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,나대로1,https://m.place.naver.com/my/5b6626b4413ade0edfd52f29/review?v=2,2756,232.0,,전철 10:12 타기 전 시간이 있어 카페인 충전!! 토요일 여유있는(15분?) 시간이 좋다!,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 6일 토요일,21번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,dbt****,https://m.place.naver.com/my/61b84e5782ac4f6f61ee562d/review?v=2,609,,,너무친절해요,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 11일 화요일,5번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,띠니24,https://m.place.naver.com/my/5bee799b89e516e87e66381d/review?v=2,83,,,2층 넓어서 좋아요.,,2024년 7월 29일 월요일,1번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,kus****,https://m.place.naver.com/my/5ba431801f55e77252bd98e3/review?v=2,636,,,치즈케이크 넘 맛나요,,2024년 6월 28일 금요일,12번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,pms****,https://m.place.naver.com/my/5dff35bd8f87a842bc0c6ea9/review?v=2,913,,,,,2024년 7월 14일 일요일,10번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,핑크윤미,https://m.place.naver.com/my/5d2f71a37e8b908fce253397/review?v=2,529,2.0,,맛있어요 시원한 라떼,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 16일 목요일,35번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,낯선인물,https://m.place.naver.com/my/5f0568dc2f90b7de35377a67/review?v=2,322,1.0,,2층에는 테이블도 많고 생각보다 사람도 많음! 직원분이 친절하셔서 좋았던 기억이 있어요!,,2024년 4월 26일 금요일,1번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,에이미다람,https://m.place.naver.com/my/5c1df7f23c851b68898a7a41/review?v=2,763,27.0,,샌드위치 따뜻하게 데워주시니 맛있네요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 16일 화요일,8번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,나라올라888,https://m.place.naver.com/my/5cc17457ea9cf31c749daef8/review?v=2,750,23.0,,,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 18일 목요일,3번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,카르하,https://m.place.naver.com/my/5ebf67f88f87a842bc1bcde8/review?v=2,1465,32.0,,다른 매장에 비하면 그저 그런 정도의 친절함인 것 같아요,,2024년 6월 11일 화요일,1번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,나대로1,https://m.place.naver.com/my/5b6626b4413ade0edfd52f29/review?v=2,2756,232.0,,생일에 케이크가 없으면 섭섭하고 너무 크면 다 못먹어서  자주 구입하는 스벅의 케이크종류 ! 가격도 크기도 맛도 참 좋아요~~,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 2월 16일 금요일,20번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,햄퀸,https://m.place.naver.com/my/6206681299f7ae0432b351e5/review?v=2,558,41.0,,"점심먹고 스타벅스 왔어요
애매한 시간대에 왔는데도 사람들로 자리가 꽉찼어요😨
2024년 신상케이크가 나왔길래 호기심에 함 시켜봤어요ㅋㅋ
케이크 시트는 얼그레이 맛이 감돌아 괜찮았으나
파란크림은..그럭저럭 첨엔 신기해서 먹었는데
뭔가 계속 거부감이 들어 손이 안가더라는...ㅋㅋㅋ
커피 잘 마시고 왔어요^^",,2024년 1월 9일 화요일,1번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,에이미다람,https://m.place.naver.com/my/5c1df7f23c851b68898a7a41/review?v=2,763,27.0,,가끔 가볍게 스벅에서 점심으로 샌드위치도 괜찮네요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 8일 월요일,7번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,노원빵셔틀,https://m.place.naver.com/my/5dbd84408f87a842bc462281/review?v=2,133,,,매장이 쾌적하고 편해요,,2024년 6월 3일 월요일,1번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,또뜌띠,https://m.place.naver.com/my/5b752f896393fdd1baf997a6/review?v=2,578,,,룻,,2024년 7월 20일 토요일,8번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,월계동솜주먹,https://m.place.naver.com/my/5dd398278f87a842bccd3150/review?v=2,215,7.0,,매장이 넓고 좋아요,"일시적인 오류가 발생했습니다
대화하기 좋아요",2024년 6월 30일 일요일,1번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,룩바,https://m.place.naver.com/my/5ba1d29d741828e1ffe149de/review?v=2,535,,,상큼하니 여름에 마시기 좋네요 ,,2024년 5월 9일 목요일,16번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,뽀글이엄마84,https://m.place.naver.com/my/63837d521438fc3a9cda306e/review?v=2,213,2.0,,"쿠폰받은게 있어서 우연히 방문했는데
깨끗하고 친절해서 기분 좋았어요",,2024년 4월 9일 화요일,1번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,야옹이5624,https://m.place.naver.com/my/5c08791ce652205108b9cc9e/review?v=2,1324,,,친절하세요^^,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 6월 27일 목요일,29번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,어퍼펙트데이,https://m.place.naver.com/my/5c856b90b06e69aae1ca2fe2/review?v=2,2478,,,굿,,2024년 7월 23일 화요일,10번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,VeV,https://m.place.naver.com/my/5c165e998265902cf5153db3/review?v=2,478,,,가끔 이렇게 배달도 시켜주기😁,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 28일 일요일,2번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,어퍼펙트데이,https://m.place.naver.com/my/5c856b90b06e69aae1ca2fe2/review?v=2,2478,,,굿,,2024년 7월 20일 토요일,9번째 방문,영수증
스타벅스 공릉역점,카페,4.44,,,kar****,https://m.place.naver.com/my/605ebb157959a0a83add83cf/review?v=2,17,,,갑자기 비와서 들어왔는데 다행히 빈자리도 있고 손님층도 다양하고 좋네요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 6일 목요일,1번째 방문,영수증
