가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
스타벅스 월계이마트점,카페,4.38,,,범블대디,https://m.place.naver.com/my/5f6061626c3d7f7334a3db8d/review?v=2,1576,19,,25주년 기념으로 저렴하게 마실수 있었어요^^,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 17일 수요일,7번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,핑크윤미,https://m.place.naver.com/my/5d2f71a37e8b908fce253397/review?v=2,529,2,,최근에 마셨던피지오중제일맛있어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 16일 화요일,4번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,이현정2548,https://m.place.naver.com/my/5e5a632b8f87a842bcd498af/review?v=2,144,,,다양한 상품이 있습니다요~~~~~~~~~~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 10일 수요일,2번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,VeV,https://m.place.naver.com/my/5c165e998265902cf5153db3/review?v=2,478,,,"항상 만석인데!!오늘은 자리있네요~
바로 앉아서 마시고 먹고:->","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 11일 화요일,1번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,어몽어미,https://m.place.naver.com/my/5c0be9a4c10cb6f19ebe9556/review?v=2,170,,,"알바생이 친절해서 좋았어요
스벅에서 케이크는 처음인데
바스크치케 꾸덕하고 진해서 너무 맛있게 먹었어요
텀블러 이용시 400원 차감됩니다^^",,2024년 4월 1일 월요일,3번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,둥둥둥3014,https://m.place.naver.com/my/5e0aaf748f87a842bc7b3de3/review?v=2,1614,27,,좋아요. 맛있어요. 음료 받자마자 떨어뜨렸는데 다시 해주셨어요. 죄송하고 감사합니다.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 7일 일요일,8번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,킴야kimya,https://m.place.naver.com/my/5e4a49008f87a842bc94b72d/review?v=2,257,1,,클래식 밀크티는... 그냥 홍차에 우유 탄 맛...,,2024년 5월 10일 금요일,1번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,띵잘,https://m.place.naver.com/my/5c4707dd583e7b8aa5063070/review?v=2,190,4,,"카페모카 시켰어요
쿠폰으로 했는데 추가결제 천원만스벅카드로 해도 별 적립된대요 친절해요",,2024년 4월 26일 금요일,1번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,착하게 살자71,https://m.place.naver.com/my/5c576f0acca9320a2550890e/review?v=2,870,,,샷추가해야지만  맛있어요 ㅠㅠ 쿠폰있어서 구매,,2024년 5월 6일 월요일,1번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,grey35,https://m.place.naver.com/my/5dea637f9ec8258e4acd31a4/review?v=2,947,,,장보면서 마시기 좋은 위치에 있음,,2024년 6월 1일 토요일,1번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,디주디,https://m.place.naver.com/my/5c720490c7809b77c5761127/review?v=2,2491,,,충전했어요,,2024년 7월 17일 수요일,7번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,싱글벙글마냥신난 박강냥,https://m.place.naver.com/my/63a2daee1438fc3a9c609f90/review?v=2,373,54,,음료가 맛있어요!~,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 6월 26일 수요일,1번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,Joy4577,https://m.place.naver.com/my/5dc8b1f98f87a842bc999de3/review?v=2,1419,92,,"매장이 깔끔하게 유지되고 있고, 직원분이 친절하세요. 장을 보다 잠깐 커피 한 잔 하기도 좋고, 혼자 잠깐 시간을 가지기에도 좋은 것 같아요. 주차가 무료여서 그것도 편하고요. ",,2024년 3월 14일 목요일,1번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,suj****,https://m.place.naver.com/my/5d9766288f87a842bc73860e/review?v=2,1376,,,커피가 맛잇어요,,2024년 6월 16일 일요일,1번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,레이냥82,https://m.place.naver.com/my/5ec791f78f87a842bc1263b9/review?v=2,377,3,,"주문한 사람이 많아 알바들이 정신이 없었고 시킨 음료가 나오지 않아 물어봤더니 그때 시킨 차 부랴부라 만들어서 주시면서 미리 나와있던 카푸치노 주셔서 별로였음, 매장도 협소해서 앉을 장소도 없음",,2024년 5월 6일 월요일,1번째 방문,영수증
스타벅스 월계이마트점,카페,4.38,,,엔시젤르,https://m.place.naver.com/my/5e3e63728f87a842bc786ca6/review?v=2,1006,1,,좋아요,,2024년 7월 13일 토요일,3번째 방문,영수증
