가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
시프스,"카페,디저트",,,,햄버그덮밥,https://m.place.naver.com/my/5f38b715a602e98f5600ef09/review?v=2,39,,,"커피가 정말 맛있고 특이한 메뉴가 많아서 도장깨기하러 가고싶네요 
수다떨기 좋아요","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 16일 화요일,1번째 방문,영수증
시프스,"카페,디저트",,,,토여미57,https://m.place.naver.com/my/5da484228f87a842bc9a592b/review?v=2,5,,,친구랑 놀러 공릉 왔는데 음료도 맛있고 브라우니도 달달하니 너무 맛있어용!! 🫶🏻 사장님이 친절하고 음식이 맛있어요 😎 인테리어도 예쁘니 공릉 놀러오시면 꼭 가보세용 최고!!,,2024년 7월 14일 일요일,1번째 방문,영수증
시프스,"카페,디저트",,,,797928,https://m.place.naver.com/my/5cd17be1eebcd12258dd9a72/review?v=2,37,,,"아인슈페너 정말 좋아하는데, 크림 특유의 느끼한 끝맛 때문에 처음 가는 카페에선 그냥 아아만 먹거든요? 근데 여기 정말.. 어지러울 정도로 맛있어서 깜놀... 가격도 저렴한데 너무 맛있어서 놀랐어요! 다음에 또 올게요♡ 그리고 직원분 너무 친절하시고, 좋은 카메라로 추억도 남길 수 있어 좋았습니다☆",,2024년 7월 23일 화요일,1번째 방문,영수증
시프스,"카페,디저트",,,,마이썬썬썬,https://m.place.naver.com/my/5d8dd4f78f87a842bc7b2222/review?v=2,1393,76.0,,브라우니가 꾸덕하고 아이스크림과 잘 어울려서 맛있었어요 😋 당연히 아아도 최고고 수수커피도 최고 🥰,"일시적인 오류가 발생했습니다
대화하기 좋아요",2024년 6월 1일 토요일,3번째 방문,영수증
시프스,"카페,디저트",,,,coc****,https://m.place.naver.com/my/5ef3737e8f87a842bc916fe7/review?v=2,3,,,"카페 사장님이 너무 친절하시고 커피를 맛있게 내려주셔서 자주옵니다.
커피 메뉴 다 맛있어요!!👍🏻
여러번 왔는데 이제서야 리뷰를 다네요
사진기로 추억을 남길수도있고
폴딩도어 덕에 개방감이 있고
바람쐬면서 멍때리기도 좋아요
정겨운 카페가 동네에 있어서 행복해요
오래오래 해주세요!
",,2024년 4월 20일 토요일,1번째 방문,영수증
시프스,"카페,디저트",,,,wkwkel,https://m.place.naver.com/my/5f046276012fad32006d7737/review?v=2,7,,,"처음왔는데, 사장님이 너무 친절하고 음료들도 모두 맛있습니다!! 디저트를 드신다면 브라우니도 꼭 같이 먹기를 추천합니당 ㅎㅎ","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 14일 일요일,1번째 방문,영수증
시프스,"카페,디저트",,,,흥넝88,https://m.place.naver.com/my/5df307928f87a842bc72f183/review?v=2,7,2.0,,"카페 선정에 엄격한 편인데, 시프스는 안에 인테리어도  예쁘고, 음료도 전부 맛있고 햇빛☀️도 잘 들어와서 나른하게 앉아서 대화하기 좋아요! 사장님도 너무 친절하셔서 방문하면 기분 좋아지는 곳입니다 :) 고민 중이시면 꼭 방문해보세요!",,2024년 4월 6일 토요일,1번째 방문,영수증
시프스,"카페,디저트",,,,빵그레dh,https://m.place.naver.com/my/5c66e1a8a150b6d05ed47fba/review?v=2,490,17.0,,"날씨가 좋ටㅏ 야외 테이블에서 먹고 싶었지만 손님이 많ටㅏ 테이크아웃으로 주문했어요!
첫 방문인데 사장님이 너무 친절하셨어요!!
커피 맛도 맛있었습니다!
다음에 방문 한다면 꼭 카페내에서 먹고 싶네요! ㅎㅎ",,2024년 3월 31일 일요일,1번째 방문,영수증
시프스,"카페,디저트",,,,노원빵셔틀,https://m.place.naver.com/my/5dbd84408f87a842bc462281/review?v=2,133,,,경춘선 숲길 커피 맛집,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 19일 일요일,1번째 방문,영수증
시프스,"카페,디저트",,,,haley32,https://m.place.naver.com/my/5dccf5488f87a842bcbb4d38/review?v=2,5,,,옥수수크림이 올라간 아인슈페너인데 진짜 맛있어요 일단 커피가 엄청 꼬소하고 그위에 있는 옥수수 크림이랑 같이 입에 들어가면 달달한 맛이 얹어져서 입맛이 돕니다 😋😋 비오는 날 창가에 앉아 먹으면 너무 좋은 커피임돠!!! 싸장님이 엄청 유쾌하시고 친절하셔서 기분 좋게 커피를 마시고 나올 수 있었답니다:),,2024년 4월 20일 토요일,1번째 방문,영수증
