가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
아너카페,"카페,디저트",4.58,,,해야바라기,https://m.place.naver.com/my/5f0446df7681c6a89256b203/review?v=2,965,,,"날이 더워 지나가는길에 들어갔는데
가게 분위기 좋고 일하시는분들 너무친절 하셔서 좋았어요
근처 사는데 단골될것같네요",,2024년 6월 15일 토요일,1번째 방문,영수증
아너카페,"카페,디저트",4.58,,,Alvarin,https://m.place.naver.com/my/5cb2c0ee8def107199d70bfc/review?v=2,64,,,"쿠키와 시그니쳐 메뉴인 아너 라떼(블랙)을 주문 하였습니다.

아너 라떼의 경우에는 블랙이지만 당연히.. 커피 베이스의 음료라고 생각했는데 오레오와 아이스크림이 들어간 당이 높은 메뉴라서 실망했습니다.
당 관리에 민감하신 분들이 많은 세상인데 메뉴판에 그림 없이 이름만 이렇게 적혀있어서는 전혀 유추가 안 되어서 난감했던 경험입니다.
건강이야 차치하고 맛이라도 있으면 좋겠으나 초코 라떼에 수돗을 탄 맛이 나서 결과적으로는 굉장히 실망했습니다.

쿠키도 하나 주문했는데 상온에 오래 보관 된 것 같은 느낌이어서 베이커리 류에는 힘을 많이 주시지는 않는구나 싶었습니다.
디저트는 공들여서 만드신 분들이 공들여 보관하시는 법이니까요.",,2024년 7월 10일 수요일,1번째 방문,결제내역
아너카페,"카페,디저트",4.58,,,홍홍1043,https://m.place.naver.com/my/5b95f3475c4426842b0be754/review?v=2,76,5,,공부 겸 온 카페인데 공부하시는 분들도 많고 자리도 아기자기 구역이 나눠져있어서 좋은 것 같아요! 그리고 저 팬케이크 너무 맛났습니당..🤎,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 3일 월요일,1번째 방문,결제내역
아너카페,"카페,디저트",4.58,,,해산물녀,https://m.place.naver.com/my/5f058059425190b39b9611c2/review?v=2,133,2,,"블루라떼가 너무 맛있어서 갈때마다 꼭 이거먹어요 ^^

늦게까지 여튼 카페라 밤에 일 끝나구 늦게까지 힐링하어 딱이에요 💗💗💗",,2024년 5월 20일 월요일,1번째 방문,결제내역
아너카페,"카페,디저트",4.58,,,J카페맛집탐방,https://m.place.naver.com/my/60f91191a725aad079165a0e/review?v=2,178,282,,"공릉동에 왔다가 오게 된 아너카페.

일단 사진에 나와있듯이 문 앞에서부터 인테리어가 정말 아늑하고 감성 가득한 느낌이었고요 안쪽도 매장 내부가 크지는 않지만 2층으로 되어있고 아늑하고 감성 가득하게 되어있어요. 그리고 메뉴에서는 저는 핸드드립 커피에서 엘 파라이소 리치로 골랐고요. 가향이 되어있다 어쨌다 말이 많긴한데 저는 맘에 들더라고요. 좋아하는 원두라서 바로 픽했어요. 바디감이 가볍고 강하디 않은 산미에 밸런스도 잘 잡혀있어서 추천드려요.

공릉동에서 아늑하고 시간 보내기 좋은 카페 찾으신다면 추천드려요.",,2024년 1월 10일 수요일,1번째 방문,영수증
아너카페,"카페,디저트",4.58,,,통장이텅장으로,https://m.place.naver.com/my/5eff3fc3598cfed34e178bfb/review?v=2,57,4,,솔트카라멜 맛있어용 늦게까지 영업해서 좋아용,"일시적인 오류가 발생했습니다
대화하기 좋아요",2024년 5월 18일 토요일,1번째 방문,영수증
아너카페,"카페,디저트",4.58,,,jts****,https://m.place.naver.com/my/5fd4b964a436c1fac56cf51e/review?v=2,1524,,,"더치베이비 독일식 팬 케익 이랍니다
고소함 유혹에 넘어가 먹었어요

약간의 느끼함과 달달함과 시원하의 조합이 끝내주네요
지인분들과 잘 먹고 나왔답니다",,2024년 4월 6일 토요일,1번째 방문,영수증
아너카페,"카페,디저트",4.58,,,미스터Lee71,https://m.place.naver.com/my/606588933dcbf83a69735e93/review?v=2,255,17,,"초당옥수수라떼, 달달합니다",,2024년 4월 5일 금요일,1번째 방문,결제내역
아너카페,"카페,디저트",4.58,,,싱쥬니,https://m.place.naver.com/my/5bc9f3fe1eaeab66ecce2ec7/review?v=2,312,25,,팥스무디? 먹었는데 정말 맛있었어요 친절하시구 분위기도 좋아요,,2024년 3월 20일 수요일,1번째 방문,결제내역
아너카페,"카페,디저트",4.58,,,소현짱짱걸,https://m.place.naver.com/my/5bbab8bb442e86ca9df4aa1a/review?v=2,70,,,"배부르게 밥 먹고 디저트 2개 뿌심ㅋㅋㅋ 어느 카페가지? 고민하다가 영업시간이 자정까지해서 신기했어요!!
아마 대학교 근처라서 그런지 대학생들이 많았어요!!
공부하기 좋은 장소인것 같아요!! 다음에는 커피 마시러 또 가야겠어요!!❤️",,2023년 11월 18일 토요일,1번째 방문,결제내역
