가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
앤티앤스 이마트 월계점,베이커리,,,,odh8164,https://m.place.naver.com/my/5c61e46d9a802518acbc5e31/review?v=2,301,5,,"비싸긴 하지만 맛있어용~~
가끔 장보러와서 애들 사먹이기 좋은거같아용
이거사주면 조용해져요^.^","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 5월 3일 금요일,1번째 방문,영수증
앤티앤스 이마트 월계점,베이커리,,,,따끈한깨찰빵,https://m.place.naver.com/my/5b8ca31fc92d4a14ebcc6fa0/review?v=2,186,2,,아몬드 옥수수 크림치즈 맛있엉,,2024년 6월 28일 금요일,3번째 방문,영수증
앤티앤스 이마트 월계점,베이커리,,,,코코아빙수와 눈꽃빙수,https://m.place.naver.com/my/5c04b9fbff480747a47e3f7c/review?v=2,723,84,,"어 뭐지??
왜 다른 지점보다 빵도우가 더 맛있을까요??
오리지날도 황홀한 맛!!!!","일시적인 오류가 발생했습니다
친절해요",2024년 3월 3일 일요일,1번째 방문,영수증
앤티앤스 이마트 월계점,베이커리,,,,kwLee,https://m.place.naver.com/my/5bd0384c9d93ae66ec432c7e/review?v=2,588,2,,,,2024년 6월 2일 일요일,1번째 방문,결제내역
앤티앤스 이마트 월계점,베이커리,,,,moonhk58,https://m.place.naver.com/my/5f05948e0e1ac3aceef96929/review?v=2,1240,,,아몬드 스틱이 맛있어요,,2024년 3월 14일 목요일,2번째 방문,영수증
앤티앤스 이마트 월계점,베이커리,,,,따끈한깨찰빵,https://m.place.naver.com/my/5b8ca31fc92d4a14ebcc6fa0/review?v=2,186,2,,굿굿,,2024년 6월 3일 월요일,2번째 방문,영수증
앤티앤스 이마트 월계점,베이커리,,,,따끈한깨찰빵,https://m.place.naver.com/my/5b8ca31fc92d4a14ebcc6fa0/review?v=2,186,2,,항상 방문하는데 맛있어요.,,2024년 2월 29일 목요일,1번째 방문,영수증
앤티앤스 이마트 월계점,베이커리,,,,이쁘니맘 71,https://m.place.naver.com/my/5e0f16278f87a842bca86eef/review?v=2,672,,,월계 이마트 가면 꼭 사오는 간식~~,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 2월 9일 금요일,1번째 방문,영수증
앤티앤스 이마트 월계점,베이커리,,,,dlg****,https://m.place.naver.com/my/609a772791a96e93def6960b/review?v=2,1357,,,굿,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 4월 21일 일요일,1번째 방문,영수증
앤티앤스 이마트 월계점,베이커리,,,,황후015732,https://m.place.naver.com/my/607bebb8e29e571f384d6c8d/review?v=2,1644,,,커피 ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 27일 수요일,1번째 방문,영수증
