가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,모아나6716,https://m.place.naver.com/my/5c079fba3cc1834d1de54aab/review?v=2,1595,,,아몬드옥수수크림치즈 달고 맛난데 5천원에 넘 조금인 느낌이에요…,,2024년 7월 23일 화요일,2번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,따끈한깨찰빵,https://m.place.naver.com/my/5b8ca31fc92d4a14ebcc6fa0/review?v=2,186,2,,종류는 많지않지만 맛있어요.,,2024년 4월 25일 목요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,따끈한깨찰빵,https://m.place.naver.com/my/5b8ca31fc92d4a14ebcc6fa0/review?v=2,186,2,,맛있어요.,,2024년 5월 27일 월요일,4번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,따끈한깨찰빵,https://m.place.naver.com/my/5b8ca31fc92d4a14ebcc6fa0/review?v=2,186,2,,굿굿,,2024년 5월 14일 화요일,3번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,puhaha141259,https://m.place.naver.com/my/5cdf7741d1537e9a9e1fa9c0/review?v=2,951,,,굿,,2024년 6월 16일 일요일,2번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,따끈한깨찰빵,https://m.place.naver.com/my/5b8ca31fc92d4a14ebcc6fa0/review?v=2,186,2,,자주가요.,,2024년 5월 7일 화요일,2번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,곰돌이맘2122,https://m.place.naver.com/my/5e5da6868f87a842bca53ca2/review?v=2,764,48,,맛있어요~  아이가  간식으로 좋아해요,,2024년 1월 4일 목요일,2번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,blue사과,https://m.place.naver.com/my/5da198878f87a842bc460373/review?v=2,39,,,친절해서 메뉴 고를 때에 부담이 없어요~,"일시적인 오류가 발생했습니다
음식이 맛있어요",2024년 3월 13일 수요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,디오션s,https://m.place.naver.com/my/5bece2a791cdcbe77992eefb/review?v=2,623,6,,"오랜만에 아몬드크림치즈스틱 먹었는데, 역시 맛있어요!",,2024년 1월 13일 토요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,웃어요빙그레,https://m.place.naver.com/my/5c0468987db25d4907315ea6/review?v=2,909,45,,갓 만든 것처럼 부드럽고 고소하고 소금빵처럼 맛있어요:-),,2023년 12월 16일 토요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,callaJung,https://m.place.naver.com/my/5d8ae1478f87a842bc037307/review?v=2,2095,3,,"월계이마트 내 매장~
앤티앤스 프레즐 쫄깃하고 고소한 아몬드 크림치즈  맛있어요.","일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 10월 17일 화요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,산들바람6278,https://m.place.naver.com/my/5eb7739f8f87a842bc4cffe0/review?v=2,320,,,"맛있어요 
따뜻하고 부드럽고
맛나요ㅎ","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 4일 일요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,엔냥,https://m.place.naver.com/my/5e568d668f87a842bc777bd2/review?v=2,1070,,,프리첼 맛있어요!,,2024년 1월 27일 토요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,ㅡㅂㅡㅎ,https://m.place.naver.com/my/5ee70ef18f87a842bc491ff1/review?v=2,1257,,,굿,,2024년 4월 10일 수요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,serishot,https://m.place.naver.com/my/5cf109e94c398d1cc3511e9f/review?v=2,678,3,,good,,2024년 6월 16일 일요일,2번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,꽃님4572,https://m.place.naver.com/my/5ecbdf258f87a842bc03ef0a/review?v=2,758,,,좋아요~~,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 2월 24일 토요일,2번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,새미천재,https://m.place.naver.com/my/5f2bdc609ec8258e4a266b86/review?v=2,1737,,,"주문하고 계산후 장볼때 만들어주셨어요
장 다보고 가지고 가니 편하고 좋아요
친절하세요",,2024년 2월 1일 목요일,2번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,jksoon,https://m.place.naver.com/my/5eb977528f87a842bc0ce67d/review?v=2,1406,13,,조아요,,2024년 1월 4일 목요일,2번째 방문,결제내역
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,hahahaaaa,https://m.place.naver.com/my/5bdbdd1286caf505fda82079/review?v=2,310,,,,,2023년 12월 28일 목요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,pur****,https://m.place.naver.com/my/5f96d08e12ddca883d5693c6/review?v=2,1876,,,,,2024년 4월 20일 토요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,백만불보조개,https://m.place.naver.com/my/5dd8c3e09ec8258e4a24fc94/review?v=2,592,,,울 아이가 크림스틱조아해용,,2024년 2월 16일 금요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,sseal99,https://m.place.naver.com/my/5faa2c7fc3116fc01c15a01d/review?v=2,341,4,,ㅜ,,2024년 4월 20일 토요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,가비영,https://m.place.naver.com/my/5e5c26ae8f87a842bc51d372/review?v=2,1979,,,좋아요 ,,2023년 12월 21일 목요일,3번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,ast****,https://m.place.naver.com/my/5c10ed8846fb06d242d17fc9/review?v=2,1026,,,좋아요.......,,2024년 1월 19일 금요일,3번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,현경공쥬님24,https://m.place.naver.com/my/5c76904864a00c60b8f9b643/review?v=2,430,,,좋아요,,2024년 1월 19일 금요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,나야ㅋ,https://m.place.naver.com/my/5efe4605bf28894a9288471c/review?v=2,684,,,맛있어요!,,2023년 12월 16일 토요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,dlg****,https://m.place.naver.com/my/609a772791a96e93def6960b/review?v=2,1357,,,맛있어요,,2023년 10월 21일 토요일,5번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,오잉555,https://m.place.naver.com/my/5f06f07d200ffc9fb66743c4/review?v=2,906,,,,,2023년 10월 28일 토요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,그림쟁이4,https://m.place.naver.com/my/5efeea6e1c9b02e1ea3c0741/review?v=2,579,,,너무 좋아요 애니앤티스,,2023년 9월 9일 토요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,쫑아70,https://m.place.naver.com/my/5caa0b2210803b3bce59eef7/review?v=2,320,,,시나몬스틱 맛있네요~^^,,2023년 10월 3일 화요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,어린잎녹차,https://m.place.naver.com/my/5ddfd2ee9ec8258e4a220c96/review?v=2,845,27,,맛있어요. 식으면 딱딱해지니 바로 먹는 게 제일 맛있는 것 같아요~ㅎ,,2024년 1월 5일 금요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,양순호34,https://m.place.naver.com/my/5ec0deee8f87a842bc6e8569/review?v=2,565,3,,굿,,2023년 12월 28일 목요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,dlg****,https://m.place.naver.com/my/609a772791a96e93def6960b/review?v=2,1357,,,굿,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 9월 15일 금요일,3번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,은하수319,https://m.place.naver.com/my/5d331f5be844e39045ad6655/review?v=2,397,,,,,2023년 10월 2일 월요일,1번째 방문,영수증
앤티앤스프레즐 이마트월계점,"카페,디저트",4.23,,,dlg****,https://m.place.naver.com/my/609a772791a96e93def6960b/review?v=2,1357,,,굿,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 9월 27일 수요일,4번째 방문,영수증
