가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
어빌리티커피,"카페,디저트",,,,뭉게게뭉,https://m.place.naver.com/my/5efe125567c6d4320f5720f5/review?v=2,95,,,"잠깐 노트북 정리하려고 갔는데
적당히 차분한 분위기라 작업하기도 괜찮았고
다양한 연령대 손님들 편하게 대화하시기도 좋은 느낌
에티오피아 스페셜티 드립 맛있게 잘 마셨어요
전기 사용은 하지 않았지만 창가쪽 콘센트 사용 가능한! ",,2024년 4월 17일 수요일,1번째 방문,결제내역
어빌리티커피,"카페,디저트",,,,bandana,https://m.place.naver.com/my/617b96c399a1c3551e39efa6/review?v=2,614,,,커피 맛있어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 14일 일요일,1번째 방문,영수증
어빌리티커피,"카페,디저트",,,,마이썬썬썬,https://m.place.naver.com/my/5d8dd4f78f87a842bc7b2222/review?v=2,1392,75,,"디카페인 있어서 좋고, 두유변경도 좋아요! 게다가 커피맛집 💚 아인슈페너 크림은 커피와 아주 잘 어우러지고 바닐라빈라떼는 바닐라빈과 비정제설탕으로 직접 만든 시럽을 사용한다고 설명되어있었는데 과하게 달지 않은 단맛이 전체적으로 맛있었어요. 히비스커스레몬에이드는 색이 오묘해서 더 예뻐보였습니당! ",,2024년 4월 21일 일요일,3번째 방문,결제내역
어빌리티커피,"카페,디저트",,,,grbnana,https://m.place.naver.com/my/5ecf8e848f87a842bc2d515a/review?v=2,62,1,,쿠키 맛도리-! 아침이엇지만 매우 힘들어보이는 지건분…,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 6일 토요일,1번째 방문,결제내역
어빌리티커피,"카페,디저트",,,,텔레토비청소기,https://m.place.naver.com/my/5d578e936f479ef175317836/review?v=2,176,,,커피와 쿠키 모두 만족스러웠습니다!!! ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 12일 수요일,1번째 방문,영수증
어빌리티커피,"카페,디저트",,,,빵그레dh,https://m.place.naver.com/my/5c66e1a8a150b6d05ed47fba/review?v=2,490,17,,티라미수 맛있어요!!,,2024년 7월 14일 일요일,1번째 방문,영수증
어빌리티커피,"카페,디저트",,,,두비둡55,https://m.place.naver.com/my/5eae461b8f87a842bc99cccf/review?v=2,7,,,"우연히 들렸다가 인테리어도 너무 예쁘고 음료, 디저트 다 너무 맛있어서 자주 들렸어요😀😀 분위기가 따뜻하고 음악 플리도 잔잔하니 좋아서 기분전환하면서 공부하거나 작업하기에 좋았어요:) 직원분들도 항상 친절하셔서 좋았어요!

+ 얼그레이 레몬쿠키, 밀크티가 진짜 맛있어요🤤🫶",,2024년 2월 5일 월요일,1번째 방문,영수증
어빌리티커피,"카페,디저트",,,,pop****,https://m.place.naver.com/my/623ad5c831d97007077ab690/review?v=2,788,,,디카페인이 있어 좋았어요,,2024년 5월 23일 목요일,1번째 방문,영수증
어빌리티커피,"카페,디저트",,,,맛탱뤼,https://m.place.naver.com/my/5e0348618f87a842bc879257/review?v=2,777,50,,"저녁에 가서 커피는 안마시고
망고패션후르츠 에이드 마셨는데, 맛있어요.
친구는 커피 마셧는데, 커피 원두 선택 가능합니다.
바스크치즈케이크 맛있어요! 그을려진부분도 살짝 바삭하지 맛나요.

분위기 좋은데 좌석이 약간 적어서 저녁이었지만 꽉 차더라고요. 
분위기 좋아요!",,2024년 1월 26일 금요일,2번째 방문,영수증
어빌리티커피,"카페,디저트",,,,edu79,https://m.place.naver.com/my/5ccff1056fdc71f1be7716bb/review?v=2,13,,,"아이포함 5명 인원수대로 음료 주문하고 2인 테이블 두 개 이용했는데
아이들이 앉아있는 테이블 계속 이용할 거냐고 물으시더라고요? 음료 주문을 안한 것도 아니고 뭐가 문제시냐고 했더니

새로 들어오는 다른 사람이 사용해야한다며.. 
말도 안되는 소릴 하시고
그럼 계속 그렇게 이용하시던지요
라고 하시더라고요? 

노키즈존도 아니고 음료 주문도 아이 포함으로 시켰는데 왜 그러셨는지 아직도 황당합니다.
연휴에 기분 좋게 지인들과 커피숍에서 만난 건데 하루 종일 기분 안 좋게 보냈어요. 
과한 친절은 바라지도 않습니다. 정당하게 돈 내고 음료 주문 다 했는데 테이블 이용은 하게 해주셔야죠? 
",,2024년 5월 4일 토요일,1번째 방문,영수증
어빌리티커피,"카페,디저트",,,,뿌셔뿌셔양념,https://m.place.naver.com/my/61742f1999f7ae749dae39a9/review?v=2,149,14,,"커피가 진짜 맛있어요!!!
원두는 고소하고 삼니 없고
스팀은 완전 부드럽고 뜨겁지 않고 따뜻하고
진짜 라떼 너무 맛있어요ㅠ
공릉 가면 커피 마시러 자주 갈 것 같아요
",,2024년 1월 16일 화요일,1번째 방문,영수증
어빌리티커피,"카페,디저트",,,,KnitKim,https://m.place.naver.com/my/5e5a5fb08f87a842bcbee361/review?v=2,647,,,커피 맛있었어요 :),,2024년 4월 18일 목요일,1번째 방문,영수증
어빌리티커피,"카페,디저트",,,,neo****,https://m.place.naver.com/my/5f06d0082485c5130cf472c9/review?v=2,4,,,"커피는 나쁘지 않아요.
그런데 친절 했으면 좋겠습니다.
아니 친절은 바라지도 않아요.
상식이 통했으면 좋겠습니다.
:)",,2024년 5월 4일 토요일,1번째 방문,결제내역
