가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
에이프릴사워,"카페,디저트",,,,Naseooo,https://m.place.naver.com/my/615bb9884f4bb24dac826fe1/review?v=2,71,,,"작업할 게 있어 조용하고 아늑한 카페 찾고 있었는데 서치 하다가 알게 됐어요! 베이지톤으로 너무 아늑하고 디저트도 맛있는 종류가 많아 뭐 먹을지 고민했네요, 커피 원두도 선택할 수 있어 좋았고 화장실도 너무 깨끗했어요!
창가석 앉아서 비 소리 들으며 조용하게 작업했는데 다른 카페에서는 무조건 에어팟을 껴야했다면 에이프릴사워는 너무 조용해서 나오는 노래 들으며 빡집중 했어요 다음에 또 오고싶어요 증말 !!!! 🫶🏻💛😜",,2024년 7월 18일 목요일,1번째 방문,영수증
에이프릴사워,"카페,디저트",,,,kkj****,https://m.place.naver.com/my/612ccb2de7fc77f1aa22d975/review?v=2,54,,,"에이프릴사워는 다양한 커피, 논커피, 시그니쳐, 디저트 등의 메뉴가 있어요! 디저트는 모두 수제 디저트여서 퀄리티가 너무 좋았고 어떤 걸 먹을까 고민하다가 호주식 바나나브레드 비주얼에 눈이 가서 주문하고 기본적인 아메리카노와 시그니처 메뉴인 자두 펄 그린티를 시켰어요!주문한 메뉴가 나오고 비주얼이 너무 예뻐서 감탄...♥자두펄그린티 비주얼 보이시나요? 영롱하고 힐링되는 색감이에요~아래에 자두청이랑 알갱이가 깔려있고 코코넛젤리도 들어가 있어서 먹을 때마다 씹는 식감이 아주 좋았어요! 그린티 맛이 은은하게 나면서 자두의 단맛도 함께 맛볼 수 있어서 너무 좋았어요! 
바나나브레드는 진짜 꼬소꼬소+담백한데 위에 있는 크림치즈(?)같은 크림과 같이 먹어야 더 맛있어요! 엄청 달지 않아서 호불호없이 누구나 좋아할 맛!",,2024년 7월 11일 목요일,1번째 방문,영수증
에이프릴사워,"카페,디저트",,,,sanghee46,https://m.place.naver.com/my/5f05477a34a524e70c5b48a9/review?v=2,17,,,"오션라떼 아래 소다 음료랑 커피 층이 나눠져있어서 두가지 맛을 즐길 수 있는 음료라서 이색적이고 너무 맛있었어요! 이번년에 먹어본 라떼 중에 제일 맛있었어요! 애플 크럼블 치즈케이크 애플 조림이랑 크럼블 씹히는게 최고🍎🤍 매장 분위기도 너무 좋고 노래도 잔잔하고 신나서 혼자와서 작업하기도 좋고, 편안하게 친구랑 이야기하러 오기 좋은 카페인 것 같아요!",,2024년 7월 18일 목요일,1번째 방문,영수증
에이프릴사워,"카페,디저트",,,,아이꽁,https://m.place.naver.com/my/5b9bdb856cb6bb3d38b1a8f7/review?v=2,47,,,"공릉카페 에이프릴사워! 우드톤 인테리어로 깔끔하구
매장에서 팝송이 흘러나오는데 너무 좋아요!
애플 로즈 리프레셔 콜드브루 들어간 티(?)인데
더위 식히기 좋은 상큼한 맛이에요◡̈
메론소다는 바닐라아이스크림이 있어서 부드럽습니당ㅎㅎㅎㅎ노래가 넘 좋아서 계속 있고싶어용!",,2024년 7월 19일 금요일,1번째 방문,영수증
에이프릴사워,"카페,디저트",,,,1313Spsp,https://m.place.naver.com/my/60710f4d7997b9862c7e07bd/review?v=2,197,,,"공릉동 철길을 걷다가 너무 분위기 좋은 카페를 찾았네여!! 
분위기도 너무 좋고 첫째로 제일 중요한 커피랑 음료 맛이 너무 좋아요..! 
더워서 상큼한 애플로즈리프레셔랑 레몬블랙 아이스티를 시켰는데 더위가 날라가는 듯한 기분입니다
공릉동 철길거리 재미있게 구경하고 멋진카페도 찾았네요~ ㅎㅎ",,2024년 6월 27일 목요일,1번째 방문,영수증
에이프릴사워,"카페,디저트",,,,dlnkwd,https://m.place.naver.com/my/5e71fa468f87a842bc758acd/review?v=2,81,,,"에이프릴사워에서 플랫화이트,메론소다,단호박크림케이크를 주문했습니다. 플랫화이트는 고소하면서도 부드러운 커피의 맛이 인상적이었습니다. 케이크와 먹기 딱 좋은 커피입니다. 메론소다는 메론맛 소다에 완전 큰 왕 바닐라 아이스크림이 같이 들어있습니다. 먹다보면 젤리가 씹혀서 달달 상큼합니다. 저의 최애 음료입니다.^^* 단호박 케이크는 단호박이 듬뿍 들어간 케이크에 아몬드 토핑이 콕콕 씹힙니다. 분위기도 아늑하고 좋아서 담번에도 재방문 드리고 싶습니다. 사과로고가 그려진 손거울도 주문하여 제 방에 갠소중입니다.😘 공릉역카페맛집은 역시 에이프릴사워!",,2024년 6월 21일 금요일,1번째 방문,영수증
에이프릴사워,"카페,디저트",,,,청이맘45,https://m.place.naver.com/my/5e9aa69d8f87a842bc034fab/review?v=2,717,27,,"조용하고 아늑하고 깔끔해서 출근도장 찍고 싶은 곳이에요.
커피 종류도 다양하고 다른 매장에서 볼 수 없는 메뉴가 있어서 좋아요~ 평일 오전이라 여유롭게 잘 즐길 수 있었네요~  좋아하는 메론소다가 아이스크림까지 올려줘서 진짜 맛있게 잘먹었구요~ 디저트도 수제 디자트라 그런지 퀄리티가 남달라요~  👍 ",,2024년 6월 19일 수요일,1번째 방문,영수증
에이프릴사워,"카페,디저트",,,,똘똘이85,https://m.place.naver.com/my/5f0617eede46936b6738809b/review?v=2,60,10,,"에이프릴사워는 앤트러사이트 원두로 내린 커피와 다양한 찻잎을 블렌딩한 티, 직접 만든 수제 디저트를 제공한다고 해요!!🍎
앤트러사이트 원두는 취향에 따라 선택 가능해요!

통창으로 되어 있어 탁 트이고 넓은 내부 덕분에
가게 곳곳이 포토존이에요📷 
화이트 톤의 깔끔함 덕분에 어디서 찍어도 예쁜 사진들 제대로 건질 수 있는걸요🤭 

심지어, 카페 캐릭터와 굿즈도 있어요‼️
개인 카페라서 더더욱 퀄리티가 좋고 예쁜걸요🤩

특히, 단호박 케이크 부드러우며 담백하고 너무 달지 않으니 계속 들어가요,,,
메론알갱이도 씹히고 시원한 메론소다 정말 괜찮네요🍈
말차샷라떼도 아이스 핫 모두 즐기기 가능!

귀여운 사과 로고와 굿즈, 예쁜 디저트와 커피로 힐링하고 싶으신 분들은 함께 에이프릴사워 로 가보자구요🩷 
",,2024년 5월 30일 목요일,1번째 방문,영수증
에이프릴사워,"카페,디저트",,,,weh****,https://m.place.naver.com/my/5efc28c08f87a842bc249887/review?v=2,59,,,디저트가 수제로 만드신거라고 해서 모양만 예쁜줄 알았는데.... 저 애플크럼블 치즈케이크 진짜 너무너무 추천해요!! 치즈케이크 꾸덕함이 정말 예술이었어요!! 애플크럼블은 시나몬 향과 함께 바삭하면서도 고소한 맛과 사과말랭이의 달콤한 맛까지! 최고!! 에이프릴 선셋티는 사과향이 가득한 새콤달콤한 티였는데 더운 여름날에 다시 먹으러 오고 싶어질거 같은 너무나 맛있는 맛이었어요!! 아메리카노는 커피 원두가 앤트러사이트 원두를 사용해서 종류를 선택할 수 있는 것도 좋았고 뭔가 고소함과 함께 산미도 잘 느껴져서 좋았어요! 사장님과 직원분도 친절하시고 가게 내부도 깔끔하고 청결하고 다 좋았습니닷!,,2024년 5월 24일 금요일,1번째 방문,영수증
에이프릴사워,"카페,디저트",,,,이유207,https://m.place.naver.com/my/5bb60415ddfe135ff0a6a0c8/review?v=2,27,1,,"공리단길 골목에서 우연히 발견한 카페인데
분위기도 아늑하고 여유를 즐기러 오기 좋은곳인거 같아요! 음료랑 디저트도 너무 맛있고
굉장히 만족스러웠습니다ㅎㅎ
단호박 케이크 꼭 드셔보셔야해요!
부드러운데 과하게 달지않아서 계속 먹게되는 중독적인 맛이에요!
다음번엔 다른 디저트 도장깨러 방문하겠습니다
감사합니다!",,2024년 6월 28일 금요일,1번째 방문,영수증
