가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
예노,카페,4.36,,,dalki3029,https://m.place.naver.com/my/5d88db408f87a842bceffbc6/review?v=2,4013,,,-,,2024년 6월 5일 수요일,1번째 방문,영수증
예노,카페,4.36,,,레푸치카,https://m.place.naver.com/my/5b9ba55ab04635b739b25aff/review?v=2,933,19,,굿,,2023년 9월 11일 월요일,1번째 방문,영수증
예노,카페,4.36,,,pd0613,https://m.place.naver.com/my/6151675a7bac1907285afcaa/review?v=2,672,,,분위기도 좋고 커피맛도 좋아요.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 1월 11일 수요일,1번째 방문,영수증
예노,카페,4.36,,,ky****,https://m.place.naver.com/my/5e5f8aff8f87a842bccfce56/review?v=2,512,,,커피와 차가  맛있어요,,2023년 1월 5일 목요일,1번째 방문,영수증
예노,카페,4.36,,,날으는 거북이0531,https://m.place.naver.com/my/609cf2b022465d58d8793bab/review?v=2,825,5,,맛있어요 ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 5월 24일 수요일,1번째 방문,영수증
예노,카페,4.36,,,스마일짱9,https://m.place.naver.com/my/614154b25b8a271cc2930435/review?v=2,547,,,인테리어가 예쁘네요...,,2023년 1월 11일 수요일,1번째 방문,영수증
예노,카페,4.36,,,미서니1212,https://m.place.naver.com/my/5f06d1e11021639de85c0924/review?v=2,277,,,굿,,2022년 12월 2일 금요일,2번째 방문,영수증
예노,카페,4.36,,,미서니1212,https://m.place.naver.com/my/5f06d1e11021639de85c0924/review?v=2,277,,,자몽차가  맛있어요~,,2022년 9월 28일 수요일,1번째 방문,영수증
예노,카페,4.36,,,rladyddus1,https://m.place.naver.com/my/5ecb7f508f87a842bc931b9e/review?v=2,200,,,자몽차 넘 맛있어요 ,"일시적인 오류가 발생했습니다
음료가 맛있어요",2022년 12월 2일 금요일,3번째 방문,영수증
예노,카페,4.36,,,rladyddus1,https://m.place.naver.com/my/5ecb7f508f87a842bc931b9e/review?v=2,200,,,"자몽차 다른데서는 못 먹어요.
진짜 맛나요.","일시적인 오류가 발생했습니다
가성비가 좋아요",2022년 9월 28일 수요일,2번째 방문,영수증
예노,카페,4.36,,,whdobs,https://m.place.naver.com/my/60210d7ce7b83e2bfde94250/review?v=2,522,,,굿,,2022년 8월 26일 금요일,1번째 방문,영수증
예노,카페,4.36,,,dream6357,https://m.place.naver.com/my/5f0569354d1cf87540aac657/review?v=2,479,,,,"일시적인 오류가 발생했습니다
커피가 맛있어요",2022년 5월 26일 목요일,1번째 방문,영수증
예노,카페,4.36,,,커피좋아용,https://m.place.naver.com/my/5e21c6c18f87a842bcccb2d3/review?v=2,274,,,"2층이 있는 줄 알았는데 1층 테이블 4개중에 앉아야했고, 좁고 긴 어두운 1층에서 그냥 그런 커피 마시며 친절하지도 않은 카페에 굳이 앉을 이유는 없을 듯. 다른 카페도 주변에 많아서 다시 안갔네요.",,2022년 2월 14일 월요일,1번째 방문,영수증
예노,카페,4.36,,,귤4379,https://m.place.naver.com/my/5fbe4f0a0b4098acfb0d1dd0/review?v=2,122,,,자리 편하고 사장님 친절하세요 소금빵 있다고 해서 갔는데 없어서 아쉬웠어요 스콘은 그냥 그렇고 커피는 맛있네요,"일시적인 오류가 발생했습니다
집중하기 좋아요",2021년 11월 16일 화요일,1번째 방문,영수증
예노,카페,4.36,,,윤쮸44,https://m.place.naver.com/my/5f2e257b9ec8258e4aa8cbb6/review?v=2,657,,,👍,"일시적인 오류가 발생했습니다
커피가 맛있어요",2021년 10월 23일 토요일,1번째 방문,영수증
예노,카페,4.36,,,kmh****,https://m.place.naver.com/my/5d050e5ed6d79a4716fed65f/review?v=2,1115,,,좋아요~~~~~,,2021년 8월 13일 금요일,2번째 방문,영수증
예노,카페,4.36,,,kmh****,https://m.place.naver.com/my/5d050e5ed6d79a4716fed65f/review?v=2,1115,,,좋아요~~~~,,2021년 7월 23일 금요일,1번째 방문,영수증
예노,카페,4.36,,,최미나21,https://m.place.naver.com/my/5fa4c597a8dae1441080f754/review?v=2,948,,,굿,,2021년 6월 11일 금요일,1번째 방문,영수증
예노,카페,4.36,,,달달하,https://m.place.naver.com/my/5c5ec36826bca851a0093197/review?v=2,821,,,맛있어요 ^^,,2021년 3월 24일 수요일,1번째 방문,영수증
예노,카페,4.36,,,골드5764,https://m.place.naver.com/my/5cedb74193ff94ba74823605/review?v=2,442,,,굿,,2020년 11월 18일 수요일,1번째 방문,영수증
