가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
오누이,"카페,디저트",4.63,,,맛맛,https://m.place.naver.com/my/5c223b0003f60d0de9657286/review?v=2,266,36.0,,오랜만에 그릭요거트 먹고싶어서 오누이왔어요 ㅎㅎ 매달 메뉴가 조금씩바껴서 좋더라고요💛 이번엔 복숭아그릭요거트로 먹었어요! 제철과일 그릭요거트를 먹을수있어서 넘좋아효 ㅎㅎㅎ매장에 물만 있으면 더좋을것같아요🥹,,2024년 7월 20일 토요일,2번째 방문,결제내역
오누이,"카페,디저트",4.63,,,맛맛,https://m.place.naver.com/my/5c223b0003f60d0de9657286/review?v=2,266,36.0,,"오누이 인스타보는데 오늘이 샌드에 딸기들어간 마지막날일것 같다고 올라와서 바로 와봤어요
옛날에 요거트 맛있게먹었던 기억이있는데 그릭요거트샌드도 생겼더라고요!
점심으로 먹을겸 그릭후르츠산도랑 오디복분자 그릭요거트 먹었어요🩷
살짝달달하면서 신맛도 별로안나는게 넘나맛있더라고요! 
앞으로도 종종와야겠어요🥹👍",,2024년 5월 25일 토요일,1번째 방문,결제내역
오누이,"카페,디저트",4.63,,,nd****,https://m.place.naver.com/my/5d22d4da9f9d96457582e7c2/review?v=2,207,18.0,,공릉동에서 좋아하는 디저트카페 중 한곳! 혼자오기도 좋고 둘이 오기도 좋다! 산도도 깔끔하고 맛도리:),"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 13일 토요일,1번째 방문,영수증
오누이,"카페,디저트",4.63,,,에이미다람,https://m.place.naver.com/my/5c1df7f23c851b68898a7a41/review?v=2,763,27.0,,과일요거트샌드 안에 들어있는 과일이 모두 싱싱해서 기분 좋아지는 맛이었어요,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 20일 토요일,1번째 방문,영수증
오누이,"카페,디저트",4.63,,,마이크와 조숙희,https://m.place.naver.com/my/5dea599b9ec8258e4a8a455d/review?v=2,1655,115.0,,"과일산도 꼭 먹어보고싶었는데 다이어트중이라 크림은 참고.. 그릭산도 산미 은근히 느껴지고 맛있어요! 사이즈는 작지맠 과일이 가득해요!
무엇보다 공간이 너무예쁘고 좋아요!!",,2024년 6월 18일 화요일,1번째 방문,영수증
오누이,"카페,디저트",4.63,,,맛집대왕 송구리,https://m.place.naver.com/my/63c8f110abbacd0006add834/review?v=2,41,7.0,,"새콤달달한 요거트 아이스크림에 여러가지 과일이 올라가져있는 ! 그야말로 비주얼적으로 끝장내주는 오누이 여름빙수🍓🍒🍇🍌🥝🍊🍧
정말 과일들도 신선하고 요거트도 꾸덕하고 맛있어요 ! 
🩷🫶🏻",,2024년 5월 31일 금요일,1번째 방문,영수증
오누이,"카페,디저트",4.63,,,유스티나70,https://m.place.naver.com/my/5c1b5097ea35bc1495466ff7/review?v=2,515,44.0,,"산책할 때마다 지나쳤던 곳인데 매번 가봐야지 가봐야지 하고 이번에 처음으로 방문했어요. 
입구도 특이하고 실내 인테리어도 독특해서 깜짝 놀랐네요^^
 커피가 안돼서 조금 아쉬웠지만 에이드나 따뜻한 차를 주문할 수 있어서, 샌드위치와 더 잘 어울렸던 것 같아요. 
분위기가 너무 좋고 데이트하기 좋은 곳 같아요 그릭요거트 전문점이라 여성분들에게 인기 좋은듯여~
산도도 속이 그릭요거트라 달지 않고 맛있어요. 
또 방문할게요^^",,2024년 3월 5일 화요일,1번째 방문,영수증
오누이,"카페,디저트",4.63,,,만마닝,https://m.place.naver.com/my/5e62d6a68f87a842bc26c61d/review?v=2,69,14.0,,"과일산도가 너무너무 맛있어요! 예전보다 과일양도 많이진 거 같아요! 속까지 꽉꽉 차있는 과일! 이미 너무너무 맛있지만, 그릭요거트가 조금 더 두껍게 있으면 좋을 것 같은건 저의 욕심이겠죠,,희희
그릭요거트볼도 너무 맛있어요! 항상 꾸덕으로 먹는데 과일 한바가지 얹어주세요! 사진보니 또 먹고 싶어요,,
인테리어도 엄청 예뻐서 대충 찍어도 썸네일입니다ㅠㅠ",,2024년 1월 20일 토요일,1번째 방문,영수증
오누이,"카페,디저트",4.63,,,dalme,https://m.place.naver.com/my/60c29f053c6b256f9a6f4aba/review?v=2,116,,,맛있어요! 근데 양이 작아요🥺 8천원인데 크기가 주먹만한 듯..,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 5월 4일 토요일,1번째 방문,결제내역
오누이,"카페,디저트",4.63,,,그리젠,https://m.place.naver.com/my/5c307e06b4ebee5eb4b8402d/review?v=2,241,16.0,,"평일 오후 휴가내고 들린 오누이💕
눈 오는날에 방문해서 사람이 더 없었던것 같아요.
평소에 그릭요거트를 좋아하기도하고 그릭산도가 유명해져서 먹어보고싶었는데 드디어 처음 먹어봤어요 !!
과일도 상큼하고 빵피부분에 딸기쨈 얇게 발려져있어서 너무 달달하고 맛있더라구요 ㅎㅎ
가격이 조금 나가긴 하지만 그만한 가치가 있었습니닷",,2024년 1월 9일 화요일,1번째 방문,결제내역
오누이,"카페,디저트",4.63,,,Dmsduddl,https://m.place.naver.com/my/5e700f3e8f87a842bcd0a25a/review?v=2,843,3.0,,요거트 아이스크림 존맛,,2024년 6월 20일 목요일,1번째 방문,영수증
오누이,"카페,디저트",4.63,,,Meloooody,https://m.place.naver.com/my/5bc021f38060253d56333eda/review?v=2,363,84.0,,"조용하고 차분한 까페
그릭요거트 꾸덕꾸덕 맛있고! 미숫가루 정말 맛있음♡","일시적인 오류가 발생했습니다
건강한 맛이에요",2024년 2월 9일 금요일,2번째 방문,영수증
오누이,"카페,디저트",4.63,,,limja1646,https://m.place.naver.com/my/5d9038408f87a842bc62c9db/review?v=2,221,,,"예쁜게 맛있기까지 합니다🤣
선물하기에도 좋을껏 같아요^^","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 3월 27일 수요일,1번째 방문,영수증
오누이,"카페,디저트",4.63,,,토꺄,https://m.place.naver.com/my/5ea37f638f87a842bc4f72f7/review?v=2,218,18.0,,"산도 가격이 사악- 하지만 🫥 
그릭이 들어간 산도 .. 참 맛있네요 ? 
그릭이라 엄청 쫀쫀하고 많이 달지 않으면서 상큼힌 산도 였어요. 
가격에 치였는데 먹고서 끄덕끄덕

음료도 패션후르츠에이드 맛있었어요👍🏻

커피가 없다는 것이 좀 흠이랄까 🥲 ",,2023년 11월 14일 화요일,1번째 방문,결제내역
오누이,"카페,디저트",4.63,,,베이맥스26,https://m.place.naver.com/my/5f1665719ec8258e4a970c1a/review?v=2,494,,,그릭요거트 맛잇어요,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 5월 7일 화요일,1번째 방문,영수증
오누이,"카페,디저트",4.63,,,tmd****,https://m.place.naver.com/my/5c8e213b245d68aaacd4f406/review?v=2,732,9.0,,공릉동 그릭요거트 맛집입니다~~ 그릭산도는 과일도 큼지막해서 좋고! 요거트 아이스크림도 되게 맛있어요!! 뭔가 건강식 디저트 느낌 ㅎㅎ,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 12월 9일 토요일,1번째 방문,영수증
오누이,"카페,디저트",4.63,,,ali****,https://m.place.naver.com/my/60c35eb201b295456fbefcdd/review?v=2,104,,,전에 후르츠산도 맛있게 먹은 기억이 나서 이번엔 요거트를 먹으러 갔어요. 요거트의 꾸덕한 정도와 토핑을 고를 수 있고 맛있습니다. 비밀 공간 같은 느낌도 좋아요.,,2024년 1월 16일 화요일,1번째 방문,영수증
