가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
오오키 베이크,베이커리,,,,Ci13,https://m.place.naver.com/my/5d9d6eb68f87a842bccf0c05/review?v=2,35,,,처음 먹은 블루베리 베이글이 너무 맛있어서 또 방문했어요! 오늘도 역시 친절하신 사장님! 빵들이 너무 인기가 많아서 비가 많이 오는날 방문했는데 많이 없어서 아쉬웠어요ㅠㅠ 초코베이글 너무 맛있어요! 단거 좋아하시는 분들은 좋아하실꺼같아요 단백한 빵을 좋아하는 저의 마음속 1등은 블루베리 베이글 통밀 소금 너무 맛있어요..통밓 소금은 약간 퍽퍽 하면서 고소한게 딱 저의 취향이였습니다◡̈,,2024년 7월 17일 수요일,2번째 방문,영수증
오오키 베이크,베이커리,,,,ajd****,https://m.place.naver.com/my/610f57cb7d0a1b5382c6abc8/review?v=2,13,,,"집앞에 생긴 베이글카페~
가봐야지하고 오늘 방문해봤는데 가격도 착하고 특히 사장님이 엄청 친절하셨어요 ㅎㅎ건강 챙기는 중이라 그냥 빵보다 두부 베이글이라 더 좋았고 한끼식사로 먹어도 충분할거같아요!!! 쫀득쫀득 맛있었네요~ 다음에는 유명한 다크초코호두베이글 먹어보고싶어요!!!",,2024년 7월 20일 토요일,1번째 방문,영수증
오오키 베이크,베이커리,,,,geniekku,https://m.place.naver.com/my/5ded22768f87a842bca4ae40/review?v=2,79,4.0,,"3주째 방문 중인 빵순이입니다. 
언젠가부터 제 알고리즘에 뜨면서, 
특이하게 두부가 많이 함유된 베이글이라 하여 
식단 중에 식사대용 탄수화물로 먹으면 좋겠다 싶었어요
처음 갔을때에는 맛 별로 한개씩 골고루 사갔었고
3번째 구매인 현재는 입맛에 맞는 베이글만 몽창 구매하고 있습니다.
저는 다크초코호두베이글을 제일 좋아하고 (다크초코의 쌉싸름함과 호두의 바삭 고소함이 씹혀서 식감도 재밌고 디저트 먹는것 같아서 맛있어요) 그다음엔 기본 베이글이 가장 고소하고 맛있는것 같더라구요 
베이글은 바로 먹는것과 냉동실 넣었다가 토스트기에 다시 구워먹었을때 완전히 다른 맛이 되기 때문에 둘 다 맛있습니다만 둘이 식감이 좀 달라져요! 바로 먹으면 쫀득한 식감이고, 구워서 먹으면 겉바속쪼온 이런 느낌이에요 ",,2024년 5월 25일 토요일,1번째 방문,결제내역
오오키 베이크,베이커리,,,,geniekku,https://m.place.naver.com/my/5ded22768f87a842bca4ae40/review?v=2,79,4.0,,"(하고 싶은말은 많은데 대체 왜 400자 제한인건데..)
스콘에 대해서 얘기해보자면, 플레인 스콘과 통밀소금스콘의 맛이 미묘하게 차이가 있어요. 플레인 스콘은 우리가 아는 플레인 스콘맛에 좀더 담백한 버전이고, 통밀소금스콘은 건빵맛이나요 (마트에서 파는 통밀 건빵아시죠 딱 그맛임) 저는 둘다 맛있지만 건빵 원래 좋아해서 통밀스콘이 좀 더 제 취향입니다 스콘은 바로 먹었을때는 베어물었을때 바스라질정도로 바삭하고 딱딱 단단한 스타일이고, 냉동실에 얼렸다가 자연해동살짝 해서 먹었을때는 묵직하고 (이때는 좀 빵이 촉촉해집니다) 목이 멕히는 맛이 나는데 둘다 각자의 개성으로 맛있지만 저는 후자가 더 제 취향이었던것 같습니다. 부스러기도 안나고 어쨋든 사장님도 너무 친절하시고 좀만 늦게가도 빵이 없으니 꼭 예약하세요",,2024년 6월 1일 토요일,2번째 방문,결제내역
오오키 베이크,베이커리,,,,서영2838,https://m.place.naver.com/my/5c1744cd5b465faa0dd051db/review?v=2,34,,,"찾았ㄷㅏ베이글맛집+.+
보통 세트상품을 사면 맘에 안드는게 꼭 껴있기 마련인데 오오키 미니베이글세트는 전부 다 맘에드는 꿀조합이구요! 어디 곁들여먹기 딱 좋은 양입니다👍🏻 두부베이글인데 어캐 쫄깃한 식감까지 잡으신건지 궁금할따름...",,2024년 5월 25일 토요일,1번째 방문,영수증
오오키 베이크,베이커리,,,,순풍25,https://m.place.naver.com/my/5f070067d6ec8fd5cc9f0d4d/review?v=2,36,,,두부를  듬뿍  넣어만든 베이글. 맛있고 소화도 잘되요. 다 맛있는데 그중에 다크초코호두베이글은 리얼 대박이예요. 고소하고 쌉싸름한 초코풍미가 대단해요. 다 팔리고 없을까봐 오전에 다녀왔네요!,,2024년 6월 15일 토요일,2번째 방문,영수증
오오키 베이크,베이커리,,,,na****,https://m.place.naver.com/my/5f0405040b8c7a1cdb6d9ce5/review?v=2,18,,,오오키베이크 단체주문했어요!! 스콘 종류 2개씩 총 25set 주문했어요~ 아이들 선물로 주려고 샀는데 포장도 예뻐서 받으면 아이들이 좋아할 거 같아서 기대됩니다 :-0 예쁘고 건강한 빵 만드는 곳이에요,,2024년 6월 22일 토요일,1번째 방문,영수증
오오키 베이크,베이커리,,,,geniekku,https://m.place.naver.com/my/5ded22768f87a842bca4ae40/review?v=2,79,4.0,,(이어서..리뷰를 적자면) 구웠을때 겉이 바삭하고 쫀득한감이 더 배가 돼요 많이 먹으면 약간..턱이 피로하다고 생각이 들정도??(근데 이런빵은 냉동실 넣었다가 구웠을때 뜨끈할때 금방 먹어야지 안그러면 엄청 딱딱해지는거 아시죠??) 그치만 저는 겉이 바삭!한 식감을 매우매우 좋아하기 때문에 구워먹는게 더 맛있는것 같습니다. (근데 이것도 좀 종류마다 다른것 같아요 어떤거는 그냥 먹는게 맛있고 어떤거는 구워먹는게 맛있고) 구웠을때 가장 맛있는거는 기본 베이글이 아주 어디서도 먹어보지 못한 맛이었어서(겉이 쌀바게트느낌?이라해야하나 좀 다르긴 하지만) 밥대용으로 드시기에 가장 좋지 않을까 생각이 듭니다. ,,2024년 6월 6일 목요일,3번째 방문,결제내역
오오키 베이크,베이커리,,,,everandnever,https://m.place.naver.com/my/5f05b57468ab0c2f9bef4435/review?v=2,4,,,주말에 운동하는 아이들 간식으로 너무 좋았어요! 샌드위치같은건 흘리고 김밥은 부담스러운데 쌀빵이라 챙기기도 먹기도 편하네요^^ 스콘이랑 종류별로 사봤는데 사진을 못남겼어요; 기본베이글은 쫀득하고 구수한 식감이 정말 맛있었어요. 애들이 순식간에 먹어버려서  다음에 다시 들러야겠어요. 옥수수빵은 서로 먹겠다고 못먹어서 아쉽다네요. 잘먹었습니다!,,2024년 7월 5일 금요일,1번째 방문,영수증
오오키 베이크,베이커리,,,,라라라라83,https://m.place.naver.com/my/5d173a33600a143c578ea299/review?v=2,34,,,공릉에서 아침 일찍부터 여는 건강한 빵집은 여기인 것 같아요. 빵 하나 하나 맛있고 사장님도 친절하게 맞이해주세요. 추천입니다!!!,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 6월 26일 수요일,1번째 방문,영수증
