가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
오피셜커피,카페,4.4,,,eeuxji,https://m.place.naver.com/my/5f6d9f476c3d7f733451cf8d/review?v=2,144,15,,커피 쟁반이 옛날 할머니집에서 쓰는 그 쟁반이라 요즘 감성 대박이에요 ㅋㅋㅋㅋ ㅜㅜ 카페 자체가 어두운 편이라 조금 침침하긴 한데 노트북이나 아이패드 작업 하시는 분들두 많더라구용! 혼자 집중하기 좋고 데이투 하기도 좋아요,,2024년 7월 5일 금요일,1번째 방문,결제내역
오피셜커피,카페,4.4,,,박쥐란,https://m.place.naver.com/my/5ec9cec38f87a842bc7f71af/review?v=2,325,34,,수박주스 진짜 맛있어요 🍉 매장이 아늑하고 저녁에는 어두워요 딸기라떼도 맛있어요 ❤️ 알바생 언니가 진짜 예뻐요!,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 6월 20일 목요일,1번째 방문,영수증
오피셜커피,카페,4.4,,,nnymi,https://m.place.naver.com/my/5db77da78f87a842bc91b7a8/review?v=2,226,,,"창가자리가 좋아요
책읽기도 적당히 시끄럽고 집중하기 좋아요
저녁 시간에 사람이 더 많은 거 같아요
바깥에 고양이 밥 있는데 밥 뺏어 먹는 비둘기도 있어요...",,2024년 6월 12일 수요일,1번째 방문,영수증
오피셜커피,카페,4.4,,,리틀리버,https://m.place.naver.com/my/5c4b17e875088834c59ee44f/review?v=2,87,,,평일에 동네 산책하다 커피 한 잔 하기 좋아요~,,2024년 7월 10일 수요일,1번째 방문,영수증
오피셜커피,카페,4.4,,,월계동솜주먹,https://m.place.naver.com/my/5dd398278f87a842bccd3150/review?v=2,214,7,,수박스무디 정말 맛있어요 철길 카페중 여기가 제일 좋아요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 14일 일요일,4번째 방문,영수증
오피셜커피,카페,4.4,,,월계동솜주먹,https://m.place.naver.com/my/5dd398278f87a842bccd3150/review?v=2,214,7,,다른커피숍보다 양이 많아요,"일시적인 오류가 발생했습니다
집중하기 좋아요",2024년 7월 21일 일요일,5번째 방문,영수증
오피셜커피,카페,4.4,,,mnm15,https://m.place.naver.com/my/5efe76a2afcca6e20afd669d/review?v=2,10,,,"파트타이머분이 넘 친절하셔요☺️☺️
분위기도 좋고 집중도 잘 돼요! 노래도 좋아요ㅎ","일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 6월 27일 목요일,1번째 방문,영수증
오피셜커피,카페,4.4,,,apieceofcake,https://m.place.naver.com/my/5d27194e47726655e3006473/review?v=2,158,,,"차분한 분위기여서 혼자 시간 보내러 온 사람들이 많아 보였어요!
음료도 전체적으로 맛있고 좋았습니다. 화장실도 안에 있는데 깨끗해서 좋았어용",,2024년 6월 9일 일요일,1번째 방문,영수증
오피셜커피,카페,4.4,,,sohee8365,https://m.place.naver.com/my/5befd14b795bf4f7b3789371/review?v=2,917,19,,"아침일찍 여는 카페가 없어
경춘선 숲길 산책좀 하고
9시에 오픈이라
이곳에 방문했어요
커피가 맛있어요👍👍👍",,2024년 5월 3일 금요일,1번째 방문,결제내역
오피셜커피,카페,4.4,,,Merrychu,https://m.place.naver.com/my/5ea517f38f87a842bc27339e/review?v=2,234,35,,밤 8-9시쯤 어두워지니 카페 매장 안쪽은 간접등만 켜지는데 그게 반대편 테이블에서 눈을 엄청 쏘아서 너무 불편했어요 ㅠㅠ 테이블도 엄청 흔들리고.. 공릉오면 그래도 몇번 들리던 곳인데 안쪽은 별로네요ㅜ,,2024년 4월 20일 토요일,2번째 방문,영수증
오피셜커피,카페,4.4,,,홀로서기0310,https://m.place.naver.com/my/5d382abc9bf2763e9ee6d5ea/review?v=2,118,1,,"공트럴파크맛집중 한 곳
디저트며 음료가 맛있어요
블루베리라떼에 블루베리가
한가득~~~😍😍😍
생크림카스테라에 생크림이
녹아요 녹아~~^^
히비스커스 신맛이 적어서
좋았어요~~다음엔 저녁에 와서
맥주 한 잔 마셔볼래요
분위기 너무 좋네요❤❤❤",,2024년 2월 19일 월요일,1번째 방문,영수증
오피셜커피,카페,4.4,,,ksy****,https://m.place.naver.com/my/61b9eb0304927fa0c00dcbc5/review?v=2,576,,,"조카가 좋다는 옛날감성카페네요
조금 선술집 느낌
라떼가진하니 좋네요",,2024년 5월 23일 목요일,1번째 방문,영수증
오피셜커피,카페,4.4,,,Merrychu,https://m.place.naver.com/my/5ea517f38f87a842bc27339e/review?v=2,234,35,,"공릉사는 친구만날 때 만나기 좋아하는 카페에요.
어두워서 아늑하고 밖 풍경이 보이는데 너무 좋아요.
케이크랑 음료도 맛있습니다 ㅎㅎ","일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 2월 10일 토요일,1번째 방문,영수증
