가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
온아워오프,"카페,디저트",,,,sjiminim,https://m.place.naver.com/my/64bdf3ee556ccd0006caddc7/review?v=2,202,34.0,,"노원 공릉에 위치한 아기자기 하고 여유로운 동네카페입니다.
직접 디저트를 만드셔서 좋은 특히 소금빵 샌드위치 이거 진짜 맛있어서 추가로 포장해서  왔어요!
주차가 아쉽긴 하지만 동네카페이기 때문에 여유로운 분위기가 좋습니다.
소금도 프랑스산을 쓴다고 하고 샌드위치도 일반적인
샌드위치가 아니라서 좋습니다.
음료도 여름에 좋은 자두에이드라던지 메론크림라떼 등
시원하고 청량한 음료도 많아요!
추가적인 정보가 필요하시다면 제 블로그를 확인해 주세요^^


https://m.blog.naver.com/paradise072/223473001167",,2024년 6월 8일 토요일,1번째 방문,영수증
온아워오프,"카페,디저트",,,,에스텔asy,https://m.place.naver.com/my/5f4341d4a602e98f56bbbd10/review?v=2,43,4.0,,카페 내부가 아기자기하고 예뻐요~ 소금빵 먹어보고싶어서 왔는데 품절이라 아쉽네요! 다음번에 재방문 예정입니다!! 만들어주신 버터스카치 라떼와 자두에이드 비주얼도 예쁘고 맛도 좋아요~!! 공릉의 숨겨진 예쁜 카페 등극입니다!,,2024년 6월 25일 화요일,1번째 방문,영수증
온아워오프,"카페,디저트",,,,러블리봄봄봄,https://m.place.naver.com/my/5de243de9ec8258e4a50cfc0/review?v=2,309,5.0,,"소금빵 맛집이자 버터크림라떼 맛집이에요! 소금빵 매니아라서 주말마다 소금빵 투어(?)를 할 정도인데 진심 탑쓰리 안에 들어요! 부드럽고 촉촉하고 과하게 짜지 않고, 뭔가 진실된 맛이랄까? ㅋㅋ 직접 드셔보세요!! 버터크림라떼는 시그니처라서 주문했는데 보기와 다르게 하나도 안 달고 그냥 맛있기만 해서 좋았어요. 인테리어도 예쁘고, 사장님도 친절하셔서 종종 들리고 싶어요:)",,2024년 6월 22일 토요일,1번째 방문,영수증
온아워오프,"카페,디저트",,,,테유,https://m.place.naver.com/my/5cd2f73d8f87a842bc719e38/review?v=2,726,13.0,,"소금빵 샌드위치맛집 입니다! 🧂 🥐 🥪 
자두에이드 꼭 드셔보세요~ 
자두알맹이가 씹히는 찐자두에이드~~~~  🍒 
완전 취향저격! ✔️  👍 
아 여기 메론크림라떼도 맛있어요!! ☕️ 
사장님두 예쁘시고 친절하세요~ 😀😃😄😁
",,2024년 6월 7일 금요일,1번째 방문,영수증
온아워오프,"카페,디저트",,,,im me,https://m.place.naver.com/my/5ec202a08f87a842bc28a91d/review?v=2,1008,6.0,,"소금빵 샌드위치가 너무 맛있던 공릉역카페예요🫶🏻
브런치로 먹기 딱 좋아요~ 음료와 디저트 모두 자극적이지 않아서 계속 손이 가더라고요:) 
반려동물 동반 가능해서 경춘선숲길 산책하다가 가기 좋을 거 같아요~~
",,2024년 5월 11일 토요일,1번째 방문,영수증
온아워오프,"카페,디저트",,,,도희DD,https://m.place.naver.com/my/5c4455222e176d426ea05a29/review?v=2,697,63.0,,날씨 좋은 날 방문하기 너무 좋았던 카페. 커피 음료 모두 맛있고 커피랑 곁들여 먹기 좋은 다양한 제과제빵이 있어요.:) 부드러운 머핀과 소금 빵 부모님이 좋아하셨어요! 아기자기한 공간으로 힐링으로 오기 좋아요♥️,,2024년 5월 18일 토요일,1번째 방문,영수증
온아워오프,"카페,디저트",,,,찌이잉잉,https://m.place.naver.com/my/5b63513f54126c5c998bee85/review?v=2,133,,,"조용하고 숨겨진 공릉 카페입니다 사장님도 친절하시고 커피도 맛있고 소금빵 도랏 특히 샌드위치 소스가 도라방스 존맛임 가성비도 좋고 카페가 되게 편해요

맛있고 예쁘고 분위기 좋고 먹으면서 계속 여기 또 오자 했어요 공릉 카페 중에서 거의 유일하게 재방문의사 있는 곳!!!!!",,2024년 6월 11일 화요일,1번째 방문,영수증
온아워오프,"카페,디저트",,,,Namuz,https://m.place.naver.com/my/6384c0a41438fc3a9ccb4bb0/review?v=2,23,,,공릉동에 이렇게 예쁜 카페가 있는 줄 몰랐네요~인테리어 너무 감성있고 따뜻한 느낌이고 의자도 귀엽고 편안해요. 시그니처 음료 부드럽고 너무 맛있구요 일반 라떼도 맛있을 것 같아요! 디저트는 에그타르트랑 밤마들렌 먹어봤는데 사장님이 직접 만드셔서 넘넘 맛있었어요ㅠㅠ공릉역 카페 추천해요🫶,,2024년 5월 23일 목요일,1번째 방문,영수증
온아워오프,"카페,디저트",,,,나라올라888,https://m.place.naver.com/my/5cc17457ea9cf31c749daef8/review?v=2,750,23.0,,"새로 오픈한 공릉 신상 카페입니다.
커피맛도 좋고 디저트도 맛나요.
특히 에그타르트가 맛있어요.
창문보고 앉아 커피 마시고 수다떨고 노트북 하다 오면 딱 좋은 공간.
사장님도 친절하시고요.😃😃😃",,2024년 5월 22일 수요일,1번째 방문,영수증
온아워오프,"카페,디저트",,,,누들이이잉,https://m.place.naver.com/my/5e04517d8f87a842bc34fa17/review?v=2,41,,,진짜 자두과육이 씹히는 자두에이드 꼭 드셔보세요 너무 맛있어요! 시그니처 버터크림라떼는 말해모해~ 소금빵과 에그타르트도 두말하면 입아픕미다~¡ 분위기 좋은 동네카페 온아워오프 최고에요!,,2024년 6월 22일 토요일,1번째 방문,영수증
