가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
와플 스타,와플,4.48,,,월요미식회,https://m.place.naver.com/my/5df7ad608f87a842bcfd7bba/review?v=2,68,14,,"공리단길에 위치해 있구요 소규모매장인데도
메뉴가 엄청 많아요 첫방문시에는 기본을 먹어보는
편인데 1번과 3번을 주문했구요 특별하거나 그런 것
없는 딱 흔히 먹는 와플의 맛이었습니다

",,2024년 4월 11일 목요일,1번째 방문,영수증
와플 스타,와플,4.48,,,혀끗스킬,https://m.place.naver.com/my/5df229b88f87a842bc8f5ec6/review?v=2,161,1,,간편하게 먹을수있어 좋아요,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 4월 3일 수요일,1번째 방문,결제내역
와플 스타,와플,4.48,,,yuk****,https://m.place.naver.com/my/5cd04fdc9f1ae10fb7e4ad84/review?v=2,316,,,다른곳보다 와플 맛있어요~❤,,2024년 4월 23일 화요일,1번째 방문,영수증
와플 스타,와플,4.48,,,백서리언니,https://m.place.naver.com/my/5d89ecea8f87a842bca81a46/review?v=2,62,,,"와플 최고 맛집
와플 팔아주셔서 감사합니다 ㅋㅋ
오래오래 와플 만들어주세요ㅠㅜ","일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 12월 9일 토요일,1번째 방문,결제내역
와플 스타,와플,4.48,,,네이버Point루팡,https://m.place.naver.com/my/5c70b89ae9ac3da1629f9a1b/review?v=2,132,23,,가끔 산책하다가 먹고싶을 때 들리는 와플집입니다. 기본에 충실한 맛이랄까요? 달달한거 먹고싶을 때 최곱니다 ^^,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 10월 14일 토요일,1번째 방문,결제내역
와플 스타,와플,4.48,,,올리브49,https://m.place.naver.com/my/5ef36de18f87a842bc5bfb64/review?v=2,701,,,맛있어요,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 10월 14일 토요일,11번째 방문,영수증
와플 스타,와플,4.48,,,오렌지빛96,https://m.place.naver.com/my/5bf27ac2c0517ce077847fcc/review?v=2,676,,,좋아요,,2023년 8월 25일 금요일,1번째 방문,영수증
와플 스타,와플,4.48,,,백악관고양이,https://m.place.naver.com/my/5efe09610765f4dd1bac2a04/review?v=2,339,,,"1. 영수증 리뷰는 처음인데 5년 넘게 다닌곳 
2. 사장님 시크하신데 와플은 달콤함 
3. 개인적으로 크림 + 애플잼, 로투스추천 
4. 여기 먹기 시작하면 다른데 못감",,2023년 5월 14일 일요일,1번째 방문,영수증
와플 스타,와플,4.48,,,Happyending7,https://m.place.naver.com/my/5ba58721e42f1841a20661c2/review?v=2,95,16,,"경춘선 숲길 가면 꼭 들리는 곳이에요!
다른 와플집보다 바삭하고 맛있어요 :) 자주 가는 곳인데 주로 저녁에 문을 열어요~ 여러 종류의 와플이 있는데 번호로 주문하시면 편합니다^^",,2023년 1월 28일 토요일,1번째 방문,영수증
와플 스타,와플,4.48,,,해바라기9399,https://m.place.naver.com/my/5ce62e74d015395d779a8194/review?v=2,684,42,,와플 넘 맛있어서 한개는 순삭했답니다.,"일시적인 오류가 발생했습니다
친절해요",2023년 3월 11일 토요일,1번째 방문,영수증
와플 스타,와플,4.48,,,lig****,https://m.place.naver.com/my/5b7004805823fc2869ebd2a7/review?v=2,406,16,,공릉 존맛와플~5초만에 나와요 ㅋㅋ,,2023년 3월 4일 토요일,1번째 방문,영수증
와플 스타,와플,4.48,,,흥행술사,https://m.place.naver.com/my/5d9d90538f87a842bc4f1cbc/review?v=2,1110,44,,"다양한 메뉴 가성비도 좋아요
완전 강추",,2023년 3월 19일 일요일,1번째 방문,영수증
와플 스타,와플,4.48,,,2ㅎㅇㅇ,https://m.place.naver.com/my/5d22d6e9b7210d1ffb39f358/review?v=2,85,7,,와플종류많고 와플이 눅눅하지않고 맛 굿🙋‍♀️,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 3월 28일 화요일,2번째 방문,결제내역
와플 스타,와플,4.48,,,김시온8,https://m.place.naver.com/my/5f05759a34a524e70c5bfd06/review?v=2,269,,,와플 1번부터 도장깨기,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2023년 2월 11일 토요일,2번째 방문,영수증
와플 스타,와플,4.48,,,쪼알7092,https://m.place.naver.com/my/5c25644456624e8deb7cadcb/review?v=2,21,,,맛있어요,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 5월 13일 토요일,1번째 방문,결제내역
와플 스타,와플,4.48,,,맛잘알s,https://m.place.naver.com/my/5dc8fd778f87a842bccecdce/review?v=2,244,55,,"쿠앤크랑 녹차맛 시켰는데 생각보다 달콤해요 ㅇ3ㅇ
비주얼은 짱이쁨",,2022년 11월 10일 목요일,1번째 방문,영수증
