가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
요거트아이스크림의정석 공릉점,아이스크림,,,,sksss0453,https://m.place.naver.com/my/5f0582f10e1ac3aceef9188b/review?v=2,8,,,"요거트 아이스크림 좋아하는 사람들에게는 최고의 맛집이에요,, 벌꿀집 필수 추가하시고 과일도 다 싱싱하고 당도 짱이에요 제가 배달 과일은 웬만하면 안먹는데 여긴 체고에요ㅠㅠㅠ 마트에서 막 산 과일보다 훨씬 달아요... 추천드립니다❤️❤️❤️

----------------------------------------------

사장님.. 요기요 리뷰를 수정하려다가 삭제를 눌렀는데 다시 쓰는게 안돼서 너무 죄송해서 리뷰를 네이버로 대신 달아요... ㅠㅠ 너무 죄송합니다",,2024년 2월 23일 금요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,민규담,https://m.place.naver.com/my/614e9f757df62000068e90a7/review?v=2,8,,,얼른 먹느라 반을 먹어버렸어요! 근데 원래 시킨 메뉴 말고도 첵스초코랑 오레오오즈 추가로 듬뿍 주셨어요ㅎㅎ 맛있고 서비스도 좋아요~~,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2024년 3월 25일 월요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,영니222,https://m.place.naver.com/my/5db525258f87a842bc6ba114/review?v=2,106,7,,"과일 당도도 좋고 양도 혜자고요
요거트 아이스크림은 말모말모..
존맛입니다!!! 맨날 다른곳에서 돌려가며 시켰는데
이제는 요아정에 정착예정 ㅎㅎ",,2023년 11월 2일 목요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,,좋아요 ,,2024년 4월 2일 화요일,5번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,피자떡볶이망고,https://m.place.naver.com/my/5b9b6244cf480f4d64fba1a6/review?v=2,17,,,"포장으로 다녀왔는데 사장님 너무 친절하시고 좋았어요!!
블루베리 토핑 존맛 ","일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 12월 12일 화요일,1번째 방문,결제내역
요거트아이스크림의정석 공릉점,아이스크림,,,,ssy****,https://m.place.naver.com/my/615342d34f4bb2f03c81d84c/review?v=2,316,,,"서비스 주셔서 좋아요!
다만 저번에 잘 못 주셨는데 아무런 조치도 사과도 없으셔서 조금 속상했어요 ㅠ ",,2024년 1월 12일 금요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,,좋아요 ,,2024년 3월 12일 화요일,3번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,979칠,https://m.place.naver.com/my/5b9b3b585a751f6df12a5fd0/review?v=2,178,5,,,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2024년 2월 20일 화요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,듀우듀우,https://m.place.naver.com/my/5e6533bd8f87a842bcb4fca5/review?v=2,7,,,"살면서 네이버에 음식점 리뷰를 처음 써보네요..
요아정 sns에서 유명해서 알고 있었는데 집앞에 생긴걸 산책하다가 알게 돼서 우연히 포장하러 갔었는데 요거트 아이스크림도 너무 맛있구 그릭요거트도 진짜 맛있어요ㅠㅠ 포장하면 9000원 이상일때 할인도 해주고 여자 사장님 너무너무 친절하세요ㅠㅠ 후르츠링토핑도 그냥 추가해서 더 주시고ㅠㅠ 아무래도 제가 이 매장에 백만원 넘게 쓸 단골임을 예상하시고 그렇게 서비스를 팍팍 주셨던걸까요..? 네 맞습니다 진짜 맨날 가서 사먹어서 살찔것 같아요 망햇어요 근데 너무 맛있어요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 지금도 또 생각나네ㅜ아ㅜ내일도먹으러 갈래요 진짜맛있어요 사장님 번창하세요💓💓💓💓💓💓💓",,2023년 10월 12일 목요일,1번째 방문,결제내역
요거트아이스크림의정석 공릉점,아이스크림,,,,thankyou49,https://m.place.naver.com/my/5cd13e5d8f87a842bc326a01/review?v=2,608,,,요거트아이스크림에 벌꿀집 토핑 먹어보고 맛있어서 또 갔어요. 초코쉘도 맛있고 새콤달콤 요거트아이스크림 깔끔한게 아주 굿이에요. ,,2023년 11월 16일 목요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,,좋아요 ,,2024년 2월 27일 화요일,2번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,호하하하하히어,https://m.place.naver.com/my/5f054d6a4d1cf87540aa5ff4/review?v=2,16,,,"집 근처에 생겨서 먹어봤는데 아이스크림 양도 많고 여자 사장님 엄청 친절하시고 너무 맛있어요 아이스크림 땡길 때 종종 사먹을거 같습니다 번창하세여~~
",,2023년 9월 6일 수요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,seu****,https://m.place.naver.com/my/5f04305b07df30f9d67616f2/review?v=2,4,,,"요아정 먹고싶어서 뛰어와서 먹었어요 !! 
매장에 키오스크도 있고 원하는 토핑도 마음대류 선택해서 먹을 수 있어서 온갖 토핑 다 추가했어요 너무 맛있어요 ㅠㅠㅠㅠㅠ엉엉
2인인데도 양이 워낙 많아서 먹고 배 두들기면서 누워서 리뷰쓰고있어요
남자 사장님도 넘나 친절해요
맛있는게 유죄라면 징역 30년,, 가둬두고 요거트만 만들게 하고싶어요 ㅎ
단골 되겠습니다👍🏻‼️👍🏻💛",,2023년 9월 10일 일요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,남도일5179,https://m.place.naver.com/my/5e6acbde8f87a842bc342c51/review?v=2,138,1,,가성비 별로에요. 좀 비싸요,,2023년 11월 20일 월요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,여니3379,https://m.place.naver.com/my/5bb9fd153895c86018c2ffc5/review?v=2,105,,,다른지점보다 양이 많은것 같아요~! 사장님도 친절하시고! 너무너무 맛있어요ㅎㅎ 포장할인도 되어서 좋아요!!,"일시적인 오류가 발생했습니다
친절해요",2023년 8월 13일 일요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,다람쥐2453,https://m.place.naver.com/my/5d0f75b53a306323f1c152e6/review?v=2,5,,,벌집이 꿀보다 더 맛있는건데! 여기서 먹을 수 있다니 너무 좋아요 맛있어요 시그니처조합!,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 8월 13일 일요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,탠저린1,https://m.place.naver.com/my/5c036d1ffe12c2d6295f699b/review?v=2,1643,14,,,"일시적인 오류가 발생했습니다
메뉴 구성이 알차요",2023년 12월 17일 일요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,혜원589,https://m.place.naver.com/my/61453e104f4bb24ae380233a/review?v=2,1732,,,맛있어요 ,,2023년 8월 8일 화요일,2번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,혜원589,https://m.place.naver.com/my/61453e104f4bb24ae380233a/review?v=2,1732,,,맛있어요 ,,2023년 8월 7일 월요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,,조아요 ,,2023년 8월 31일 목요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,굿슬,https://m.place.naver.com/my/5c0a369051cf43f7c863211b/review?v=2,355,,,맛있어요!!!,,2023년 8월 11일 금요일,1번째 방문,영수증
요거트아이스크림의정석 공릉점,아이스크림,,,,sunasuna,https://m.place.naver.com/my/5d3d11e448b5ce18f8a008e2/review?v=2,78,,,"공릉점에 요론 디저트 맛집이 생기다니... 야식으로 먹기에도 아주 좋은데요 ㅎㅎㅎ 과일 양도 엄청 혜자스럽게 많고, 벌꿀집 대박이에요! 이건 무조건 추가해야해요! 완전... 꿀러버....... 요거트아이스크림이라 해서 엄청 시큼 할줄 알았는데 전혀 그렇지 않고 엄청 달지도 않고 딱 제가 좋아하는 맛이라서 먹고 놀랬어요! 처음 주문 한거지만 너무 만족스러워요 ㅎㅎㅎㅎ",,2021년 2월 2일 화요일,1번째 방문,영수증
