가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
요고프로즌요거트 공릉점,아이스크림,,,,아재입맛언니,https://m.place.naver.com/my/5d9831568f87a842bce5b06c/review?v=2,1577,99,,"✔️그릭요거트 꾸덕하고 위에 토핑과 잘 어울림
✔️꿀 아낌없이 듬뿍 들어감
✔️재료 신선함
✔️제주말차 요거트 아이스크림은 말차도 요거트도 둘다 먹고 싶을 때 이거 먹으면 됨
✔️그릭볼과 말차요거트 아이스크림 같이 먹으면 맛도리!
✔️매장 깔끔
✔️첫방문인데 사장님 너무 친절하셔서 기분 좋게 먹음
✔️맛과 서비스로 또 가고 싶은 곳!
✔️재방문각!",,2024년 7월 7일 일요일,1번째 방문,결제내역
요고프로즌요거트 공릉점,아이스크림,,,,mingki2030,https://m.place.naver.com/my/5c6cb92efd06eba93c4cbd45/review?v=2,22,,,"산책하면서 지나가다 요거트전문점이있어서
방문하였는데 요거트아이스크림이 맛나고
과일도 신선해서 참 맛있네요
다음 산책하러 올때
그릭요거트와 아이스크림 맛보러 
또 올것같은 예감이 확실히드네요~♡
집에갈때는 샐러드와 함께먹으려고
 그릭요거트를 포장했어요
자주 오겠습니다~~
친절하신 사장님 번창하세요!!!",,2024년 6월 23일 일요일,1번째 방문,영수증
요고프로즌요거트 공릉점,아이스크림,,,,눈뉴징,https://m.place.naver.com/my/5e800ca18f87a842bc93cb54/review?v=2,51,,,아기랑 두번째 방문입니다. 구슬아이스크림 포슬포슬 맛있어요 블루베리 요거트위에 구슬아이스크림 뿌려 같이 먹으니 꿀조합이요...,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 24일 수요일,2번째 방문,영수증
요고프로즌요거트 공릉점,아이스크림,,,,mmmjii,https://m.place.naver.com/my/5f012b0a8f87a842bce3c5d5/review?v=2,34,,,"집앞에 이런곳이 생겨서 너무 좋아요!!
요거트 아이스크림부터 그릭요거트까지 다 너무 맛있어요❤️🥰
특히, 망고아이스크림이 진짜 맛있어요!!!!!! 개추천!!!",,2024년 7월 23일 화요일,1번째 방문,결제내역
요고프로즌요거트 공릉점,아이스크림,,,,sub****,https://m.place.naver.com/my/5dcd0fd38f87a842bc3bef02/review?v=2,19,,,그릭요거트에 빠져서 점심시간때마다 가요 ㅎ 과일도 싱싱해서 맛있고 사장님이께서도  매번 갈때마다 매우 친절하세요💕  가게도 청결하고 너무 좋아요💕 그릭요거트는 주로 여기서만 먹을꺼 같아요😊,,2024년 7월 16일 화요일,3번째 방문,영수증
요고프로즌요거트 공릉점,아이스크림,,,,gpwl98,https://m.place.naver.com/my/5cd299359081bd839072dfba/review?v=2,93,5,,"드디어 공릉에 요거트 소프트 아이스크림이 파는 곳이 생겼어요~~!!! 정말 아이스크림도 너무너무 맛있고 사장님도 너무 친절하시고 최고에요😭😭❤️❤️
과일 토핑 올라간 아이스크림은 위에 토핑이 다 생과일이에요..!!!!🥹❤️
벌써 세번째 방문했습니다 ㅎㅎ
조만간 또 갈거에요!!ㅎㅎ 😆👍",,2024년 6월 21일 금요일,1번째 방문,영수증
요고프로즌요거트 공릉점,아이스크림,,,,Heeeeee71,https://m.place.naver.com/my/5f056b092f90b7de353781e7/review?v=2,13,,,"진짜 강추.
찐 단골 아이스크림도 너무 맛있고 무엇보다 과일이 
거의 매번 오는데 올때마다 맛있고 맛이 변하지가 않아요 양도 많이 주시고 너무 좋아요! 
공릉 아이스크림은 여기가 찐.",,2024년 7월 18일 목요일,1번째 방문,영수증
요고프로즌요거트 공릉점,아이스크림,,,,김경진58,https://m.place.naver.com/my/5bac99c79eeabc6b2e53ac48/review?v=2,7,,,요즘 그릭요거트에 빠져서 이곳 저곳 많이 찾아 먹어보는 중에 새로 오픈했다고 해서 방문해보았어요 그리고 이제 정착할 가게를 찾았습니다…🥹 그릭요거트의 꾸덕함 정도도 고를 수 있는 것도 좋고 커피도 너무 맛있고 또 요거트 아이스크림이 있어 더운 날에 시원하게 먹기도 좋은 것 같아요 가게 인테리어도 너무 깔끔하고 시원한 날에는 밖에 앉아서 바람 맞으며 여유를 즐길 수 있고록 야외 테이블도 있더라고요 무엇보다 화장실도 깨끗한 점이 너무 좋았고 너무 친절하게 해주셔서 그 점도 너무 좋았어요 재방문 의사 1000000% 요거트 먹으러 자주 올게요!! 번창하세요~😍😍,,2024년 6월 23일 일요일,1번째 방문,영수증
요고프로즌요거트 공릉점,아이스크림,,,,오드리7,https://m.place.naver.com/my/5f0431d7012fad32006cf770/review?v=2,3,,,"비오는날 그릭요거트가 더 생각나서 
재방문했어요~
복숭아청 시럽과 바나나 견과류를 토핑해서
너무 맛있게 먹었어요^^
신선하고 꾸덕한 식감이 쫄깃하게 느껴져서
계속생각나는 맛~! 이네요 💕 
여자사장님도 친절하게 먹는방법 알려주셔서
주문이 편했어요~ 공릉동 기찻길공원 앞이라
산책하며 가볍게 맛있게 먹고 요거트아이스크림
망고맛으로 포장도 했네요~
주차도 사장님이 할수있게 도와주셔서 
편하고 먹고 가요~~♡^^ 번창하세요~!!",,2024년 6월 22일 토요일,1번째 방문,영수증
요고프로즌요거트 공릉점,아이스크림,,,,뭉뭉9828,https://m.place.naver.com/my/5c10472783614766dc7a155b/review?v=2,314,,,"종류가 많아 고민중이였는데
너무 친절하셔서
편하게 고를수있었어요

과일도 너무 신선하고
요거트 맛있어요😍😍",,2024년 6월 18일 화요일,1번째 방문,영수증
요고프로즌요거트 공릉점,아이스크림,,,,비밀의색30,https://m.place.naver.com/my/5d33a80d1948ac912b25978f/review?v=2,76,,,쫀맛탱~~~요거트 아이스크림이 맛있는 공릉 카페에요. 토핑 선택해서 잔뜩 추가할 수 있어서 좋아용! 너무 많아서 치즈케익은 따로 담아주셨어요 ㅋㅋ 맛있어요!,,2024년 6월 15일 토요일,1번째 방문,결제내역
