가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
요커 공릉점,"카페,디저트",,,,iii****,https://m.place.naver.com/my/5d0dd8859dc0387723d039f1/review?v=2,41,,,"그릭요거트가 꾸덕하고 찐해서 너무 맛있어요! 얼그레이 그릭요거트는 향도 진하고 전 메뉴 토핑양이 미쳤어요..!
베이글도 쫀득하니 크림치즈대신 그릭요거트랑 먹을 수 있어서 더 건강한 맛이라 좋았어요😆
매장 인테리어도 너무 예쁘고 사장님도 너무 예쁘세요❤️
자주자주 방문할께요!",,2024년 7월 1일 월요일,1번째 방문,영수증
요커 공릉점,"카페,디저트",,,,LindaGleeG,https://m.place.naver.com/my/5efde03b67c6d4320f56c721/review?v=2,706,88,,"공릉동 카페거리에 위치한 요커! 바로 옆이 천이 있어서 산책하기도 좋은데, 매장에 야장(야외테이블)이 있어서 바람쐬며 요거트 뿌수기 좋아요❤️ 일단 바닐라라떼 무조건 강추! 또 후루츠밤 넘 맛있어서 백번은 반한듯! 
이건 비밀인데,,, 사장님 넘 이쁘세요🪅🪅🪅",,2024년 5월 18일 토요일,1번째 방문,영수증
요커 공릉점,"카페,디저트",,,,쩡쓰4617,https://m.place.naver.com/my/5e3f6d968f87a842bc4e62b7/review?v=2,19,,,"요거트 찐 맛집…👍🏻✨💕💖
맛 종류도 많아서 도장깨기 중이에요 ㅠㅠ
너무 맛있어요!!!! 동네에 이런 맛있는
요거트 집이 생겼다니 좋습니당
매장도 깔끔해서 방문하기 좋지만
포장해서 먹기도 해요 !
배달도 하시는 것 같아서 배달도
시켜보려구요 !! 😊💛
",,2024년 6월 6일 목요일,1번째 방문,영수증
요커 공릉점,"카페,디저트",,,,수제버겅98,https://m.place.naver.com/my/6178d7de99f7ae06feae6983/review?v=2,20,,,"프로틴볼 시켰는데 넘 맛있어요~~
다른 메뉴들도 다 도전해볼꺼에요 ㅋㅋㅋ🥰❣️
사장님 잘 먹구갑니당!!","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 13일 토요일,1번째 방문,결제내역
요커 공릉점,"카페,디저트",,,,순풍25,https://m.place.naver.com/my/5f070067d6ec8fd5cc9f0d4d/review?v=2,36,,,얼그레이넛츠밤  핵맛있어요. 한그릇 먹었더니 든든하고 한끼 충분해요. 사장님도 아주 친절하시네요!,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 23일 일요일,1번째 방문,영수증
요커 공릉점,"카페,디저트",,,,yooooon11,https://m.place.naver.com/my/5e61874f8f87a842bc7c952f/review?v=2,26,,,너무 맛있어요👍 베이직베이글은 처음 먹어보는데 너무 깔끔하고 맛있고 한끼로 너무 든든한 것 같아요! 그릭 요거트도 푸짐해서 건강하게 배부르게 먹을 수 있는 것 같아용 ㅎㅎ 동네에 이런 곳이 생기다니 너무 좋아유,,2024년 6월 16일 일요일,1번째 방문,영수증
요커 공릉점,"카페,디저트",,,,Dobbyyy,https://m.place.naver.com/my/5c9d95a80ca49c9d219aa268/review?v=2,1,,,"베이글과 음료는 매장에서 먹고 얼그레이넛츠밤은 포장해서 아침으로 먹었어요 리뷰는 처음 남기지만 오픈 후 벌써 여러번 먹었는데 맛 없는 메뉴가 없어요
존시나(애플시나몬),카야그래놀라? 베이글👍🏼 후르츠밤, 얼그레이넛츠밤 너무 맛있어서 아침, 저녁 식사대용으로 정말 잘먹고 있어요 아직 안드셨다면 꼭 드셔보세요! 강추입니다❤️",,2024년 5월 15일 수요일,1번째 방문,영수증
요커 공릉점,"카페,디저트",,,,나라올라888,https://m.place.naver.com/my/5cc17457ea9cf31c749daef8/review?v=2,746,22,,동네에 새로 생긴 요거트 전문점이에요. 요거트가 엄청 꾸덕하고 작은데 하나만 먹어도 튼튼하고 배부르더라고요. 달지 않아 플레인 요거트 좋아해요.,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 10일 월요일,1번째 방문,결제내역
요커 공릉점,"카페,디저트",,,,yeo****,https://m.place.naver.com/my/5f05b06967168be02275e94f/review?v=2,6,,,"요거트,베이글 둘 다 너무 좋아하는데 찐맛집 발견~~!~!~!~!!!! 새로 생겨서 함 가봤는데 이쁜 사장님이 웃는 얼굴로 맞아주셔서 기분이 좋았습니다ㅎㅎ
단골 예약이요오 ~~@@@@@@",,2024년 5월 12일 일요일,1번째 방문,영수증
요커 공릉점,"카페,디저트",,,,김착한,https://m.place.naver.com/my/5ba1d478a736117f8cbf092a/review?v=2,38,,,매번 배달로 시켜먹다가 처음으로 포장해왔어요! 베리베리 시즌이 끝날까봐 무서워요ㅠㅠ 시즌 끝나기전까지 열심히 먹을거예요 제 최애 요거트 베리베리 💓,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 6일 목요일,1번째 방문,영수증
