가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
우아즈,"카페,디저트",4.47,,,grbnana,https://m.place.naver.com/my/5ecf8e848f87a842bc2d515a/review?v=2,63,1.0,,"첫방문! 공부하러 갔었는데 다행히 매장에 저만 있어서 편하게 하다 왓어유 사장님 너무…친절하시구.,.코히도 맛잇구 츄로스 넘나 맛도리엿슴다 애견동반카페라 강애쥐들도 볼 수 있어 일석이조 추천함둥",,2024년 6월 11일 화요일,1번째 방문,결제내역
우아즈,"카페,디저트",4.47,,,라라맘,https://m.place.naver.com/my/5bbac7bb77663e78f78fb72f/review?v=2,14,,,"사랑하는 반려견과 험께 다녀왔어요
사람 친구도 함께 방문했는데요 . 사람도 반려견도 둘다 만족하는곳이 쉽지않아요.
공릉 우아즈는!!! 반려견이 무려 이 시간에 네마리나 있었는데도 (저희 강아지 겁쟁이) 서로 짖지않고 자기 공간에서 아주 편하게 있었어요 
의자와 의자 사이, 옆테이블에 다른 강아지 있어도 공간 침해 없이 편했어요
친구는 처음 왔는데 음료도 디저트도 맛있다고 감탄해서 뿌듯했네요 . 귀한 생화가 올라가서 정말 먹기 아까웠어요 .얼그레이 케이크가 워낙 유명해서 다행이 있길래 주문했는데 크림부터 감동!!!! 
라라랑 또 방문할께요 🐾",,2024년 2월 2일 금요일,1번째 방문,영수증
우아즈,"카페,디저트",4.47,,,ic723,https://m.place.naver.com/my/5efe116c84943dca755ad1b1/review?v=2,25,,,"강아지랑 까페가고싶은데 주변에 애견까페가 없어서 잘못갔거든요 

너무너무 아늑하고 강아지메뉴도 있어서 좋으네요 

츄러스 진짜 꼭드세요 
아이스크림이랑 같이 드시면 더 짱맛입니다 🧡

올라는 멍푸치노 넘 잘먹었어요 
고구마파우더에 우유들어가있다고해서 안심하고 먹였어요💛",,2024년 2월 16일 금요일,1번째 방문,영수증
우아즈,"카페,디저트",4.47,,,happy30,https://m.place.naver.com/my/5dc95ff88f87a842bccd65c6/review?v=2,74,,,"반려동물과 함께하기 너무 좋아요. 

츄러스도 너무 맛있도 커피맛도 너무 맛있었어요 :) 

카페 공간도 아담하고 예뻐서 또 방문 하려구요 ♥

인절미아이스크림츄러스 강츄 ♥",,2024년 2월 12일 월요일,1번째 방문,영수증
우아즈,"카페,디저트",4.47,,,진진러뷰,https://m.place.naver.com/my/5efe798aafcca6e20afd6a74/review?v=2,804,39.0,,공릉 철길 카페 우아즈에 다녀왔어요. 비쥬얼도 예쁜 음료와 맛있는 디져트들~ 눈으로 먹고 입으로 한번 더 먹구요. 공간 자체도 아늑하고 편안하고 예쁜카페예요. 반려동물 동반 카페라서 댕댕이들도 많이 와요. 날씨가 좋을땐 외부 테라스에서 커피 마셔도 좋구요. 요즘같은 가을에는 밤에 가도 좋을 것 같아요. 아이스크림 인절미 츄러스도 진짜 넘 맛있어요 👍 오랜만에 예쁜 카페를 발견했어요. 다음에 또 방문할께요. 예쁜 카페 우아즈 ❤️ ,,2023년 10월 27일 금요일,1번째 방문,결제내역
우아즈,"카페,디저트",4.47,,,ja23,https://m.place.naver.com/my/5eff7a30de5d1e6a342af1e6/review?v=2,13,,,"오늘 뭔가 커피는 부담스러워서 타이홍차밀크 주문했는데 향이 너무 좋고 부드러워서 기분이 너무 좋았어요!
츄러스도 바삭 쫀득하고 제가 시킨 홍차랑 조합 좋았어요!!
단거 땡기시면 요 조합 추천드려요😋
반려견 간식도 많아서 오늘은 멍푸치노였지만 담에 방문하면 다른것도 사주려구요!!😆🖤",,2023년 12월 30일 토요일,1번째 방문,영수증
우아즈,"카페,디저트",4.47,,,부피,https://m.place.naver.com/my/5da8b14d8f87a842bcc20333/review?v=2,1278,207.0,,"타이홍차밀크랑 크림메론소다, 바닐라아이스크림크로플, 아이스크림초코츄러스 먹었는데 세상 이뻐서 다 먹기 아까웠어요🥹 달달구리하고 맛있는데 플레이팅까지 아름다워 또 먹고 싶은❤️ 사장님도 무척 친절하시고 다들 댕댕이 데리고 많이 오던데 나만 댕댕이 없어😭

🙆🏻장점
1️⃣휴양지 분위기가 매력적인 공릉카페✨
2️⃣포토존 가득해서 사진 찍고 놀다 가기 좋은 공릉역카페📸
3️⃣반려견 출입이 가능하고 멍푸치노도 판매하는 애견동반카페🐾
4️⃣음식 플레이팅까지 완벽한 공트럴파크카페🫶🏼",,2023년 10월 31일 화요일,1번째 방문,영수증
우아즈,"카페,디저트",4.47,,,개산책시키는인간,https://m.place.naver.com/my/615073257df62000068ec05b/review?v=2,32,,,"산책길에 반려동물 동반 카페 찾아서 들어갔어요!
멍푸치노(5000원)를 팔길래 주문해서 강아지 먹였고, 다른메뉴 안시키고 아메리카노만 먹었는데 커피도 맛있었어요.

넓은 공간은 아니지만 아늑한 분위기고, 조그맣게 강아지를 위한 포토존도 있었어요. 사장님이 강아지 사진도 직접 찍어주시고 친절하게 대해주셨어요~",,2023년 11월 30일 목요일,1번째 방문,결제내역
우아즈,"카페,디저트",4.47,,,000512,https://m.place.naver.com/my/5efddd410765f4dd1babd6bf/review?v=2,5,,,"반려동물이랑 같이 방문했습니다
분위기 좋고 카페가 작은데 앉을 수 있는 공간이 많아요ㅎㅎ
편하게 이용하다갑니다 🫶
멍푸치노 말고 다른 강아지 메뉴도 있어요!!
너무 시끄럽지않고 딱 쉬기 좋은 카페입니다

#우아즈#반려동물 동반#공릉동 카페#분위기 맛집",,2024년 1월 5일 금요일,1번째 방문,영수증
우아즈,"카페,디저트",4.47,,,깡지슈,https://m.place.naver.com/my/5bf47c4b7694de62744487f4/review?v=2,625,20.0,,"밀크티도 맛있고 시그니처썸머라떼랑 메론소다 까지 안 맛있는게  없어요ㅠㅠ인절미츄러스도 진짜 존맛탱:-) 실내 실외 다 이뻐서 안에도 앉고싶고 야외도 앉고싶고 고민 백번됩니다 진심 
야외자리 매우 가을가을해유 공리단길수많은 카페중 인테리어는 독보적으로 예뻐유 사장님도 왕 예쁘심
우아즈에이드 먹으러 재방문할겁니다 !!!!!",,2023년 10월 30일 월요일,1번째 방문,영수증
