가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
위플랜트위커피,"카페,디저트",4.39,,,영 자,https://m.place.naver.com/my/5d33ceafeb0bdd56515d2f78/review?v=2,518,50,,바깥자리가 상당히 매력있어요! 날 좋을 때 요즘같은 날씨에 딱이에요! 작업하고 카공하기 좋은 카페이기도 합니다👀👍🏻👍🏻 크로플 맛있어요✨️🫶🏻,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 2일 일요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,박쥐란,https://m.place.naver.com/my/5ec9cec38f87a842bc7f71af/review?v=2,325,34,,"경춘선 숲길에 위치한 카페입니다! 내부에 좌석이 많고 야외좌석도 좋아보여요.
딸기라떼 맛있어요🍓🥛","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 30일 목요일,2번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,쩡가62,https://m.place.naver.com/my/5c5576297f9c5b622dd46419/review?v=2,45,,,"음료랑 디저트도 맛있고, 술이랑 간단한 안주류들 있어서 간단하게 먹으면서 이야기 하기 좋은 곳이에요~~^^","일시적인 오류가 발생했습니다
대화하기 좋아요",2024년 6월 30일 일요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,박쥐란,https://m.place.naver.com/my/5ec9cec38f87a842bc7f71af/review?v=2,325,34,,너무 편안하고 아늑한 카페입니다 ☕️🌿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 18일 토요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,통장이텅장으로,https://m.place.naver.com/my/5eff3fc3598cfed34e178bfb/review?v=2,57,4,,아이스크림크로플에 아이스크림 맛있어요. 매장 입구는 open 팻말이 걸려있는 문입니다,,2024년 6월 22일 토요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,다이닝15,https://m.place.naver.com/my/5ddf0a169ec8258e4a562617/review?v=2,421,5,,"커피 맛있고 디저트도 맛있어요~
카페도 이쁘고 오랜만에 맘에 드는 곳 발견했네요!","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 20일 토요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,승현9814,https://m.place.naver.com/my/5f2e09399ec8258e4a326006/review?v=2,465,7,,일끝나고 쉬러오기 완전 좋아요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 27일 목요일,3번째 방문,결제내역
위플랜트위커피,"카페,디저트",4.39,,,하란 l 카페 맛집,https://m.place.naver.com/my/5d787e8b8f87a842bc678360/review?v=2,1869,"4,056",,"최근 리뉴얼한 곳으로 유럽 가정집 서재 느낌의 인테리어가 돋보이는 카페!
커피나 음료 맛도 진하고 맛있는데 술이나 음식도 판매해서 먹어보고 싶더라구요👍
피자 등 다양한 먹을거리가 있어서 배채우기 좋을 것 같아요😀",,2024년 1월 28일 일요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,우쥬님,https://m.place.naver.com/my/5e32c7818f87a842bcc5ec46/review?v=2,465,,,칭구 추천으로 갔는데 커피도 맛있고 좋았습니다👏🏻,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 6월 8일 토요일,1번째 방문,결제내역
위플랜트위커피,"카페,디저트",4.39,,,helgpejz,https://m.place.naver.com/my/5efeba7168401871104f0880/review?v=2,664,,,"아이스크림 크로플 진짜 맛있어요..🧇🍦🥺🫶
여기만큼 맛있는 곳 못봤음,,
진짜 짱 최고.. 다음에도 이거 먹으러 가고싶어요!!","일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 5월 18일 토요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,,https://m.place.naver.com/my/theme/629859b7609001cd494aa774?v=2,,,,,,,,
위플랜트위커피,"카페,디저트",4.39,,,minnim123,https://m.place.naver.com/my/5c82e974c503243b7f0a92f7/review?v=2,1067,,,"사장님 친절하시고
무엇보다 애견동반이라 너무 좋아요!!!
겨울인데 실내에 못들어가는 카페가 넘 많은데ㅜㅜ
이곳은 실내에 같이 들어가도 되네요!! 
커피 맛있고 카약토스트더 넘넘 맛나요 :)
설연휴 잘 마무리 할 수있도록 해주셔서 감사해요 ",,2024년 2월 11일 일요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,00zadoo,https://m.place.naver.com/my/63d7db051438fc3a9cc586ef/review?v=2,75,4,,"미국 가정집 느낌나는 카페
꼭 와보고싶던 곳인데 정말 아늑하고 좋았어요!!
날풀리면 테라스에 앉아 맥주한잔해도 좋을것 같아요","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 25일 일요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,뿌셔뿌셔양념,https://m.place.naver.com/my/61742f1999f7ae749dae39a9/review?v=2,149,14,,"아이스크림 크로플 짱 맛있어요!!
완전 겉바속쫀 아이스크림도 달달하니 잘 어울려요!
커피는 약간 산미가 있는 것 같아요!ㅠ
딸기라떼는 맛있었습니다!
이전엔 쇼파가 되게 많았는데 지금은 한 자리만 쇼파고 나머진 다 바꼈더라구요! 편해서 좋았는데 조금 아쉬워요
반려견도 같이 들어올 수 있어서 좋은 것 같아요!
매장 안에도 귀여운 흰 복슬 강아지가 있습니다!
",,2024년 3월 1일 금요일,2번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,오로라1617,https://m.place.naver.com/my/5cab76febf36427fa85d2709/review?v=2,52,,,"멋진 집같은 카페 안락하긴하다 
편안한 좌석 구조 배치를 조금 더 고민해야할것같다 
","일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2024년 3월 24일 일요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,sol****,https://m.place.naver.com/my/65cad5a473736e3dcf2b3059/review?v=2,29,,,주택을 개조해서 만들었는지 가정집 같으면서 포근한 인테리어 넘 좋아요! 화장실 문도 독특! 늦게까지 영업해서 이용하는데 부담없고 코젤맥주가 있어 넘넘 좋았습니다! ,,2024년 2월 15일 목요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,승현9814,https://m.place.naver.com/my/5f2e09399ec8258e4a326006/review?v=2,465,7,,언제나 크로플이랑 음료가 맛있어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 5일 수요일,2번째 방문,결제내역
위플랜트위커피,"카페,디저트",4.39,,,쫑지27,https://m.place.naver.com/my/5d9a57588f87a842bcb8906d/review?v=2,509,10,,인테리어가 특이하고 디저트가 정말 맛있습니다 피자도 맛있고 감튀도 맛있었어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 4일 일요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,risa124,https://m.place.naver.com/my/5d8f5ac28f87a842bc22a7de/review?v=2,990,73,,"화이트컨셉에 가정집 분위기 
공간은 아담하고 사진 찍기 좋아요 📷
커피 맛있어요🤩","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 13일 화요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,바촉촉삭,https://m.place.naver.com/my/5b9e87989c54843a97a77750/review?v=2,62,8,,"맛있습니다. 
차분하고 아늑한 분위기입니다. 
","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 6일 토요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,alwaysloveyou,https://m.place.naver.com/my/5dd69abb9ec8258e4abdff6c/review?v=2,460,,,ㅜㅜ 좀 가성비 있는 디저트 메뉴가 있으면 더 자주갈거 같아요.. 9천원짜리 디저트는 좀 무리수!!,,2024년 3월 5일 화요일,6번째 방문,결제내역
위플랜트위커피,"카페,디저트",4.39,,,dolphinki,https://m.place.naver.com/my/5d530c0b8734cddcb1a5bb0b/review?v=2,621,39,,인테리어가 정말 예뻐요! 친구네 집에 놀러간 것 같은 느낌이 들고 음료도 맛있네요^^ 딸리라떼에 딸기가 잔뜩 들어가서 좋아요. 옷 거는 옷장과 담요가 세심하게 준비되어 있어서 좋았습니다😄,,2024년 1월 6일 토요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,shd****,https://m.place.naver.com/my/5d9726618f87a842bcbb8bac/review?v=2,5,,,플랫화이트 시켰는데 오랜만에 맛있는 커피 마신것 같아요! 분위기도 조용하고 아늑해서 대화하기도 너무 좋았습니다 :),"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 24일 토요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,ooo****,https://m.place.naver.com/my/600e266b3319ebc89d720115/review?v=2,9,,,"븐위기
굿 의자 불편한",,2024년 6월 22일 토요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,d7k60,https://m.place.naver.com/my/5c303f799557f7b460c3584a/review?v=2,9,,,"리모델링하고 처음 방문했는데 분위기가 너무 좋았어요!! 따듯하고 아늑한 겨울에 정말 잘어울리는 분위기였습니다. 피자도 너무 맛있고 의자도 편하고 무엇보다 애견이 가능하다는점도 너무 좋았습니다.! 또 자리마다 느껴는 분위기도 달라서 다음에 올때는 다른 곳에 앉아보려구요! 오셨던분들 안오신분들 꼭 한번씩
방문해보세요!
! ",,2023년 12월 12일 화요일,2번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,155****,https://m.place.naver.com/my/5d8de2058f87a842bcbfcceb/review?v=2,553,,,"인테리어를 엔틱으로 바꿨네요! 
이젠 술도 함께 파네요!
저녁 12시까지 운영한다고 합니다.
분위기도 좋고 커피도 맛있어요. ",,2024년 1월 21일 일요일,9번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,코코랑조조,https://m.place.naver.com/my/5b9b0b8be038c1b997dd07c0/review?v=2,176,13,,음료 괜찮았고 아늑했어요. 화장실이 책장을 밀면 나오는게 신기했어요. 음식냄새가 많이 나서 담엔 가서 피자라도 시켜야하나 생각이 들더라구요,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 2월 11일 일요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,Skyhigh7,https://m.place.naver.com/my/5dc539e58f87a842bce38aad/review?v=2,1060,1,,커피가 맛있어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 3일 금요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,sor****,https://m.place.naver.com/my/5d32f196aab3c090bde440df/review?v=2,1159,,,친절하고 강아지귀엽고 커피도진짜 맛있었어요,,2024년 2월 28일 수요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,dbswooo,https://m.place.naver.com/my/5f0404e2012fad32006ba3ec/review?v=2,30,,,피자도 저번에 먹었는데 치즈 좋은거 쓰시는지 치즈 완전 맛있어요! 생맥도 존맛이에요ㅋㅋ!!,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2023년 12월 20일 수요일,2번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,bona0901,https://m.place.naver.com/my/5efe9ee2afcca6e20afd9b41/review?v=2,1235,13,,굳,,2024년 5월 29일 수요일,1번째 방문,결제내역
위플랜트위커피,"카페,디저트",4.39,,,itsyourss,https://m.place.naver.com/my/5b9bbeb7d595b6b7cf8e3328/review?v=2,46,,,인테리어가 예뻤고 커피가 맛있었고 크로플은 환상이네요💕,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 12일 월요일,1번째 방문,결제내역
위플랜트위커피,"카페,디저트",4.39,,,구껴,https://m.place.naver.com/my/5e33eb338f87a842bc296958/review?v=2,10,,,,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 6월 1일 토요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,뀨쀼뀨쮸,https://m.place.naver.com/my/5cee8db637ec16c9ed49c6e8/review?v=2,552,,,맛나용,,2024년 4월 6일 토요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,피자Boy,https://m.place.naver.com/my/5efe1168b4dd01caff09f77e/review?v=2,96,1,,대화하기 좋아요.,,2024년 1월 1일 월요일,1번째 방문,결제내역
위플랜트위커피,"카페,디저트",4.39,,,까꿍이150,https://m.place.naver.com/my/60a082f8101840653da7bfa4/review?v=2,181,18,,크로플 넘 맛있어영😆 딸기라떼도 맛있어용👍🏻,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 1월 2일 화요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,요거투,https://m.place.naver.com/my/5c3d49dfab6031877f1858b3/review?v=2,349,19,,"시그니쳐 커피 달달하니 맛도리네요
청귤라임에이드 약간.. 입안이 프레쉬 해지는 맛이었어요 ㅎㅎㅋㅋ","일시적인 오류가 발생했습니다
인테리어가 멋져요",2023년 12월 10일 일요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,기린린기,https://m.place.naver.com/my/5efefa0eee06165e651d3d42/review?v=2,7,,,리뉴얼 하고 처음 왔는데 피자랑 간단한 하이볼 생맥주도 판매하더라고요 피자 시켜서 먹어봤는데 너무 맛있어요!! 다음엔 맥주랑 먹을려고요👍👍,"일시적인 오류가 발생했습니다
반려동물과 가기 좋아요",2023년 12월 12일 화요일,2번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,폼 좋은 포밍,https://m.place.naver.com/my/5e6df0b08f87a842bc188e89/review?v=2,256,5,,공릉의 오래 자리를 지키고 있는 카페 중 하나예요 커피가 정말 맛있습니다! 채광이 좋고 인테리어도 예뻐서 눈이 즐거워요. 앉아서 대화 나누기가 너무 좋습니다 그래서 그런지 방문하는 연령대도 다양해보여요,,2023년 10월 2일 월요일,1번째 방문,결제내역
위플랜트위커피,"카페,디저트",4.39,,,소야소62,https://m.place.naver.com/my/5e230d398f87a842bc19f276/review?v=2,26,,,인테리어 넘 이쁘구 넓구 늦게까지 영업해서 넘 좋아요! ,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 2월 15일 목요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,민영6479,https://m.place.naver.com/my/5de90f999ec8258e4a02aca7/review?v=2,11,,,시그니쳐인 플랜트라떼가 존맛입니다!!! 인테리어가 예전이랑 바뀌었는데 더 멋져졌어요 굿굿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 12월 17일 일요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,탠저린1,https://m.place.naver.com/my/5c036d1ffe12c2d6295f699b/review?v=2,1643,14,,좋아요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 23일 일요일,2번째 방문,결제내역
위플랜트위커피,"카페,디저트",4.39,,,찐핑쿠,https://m.place.naver.com/my/5ddbcae49ec8258e4ac3bfca/review?v=2,1223,72,,"카페가 아늑하고 예뻐요
음료도 맛있어요","일시적인 오류가 발생했습니다
음료가 맛있어요",2023년 10월 7일 토요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,osm****,https://m.place.naver.com/my/618b0cd782ac4fa980eccac4/review?v=2,20,,,친절해여 저아요 강아지귀야워요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 12월 23일 토요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,남건호43,https://m.place.naver.com/my/5e66fad48f87a842bc865cb7/review?v=2,7,,,저녁에 분위기가 너무 좋은것같네요 늦게까지해서 나중에 피맥하러 와야겠어요!,"일시적인 오류가 발생했습니다
좌석이 편해요",2023년 12월 13일 수요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,pchogh,https://m.place.naver.com/my/5c612b7d9eb9389dfe1b21af/review?v=2,101,,,"인테리어도 영국 느낌에 편안합니다
커피도 맛있어요!","일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 12월 23일 토요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,탠저린1,https://m.place.naver.com/my/5c036d1ffe12c2d6295f699b/review?v=2,1643,14,,.,,2024년 5월 5일 일요일,1번째 방문,결제내역
위플랜트위커피,"카페,디저트",4.39,,,우컁컁2771,https://m.place.naver.com/my/5d9c3eed8f87a842bc73ed6e/review?v=2,12,,,리모델링하고 분위기가 더 좋아졋어영 ㅋㅋㅋ플랜트라떼도 역시 맛잇고 저녁 늦게까지해서 자주올거같아여,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2023년 12월 7일 목요일,2번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,승현9814,https://m.place.naver.com/my/5f2e09399ec8258e4a326006/review?v=2,465,7,,크로플 맛집!,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 16일 금요일,1번째 방문,결제내역
위플랜트위커피,"카페,디저트",4.39,,,tnsqhfka92,https://m.place.naver.com/my/6009311d2d8293c7ebb2efef/review?v=2,4,,,,"일시적인 오류가 발생했습니다
화장실이 깨끗해요",2024년 2월 20일 화요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,jan****,https://m.place.naver.com/my/5fb63548334c0987d29f5776/review?v=2,218,,,"애견동반이라 좋아요.
커피가 맛있어요.",,2023년 12월 24일 일요일,1번째 방문,영수증
위플랜트위커피,"카페,디저트",4.39,,,dbswooo,https://m.place.naver.com/my/5f0404e2012fad32006ba3ec/review?v=2,30,,,공릉에 이런 커피바가 있는줄 몰랐는데 분위기가 너무 좋아서 나중에 남자친구랑 와야겠어요!,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2023년 12월 8일 금요일,1번째 방문,영수증
