가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
유니온커피로스터,"카페,디저트",4.41,,,vinine00127,https://m.place.naver.com/my/5ecf932d8f87a842bc73eeee/review?v=2,167,,,당근케이크가 괜찮아요~ 별 기대 인 했는데~ 안에 당근이 일알이 보이고 시나몬향이 은은히 맛있어요~ 커피도 괜찮아요,"일시적인 오류가 발생했습니다
대화하기 좋아요",2024년 6월 22일 토요일,1번째 방문,영수증
유니온커피로스터,"카페,디저트",4.41,,,만보이선생,https://m.place.naver.com/my/5ce67d20dbc8c72d63f9bc22/review?v=2,244,26,,"공릉동에 매우 자주 오는데, 유니온커피로스터는 첫 방문입니다. 
평상시는 블루마일스를 주로 가거든요.
이날 핸드드립 아이스로 마셨다면,
없었을 사진 한장!
커피잔에 비친 책들이 빌딩 같이 보여서 재밌었네요.

제 기준에는 블루마일스 커피가 
더 잘 맞는 것 같습니다.

그래도 시그니처 음료를 마셔보기 전이고,
딸기라떼도 궁금하고,
공간도 넓직해서 재방문 의사 있습니다.",,2024년 4월 8일 월요일,1번째 방문,영수증
유니온커피로스터,"카페,디저트",4.41,,,햄버그덮밥,https://m.place.naver.com/my/5f38b715a602e98f5600ef09/review?v=2,36,,,매일매일 원두가 바뀌어서 다양한 커피를 맛볼 수 있어요 창가자리에서는 카공하기에 딱이고 다른 테이블은 소파라서 오래 대화하기에도 좋아요!,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 13일 목요일,1번째 방문,결제내역
유니온커피로스터,"카페,디저트",4.41,,,jie****,https://m.place.naver.com/my/5efdddcb15c4bcd430585765/review?v=2,57,,,커피 맛있고 좋아요 종종갑니다,,2024년 6월 5일 수요일,1번째 방문,결제내역
유니온커피로스터,"카페,디저트",4.41,,,하이로사,https://m.place.naver.com/my/5b630f4bdf1aac3d03380d64/review?v=2,363,,,가끔 남편이 좋아하는 라떼 마시러 오는 곳~ 생레몬티도 좋네요 피로회복제로 딱이네요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 14일 수요일,2번째 방문,영수증
유니온커피로스터,"카페,디저트",4.41,,,ShinY me,https://m.place.naver.com/my/5ec519288f87a842bc554b81/review?v=2,706,,,굿,,2024년 7월 19일 금요일,9번째 방문,결제내역
유니온커피로스터,"카페,디저트",4.41,,,도희DD,https://m.place.naver.com/my/5c4455222e176d426ea05a29/review?v=2,693,63,,"주중 주말 사람 많은 커피 맛집:) 수제 폼이 올라간 커피가 맛있고, 수제청귤민트티도 맛 좋네요!","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 10일 일요일,4번째 방문,영수증
유니온커피로스터,"카페,디저트",4.41,,,cuf****,https://m.place.naver.com/my/5b63a843202e275c7b292023/review?v=2,879,,,"오랫만에 깔끔한목넘김 경험했네요
드립커피 좋으네요",,2024년 7월 5일 금요일,6번째 방문,영수증
유니온커피로스터,"카페,디저트",4.41,,,반짝이맘1028,https://m.place.naver.com/my/5eff31971c9b02e1ea3ca544/review?v=2,235,2,,"공릉동에서 오래된 로스팅하는
커피맛집이예요^^
분위기도 예쁘고 
카페가 1층과 2층으로 되어 있고 넓어요~
오늘은 따뜻한 라떼 마셨지만
유니온은 솔티라떼가
시그니처 메뉴기때문에 참고 하시면 되요
",,2023년 12월 31일 일요일,1번째 방문,영수증
유니온커피로스터,"카페,디저트",4.41,,,푸쫑,https://m.place.naver.com/my/5ded11998f87a842bc5cc20c/review?v=2,547,37,,"1층하고2층이있는데 2층은 주로 노트북갖고와서 일하거나 공부하시는분들 위주였어요.엄청조용해요..
제가 간 날만 유독그랬는지는 모르겠지만 수다떨려고 1층에있었어요~ 화장실은 2.5?3층에있었고 깨끗했어요 ㅎㅎ",,2024년 3월 3일 일요일,1번째 방문,영수증
