가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
이디야커피 월계이마트점,카페,4.38,,,나비날다 지야,https://m.place.naver.com/my/5b9f1d28b6babb3a65b6dff2/review?v=2,815,2,,"애들 바운스 넣어놓고 남편과 매장 한바퀴 돈 후
이디야 에서 차한잔 마시고 있으면 뙇.

재빨리 커피마셔버리는 남편을위해 텀블러 양보~
바닐라오트라떼 맛보여주니, 신세계라며..
메가톤바 맛이라신다~ ㅋ",,2024년 5월 1일 수요일,3번째 방문,영수증
이디야커피 월계이마트점,카페,4.38,,,가비영,https://m.place.naver.com/my/5e5c26ae8f87a842bc51d372/review?v=2,1979,,,시원하고 맛나요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 11일 목요일,41번째 방문,영수증
이디야커피 월계이마트점,카페,4.38,,,이뿐이 아씨,https://m.place.naver.com/my/60f3e70433caf0aae93c62e7/review?v=2,357,,,달달하고 맛있어요 좋아요 😀,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 16일 화요일,3번째 방문,영수증
이디야커피 월계이마트점,카페,4.38,,,밝게 빛나는 별,https://m.place.naver.com/my/5c4544f77a675392bfbe165e/review?v=2,204,,,서점안에 있는데 아늑하고 커피맛도 양도 적당합니다,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2024년 6월 28일 금요일,1번째 방문,영수증
이디야커피 월계이마트점,카페,4.38,,,가비영,https://m.place.naver.com/my/5e5c26ae8f87a842bc51d372/review?v=2,1979,,,시원해요~좋아요 ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 4일 토요일,40번째 방문,영수증
이디야커피 월계이마트점,카페,4.38,,,이뿐이 아씨,https://m.place.naver.com/my/60f3e70433caf0aae93c62e7/review?v=2,357,,,맛있어요 ㅎㅎ 분위기가 너무좋아요 ~^^친절하게 잘 해주네요~~너무좋아요 ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 24일 수요일,2번째 방문,영수증
이디야커피 월계이마트점,카페,4.38,,,여니47,https://m.place.naver.com/my/5ca88435f2900d8110d8607b/review?v=2,318,,,이디야는 바닐라라떼가 맛있어요! ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 24일 수요일,1번째 방문,영수증
이디야커피 월계이마트점,카페,4.38,,,79YOU,https://m.place.naver.com/my/5c3f45bdbb62e77cd2e172fc/review?v=2,675,,,^^,,2024년 7월 6일 토요일,1번째 방문,영수증
이디야커피 월계이마트점,카페,4.38,,,이현정2548,https://m.place.naver.com/my/5e5a632b8f87a842bcd498af/review?v=2,144,,,아늑하고 자리가 편해서 좋았습니다~~~~~~~~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 2일 목요일,1번째 방문,영수증
이디야커피 월계이마트점,카페,4.38,,,mint8126,https://m.place.naver.com/my/5ebe021c8f87a842bc861102/review?v=2,2366,28,,아이가 망고빙수 다먹네오ㅡㅎㅎㅎ 맛있어해요~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 16일 일요일,16번째 방문,영수증
