가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
찹쌀미친꽈배기 공릉점,베이커리,4.42,,,libertyas,https://m.place.naver.com/my/5d6a81738f87a842bc196d13/review?v=2,1404,4,,재료를 아끼지 않고 도너츠와 고로케가 맛있어요.,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 7월 18일 목요일,2번째 방문,영수증
찹쌀미친꽈배기 공릉점,베이커리,4.42,,,yoori44,https://m.place.naver.com/my/5bb43f7dbb225b822abfce28/review?v=2,28,,,"배달로만 먹었는데 마침 지나가는 길에 있어서 직접 포장했어요~ 여자 사장님 정말 친절하시고 
꽈배기도 바로 바로 튀겨주시고 직접 보니 더 좋았네요 😀
매장도 깔끔해서 안심하고 배달로 주문해서 먹어야 겠어요! 
전 여기 핫도그, 팥도너츠, 치즈볼 최애에요!
요즘 계속 다욧중이라서 밀가루 적게 먹고 있어서 
이거 먹으려고 20분 넘게 걸어서 사왔어오~ 집에 오는 동안 눅눅해지면 어쩌나 했는데 완전 바삭, 따끈 하더라구요! 종종 먹으러 오겠습니다! 사장님 번창하세요",,2024년 3월 8일 금요일,1번째 방문,영수증
찹쌀미친꽈배기 공릉점,베이커리,4.42,,,black07927,https://m.place.naver.com/my/5d5a68cc220adca5c3811886/review?v=2,1048,,,꽈베기,,2024년 7월 10일 수요일,6번째 방문,영수증
찹쌀미친꽈배기 공릉점,베이커리,4.42,,,라라038,https://m.place.naver.com/my/5d4cf612daf5712981f54858/review?v=2,1493,11,,사장님 친절하세요. 사업번창하세요.,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 2월 13일 화요일,4번째 방문,영수증
찹쌀미친꽈배기 공릉점,베이커리,4.42,,,쩨잉이,https://m.place.naver.com/my/5d0dcfac3079da4c292fc738/review?v=2,27,,,"꽈베기, 도넛, 고로케, 치즈볼, 핫도그 다 반죽도 맛있고 미리 여러개 사서 얼렸다가 오븐이나 에어프라이기에 구워먹어도 맛있고 사장님도 친절하시고 좋아요^^",,2024년 4월 23일 화요일,1번째 방문,결제내역
찹쌀미친꽈배기 공릉점,베이커리,4.42,,,yso****,https://m.place.naver.com/my/5c163fbf51e236bb47f72ed6/review?v=2,2755,,,좋아여,,2024년 6월 27일 목요일,2번째 방문,영수증
찹쌀미친꽈배기 공릉점,베이커리,4.42,,,ysj****,https://m.place.naver.com/my/5f36078a9ec8258e4aa1155a/review?v=2,449,,,꽈배기와 도넛이 맛있어요.,,2024년 5월 4일 토요일,1번째 방문,영수증
찹쌀미친꽈배기 공릉점,베이커리,4.42,,,black07927,https://m.place.naver.com/my/5d5a68cc220adca5c3811886/review?v=2,1048,,,꽈베기,,2024년 5월 10일 금요일,5번째 방문,영수증
찹쌀미친꽈배기 공릉점,베이커리,4.42,,,방바야바,https://m.place.naver.com/my/5b90e17b201413528ab4b54a/review?v=2,761,,,,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 4월 27일 토요일,2번째 방문,영수증
찹쌀미친꽈배기 공릉점,베이커리,4.42,,,현경공쥬님24,https://m.place.naver.com/my/5c76904864a00c60b8f9b643/review?v=2,430,,,좋아요,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 5월 21일 화요일,4번째 방문,영수증
찹쌀미친꽈배기 공릉점,베이커리,4.42,,,can****,https://m.place.naver.com/my/5e1ba57e8f87a842bcd4daed/review?v=2,1530,,,굿,,2024년 5월 25일 토요일,4번째 방문,영수증
찹쌀미친꽈배기 공릉점,베이커리,4.42,,,can****,https://m.place.naver.com/my/5e1ba57e8f87a842bcd4daed/review?v=2,1530,,,굿,,2024년 5월 24일 금요일,3번째 방문,영수증
