가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
청자다방 공릉점,"카페,디저트",4.45,,,사랑해8982,https://m.place.naver.com/my/5ba88d609b13aa415bd2fb9d/review?v=2,1456,,,군고구마 카페라고 해서 군고구마랑 구운계란도 팔고 고구마라떼가 너무 맛있네요ㅎㅎ 친절하고 좋아요!,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 4월 29일 월요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,나라올라888,https://m.place.naver.com/my/5cc17457ea9cf31c749daef8/review?v=2,749,22,,군고궁마가 맛나요.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 14일 일요일,2번째 방문,결제내역
청자다방 공릉점,"카페,디저트",4.45,,,사랑해8982,https://m.place.naver.com/my/5ba88d609b13aa415bd2fb9d/review?v=2,1456,,,계란굿,"일시적인 오류가 발생했습니다
가성비가 좋아요",2024년 6월 4일 화요일,5번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,나라올라888,https://m.place.naver.com/my/5cc17457ea9cf31c749daef8/review?v=2,749,22,,"작지만 대화하기 좋아요. 군구구마도 맛있어요. 친절하고 가격도 착하네요.
자주 오는 동네 카페입니다.","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 1월 14일 일요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,룩바,https://m.place.naver.com/my/5ba1d29d741828e1ffe149de/review?v=2,531,,,"군고구마라떼 최애입니다.
너무 맛있어요","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 3월 27일 수요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,상큼92,https://m.place.naver.com/my/5d1b7fb0b08d414a369c86df/review?v=2,368,,,,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2024년 3월 21일 목요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,영양란,https://m.place.naver.com/my/5efe347709dcc88116270aa5/review?v=2,684,,,너무너무 맛있어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 23일 금요일,2번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,kwy3523,https://m.place.naver.com/my/5c6d035f3c37f6eac2f88c2f/review?v=2,1216,,,,"일시적인 오류가 발생했습니다
가성비가 좋아요",2024년 5월 11일 토요일,2번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,우리집 뚱보들,https://m.place.naver.com/my/5efdefe967c6d4320f56e8eb/review?v=2,787,,,고구마라떼 맛집이에요. 아주 진하고 부드러워요.,,2023년 12월 28일 목요일,6번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,alsgmlfo,https://m.place.naver.com/my/5efe7a0eafcca6e20afd6b3f/review?v=2,182,3,,맛집 고구마맛집 음료 굿굿 ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 3일 토요일,6번째 방문,결제내역
청자다방 공릉점,"카페,디저트",4.45,,,dh****,https://m.place.naver.com/my/5d98e8318f87a842bcbfb282/review?v=2,1454,,,고구마가 꿀이에요! 음료랑 아아도 존맛!!😍,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 1월 21일 일요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,영양란,https://m.place.naver.com/my/5efe347709dcc88116270aa5/review?v=2,684,,,고구마라떼 최고 입니다,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 18일 일요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,Muchagu,https://m.place.naver.com/my/5c1a18dc053e6e71fa68d9c3/review?v=2,48,,,"사장님이 친절하셔서 기분이 좋아져요💞
커피두 맛나요","일시적인 오류가 발생했습니다
대화하기 좋아요",2024년 1월 14일 일요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,cce9217,https://m.place.naver.com/my/5d8af9478f87a842bc4fb7c6/review?v=2,61,,,,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 24일 일요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,민지혜맘,https://m.place.naver.com/my/5c5d759304f8de5527c896ca/review?v=2,591,,,"좋아요
커피 축제가서 먹었네요","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 12일 일요일,1번째 방문,결제내역
청자다방 공릉점,"카페,디저트",4.45,,,yo****,https://m.place.naver.com/my/5eff1e33a7f1cdd89fef98f0/review?v=2,1882,31,,좋아요 좋아요 😆 😀 😄 😁 😍 ,"일시적인 오류가 발생했습니다
대화하기 좋아요",2023년 11월 23일 목요일,5번째 방문,결제내역
청자다방 공릉점,"카페,디저트",4.45,,,아톰5869,https://m.place.naver.com/my/5c2c4ed5d909a167caf0c731/review?v=2,2351,38,,친절,,2024년 3월 13일 수요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,hojeong37,https://m.place.naver.com/my/5efef4b9a7f1cdd89fef3f2a/review?v=2,994,,,소소하게 수다 떨기 좋고 음료도 맛있네요.,"일시적인 오류가 발생했습니다
대화하기 좋아요",2023년 11월 12일 일요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,yo****,https://m.place.naver.com/my/5eff1e33a7f1cdd89fef98f0/review?v=2,1882,31,,"우리 동네 단골다방
👍 👍 👍 👍 👍 👍 ","일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 11월 20일 월요일,4번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,jeilove,https://m.place.naver.com/my/5bf219b7191526f4f70e0316/review?v=2,280,,,"사장님 짱 좋으세요 길게 장사 하실분입니다 하하하
고구마라는 아이템도 좋아요 초겨울부터 초초초대박날거에요 홧팅하세요 공릉동 갈때마다 갈것 같아요♡♡♡",,2023년 7월 28일 금요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,토네이도샷후르츠,https://m.place.naver.com/my/5e76ca978f87a842bc3116b4/review?v=2,474,11,,"고구마라떼도 맛있지만
매주 한 두번 훈제계란사러 방문합니다.
조카들도 너무 좋아하고 아침에 간단 식사로도 좋습니다.
항상 맛있게 잘 먹고있습니다!!",,2023년 8월 26일 토요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,eehh0626,https://m.place.naver.com/my/5d88474a8f87a842bc3f0da3/review?v=2,949,7,,굿,,2023년 12월 1일 금요일,3번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,허브솜,https://m.place.naver.com/my/5bac5392c57aec28b81052a0/review?v=2,88,9,,"친구 집 방문할 때 빈손으로 갈 수 없어서 들린 카페! 진짜 문 열고 들어가자마자 달달한 고구마 냄새가 미쳤습니다... 이날은 음료만 포장해서 갔는데 다음엔 꼭 군고구마와 계란도 같이 먹을 겁니다!! 에이드 가격도 착하고, 무엇보다 바닐라라테가 섞어도 달달한 맛이 유지가 되어 너무 좋았습니다:) 피로는 깨고 싶은데 커피커피한 것 보다 단 게 당기는 날 추천하는 커피에요ㅎㅎ",,2023년 6월 6일 화요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,말랑한자두,https://m.place.naver.com/my/5dc680b18f87a842bc175037/review?v=2,499,12,,"가격이 이렇게 저렴할수가!!
근ㄷㅔ 맛은 또 엄청나요! 사시사철 군고구마팔아서 좋아용❤️","일시적인 오류가 발생했습니다
가성비가 좋아요",2023년 7월 28일 금요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,vv1212,https://m.place.naver.com/my/5f066190649bf9575930fb4c/review?v=2,206,,,굿,,2023년 12월 1일 금요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,eehh0626,https://m.place.naver.com/my/5d88474a8f87a842bc3f0da3/review?v=2,949,7,,굿,,2023년 11월 6일 월요일,2번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,오른이020,https://m.place.naver.com/my/5dc0ffe18f87a842bc24e8b2/review?v=2,413,1,,가격이 저렴하구 엄마가 고구마를 좋아하셔서 아주 만족해 하셨어요 !,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 7월 28일 금요일,1번째 방문,영수증
청자다방 공릉점,"카페,디저트",4.45,,,호호9997,https://m.place.naver.com/my/5c068e67d9e2407c16dd954b/review?v=2,853,,,굿,,2023년 12월 16일 토요일,6번째 방문,영수증
