가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
카페 공동,"카페,디저트",,,,러블리희 재주Ro,https://m.place.naver.com/my/5ede2d848f87a842bc80634d/review?v=2,78,4,,"공트럴파크 통뷰~아늑하고 좋네요
비오는 날이라 더 감성 뿜뿜^^
업사이클러 눈에 가장 먼저 띄는 건
투명 미니플로피디스크 티매트
아이스음료의 눈물을 다 흡수하진 못하지만 독특하고 넘 이쁘군요~
이런거 모른척 하고 싶은 나이😅
커피을 이미 2잔 마셔서
패션후르치망고 에이드 픽~
에이드가 톡쏘지 않으면 밍밍한데~ 아주 굿굿입니다👍
커피마시러 다시 올게요!!!!",,2024년 6월 22일 토요일,1번째 방문,영수증
카페 공동,"카페,디저트",,,,lovemes6,https://m.place.naver.com/my/5bbb3767fea5535fc894d1a9/review?v=2,35,,,비가 오는날 분위기가 너무 좋은 카페에요♡ 맛있는 커피와 케이크로  장마의 시작을 기분좋게 해봅니다♡  분위기 좋고 맛있는 라떼의 카페를 찿는다면 추천드려요!,,2024년 6월 29일 토요일,1번째 방문,영수증
카페 공동,"카페,디저트",,,,Less is,https://m.place.naver.com/my/5b6be699c5fcb798e7eef091/review?v=2,30,,,커피가 너무 맛있어요! 라떼 최고😍🫶🏻,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 15일 월요일,4번째 방문,영수증
카페 공동,"카페,디저트",,,,반짝이맘1028,https://m.place.naver.com/my/5eff31971c9b02e1ea3ca544/review?v=2,235,2,,"오늘은 상비약 사러
약국 갔는데
너무 더웠어요~

커피 한 잔이 생각 났는데
공동이 생각나더라고요!!
여기는 커피도 맛있고
뷰도 너무 예뻐요

더울 때 맛있는 라떼를 마시니까
피로가 확 풀리는 느낌이였어요
다음에는 포스터에 있는
오렌지비얀코도 마셔볼께요
많이 많이 파세요",,2024년 6월 5일 수요일,2번째 방문,영수증
카페 공동,"카페,디저트",,,,다솜288,https://m.place.naver.com/my/5e36f3018f87a842bc27599d/review?v=2,17,,,감자빵을 막 구웠는지 포슬포슬하고 쫀득해서 너무 맛있어요! 감자빵 꼭 드세요ㅎㅎ 커피도 너무 맛있습니다:) 이 카페는 창밖풍경이 좋아요ㅎ,,2024년 5월 25일 토요일,1번째 방문,영수증
카페 공동,"카페,디저트",,,,개취가득리뷰,https://m.place.naver.com/my/5efe00ea0765f4dd1bac1ce9/review?v=2,개취가득,2,,분위기 있는 카페에 맛있는 음료와 귀여운 오리 캐릭터가 반겨주는 곳이었어요! 바깥에 앉아서 마실 수 있는 자리도 너무 좋았어요ㅎㅎ ,,2024년 5월 24일 금요일,1번째 방문,결제내역
카페 공동,"카페,디저트",,,,가루27,https://m.place.naver.com/my/5eff3c2ade5d1e6a342a552d/review?v=2,23,,,동네 카페라서 지나다닐 때마다 방문해보고 싶었습니다! 인테리어와 매장이 매우 깔끔하고 항상 인기 있는 카페입니다🤤 오늘은 애인과 방문했지만 혼자 카페에서 업무보러 방문해도 집중 너무 잘 될 것 같네요👍,,2024년 5월 31일 금요일,1번째 방문,영수증
카페 공동,"카페,디저트",,,,bbom13,https://m.place.naver.com/my/5e11ba778f87a842bc3dbdf4/review?v=2,31,,,"작은 카페지만 분위기 좋고 커피가 맛있어요
전체적으로 조용한 분위기라 혼자오기 좋아요 !!
개인적으로 디저트는 애플피칸파이 추천합니다",,2024년 5월 14일 화요일,1번째 방문,영수증
카페 공동,"카페,디저트",,,,ekd****,https://m.place.naver.com/my/61468a609cacdf7618195a03/review?v=2,20,1,,커피도 너무맛있고 가게 인테리어 분위기도 너무 좋아오ㅠ 디스크 컵받침 너무 센스있구 완전짱이에여ㅋㅋㅋ!!!,,2024년 6월 30일 일요일,1번째 방문,영수증
카페 공동,"카페,디저트",,,,whd****,https://m.place.naver.com/my/5f04095dee4be03dee2588e5/review?v=2,8,,,"비오는 날 오니까 더 좋았고, 치즈케잌은 늘 맛있고, 아메리카노와 조합은 말 할 것도 없었다.
자주 올 동네 카페 :) ",,2024년 6월 22일 토요일,1번째 방문,영수증
