가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
카페 오어낫,"카페,디저트",,,,chaemiiii4,https://m.place.naver.com/my/5f7fbe01da759039175e9996/review?v=2,22,,,산책하면서 밤낮으로 항상 들리는 곳! 분위기도 너무 좋고 사장님이나 손님들과 담소 나눌 수 있어서 좋습니다 :) 하이볼과 칵테일류가 다양하게 있어서 술 좋아하는 분들은 꼭 들르세요! 히든 신메뉴 예거 오렌지..?를 먹었는데 완전 여름 갬성..꼭 드십쇼!,,2024년 6월 2일 일요일,1번째 방문,영수증
카페 오어낫,"카페,디저트",,,,Seohang,https://m.place.naver.com/my/5eff2307ee06165e651d9802/review?v=2,15,,,"예쁜이 보리꼬리 아서 보러 꾸미뚜기랑 공릉 오면 꼭 오는 공간이에요 
아서예쁜집 노래맛집 커피맛집이랍니다🩵
계절별로 매장 그림도 바뀌고 포스터도 너무 센스 만점..!💯
이곳은 사장님의 감각맛집이기도 하답니다👨🏻‍🎨🎨
공릉에서 제일 자주 방문하는 카페에요! 이번에 새로 나올 오렌지 아메리카노도 넘 맛있어요!!👍🏻",,2024년 5월 28일 화요일,1번째 방문,영수증
카페 오어낫,"카페,디저트",,,,na3530,https://m.place.naver.com/my/5f0557de532b4ce788cd1ab7/review?v=2,4,,,"메뉴 하나하나가 너무 맛있어요!! 
크로플 쫀득쫀득하고 
오렌지아메리카노 애플라임에이드 너트미 다 너무 맛있어요 
귀여운 강아지도 많이 놀러오고 
음악도 넘나 제 스타일입니다 ㅎㅎ 
공리단길오면 오어낫만 와요 ㅎ.ㅎ ",,2024년 6월 1일 토요일,1번째 방문,영수증
카페 오어낫,"카페,디저트",,,,gol****,https://m.place.naver.com/my/5b6c1154e885390435c29121/review?v=2,32,,,"기대했던 신메뉴 이제야 먹어봤습니다.

말모,,,역시 맛있네요..🥹

아까워서 아껴먹었습니다 ㅎㅎ

사장님께서 신메뉴에 대한 출제자의도?까지 

친근하게 설명해주시고 추천해주신대로 

섞어먹으니 더 맛있네요!

N번째 재방문중..😗",,2024년 5월 29일 수요일,1번째 방문,영수증
카페 오어낫,"카페,디저트",,,,wkd****,https://m.place.naver.com/my/5e3278cd8f87a842bc50b338/review?v=2,7,,,"메뉴엔 없지만 신메뉴(디카페인 땅콩크림 미숫가루라떼) 맛있어요! 달콤꼬소 부드럽 배 고플 때 마시면 배를 싸악 채워주는 맛, 샌드위치는 말해뭐해입니다.  짭짤 맛도리
마지막 사진 속 오어낫의 아서 넘귀엽",,2024년 5월 27일 월요일,1번째 방문,영수증
카페 오어낫,"카페,디저트",,,,와친니,https://m.place.naver.com/my/5e9daa308f87a842bc7e7e50/review?v=2,12,,,"공릉동 분위기 맛집 커피 맛집 하이볼 맛집 디저트 맛집••
신메뉴 나왔다고 하셔서 오렌지+아메리카노=오메리카노(?) 오렌지오카노(?) 시켜봤는데 오묘한 맛이 계속 생각나네요…🫶
앞으로도 신메뉴 많이많이 만들어주세요ㅎㅎ
사장님도 너무 친절하시고 강아지 아서 너무 귀여워요💓",,2024년 5월 26일 일요일,1번째 방문,영수증
카페 오어낫,"카페,디저트",,,,cks****,https://m.place.naver.com/my/634fed3ebaae360006fb4a38/review?v=2,4,,,"공릉동에서 젤로 분위기도 디저트도 커피도 맛집인 카페 오어낫 •• 
커피도 맛있지만 디저트 맛집이라 자주 가게 되는 것 같아요 ! 신메뉴 나왔다고 해서 시켜본 커피인데 아직 정식메뉴는 아니라 그냥 카페라떼라고 써져있지만 디카페인 카페라떼에 달달한 미숫가루 섞여진 맛이라 꼬숩러버로서 음료 중 젤로 맛있었어요 ㅜㅜ
내부는 못찍었지만 내부 인테리어가 젤로 맛집이니 다들 꼭 한번 가보시길 추천합니당 ㅎㅎ:)
",,2024년 5월 25일 토요일,1번째 방문,영수증
카페 오어낫,"카페,디저트",,,,세림891,https://m.place.naver.com/my/5d17358ce90ed7e7d5f8b0ba/review?v=2,16,,,"오렌지 아메리카노 (오카노!!)가 신메뉴로 나왔다고 해서 먹어봤는데 아샷추느낌나고 진짱맛남!!!!! ♡ 
고오급 오렌지 주스가 들어가네용  올여름 인기메뉴로 추천드립니다~~!🍊
",,2024년 6월 2일 일요일,1번째 방문,영수증
카페 오어낫,"카페,디저트",,,,재욱,https://m.place.naver.com/my/5b9d622ff2a83f3de8c74e60/review?v=2,19,,,"맛있는 커피와 귀여운 강아지, 따뜻한 글들이 있는 공간! 동네 아지트를 찾고 계신다면 최적의 공간!

신메뉴 오렌지카노는 상당히 맛있습니다!",,2024년 5월 25일 토요일,1번째 방문,영수증
카페 오어낫,"카페,디저트",,,,주하은70,https://m.place.naver.com/my/5e2318fe8f87a842bc66a48f/review?v=2,14,,,밥먹듯이 오는 카페.. 신메뉴 항상 맛있구.. 분위기도 너무너무 좋구 아서도 너무 귀엽고 순합니다..사장님 신메뉴 맛있어요 헤헤🍥🍥,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 6월 10일 월요일,1번째 방문,영수증
